"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07787
CalibrationParameters_A12,0.07371
CalibrationParameters_A13,0.06726
CalibrationParameters_A21,0.03509
CalibrationParameters_A22,-1.09596
CalibrationParameters_A23,-0.00987
CalibrationParameters_A31,0.00030
CalibrationParameters_A32,-0.00005
CalibrationParameters_E11,-0.18001
CalibrationParameters_E12,0.00003
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.20006
CalibrationParameters_X,-36.64688
CalibrationParameters_Y,-2.08380
CalibrationParameters_Rpc,69.67350
CalibrationParameters_MeanX,165.41703
CalibrationParameters_MeanY,114.96991
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,6.820,-1.500,0.64,-0.14,0.64,-0.14,INF,-1,0,7,0
20,1,1,6.229,-0.579,0.58,-0.05,0.58,-0.05,INF,-1,0,7,0
40,1,1,6.038,-1.250,0.56,-0.12,0.56,-0.12,INF,-1,0,7,0
60,1,1,6.474,-2.140,0.61,-0.20,0.61,-0.20,INF,-1,0,7,0
80,1,1,5.726,-1.697,0.54,-0.16,0.54,-0.16,INF,-1,0,7,0
100,1,1,6.662,-4.000,0.62,-0.37,0.62,-0.37,INF,-1,0,7,0
120,1,1,6.673,-2.060,0.62,-0.19,0.62,-0.19,INF,-1,0,7,0
140,1,1,6.115,-2.166,0.57,-0.20,0.57,-0.20,INF,-1,0,7,0
160,1,1,-0.615,0.269,-0.06,0.03,-0.06,0.03,INF,-1,0,7,0
180,1,1,-4.768,1.749,-0.45,0.16,-0.45,0.16,INF,-1,0,7,0
200,1,1,-6.754,-1.092,-0.63,-0.10,-0.63,-0.10,INF,-1,0,7,0
220,1,1,4.104,2.708,0.38,0.25,0.38,0.25,INF,-1,0,7,0
240,1,1,34.198,9.486,3.19,0.89,3.19,0.89,INF,-1,0,7,0
260,1,1,35.089,9.168,3.28,0.86,3.28,0.86,INF,-1,0,7,0
280,1,1,34.712,11.023,3.24,1.03,3.24,1.03,INF,-1,0,7,0
300,1,1,36.925,10.055,3.45,0.94,3.45,0.94,INF,-1,0,7,0
320,1,1,35.259,10.185,3.29,0.95,3.29,0.95,INF,-1,0,7,0
340,1,1,36.946,10.089,3.45,0.94,3.45,0.94,INF,-1,0,7,0
360,1,1,36.111,9.117,3.37,0.85,3.37,0.85,INF,-1,0,7,0
380,1,1,37.672,11.149,3.52,1.04,3.52,1.04,INF,-1,0,7,0
400,1,1,40.802,11.319,3.81,1.06,3.81,1.06,INF,-1,0,7,0
420,1,1,41.615,17.717,3.88,1.65,3.88,1.66,INF,-1,0,7,0
440,1,1,41.366,16.346,3.86,1.52,3.86,1.53,INF,-1,0,7,0
460,1,1,41.741,17.335,3.90,1.62,3.89,1.62,INF,-1,0,7,0
480,1,1,40.975,18.676,3.82,1.74,3.82,1.75,INF,-1,0,7,0
500,1,1,38.898,16.559,3.63,1.54,3.63,1.55,INF,-1,1,7,0
520,1,1,38.895,16.433,3.63,1.53,3.63,1.54,INF,-1,1,7,0
540,1,1,38.470,23.218,3.59,2.16,3.59,2.17,INF,-1,1,7,0
560,1,1,37.745,23.672,3.52,2.21,3.52,2.21,INF,-1,1,7,0
580,1,1,37.182,24.320,3.47,2.27,3.47,2.27,INF,-1,0,7,0
600,1,1,37.710,24.726,3.52,2.31,3.52,2.31,INF,-1,0,7,0
620,1,1,39.214,23.505,3.66,2.19,3.66,2.20,INF,-1,0,7,0
640,1,1,38.819,25.308,3.62,2.36,3.62,2.36,INF,-1,0,7,0
660,1,1,38.214,25.252,3.57,2.35,3.56,2.36,INF,-1,0,7,0
680,1,1,37.104,27.304,3.46,2.55,3.46,2.55,INF,-1,0,7,0
700,1,1,38.499,25.604,3.59,2.39,3.59,2.39,INF,-1,0,7,0
720,1,1,38.835,26.333,3.63,2.45,3.62,2.46,INF,-1,0,7,0
740,1,1,39.212,26.012,3.66,2.42,3.66,2.43,INF,-1,0,7,0
760,1,1,37.354,25.650,3.49,2.39,3.48,2.40,INF,-1,0,7,0
780,1,1,40.023,24.924,3.74,2.32,3.73,2.33,INF,-1,0,7,0
800,1,1,38.998,25.038,3.64,2.33,3.64,2.34,INF,-1,0,7,0
820,1,1,39.091,24.324,3.65,2.27,3.65,2.27,INF,-1,1,7,0
840,1,1,40.410,23.792,3.77,2.22,3.77,2.22,INF,-1,1,7,0
860,1,1,39.298,24.403,3.67,2.28,3.67,2.28,INF,-1,1,7,0
880,1,1,40.124,24.871,3.74,2.32,3.74,2.32,INF,-1,1,7,0
900,1,1,39.939,24.780,3.73,2.31,3.72,2.31,INF,-1,1,7,0
920,1,1,40.443,24.363,3.77,2.27,3.77,2.28,INF,-1,1,7,0
940,1,1,40.184,25.274,3.75,2.36,3.75,2.36,INF,-1,1,7,0
960,1,1,39.787,23.973,3.71,2.23,3.71,2.24,INF,-1,1,7,0
980,1,1,44.149,21.275,4.12,1.98,4.12,1.99,INF,-1,1,7,0
1000,1,1,47.221,17.743,4.40,1.65,4.40,1.66,INF,-1,1,7,0
1020,1,1,47.158,17.356,4.40,1.62,4.40,1.62,INF,-1,1,7,0
1040,1,1,44.388,18.311,4.14,1.71,4.14,1.71,INF,-1,1,7,0
1060,1,1,44.862,20.305,4.19,1.89,4.18,1.90,INF,-1,1,7,0
1080,1,1,45.766,20.361,4.27,1.90,4.27,1.90,INF,-1,1,7,0
1100,1,1,46.268,20.231,4.32,1.88,4.31,1.89,INF,-1,1,7,0
1120,1,1,47.765,20.151,4.46,1.88,4.45,1.88,INF,-1,1,7,0
1140,1,1,46.577,19.085,4.35,1.78,4.34,1.78,INF,-1,1,7,0
1160,1,1,47.594,20.789,4.44,1.94,4.44,1.94,INF,-1,0,7,0
1180,1,1,44.801,14.983,4.18,1.40,4.18,1.40,INF,-1,0,7,0
1200,1,1,40.080,-7.360,3.74,-0.69,3.74,-0.69,INF,-1,0,7,0
1220,1,1,38.252,-14.150,3.57,-1.32,3.57,-1.32,INF,-1,0,7,0
1240,1,1,40.529,-13.193,3.78,-1.23,3.78,-1.23,INF,-1,0,7,0
1260,1,1,40.656,-16.315,3.79,-1.52,3.79,-1.52,INF,-1,0,7,0
1280,1,1,40.305,-15.431,3.76,-1.44,3.76,-1.44,INF,-1,0,7,0
1300,1,1,39.373,-14.809,3.68,-1.38,3.67,-1.38,INF,-1,0,7,0
1320,1,1,40.239,-13.344,3.76,-1.24,3.75,-1.25,INF,-1,0,7,0
1340,1,1,39.360,-15.157,3.67,-1.41,3.67,-1.42,INF,-1,0,7,0
1360,1,1,40.361,-13.486,3.77,-1.26,3.77,-1.26,INF,-1,0,7,0
1380,1,1,40.842,-13.966,3.81,-1.30,3.81,-1.31,INF,-1,0,7,0
1400,1,1,39.953,-14.054,3.73,-1.31,3.73,-1.31,INF,-1,0,7,0
1420,1,1,41.473,-14.838,3.87,-1.38,3.87,-1.39,INF,-1,0,7,0
1440,1,1,19.269,-16.357,1.80,-1.53,1.80,-1.53,INF,-1,0,7,0
1460,1,1,-1.660,-5.129,-0.16,-0.48,-0.16,-0.48,INF,-1,0,7,0
1480,1,1,-1.777,-2.435,-0.17,-0.23,-0.17,-0.23,INF,-1,0,7,0
1500,1,1,-3.088,-1.534,-0.29,-0.14,-0.29,-0.14,INF,-1,0,7,0
1520,1,1,-4.325,-3.680,-0.40,-0.34,-0.40,-0.34,INF,-1,0,7,0
1540,1,1,-2.244,-2.096,-0.21,-0.20,-0.21,-0.20,INF,-1,0,7,0
1560,1,1,-3.541,-2.207,-0.33,-0.21,-0.33,-0.21,INF,-1,0,7,0
1580,1,1,-4.063,-2.942,-0.38,-0.27,-0.38,-0.27,INF,-1,0,7,0
1600,1,1,-2.849,-2.144,-0.27,-0.20,-0.27,-0.20,INF,-1,0,7,0
1620,1,1,-3.271,-2.445,-0.31,-0.23,-0.31,-0.23,INF,-1,0,7,0
1640,1,1,-3.078,-2.110,-0.29,-0.20,-0.29,-0.20,INF,-1,0,7,0
1660,1,1,-3.927,-2.333,-0.37,-0.22,-0.37,-0.22,INF,-1,0,7,0
1680,1,1,-3.857,-3.843,-0.36,-0.36,-0.36,-0.36,INF,-1,1,7,0
1700,1,1,-5.539,-2.908,-0.52,-0.27,-0.52,-0.27,INF,-1,1,7,0
1720,1,1,-3.701,-1.234,-0.35,-0.12,-0.35,-0.12,INF,-1,1,7,0
1740,1,1,-3.355,-1.688,-0.31,-0.16,-0.31,-0.16,INF,-1,1,7,0
1760,1,1,-3.792,-3.576,-0.35,-0.33,-0.35,-0.33,INF,-1,1,7,0
1780,1,1,-4.006,-3.674,-0.37,-0.34,-0.37,-0.34,INF,-1,1,7,0
