"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.07383
CalibrationParameters_A12,0.08419
CalibrationParameters_A13,0.03583
CalibrationParameters_A21,0.05713
CalibrationParameters_A22,-1.06583
CalibrationParameters_A23,-0.00115
CalibrationParameters_A31,0.00016
CalibrationParameters_A32,-0.00006
CalibrationParameters_E11,-0.17997
CalibrationParameters_E12,0.00014
CalibrationParameters_E21,-0.00017
CalibrationParameters_E22,0.19991
CalibrationParameters_X,-34.46401
CalibrationParameters_Y,1.62086
CalibrationParameters_Rpc,71.47769
CalibrationParameters_MeanX,166.18088
CalibrationParameters_MeanY,115.56930
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-10.044,16.660,-0.94,1.56,-0.94,1.56,INF,-1,0,7,0
20,1,1,-10.738,16.805,-1.00,1.57,-1.00,1.57,INF,-1,0,7,0
40,1,1,-11.524,16.222,-1.08,1.52,-1.08,1.52,INF,-1,0,7,0
60,1,1,-11.213,17.415,-1.05,1.63,-1.05,1.63,INF,-1,0,7,0
80,1,1,-12.427,17.839,-1.16,1.67,-1.16,1.67,INF,-1,0,7,0
100,1,1,-11.464,16.655,-1.07,1.56,-1.07,1.56,INF,-1,0,7,0
120,1,1,-9.962,15.730,-0.93,1.47,-0.93,1.47,INF,-1,0,7,0
140,1,1,-10.112,15.769,-0.95,1.47,-0.94,1.47,INF,-1,0,7,0
160,1,1,4.725,7.896,0.44,0.74,0.44,0.74,INF,-1,0,7,0
180,1,1,2.780,10.759,0.26,1.01,0.26,1.01,INF,-1,0,7,0
200,1,1,2.465,9.569,0.23,0.89,0.23,0.89,INF,-1,0,7,0
220,1,1,-2.489,10.223,-0.23,0.96,-0.23,0.96,INF,-1,0,7,0
240,1,1,2.500,9.985,0.23,0.93,0.23,0.93,INF,-1,0,7,0
260,1,1,0.720,9.499,0.07,0.89,0.07,0.89,INF,-1,0,7,0
280,1,1,1.178,11.817,0.11,1.10,0.11,1.10,INF,-1,1,7,0
300,1,1,1.794,9.894,0.17,0.92,0.17,0.92,INF,-1,1,7,0
320,1,1,-3.899,9.408,-0.36,0.88,-0.36,0.88,INF,-1,1,7,0
340,1,1,-11.989,11.515,-1.12,1.08,-1.12,1.08,INF,-1,1,7,0
360,1,1,-11.565,16.113,-1.08,1.51,-1.08,1.51,INF,-1,1,7,0
380,1,1,-12.468,13.100,-1.17,1.22,-1.16,1.22,INF,-1,1,7,0
400,1,1,-11.267,11.509,-1.05,1.08,-1.05,1.08,INF,-1,1,7,0
420,1,1,-12.117,11.007,-1.13,1.03,-1.13,1.03,INF,-1,1,7,0
440,1,1,-10.948,11.580,-1.02,1.08,-1.02,1.08,INF,-1,1,7,0
460,1,1,-11.120,12.373,-1.04,1.16,-1.04,1.16,INF,-1,1,7,0
480,1,1,-13.060,12.047,-1.22,1.13,-1.22,1.13,INF,-1,1,7,0
500,1,1,-14.582,22.078,-1.36,2.06,-1.36,2.06,INF,-1,1,7,0
520,1,1,-12.818,20.493,-1.20,1.91,-1.20,1.91,INF,-1,1,7,0
540,1,1,-15.402,18.939,-1.44,1.77,-1.44,1.77,INF,-1,0,7,0
560,1,1,-13.225,21.443,-1.24,2.00,-1.24,2.00,INF,-1,0,7,0
580,1,1,-14.946,22.080,-1.40,2.06,-1.40,2.06,INF,-1,0,7,0
600,1,1,-11.235,20.028,-1.05,1.87,-1.05,1.87,INF,-1,0,7,0
620,1,1,-13.285,17.502,-1.24,1.64,-1.24,1.64,INF,-1,0,7,0
640,1,1,-15.617,19.706,-1.46,1.84,-1.46,1.84,INF,-1,0,7,0
660,1,1,-14.992,18.084,-1.40,1.69,-1.40,1.69,INF,-1,0,7,0
680,1,1,-14.901,19.335,-1.39,1.81,-1.39,1.81,INF,-1,0,7,0
700,1,1,-12.031,18.397,-1.12,1.72,-1.12,1.72,INF,-1,0,7,0
720,1,1,-13.191,20.191,-1.23,1.89,-1.23,1.89,INF,-1,0,7,0
740,1,1,-14.351,20.878,-1.34,1.95,-1.34,1.95,INF,-1,0,7,0
760,1,1,-14.803,20.125,-1.38,1.88,-1.38,1.88,INF,-1,0,7,0
780,1,1,-8.609,16.250,-0.80,1.52,-0.80,1.52,INF,-1,1,7,0
800,1,1,19.469,20.528,1.82,1.92,1.82,1.92,INF,-1,1,7,0
820,1,1,16.827,20.219,1.57,1.89,1.57,1.89,INF,-1,1,7,0
840,1,1,20.394,20.384,1.91,1.90,1.90,1.90,INF,-1,0,7,0
860,1,1,19.762,19.381,1.85,1.81,1.85,1.81,INF,-1,0,7,0
880,1,1,19.237,20.654,1.80,1.93,1.80,1.93,INF,-1,0,7,0
900,1,1,17.659,19.065,1.65,1.78,1.65,1.78,INF,-1,0,7,0
920,1,1,17.527,20.826,1.64,1.94,1.64,1.95,INF,-1,0,7,0
