"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04057
CalibrationParameters_A12,0.07850
CalibrationParameters_A13,-0.00756
CalibrationParameters_A21,0.08649
CalibrationParameters_A22,-1.07368
CalibrationParameters_A23,-0.00126
CalibrationParameters_A31,-0.00006
CalibrationParameters_A32,0.00000
CalibrationParameters_E11,-0.17996
CalibrationParameters_E12,-0.00004
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.19999
CalibrationParameters_X,-28.40156
CalibrationParameters_Y,-11.20969
CalibrationParameters_Rpc,69.08644
CalibrationParameters_MeanX,137.36979
CalibrationParameters_MeanY,92.13330
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,6.291,23.822,0.59,2.23,0.59,2.23,INF,-1,0,7,0
20,1,1,5.880,27.337,0.55,2.55,0.55,2.55,INF,-1,0,7,0
40,1,1,6.425,28.705,0.60,2.68,0.60,2.68,INF,-1,0,7,0
60,1,1,7.577,27.146,0.71,2.54,0.71,2.54,INF,-1,0,7,0
80,1,1,9.745,27.190,0.91,2.54,0.91,2.54,INF,-1,0,7,0
100,1,1,8.267,26.314,0.77,2.46,0.77,2.46,INF,-1,0,7,0
120,1,1,7.262,26.842,0.68,2.51,0.68,2.51,INF,-1,0,7,0
140,1,1,10.305,26.649,0.96,2.49,0.96,2.49,INF,-1,0,7,0
160,1,1,-3.550,26.835,-0.33,2.51,-0.33,2.51,INF,-1,0,7,0
180,1,1,-11.020,21.596,-1.03,2.02,-1.03,2.02,INF,-1,0,7,0
200,1,1,-9.494,21.960,-0.89,2.05,-0.89,2.05,INF,-1,0,7,0
220,1,1,-7.381,19.194,-0.69,1.79,-0.69,1.79,INF,-1,0,7,0
240,1,1,-11.164,19.224,-1.04,1.80,-1.04,1.80,INF,-1,0,7,0
260,1,1,-10.758,20.026,-1.01,1.87,-1.00,1.87,INF,-1,0,7,0
280,1,1,-12.022,20.944,-1.12,1.96,-1.12,1.96,INF,-1,0,7,0
300,1,1,-3.863,11.522,-0.36,1.08,-0.36,1.08,INF,-1,0,7,0
320,1,1,5.588,-5.361,0.52,-0.50,0.52,-0.50,INF,-1,0,7,0
340,1,1,4.627,-2.513,0.43,-0.23,0.43,-0.23,INF,-1,1,7,0
360,1,1,6.077,-3.642,0.57,-0.34,0.57,-0.34,INF,-1,0,7,0
380,1,1,5.047,-2.948,0.47,-0.28,0.47,-0.28,INF,-1,0,7,0
400,1,1,5.849,-1.900,0.55,-0.18,0.55,-0.18,INF,-1,0,7,0
420,1,1,3.337,-3.706,0.31,-0.35,0.31,-0.35,INF,-1,0,7,0
