"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06848
CalibrationParameters_A12,0.05651
CalibrationParameters_A13,-0.01968
CalibrationParameters_A21,0.05548
CalibrationParameters_A22,-1.08502
CalibrationParameters_A23,-0.00382
CalibrationParameters_A31,-0.00013
CalibrationParameters_A32,0.00000
CalibrationParameters_E11,-0.18010
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.20002
CalibrationParameters_X,-32.65324
CalibrationParameters_Y,-3.66836
CalibrationParameters_Rpc,71.67885
CalibrationParameters_MeanX,155.29764
CalibrationParameters_MeanY,109.87297
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-9.499,22.190,-0.89,2.07,-0.89,2.07,INF,-1,0,7,0
20,1,1,-4.285,21.303,-0.40,1.99,-0.40,1.99,INF,-1,0,7,0
40,1,1,-8.299,22.148,-0.78,2.07,-0.78,2.07,INF,-1,0,7,0
60,1,1,-6.531,20.866,-0.61,1.95,-0.61,1.95,INF,-1,0,7,0
80,1,1,-2.705,19.076,-0.25,1.78,-0.25,1.78,INF,-1,0,7,0
100,1,1,-16.615,18.381,-1.55,1.72,-1.55,1.72,INF,-1,0,7,0
120,1,1,-22.576,21.204,-2.11,1.98,-2.11,1.98,INF,-1,0,7,0
140,1,1,-23.174,22.129,-2.17,2.07,-2.16,2.07,INF,-1,0,7,0
160,1,1,-20.529,19.551,-1.92,1.83,-1.92,1.83,INF,-1,0,7,0
180,1,1,-20.397,20.394,-1.91,1.90,-1.90,1.91,INF,-1,0,7,0
200,1,1,-20.875,19.258,-1.95,1.80,-1.95,1.80,INF,-1,0,7,0
220,1,1,-17.826,19.170,-1.67,1.79,-1.66,1.79,INF,-1,0,7,0
240,1,1,-10.558,1.089,-0.99,0.10,-0.99,0.10,INF,-1,0,7,0
260,1,1,-9.753,-13.696,-0.91,-1.28,-0.91,-1.28,INF,-1,0,7,0
280,1,1,-9.601,-10.507,-0.90,-0.98,-0.90,-0.98,INF,-1,0,7,0
300,1,1,-14.429,-11.980,-1.35,-1.12,-1.35,-1.12,INF,-1,0,7,0
320,1,1,-16.459,-10.242,-1.54,-0.96,-1.54,-0.96,INF,-1,0,7,0
340,1,1,-13.695,-12.216,-1.28,-1.14,-1.28,-1.14,INF,-1,0,7,0
360,1,1,-9.316,-12.757,-0.87,-1.19,-0.87,-1.19,INF,-1,0,7,0
380,1,1,-9.907,-12.386,-0.93,-1.16,-0.93,-1.16,INF,-1,0,7,0
400,1,1,-15.859,-15.111,-1.48,-1.41,-1.48,-1.41,INF,-1,0,7,0
420,1,1,-21.026,-13.946,-1.96,-1.30,-1.96,-1.30,INF,-1,0,7,0
440,1,1,-25.236,-14.798,-2.36,-1.38,-2.36,-1.38,INF,-1,0,7,0
460,1,1,-22.809,-10.663,-2.13,-1.00,-2.13,-1.00,INF,-1,1,7,0
480,1,1,-23.626,-14.927,-2.21,-1.39,-2.21,-1.39,INF,-1,1,7,0
500,1,1,-19.101,-16.297,-1.78,-1.52,-1.78,-1.52,INF,-1,1,7,0
520,1,1,-19.177,-7.620,-1.79,-0.71,-1.79,-0.71,INF,-1,1,7,0
540,1,1,-6.349,0.438,-0.59,0.04,-0.59,0.04,INF,-1,1,7,0
560,1,1,-14.989,2.003,-1.40,0.19,-1.40,0.19,INF,-1,1,7,0
580,1,1,-13.558,0.058,-1.27,0.01,-1.27,0.01,INF,-1,1,7,0
600,1,1,-12.178,-1.041,-1.14,-0.10,-1.14,-0.10,INF,-1,1,7,0
620,1,1,-9.207,-1.193,-0.86,-0.11,-0.86,-0.11,INF,-1,1,7,0
640,1,1,-9.440,-1.208,-0.88,-0.11,-0.88,-0.11,INF,-1,1,7,0
660,1,1,-9.627,-1.656,-0.90,-0.15,-0.90,-0.15,INF,-1,1,7,0
680,1,1,-14.333,0.158,-1.34,0.01,-1.34,0.01,INF,-1,1,7,0
700,1,1,-14.779,2.465,-1.38,0.23,-1.38,0.23,INF,-1,1,7,0
720,1,1,-11.018,-0.885,-1.03,-0.08,-1.03,-0.08,INF,-1,1,7,0
740,1,1,-8.310,0.699,-0.78,0.07,-0.78,0.07,INF,-1,1,7,0
760,1,1,6.941,2.074,0.65,0.19,0.65,0.19,INF,-1,1,7,0
780,1,1,5.573,0.905,0.52,0.08,0.52,0.08,INF,-1,1,7,0
800,1,1,-6.030,2.248,-0.56,0.21,-0.56,0.21,INF,-1,0,7,0
820,1,1,-2.836,3.946,-0.27,0.37,-0.27,0.37,INF,-1,0,7,0
840,1,1,-4.321,5.283,-0.40,0.49,-0.40,0.49,INF,-1,0,7,0
860,1,1,-1.699,1.709,-0.16,0.16,-0.16,0.16,INF,-1,0,7,0
880,1,1,-3.419,-0.240,-0.32,-0.02,-0.32,-0.02,INF,-1,0,7,0
900,1,1,1.581,0.502,0.15,0.05,0.15,0.05,INF,-1,0,7,0
920,1,1,-5.414,0.272,-0.51,0.03,-0.51,0.03,INF,-1,0,7,0
940,1,1,-28.821,-33.662,-2.69,-3.14,-2.69,-3.14,INF,-1,0,7,0
960,1,1,-33.453,-41.074,-3.12,-3.83,-3.12,-3.83,INF,-1,0,7,0
980,1,1,-31.201,-40.907,-2.91,-3.81,-2.91,-3.82,INF,-1,0,7,0
1000,1,1,-27.271,-41.582,-2.55,-3.88,-2.54,-3.88,INF,-1,0,7,0
1020,1,1,-29.670,-41.220,-2.77,-3.84,-2.76,-3.85,INF,-1,0,7,0
1040,1,1,-29.138,-41.536,-2.72,-3.87,-2.72,-3.88,INF,-1,0,7,0
1060,1,1,-29.133,-41.227,-2.72,-3.84,-2.71,-3.85,INF,-1,0,7,0
1080,1,1,-27.523,-35.651,-2.57,-3.33,-2.57,-3.33,INF,-1,0,7,0
1100,1,1,-31.249,-38.585,-2.92,-3.60,-2.91,-3.60,INF,-1,0,7,0
1120,1,1,-29.771,-39.331,-2.78,-3.67,-2.77,-3.67,INF,-1,0,7,0
1140,1,1,-30.012,-36.087,-2.80,-3.37,-2.80,-3.37,INF,-1,0,7,0
1160,1,1,-27.015,-35.318,-2.52,-3.29,-2.52,-3.30,INF,-1,0,7,0
1180,1,1,-28.992,-39.837,-2.71,-3.71,-2.70,-3.72,INF,-1,0,7,0
