"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06664
CalibrationParameters_A12,0.07591
CalibrationParameters_A13,0.05694
CalibrationParameters_A21,0.04771
CalibrationParameters_A22,-1.08338
CalibrationParameters_A23,-0.01710
CalibrationParameters_A31,0.00032
CalibrationParameters_A32,0.00003
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,0.00003
CalibrationParameters_E21,0.00011
CalibrationParameters_E22,0.19989
CalibrationParameters_X,-36.17111
CalibrationParameters_Y,-0.79768
CalibrationParameters_Rpc,67.42419
CalibrationParameters_MeanX,158.84377
CalibrationParameters_MeanY,106.44020
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,4.509,-11.510,0.42,-1.08,0.42,-1.08,INF,-1,0,7,0
20,1,1,5.000,-11.145,0.47,-1.04,0.47,-1.04,INF,-1,0,7,0
40,1,1,3.719,-10.263,0.35,-0.96,0.35,-0.96,INF,-1,0,7,0
60,1,1,3.442,-10.618,0.32,-0.99,0.32,-0.99,INF,-1,0,7,0
80,1,1,3.442,-11.128,0.32,-1.04,0.32,-1.04,INF,-1,0,7,0
100,1,1,4.106,-9.473,0.38,-0.89,0.38,-0.89,INF,-1,0,7,0
120,1,1,2.775,-10.579,0.26,-0.99,0.26,-0.99,INF,-1,0,7,0
140,1,1,1.924,-8.828,0.18,-0.83,0.18,-0.83,INF,-1,0,7,0
160,1,1,-1.280,-1.805,-0.12,-0.17,-0.12,-0.17,INF,-1,0,7,0
180,1,1,-3.053,-2.416,-0.29,-0.23,-0.29,-0.23,INF,-1,0,7,0
200,1,1,-4.088,-1.969,-0.38,-0.18,-0.38,-0.18,INF,-1,0,7,0
220,1,1,-4.161,-1.322,-0.39,-0.12,-0.39,-0.12,INF,-1,0,7,0
240,1,1,-4.383,-1.496,-0.41,-0.14,-0.41,-0.14,INF,-1,0,7,0
260,1,1,-18.360,-1.737,-1.72,-0.16,-1.72,-0.16,INF,-1,0,7,0
280,1,1,-17.132,-2.389,-1.60,-0.22,-1.60,-0.22,INF,-1,1,7,0
300,1,1,-18.510,-1.483,-1.73,-0.14,-1.73,-0.14,INF,-1,0,7,0
320,1,1,-18.993,0.381,-1.77,0.04,-1.77,0.04,INF,-1,0,7,0
340,1,1,-17.701,-0.726,-1.65,-0.07,-1.65,-0.07,INF,-1,0,7,0
360,1,1,-18.464,-0.449,-1.73,-0.04,-1.73,-0.04,INF,-1,0,7,0
380,1,1,-18.860,-0.908,-1.76,-0.08,-1.76,-0.08,INF,-1,0,7,0
400,1,1,-15.788,0.698,-1.48,0.07,-1.48,0.07,INF,-1,0,7,0
420,1,1,-18.099,2.455,-1.69,0.23,-1.69,0.23,INF,-1,0,7,0
440,1,1,-17.687,-1.017,-1.65,-0.10,-1.65,-0.10,INF,-1,0,7,0
460,1,1,-16.418,1.500,-1.53,0.14,-1.53,0.14,INF,-1,0,7,0
480,1,1,-15.033,2.908,-1.40,0.27,-1.40,0.27,INF,-1,0,7,0
500,1,1,-8.097,-5.914,-0.76,-0.55,-0.76,-0.55,INF,-1,0,7,0
520,1,1,-4.603,-4.852,-0.43,-0.45,-0.43,-0.45,INF,-1,0,7,0
540,1,1,-5.076,-4.134,-0.47,-0.39,-0.47,-0.39,INF,-1,1,7,0
560,1,1,-4.757,-4.398,-0.44,-0.41,-0.44,-0.41,INF,-1,0,7,0
580,1,1,-5.189,-4.441,-0.48,-0.42,-0.48,-0.42,INF,-1,0,7,0
600,1,1,-6.337,-3.770,-0.59,-0.35,-0.59,-0.35,INF,-1,0,7,0
620,1,1,-5.516,-5.238,-0.52,-0.49,-0.52,-0.49,INF,-1,0,7,0
640,1,1,-5.134,-4.428,-0.48,-0.41,-0.48,-0.41,INF,-1,0,7,0
660,1,1,-4.620,-6.943,-0.43,-0.65,-0.43,-0.65,INF,-1,0,7,0
680,1,1,4.472,-8.807,0.42,-0.82,0.42,-0.82,INF,-1,0,7,0
700,1,1,4.855,-9.863,0.45,-0.92,0.45,-0.92,INF,-1,0,7,0
720,1,1,4.553,-9.667,0.43,-0.90,0.43,-0.90,INF,-1,0,7,0
740,1,1,4.050,-9.821,0.38,-0.92,0.38,-0.92,INF,-1,0,7,0
760,1,1,5.015,-9.511,0.47,-0.89,0.47,-0.89,INF,-1,0,7,0
780,1,1,6.639,-7.837,0.62,-0.73,0.62,-0.73,INF,-1,0,7,0
800,1,1,6.065,-7.888,0.57,-0.74,0.57,-0.74,INF,-1,1,7,0
820,1,1,3.727,-9.828,0.35,-0.92,0.35,-0.92,INF,-1,1,7,0
840,1,1,-16.537,-5.647,-1.55,-0.53,-1.55,-0.53,INF,-1,1,7,0
860,1,1,-16.889,-5.187,-1.58,-0.48,-1.58,-0.48,INF,-1,1,7,0
880,1,1,-16.152,-4.429,-1.51,-0.41,-1.51,-0.41,INF,-1,0,7,0
900,1,1,-17.763,-4.453,-1.66,-0.42,-1.66,-0.42,INF,-1,0,7,0
920,1,1,-17.040,-3.534,-1.59,-0.33,-1.59,-0.33,INF,-1,0,7,0
940,1,1,-17.680,-5.015,-1.65,-0.47,-1.65,-0.47,INF,-1,0,7,0
960,1,1,-17.959,-4.646,-1.68,-0.43,-1.68,-0.43,INF,-1,0,7,0
980,1,1,-16.304,-4.680,-1.52,-0.44,-1.52,-0.44,INF,-1,0,7,0
1000,1,1,-17.917,-5.440,-1.67,-0.51,-1.67,-0.51,INF,-1,0,7,0
1020,1,1,-17.240,-4.694,-1.61,-0.44,-1.61,-0.44,INF,-1,0,7,0
1040,1,1,-16.837,-4.784,-1.57,-0.45,-1.57,-0.45,INF,-1,0,7,0
1060,1,1,-16.087,-4.274,-1.50,-0.40,-1.50,-0.40,INF,-1,0,7,0
1080,1,1,-16.595,-4.305,-1.55,-0.40,-1.55,-0.40,INF,-1,0,7,0
1100,1,1,-15.863,-4.881,-1.48,-0.46,-1.48,-0.46,INF,-1,0,7,0
1120,1,1,-17.706,-5.519,-1.65,-0.52,-1.65,-0.52,INF,-1,1,7,0
1140,1,1,-16.396,-4.858,-1.53,-0.45,-1.53,-0.45,INF,-1,1,7,0
1160,1,1,-13.289,-4.953,-1.24,-0.46,-1.24,-0.46,INF,-1,1,7,0
1180,1,1,-11.770,-5.827,-1.10,-0.54,-1.10,-0.54,INF,-1,1,7,0
1200,1,1,-10.869,-6.990,-1.02,-0.65,-1.02,-0.65,INF,-1,1,7,0
1220,1,1,-10.629,-4.943,-0.99,-0.46,-0.99,-0.46,INF,-1,1,7,0
1240,1,1,-12.266,-6.716,-1.15,-0.63,-1.15,-0.63,INF,-1,1,7,0
1260,1,1,-11.470,-8.032,-1.07,-0.75,-1.07,-0.75,INF,-1,1,7,0
1280,1,1,-12.399,-8.031,-1.16,-0.75,-1.16,-0.75,INF,-1,1,7,0
1300,1,1,-11.806,-7.626,-1.10,-0.71,-1.10,-0.71,INF,-1,1,7,0
1320,1,1,-10.379,-6.079,-0.97,-0.57,-0.97,-0.57,INF,-1,1,7,0
1340,1,1,-10.769,-5.982,-1.01,-0.56,-1.01,-0.56,INF,-1,1,7,0
1360,1,1,2.659,10.919,0.25,1.02,0.25,1.02,INF,-1,1,7,0
1380,1,1,3.932,13.971,0.37,1.31,0.37,1.31,INF,-1,1,7,0
1400,1,1,3.995,14.901,0.37,1.39,0.37,1.39,INF,-1,0,7,0
1420,1,1,3.997,14.758,0.37,1.38,0.37,1.38,INF,-1,0,7,0
1440,1,1,2.316,11.379,0.22,1.06,0.22,1.06,INF,-1,0,7,0
1460,1,1,2.534,13.758,0.24,1.29,0.24,1.29,INF,-1,0,7,0
1480,1,1,2.415,13.603,0.23,1.27,0.23,1.27,INF,-1,0,7,0
1500,1,1,1.925,14.338,0.18,1.34,0.18,1.34,INF,-1,0,7,0
1520,1,1,3.682,14.486,0.34,1.35,0.34,1.35,INF,-1,0,7,0
1540,1,1,3.261,13.623,0.30,1.27,0.30,1.27,INF,-1,0,7,0
1560,1,1,2.405,12.802,0.22,1.20,0.22,1.20,INF,-1,0,7,0
1580,1,1,2.572,13.573,0.24,1.27,0.24,1.27,INF,-1,0,7,0
1600,1,1,3.350,13.611,0.31,1.27,0.31,1.27,INF,-1,0,7,0
1620,1,1,3.072,12.954,0.29,1.21,0.29,1.21,INF,-1,0,7,0
1640,1,1,2.508,14.122,0.23,1.32,0.23,1.32,INF,-1,1,7,0
1660,1,1,2.703,13.364,0.25,1.25,0.25,1.25,INF,-1,1,7,0
1680,1,1,0.389,12.767,0.04,1.19,0.04,1.19,INF,-1,1,7,0
1700,1,1,-2.759,-0.324,-0.26,-0.03,-0.26,-0.03,INF,-1,1,7,0
1720,1,1,-2.940,0.374,-0.27,0.04,-0.27,0.04,INF,-1,1,7,0
1740,1,1,-4.086,-0.700,-0.38,-0.07,-0.38,-0.07,INF,-1,0,7,0
1760,1,1,-3.327,1.663,-0.31,0.16,-0.31,0.16,INF,-1,0,7,0
1780,1,1,-3.448,0.868,-0.32,0.08,-0.32,0.08,INF,-1,0,7,0
1800,1,1,-3.761,0.394,-0.35,0.04,-0.35,0.04,INF,-1,0,7,0
1820,1,1,-1.872,1.312,-0.17,0.12,-0.17,0.12,INF,-1,0,7,0
1840,1,1,-3.102,0.906,-0.29,0.08,-0.29,0.08,INF,-1,0,7,0
1860,1,1,-2.483,0.214,-0.23,0.02,-0.23,0.02,INF,-1,0,7,0
1880,1,1,-2.977,-4.773,-0.28,-0.45,-0.28,-0.45,INF,-1,0,7,0
1900,1,1,-1.657,-6.310,-0.15,-0.59,-0.15,-0.59,INF,-1,0,7,0
1920,1,1,-2.551,-7.018,-0.24,-0.66,-0.24,-0.66,INF,-1,0,7,0
1940,1,1,-3.245,-5.191,-0.30,-0.49,-0.30,-0.49,INF,-1,0,7,0
1960,1,1,-2.851,-4.642,-0.27,-0.43,-0.27,-0.43,INF,-1,0,7,0
1980,1,1,-2.918,-5.316,-0.27,-0.50,-0.27,-0.50,INF,-1,1,7,0
2000,1,1,-1.719,-4.104,-0.16,-0.38,-0.16,-0.38,INF,-1,1,7,0
2020,1,1,-1.848,-5.185,-0.17,-0.48,-0.17,-0.48,INF,-1,1,7,0
2040,1,1,-1.573,-5.415,-0.15,-0.51,-0.15,-0.51,INF,-1,1,7,0
2060,1,1,-1.919,-5.432,-0.18,-0.51,-0.18,-0.51,INF,-1,1,7,0
2080,1,1,-1.757,-4.290,-0.16,-0.40,-0.16,-0.40,INF,-1,1,7,0
2100,1,1,-0.316,-5.577,-0.03,-0.52,-0.03,-0.52,INF,-1,1,7,0
2120,1,1,-2.320,-6.569,-0.22,-0.61,-0.22,-0.61,INF,-1,1,7,0
2140,1,1,-0.078,-5.950,-0.01,-0.56,-0.01,-0.56,INF,-1,1,7,0
2160,1,1,-3.137,-7.604,-0.29,-0.71,-0.29,-0.71,INF,-1,1,7,0
2180,1,1,-12.774,-5.742,-1.19,-0.54,-1.19,-0.54,INF,-1,1,7,0
2200,1,1,-12.204,-5.543,-1.14,-0.52,-1.14,-0.52,INF,-1,1,7,0
2220,1,1,-12.147,-5.982,-1.14,-0.56,-1.14,-0.56,INF,-1,1,7,0
2240,1,1,-11.603,-4.453,-1.08,-0.42,-1.08,-0.42,INF,-1,1,7,0
2260,1,1,-11.075,-6.108,-1.04,-0.57,-1.04,-0.57,INF,-1,1,7,0
2280,1,1,-11.199,-5.717,-1.05,-0.53,-1.05,-0.53,INF,-1,1,7,0
2300,1,1,-12.067,-4.936,-1.13,-0.46,-1.13,-0.46,INF,-1,1,7,0
2320,1,1,-11.962,-5.965,-1.12,-0.56,-1.12,-0.56,INF,-1,1,7,0
2340,1,1,-10.505,-4.402,-0.98,-0.41,-0.98,-0.41,INF,-1,1,7,0
2360,1,1,-11.263,-4.353,-1.05,-0.41,-1.05,-0.41,INF,-1,1,7,0
2380,1,1,-11.327,-3.599,-1.06,-0.34,-1.06,-0.34,INF,-1,1,7,0
2400,1,1,-11.582,-6.366,-1.08,-0.59,-1.08,-0.60,INF,-1,1,7,0
2420,1,1,-11.811,-5.686,-1.10,-0.53,-1.10,-0.53,INF,-1,1,7,0
2440,1,1,-11.865,-5.160,-1.11,-0.48,-1.11,-0.48,INF,-1,1,7,0
2460,1,1,-10.871,-4.498,-1.02,-0.42,-1.02,-0.42,INF,-1,1,7,0
2480,1,1,-12.057,-4.637,-1.13,-0.43,-1.13,-0.43,INF,-1,1,7,0
2500,1,1,-12.073,-4.369,-1.13,-0.41,-1.13,-0.41,INF,-1,1,7,0
2520,1,1,-12.242,-5.401,-1.14,-0.50,-1.14,-0.50,INF,-1,1,7,0
2540,1,1,-11.698,-5.992,-1.09,-0.56,-1.09,-0.56,INF,-1,1,7,0
2560,1,1,-11.234,-6.310,-1.05,-0.59,-1.05,-0.59,INF,-1,1,7,0
2580,1,1,-11.680,-5.838,-1.09,-0.55,-1.09,-0.55,INF,-1,1,7,0
2600,1,1,-12.002,-5.740,-1.12,-0.54,-1.12,-0.54,INF,-1,1,7,0
2620,1,1,-12.647,-6.223,-1.18,-0.58,-1.18,-0.58,INF,-1,1,7,0
2640,1,1,-11.595,-5.886,-1.08,-0.55,-1.08,-0.55,INF,-1,1,7,0
2660,1,1,-11.873,-6.494,-1.11,-0.61,-1.11,-0.61,INF,-1,1,7,0
2680,1,1,-12.211,-6.727,-1.14,-0.63,-1.14,-0.63,INF,-1,1,7,0
2700,1,1,-11.585,-8.202,-1.08,-0.77,-1.08,-0.77,INF,-1,0,7,0
2720,1,1,-12.106,-6.699,-1.13,-0.63,-1.13,-0.63,INF,-1,0,7,0
2740,1,1,-13.132,-6.336,-1.23,-0.59,-1.23,-0.59,INF,-1,0,7,0
2760,1,1,-13.148,-5.907,-1.23,-0.55,-1.23,-0.55,INF,-1,0,7,0
2780,1,1,-12.818,-5.396,-1.20,-0.50,-1.20,-0.50,INF,-1,0,7,0
2800,1,1,-13.631,-5.526,-1.27,-0.52,-1.27,-0.52,INF,-1,0,7,0
2820,1,1,-13.702,-6.457,-1.28,-0.60,-1.28,-0.60,INF,-1,0,7,0
2840,1,1,-9.337,-5.256,-0.87,-0.49,-0.87,-0.49,INF,-1,0,7,0
2860,1,1,-6.298,-5.558,-0.59,-0.52,-0.59,-0.52,INF,-1,0,7,0
2880,1,1,-6.913,-4.325,-0.65,-0.40,-0.65,-0.40,INF,-1,0,7,0
2900,1,1,-7.756,-5.061,-0.72,-0.47,-0.72,-0.47,INF,-1,0,7,0
2920,1,1,-7.162,-3.704,-0.67,-0.35,-0.67,-0.35,INF,-1,0,7,0
