"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05223
CalibrationParameters_A12,0.05317
CalibrationParameters_A13,0.04841
CalibrationParameters_A21,0.07439
CalibrationParameters_A22,-1.04984
CalibrationParameters_A23,-0.04804
CalibrationParameters_A31,0.00042
CalibrationParameters_A32,-0.00003
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.19991
CalibrationParameters_X,7.26093
CalibrationParameters_Y,-27.87403
CalibrationParameters_Rpc,92.12650
CalibrationParameters_MeanX,129.19475
CalibrationParameters_MeanY,141.60070
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,19.007,8.176,1.78,0.76,1.78,0.76,INF,-1,0,7,0
20,1,1,20.046,10.035,1.87,0.94,1.87,0.94,INF,-1,0,7,0
40,1,1,18.430,7.376,1.72,0.69,1.72,0.69,INF,-1,0,7,0
60,1,1,22.284,8.192,2.08,0.77,2.08,0.77,INF,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,1,1,21.671,8.490,2.02,0.79,2.02,0.79,INF,-1,0,7,0
120,1,1,21.169,7.610,1.98,0.71,1.98,0.71,INF,-1,0,7,0
140,1,1,21.755,7.244,2.03,0.68,2.03,0.68,INF,-1,0,7,0
160,1,1,20.781,7.349,1.94,0.69,1.94,0.69,INF,-1,0,7,0
180,1,1,18.391,9.409,1.72,0.88,1.72,0.88,INF,-1,0,7,0
200,1,1,21.146,6.814,1.98,0.64,1.98,0.64,INF,-1,0,7,0
220,1,1,22.558,6.965,2.11,0.65,2.11,0.65,INF,-1,0,7,0
240,1,1,22.454,6.848,2.10,0.64,2.10,0.64,INF,-1,0,7,0
260,1,1,19.531,7.906,1.82,0.74,1.82,0.74,INF,-1,0,7,0
280,1,1,20.669,6.811,1.93,0.64,1.93,0.64,INF,-1,1,7,0
300,1,1,14.779,-1.047,1.38,-0.10,1.38,-0.10,INF,-1,1,7,0
320,1,1,15.722,0.230,1.47,0.02,1.47,0.02,INF,-1,1,7,0
340,1,1,15.088,-0.407,1.41,-0.04,1.41,-0.04,INF,-1,1,7,0
360,1,1,14.280,-1.680,1.33,-0.16,1.33,-0.16,INF,-1,1,7,0
380,1,1,14.490,-2.398,1.35,-0.22,1.35,-0.22,INF,-1,1,7,0
400,1,1,15.025,-1.437,1.40,-0.13,1.40,-0.13,INF,-1,0,7,0
420,1,1,13.469,-1.660,1.26,-0.16,1.26,-0.16,INF,-1,0,7,0
440,1,1,14.587,-0.740,1.36,-0.07,1.36,-0.07,INF,-1,0,7,0
460,1,1,7.367,11.470,0.69,1.07,0.69,1.07,INF,-1,0,7,0
480,1,1,3.898,18.286,0.36,1.71,0.36,1.71,INF,-1,0,7,0
500,1,1,1.120,18.924,0.10,1.77,0.10,1.77,INF,-1,0,7,0
520,1,1,3.004,18.752,0.28,1.75,0.28,1.75,INF,-1,0,7,0
540,1,1,5.523,17.222,0.52,1.61,0.52,1.61,INF,-1,0,7,0
560,1,1,1.377,19.051,0.13,1.78,0.13,1.78,INF,-1,0,7,0
580,1,1,2.425,19.708,0.23,1.84,0.23,1.84,INF,-1,0,7,0
600,1,1,2.691,18.382,0.25,1.72,0.25,1.72,INF,-1,0,7,0
620,1,1,2.800,16.320,0.26,1.52,0.26,1.53,INF,-1,0,7,0
640,1,1,0.160,17.400,0.01,1.63,0.01,1.63,INF,-1,0,7,0
660,1,1,2.000,17.452,0.19,1.63,0.19,1.63,INF,-1,0,7,0
680,1,1,2.673,19.170,0.25,1.79,0.25,1.79,INF,-1,0,7,0
700,1,1,0.596,18.001,0.06,1.68,0.06,1.68,INF,-1,0,7,0
720,1,1,0.934,17.116,0.09,1.60,0.09,1.60,INF,-1,0,7,0
740,1,1,0.655,17.976,0.06,1.68,0.06,1.68,INF,-1,1,7,0
760,1,1,2.587,15.620,0.24,1.46,0.24,1.46,INF,-1,1,7,0
780,1,1,3.739,16.835,0.35,1.57,0.35,1.57,INF,-1,1,7,0
800,1,1,3.403,15.613,0.32,1.46,0.32,1.46,INF,-1,1,7,0
820,1,1,1.179,17.005,0.11,1.59,0.11,1.59,INF,-1,1,7,0
840,1,1,1.339,16.332,0.13,1.53,0.13,1.53,INF,-1,1,7,0
860,1,1,1.125,17.141,0.11,1.60,0.11,1.60,INF,-1,1,7,0
880,1,1,4.733,15.442,0.44,1.44,0.44,1.44,INF,-1,1,7,0
900,1,1,15.189,22.164,1.42,2.07,1.42,2.07,INF,-1,1,7,0
920,1,1,18.742,25.652,1.75,2.40,1.75,2.40,INF,-1,1,7,0
940,1,1,17.401,23.381,1.63,2.18,1.62,2.18,INF,-1,0,7,0
960,1,1,14.316,23.248,1.34,2.17,1.34,2.17,INF,-1,0,7,0
980,1,1,15.200,24.775,1.42,2.31,1.42,2.31,INF,-1,0,7,0
1000,1,1,14.907,24.483,1.39,2.29,1.39,2.29,INF,-1,0,7,0
1020,1,1,14.446,23.094,1.35,2.16,1.35,2.16,INF,-1,0,7,0
1040,1,1,14.552,24.095,1.36,2.25,1.36,2.25,INF,-1,0,7,0
1060,1,1,15.659,25.889,1.46,2.42,1.46,2.42,INF,-1,0,7,0
1080,1,1,15.131,23.741,1.41,2.22,1.41,2.22,INF,-1,0,7,0
1100,1,1,14.123,22.717,1.32,2.12,1.32,2.12,INF,-1,0,7,0
1120,1,1,15.302,23.927,1.43,2.23,1.43,2.24,INF,-1,0,7,0
1140,1,1,14.884,24.568,1.39,2.29,1.39,2.30,INF,-1,0,7,0
1160,1,1,15.164,23.835,1.42,2.23,1.42,2.23,INF,-1,0,7,0
1180,1,1,14.060,23.738,1.31,2.22,1.31,2.22,INF,-1,1,7,0
1200,1,1,9.336,24.916,0.87,2.33,0.87,2.33,INF,-1,1,7,0
1220,1,1,2.685,27.214,0.25,2.54,0.25,2.54,INF,-1,1,7,0
1240,1,1,1.094,26.887,0.10,2.51,0.10,2.51,INF,-1,1,7,0
1260,1,1,1.730,26.906,0.16,2.51,0.16,2.51,INF,-1,0,7,0
1280,1,1,0.372,28.535,0.03,2.67,0.03,2.67,INF,-1,0,7,0
1300,1,1,1.079,26.987,0.10,2.52,0.10,2.52,INF,-1,0,7,0
1320,1,1,0.673,24.644,0.06,2.30,0.06,2.30,INF,-1,0,7,0
1340,1,1,1.886,26.603,0.18,2.48,0.18,2.48,INF,-1,0,7,0
1360,1,1,-0.996,25.625,-0.09,2.39,-0.09,2.39,INF,-1,0,7,0
1380,1,1,1.518,25.982,0.14,2.43,0.14,2.43,INF,-1,0,7,0
1400,1,1,-2.202,28.055,-0.21,2.62,-0.21,2.62,INF,-1,0,7,0
1420,1,1,-0.220,25.768,-0.02,2.41,-0.02,2.41,INF,-1,0,7,0
1440,1,1,0.645,25.269,0.06,2.36,0.06,2.36,INF,-1,0,7,0
1460,1,1,-7.095,24.391,-0.66,2.28,-0.66,2.28,INF,-1,0,7,0
1480,1,1,-7.680,22.914,-0.72,2.14,-0.72,2.14,INF,-1,0,7,0
1500,1,1,-7.815,23.936,-0.73,2.24,-0.73,2.24,INF,-1,1,7,0
1520,1,1,-6.575,22.082,-0.61,2.06,-0.61,2.06,INF,-1,1,7,0
1540,1,1,-7.645,22.719,-0.71,2.12,-0.71,2.12,INF,-1,1,7,0
1560,1,1,-8.063,24.158,-0.75,2.26,-0.75,2.26,INF,-1,1,7,0
1580,1,1,-7.092,23.494,-0.66,2.19,-0.66,2.19,INF,-1,1,7,0
1600,1,1,-6.421,23.531,-0.60,2.20,-0.60,2.20,INF,-1,1,7,0
1620,1,1,-6.663,21.714,-0.62,2.03,-0.62,2.03,INF,-1,1,7,0
1640,1,1,-7.435,19.638,-0.69,1.83,-0.69,1.83,INF,-1,1,7,0
1660,1,1,-7.573,21.241,-0.71,1.98,-0.71,1.98,INF,-1,1,7,0
1680,1,1,-6.361,21.236,-0.59,1.98,-0.59,1.98,INF,-1,1,7,0
1700,1,1,-5.806,22.441,-0.54,2.10,-0.54,2.10,INF,-1,1,7,0
1720,1,1,-6.446,21.797,-0.60,2.04,-0.60,2.04,INF,-1,1,7,0
1740,1,1,-7.207,22.774,-0.67,2.13,-0.67,2.13,INF,-1,1,7,0
1760,1,1,-7.345,20.515,-0.69,1.92,-0.69,1.92,INF,-1,1,7,0
1780,1,1,-1.377,21.631,-0.13,2.02,-0.13,2.02,INF,-1,1,7,0
1800,1,1,20.343,19.782,1.90,1.85,1.90,1.85,INF,-1,1,7,0
1820,1,1,15.925,18.703,1.49,1.75,1.49,1.75,INF,-1,1,7,0
1840,1,1,17.204,17.486,1.61,1.63,1.61,1.63,INF,-1,0,7,0
1860,1,1,18.448,19.076,1.72,1.78,1.72,1.78,INF,-1,0,7,0
1880,1,1,17.227,19.591,1.61,1.83,1.61,1.83,INF,-1,0,7,0
1900,1,1,17.081,17.280,1.60,1.61,1.60,1.61,INF,-1,0,7,0
1920,1,1,18.103,19.735,1.69,1.84,1.69,1.84,INF,-1,0,7,0
1940,1,1,17.578,17.946,1.64,1.68,1.64,1.68,INF,-1,0,7,0
1960,1,1,18.205,19.695,1.70,1.84,1.70,1.84,INF,-1,0,7,0
1980,1,1,20.510,17.347,1.92,1.62,1.92,1.62,INF,-1,0,7,0
2000,1,1,20.162,17.774,1.88,1.66,1.88,1.66,INF,-1,0,7,0
2020,1,1,18.513,19.096,1.73,1.78,1.73,1.78,INF,-1,0,7,0
2040,1,1,17.714,19.140,1.66,1.79,1.65,1.79,INF,-1,0,7,0
2060,1,1,17.901,19.166,1.67,1.79,1.67,1.79,INF,-1,0,7,0
2080,1,1,17.968,19.354,1.68,1.81,1.68,1.81,INF,-1,1,7,0
2100,1,1,20.970,19.253,1.96,1.80,1.96,1.80,INF,-1,1,7,0
2120,1,1,18.927,19.139,1.77,1.79,1.77,1.79,INF,-1,1,7,0
2140,1,1,17.005,18.684,1.59,1.75,1.59,1.75,INF,-1,1,7,0
2160,1,1,28.163,25.628,2.63,2.39,2.63,2.39,INF,-1,1,7,0
2180,1,1,24.877,26.140,2.32,2.44,2.32,2.44,INF,-1,1,7,0
2200,1,1,22.503,26.655,2.10,2.49,2.10,2.49,INF,-1,1,7,0
2220,1,1,24.285,25.345,2.27,2.37,2.27,2.37,INF,-1,1,7,0
2240,1,1,25.240,24.687,2.36,2.30,2.36,2.31,INF,-1,1,7,0
2260,1,1,24.146,25.934,2.26,2.42,2.25,2.42,INF,-1,1,7,0
2280,1,1,22.989,27.685,2.15,2.58,2.15,2.59,INF,-1,1,7,0
2300,1,1,22.809,25.778,2.13,2.41,2.13,2.41,INF,-1,1,7,0
2320,1,1,23.089,26.436,2.16,2.47,2.16,2.47,INF,-1,1,7,0
2340,1,1,22.740,24.814,2.12,2.32,2.12,2.32,INF,-1,1,7,0
2360,1,1,22.591,26.420,2.11,2.47,2.11,2.47,INF,-1,1,7,0
2380,1,1,-5.871,26.617,-0.55,2.49,-0.55,2.49,INF,-1,1,7,0
2400,1,1,-8.376,24.856,-0.78,2.32,-0.78,2.32,INF,-1,1,7,0
2420,1,1,-6.248,24.124,-0.58,2.25,-0.58,2.25,INF,-1,0,7,0
2440,1,1,-7.623,24.504,-0.71,2.29,-0.71,2.29,INF,-1,0,7,0
2460,1,1,-7.347,23.006,-0.69,2.15,-0.69,2.15,INF,-1,0,7,0
2480,1,1,-7.323,24.194,-0.68,2.26,-0.68,2.26,INF,-1,0,7,0
2500,1,1,-9.039,24.149,-0.84,2.26,-0.84,2.26,INF,-1,0,7,0
2520,1,1,-8.070,23.580,-0.75,2.20,-0.75,2.20,INF,-1,0,7,0
2540,1,1,-10.635,24.217,-0.99,2.26,-0.99,2.26,INF,-1,0,7,0
2560,1,1,-7.030,24.773,-0.66,2.31,-0.66,2.31,INF,-1,0,7,0
2580,1,1,-7.935,25.198,-0.74,2.35,-0.74,2.35,INF,-1,0,7,0
2600,1,1,-8.649,23.973,-0.81,2.24,-0.81,2.24,INF,-1,0,7,0
2620,1,1,-10.987,25.985,-1.03,2.43,-1.03,2.43,INF,-1,0,7,0
2640,1,1,-8.503,24.195,-0.79,2.26,-0.79,2.26,INF,-1,0,7,0
2660,1,1,-8.099,22.253,-0.76,2.08,-0.76,2.08,INF,-1,1,7,0
2680,1,1,-8.308,22.916,-0.78,2.14,-0.78,2.14,INF,-1,1,7,0
