"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05446
CalibrationParameters_A12,0.06824
CalibrationParameters_A13,0.00964
CalibrationParameters_A21,0.03850
CalibrationParameters_A22,-1.07787
CalibrationParameters_A23,0.00085
CalibrationParameters_A31,0.00010
CalibrationParameters_A32,-0.00105
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,-0.00001
CalibrationParameters_E21,-0.00002
CalibrationParameters_E22,0.19996
CalibrationParameters_X,8.50547
CalibrationParameters_Y,-33.40085
CalibrationParameters_Rpc,92.36813
CalibrationParameters_MeanX,120.24628
CalibrationParameters_MeanY,122.39708
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-158.978,122.490,-14.54,10.95,-14.27,11.30,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,1,1,3.770,-162.663,0.35,-14.86,0.34,-14.86,INF,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,1,1,-9.499,-13.851,-0.89,-1.29,-0.89,-1.29,INF,-1,0,7,0
240,1,1,-6.071,-10.219,-0.57,-0.95,-0.57,-0.96,INF,-1,0,7,0
260,1,1,-6.457,-9.612,-0.60,-0.90,-0.60,-0.90,INF,-1,0,7,0
280,1,1,-7.484,-10.365,-0.70,-0.97,-0.70,-0.97,INF,-1,0,7,0
300,1,1,-6.497,-10.097,-0.61,-0.94,-0.61,-0.94,INF,-1,0,7,0
320,1,1,-7.063,-11.493,-0.66,-1.07,-0.66,-1.07,INF,-1,0,7,0
340,1,1,-10.792,-10.887,-1.01,-1.02,-1.01,-1.02,INF,-1,0,7,0
360,1,1,-8.327,-11.358,-0.78,-1.06,-0.78,-1.06,INF,-1,0,7,0
380,1,1,3.618,-10.092,0.34,-0.94,0.34,-0.94,INF,-1,0,7,0
400,1,1,4.433,4.014,0.41,0.38,0.41,0.38,INF,-1,0,7,0
420,1,1,2.341,3.465,0.22,0.32,0.22,0.32,INF,-1,0,7,0
440,1,1,7.569,4.139,0.71,0.39,0.71,0.39,INF,-1,0,7,0
460,1,1,5.463,2.376,0.51,0.22,0.51,0.22,INF,-1,0,7,0
480,1,1,8.027,4.473,0.75,0.42,0.75,0.42,INF,-1,0,7,0
500,1,1,4.607,2.228,0.43,0.21,0.43,0.21,INF,-1,0,7,0
520,1,1,4.402,3.860,0.41,0.36,0.41,0.36,INF,-1,1,7,0
540,1,1,6.418,2.514,0.60,0.23,0.60,0.23,INF,-1,1,7,0
560,1,1,5.336,1.989,0.50,0.19,0.50,0.19,INF,-1,1,7,0
580,1,1,8.787,3.329,0.82,0.31,0.82,0.31,INF,-1,1,7,0
600,1,1,5.229,3.636,0.49,0.34,0.49,0.34,INF,-1,1,7,0
620,1,1,6.218,2.436,0.58,0.23,0.58,0.23,INF,-1,1,7,0
640,1,1,6.787,1.867,0.63,0.17,0.63,0.17,INF,-1,1,7,0
660,1,1,7.742,3.429,0.72,0.32,0.72,0.32,INF,-1,1,7,0
680,1,1,3.903,2.274,0.36,0.21,0.36,0.21,INF,-1,1,7,0
700,1,1,2.956,5.155,0.28,0.48,0.28,0.48,INF,-1,1,7,0
720,1,1,4.709,3.244,0.44,0.30,0.44,0.30,INF,-1,1,7,0
740,1,1,1.491,4.363,0.14,0.41,0.14,0.41,INF,-1,1,7,0
760,1,1,5.521,2.254,0.52,0.21,0.52,0.21,INF,-1,1,7,0
780,1,1,3.360,2.435,0.31,0.23,0.31,0.23,INF,-1,1,7,0
800,1,1,4.564,2.647,0.43,0.25,0.43,0.25,INF,-1,1,7,0
820,1,1,4.309,3.161,0.40,0.30,0.40,0.30,INF,-1,1,7,0
840,1,1,7.291,3.651,0.68,0.34,0.68,0.34,INF,-1,1,7,0
860,1,1,5.974,2.209,0.56,0.21,0.56,0.21,INF,-1,1,7,0
880,1,1,5.215,2.526,0.49,0.24,0.49,0.24,INF,-1,1,7,0
900,1,1,3.796,3.581,0.35,0.33,0.35,0.33,INF,-1,1,7,0
920,1,1,4.039,2.283,0.38,0.21,0.38,0.21,INF,-1,1,7,0
940,1,1,3.626,2.060,0.34,0.19,0.34,0.19,INF,-1,1,7,0
960,1,1,4.642,2.218,0.43,0.21,0.43,0.21,INF,-1,1,7,0
980,1,1,5.496,3.758,0.51,0.35,0.51,0.35,INF,-1,1,7,0
1000,1,1,2.607,19.035,0.24,1.78,0.24,1.78,INF,-1,1,7,0
1020,1,1,2.871,19.262,0.27,1.80,0.27,1.80,INF,-1,1,7,0
1040,1,1,0.396,20.759,0.04,1.94,0.04,1.94,INF,-1,0,7,0
1060,1,1,2.095,17.673,0.20,1.65,0.20,1.65,INF,-1,0,7,0
1080,1,1,1.205,20.151,0.11,1.88,0.11,1.88,INF,-1,0,7,0
1100,1,1,0.368,20.206,0.03,1.89,0.03,1.89,INF,-1,0,7,0
1120,1,1,-0.689,21.045,-0.06,1.97,-0.06,1.97,INF,-1,0,7,0
1140,1,1,3.614,20.025,0.34,1.87,0.34,1.87,INF,-1,0,7,0
1160,1,1,0.623,20.793,0.06,1.94,0.06,1.94,INF,-1,0,7,0
1180,1,1,3.388,20.211,0.32,1.89,0.32,1.89,INF,-1,0,7,0
1200,1,1,0.021,21.693,0.00,2.03,0.00,2.03,INF,-1,0,7,0
1220,1,1,2.047,21.727,0.19,2.03,0.19,2.03,INF,-1,0,7,0
1240,1,1,0.666,21.144,0.06,1.98,0.06,1.98,INF,-1,0,7,0
1260,1,1,-0.233,20.723,-0.02,1.94,-0.02,1.94,INF,-1,0,7,0
1280,1,1,-0.339,20.146,-0.03,1.88,-0.03,1.88,INF,-1,1,7,0
1300,1,1,1.919,20.796,0.18,1.94,0.18,1.94,INF,-1,1,7,0
1320,1,1,2.130,21.722,0.20,2.03,0.20,2.03,INF,-1,1,7,0
1340,1,1,0.933,17.925,0.09,1.67,0.09,1.67,INF,-1,1,7,0
1360,1,1,-0.342,19.733,-0.03,1.84,-0.03,1.84,INF,-1,1,7,0
1380,1,1,-1.697,21.362,-0.16,2.00,-0.16,2.00,INF,-1,1,7,0
1400,1,1,0.027,21.987,0.00,2.05,0.00,2.05,INF,-1,1,7,0
1420,1,1,-1.720,21.522,-0.16,2.01,-0.16,2.01,INF,-1,1,7,0
1440,1,1,2.641,19.614,0.25,1.83,0.25,1.83,INF,-1,1,7,0
1460,1,1,-1.439,6.154,-0.13,0.58,-0.13,0.58,INF,-1,1,7,0
1480,1,1,-0.037,-13.566,0.00,-1.27,0.00,-1.27,INF,-1,1,7,0
1500,1,1,0.762,-16.837,0.07,-1.57,0.07,-1.57,INF,-1,0,7,0
1520,1,1,-4.121,-13.312,-0.39,-1.24,-0.39,-1.24,INF,-1,0,7,0
1540,1,1,0.629,-12.187,0.06,-1.14,0.06,-1.14,INF,-1,0,7,0
1560,1,1,-5.286,-17.002,-0.49,-1.59,-0.49,-1.59,INF,-1,0,7,0
1580,1,1,-6.971,-15.415,-0.65,-1.44,-0.65,-1.44,INF,-1,0,7,0
1600,1,1,-1.883,-15.834,-0.18,-1.48,-0.18,-1.48,INF,-1,0,7,0
1620,1,1,-2.743,-15.020,-0.26,-1.40,-0.26,-1.40,INF,-1,0,7,0
1640,1,1,-4.713,-15.085,-0.44,-1.41,-0.44,-1.41,INF,-1,0,7,0
1660,1,1,-7.495,-13.165,-0.70,-1.23,-0.70,-1.23,INF,-1,0,7,0
1680,1,1,-5.001,-14.428,-0.47,-1.35,-0.47,-1.35,INF,-1,0,7,0
1700,1,1,-3.838,-14.562,-0.36,-1.36,-0.36,-1.36,INF,-1,0,7,0
1720,1,1,-0.510,-15.120,-0.05,-1.41,-0.05,-1.41,INF,-1,0,7,0
1740,1,1,22.129,-24.003,2.07,-2.24,2.07,-2.24,INF,-1,0,7,0
1760,1,1,20.726,-20.306,1.94,-1.90,1.94,-1.90,INF,-1,1,7,0
1780,1,1,21.749,-21.817,2.03,-2.04,2.03,-2.04,INF,-1,0,7,0
1800,1,1,20.220,-20.984,1.89,-1.96,1.89,-1.96,INF,-1,0,7,0
1820,1,1,23.487,-23.238,2.19,-2.17,2.19,-2.17,INF,-1,0,7,0
1840,1,1,25.991,-25.900,2.43,-2.42,2.43,-2.42,INF,-1,0,7,0
1860,1,1,28.851,-23.982,2.69,-2.24,2.69,-2.24,INF,-1,0,7,0
1880,1,1,25.428,-23.138,2.38,-2.16,2.37,-2.16,INF,-1,0,7,0
1900,1,1,25.382,-23.142,2.37,-2.16,2.37,-2.16,INF,-1,0,7,0
1920,1,1,26.106,-23.293,2.44,-2.17,2.44,-2.18,INF,-1,0,7,0
