"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05677
CalibrationParameters_A12,0.03649
CalibrationParameters_A13,-0.00766
CalibrationParameters_A21,0.06263
CalibrationParameters_A22,-1.08955
CalibrationParameters_A23,-0.01253
CalibrationParameters_A31,-0.00001
CalibrationParameters_A32,-0.00181
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00013
CalibrationParameters_E21,-0.00029
CalibrationParameters_E22,0.19992
CalibrationParameters_X,9.06419
CalibrationParameters_Y,-36.39719
CalibrationParameters_Rpc,93.72183
CalibrationParameters_MeanX,107.31665
CalibrationParameters_MeanY,111.40383
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,-13.057,10.099,-1.22,0.94,-1.22,0.94,INF,-1,0,7,0
60,1,1,-11.123,8.154,-1.04,0.76,-1.04,0.76,INF,-1,0,7,0
80,1,1,-14.161,10.464,-1.32,0.98,-1.32,0.98,INF,-1,0,7,0
100,1,1,-8.324,10.053,-0.78,0.94,-0.78,0.94,INF,-1,0,7,0
120,1,1,-12.307,7.745,-1.15,0.72,-1.15,0.72,INF,-1,0,7,0
140,1,1,-9.719,8.289,-0.91,0.77,-0.91,0.77,INF,-1,0,7,0
160,1,1,-13.111,9.418,-1.23,0.88,-1.23,0.88,INF,-1,0,7,0
180,1,1,-9.879,7.143,-0.92,0.67,-0.92,0.67,INF,-1,0,7,0
200,1,1,-11.785,7.276,-1.10,0.68,-1.10,0.68,INF,-1,0,7,0
220,1,1,-11.248,9.393,-1.05,0.88,-1.05,0.88,INF,-1,0,7,0
240,1,1,-8.474,9.904,-0.79,0.93,-0.79,0.93,INF,-1,0,7,0
260,1,1,-11.579,8.300,-1.08,0.78,-1.08,0.78,INF,-1,0,7,0
280,1,1,-12.182,10.532,-1.14,0.98,-1.14,0.98,INF,-1,0,7,0
300,1,1,-11.883,8.925,-1.11,0.83,-1.11,0.83,INF,-1,0,7,0
320,1,1,-13.280,8.359,-1.24,0.78,-1.24,0.78,INF,-1,1,7,0
340,1,1,-12.580,6.221,-1.18,0.58,-1.18,0.58,INF,-1,1,7,0
360,1,1,-1.306,10.792,-0.12,1.01,-0.12,1.01,INF,-1,1,7,0
380,1,1,-1.101,12.428,-0.10,1.16,-0.10,1.16,INF,-1,1,7,0
400,1,1,3.309,13.911,0.31,1.30,0.31,1.30,INF,-1,0,7,0
420,1,1,-2.249,13.709,-0.21,1.28,-0.21,1.28,INF,-1,0,7,0
440,1,1,-4.770,15.023,-0.45,1.40,-0.45,1.40,INF,-1,0,7,0
460,1,1,-1.538,12.950,-0.14,1.21,-0.14,1.21,INF,-1,0,7,0
480,1,1,-1.520,14.167,-0.14,1.32,-0.14,1.32,INF,-1,0,7,0
500,1,1,-3.669,11.782,-0.34,1.10,-0.34,1.10,INF,-1,0,7,0
520,1,1,-2.549,12.588,-0.24,1.18,-0.24,1.18,INF,-1,0,7,0
540,1,1,-2.630,11.879,-0.25,1.11,-0.25,1.11,INF,-1,0,7,0
560,1,1,-2.561,12.273,-0.24,1.15,-0.24,1.15,INF,-1,0,7,0
580,1,1,-0.235,13.021,-0.02,1.22,-0.02,1.22,INF,-1,0,7,0
600,1,1,1.735,11.306,0.16,1.06,0.16,1.06,INF,-1,0,7,0
620,1,1,-0.119,12.411,-0.01,1.16,-0.01,1.16,INF,-1,0,7,0
640,1,1,-1.386,11.068,-0.13,1.03,-0.13,1.03,INF,-1,1,7,0
660,1,1,-3.064,14.049,-0.29,1.31,-0.29,1.31,INF,-1,1,7,0
680,1,1,-2.239,11.418,-0.21,1.07,-0.21,1.07,INF,-1,1,7,0
700,1,1,-1.376,14.815,-0.13,1.38,-0.13,1.38,INF,-1,1,7,0
720,1,1,-0.368,13.075,-0.03,1.22,-0.03,1.22,INF,-1,1,7,0
740,1,1,-2.250,11.906,-0.21,1.11,-0.21,1.11,INF,-1,1,7,0
760,1,1,-0.432,12.668,-0.04,1.18,-0.04,1.18,INF,-1,1,7,0
780,1,1,-2.158,13.416,-0.20,1.25,-0.20,1.25,INF,-1,1,7,0
800,1,1,-0.987,12.190,-0.09,1.14,-0.09,1.14,INF,-1,1,7,0
820,1,1,-1.880,11.215,-0.18,1.05,-0.18,1.05,INF,-1,1,7,0
840,1,1,-2.248,13.498,-0.21,1.26,-0.21,1.26,INF,-1,1,7,0
860,1,1,0.217,13.883,0.02,1.30,0.02,1.30,INF,-1,1,7,0
880,1,1,-3.246,11.834,-0.30,1.11,-0.30,1.11,INF,-1,1,7,0
900,1,1,-1.789,7.730,-0.17,0.72,-0.17,0.72,INF,-1,1,7,0
920,1,1,4.527,-20.664,0.42,-1.93,0.42,-1.93,INF,-1,1,7,0
940,1,1,6.485,-28.792,0.61,-2.69,0.61,-2.69,INF,-1,1,7,0
960,1,1,4.820,-26.468,0.45,-2.47,0.45,-2.47,INF,-1,0,7,0
980,1,1,6.167,-28.728,0.58,-2.68,0.58,-2.68,INF,-1,0,7,0
1000,1,1,5.804,-29.730,0.54,-2.78,0.54,-2.78,INF,-1,0,7,0
1020,1,1,8.452,-32.742,0.79,-3.06,0.79,-3.06,INF,-1,0,7,0
1040,1,1,6.821,-28.923,0.64,-2.70,0.64,-2.70,INF,-1,0,7,0
1060,1,1,7.310,-27.003,0.68,-2.52,0.68,-2.52,INF,-1,0,7,0
1080,1,1,4.997,-27.661,0.47,-2.58,0.47,-2.58,INF,-1,0,7,0
1100,1,1,2.937,-28.443,0.27,-2.66,0.27,-2.66,INF,-1,0,7,0
1120,1,1,6.160,-26.048,0.58,-2.43,0.58,-2.43,INF,-1,0,7,0
1140,1,1,7.524,-29.059,0.70,-2.71,0.70,-2.71,INF,-1,0,7,0
1160,1,1,6.046,-27.685,0.57,-2.59,0.56,-2.59,INF,-1,0,7,0
1180,1,1,3.356,-30.198,0.31,-2.82,0.31,-2.82,INF,-1,0,7,0
1200,1,1,3.121,-29.936,0.29,-2.80,0.29,-2.80,INF,-1,1,7,0
1220,1,1,-7.952,-19.430,-0.74,-1.82,-0.74,-1.82,INF,-1,1,7,0
1240,1,1,-29.689,-2.665,-2.77,-0.25,-2.77,-0.25,INF,-1,1,7,0
1260,1,1,-38.671,8.079,-3.61,0.75,-3.61,0.76,INF,-1,0,7,0
1280,1,1,-40.176,9.322,-3.75,0.87,-3.75,0.87,INF,-1,0,7,0
1300,1,1,-40.998,9.012,-3.83,0.84,-3.83,0.84,INF,-1,0,7,0
1320,1,1,-38.605,8.779,-3.60,0.82,-3.60,0.82,INF,-1,0,7,0
1340,1,1,-42.068,7.757,-3.93,0.72,-3.93,0.73,INF,-1,0,7,0
1360,1,1,-38.754,9.859,-3.62,0.92,-3.62,0.92,INF,-1,0,7,0
