"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04878
CalibrationParameters_A12,0.05648
CalibrationParameters_A13,-0.00395
CalibrationParameters_A21,0.06002
CalibrationParameters_A22,-1.07074
CalibrationParameters_A23,-0.00169
CalibrationParameters_A31,-0.00001
CalibrationParameters_A32,-0.00101
CalibrationParameters_E11,-0.17992
CalibrationParameters_E12,0.00010
CalibrationParameters_E21,0.00002
CalibrationParameters_E22,0.20007
CalibrationParameters_X,5.38334
CalibrationParameters_Y,-33.56167
CalibrationParameters_Rpc,92.84102
CalibrationParameters_MeanX,132.41365
CalibrationParameters_MeanY,112.08654
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,7.950,-25.235,0.74,-2.36,0.74,-2.36,INF,-1,0,7,0
20,1,1,7.034,-25.255,0.66,-2.36,0.66,-2.36,INF,-1,0,7,0
40,1,1,9.034,-24.411,0.84,-2.28,0.84,-2.28,INF,-1,0,7,0
60,1,1,6.778,-24.190,0.63,-2.26,0.63,-2.26,INF,-1,0,7,0
80,1,1,7.532,-24.416,0.70,-2.28,0.70,-2.28,INF,-1,0,7,0
100,1,1,10.531,-25.038,0.98,-2.34,0.98,-2.34,INF,-1,0,7,0
120,1,1,6.793,-23.294,0.63,-2.18,0.63,-2.18,INF,-1,0,7,0
140,1,1,7.196,-24.199,0.67,-2.26,0.67,-2.26,INF,-1,0,7,0
160,1,1,11.718,-24.449,1.10,-2.28,1.09,-2.28,INF,-1,0,7,0
180,1,1,8.479,-24.718,0.79,-2.31,0.79,-2.31,INF,-1,0,7,0
200,1,1,1.761,-20.058,0.16,-1.87,0.16,-1.87,INF,-1,0,7,0
220,1,1,-13.807,-9.747,-1.29,-0.91,-1.29,-0.91,INF,-1,0,7,0
240,1,1,-13.882,-11.766,-1.30,-1.10,-1.30,-1.10,INF,-1,0,7,0
260,1,1,-13.671,-10.429,-1.28,-0.97,-1.28,-0.97,INF,-1,0,7,0
280,1,1,-10.564,-11.003,-0.99,-1.03,-0.99,-1.03,INF,-1,0,7,0
300,1,1,-13.456,-11.471,-1.26,-1.07,-1.26,-1.07,INF,-1,0,7,0
320,1,1,-12.424,-10.596,-1.16,-0.99,-1.16,-0.99,INF,-1,0,7,0
340,1,1,-13.866,-10.475,-1.30,-0.98,-1.30,-0.98,INF,-1,0,7,0
360,1,1,-7.936,2.998,-0.74,0.28,-0.74,0.28,INF,-1,0,7,0
380,1,1,-4.086,8.501,-0.38,0.79,-0.38,0.79,INF,-1,0,7,0
400,1,1,-4.568,8.299,-0.43,0.78,-0.43,0.78,INF,-1,0,7,0
420,1,1,-3.285,6.043,-0.31,0.56,-0.31,0.56,INF,-1,0,7,0
440,1,1,-2.744,6.681,-0.26,0.62,-0.26,0.62,INF,-1,0,7,0
460,1,1,-2.304,7.100,-0.22,0.66,-0.22,0.66,INF,-1,0,7,0
480,1,1,-3.563,6.174,-0.33,0.58,-0.33,0.58,INF,-1,0,7,0
500,1,1,-2.676,7.018,-0.25,0.66,-0.25,0.66,INF,-1,1,7,0
520,1,1,-1.895,4.533,-0.18,0.42,-0.18,0.42,INF,-1,1,7,0
540,1,1,-2.814,7.780,-0.26,0.73,-0.26,0.73,INF,-1,1,7,0
560,1,1,-4.595,7.829,-0.43,0.73,-0.43,0.73,INF,-1,1,7,0
580,1,1,-2.888,19.655,-0.27,1.84,-0.27,1.84,INF,-1,0,7,0
600,1,1,-3.893,16.739,-0.36,1.56,-0.36,1.56,INF,-1,0,7,0
620,1,1,-3.812,16.356,-0.36,1.53,-0.36,1.53,INF,-1,0,7,0
640,1,1,-1.962,16.966,-0.18,1.59,-0.18,1.59,INF,-1,0,7,0
660,1,1,-2.149,17.204,-0.20,1.61,-0.20,1.61,INF,-1,0,7,0
680,1,1,-2.677,17.439,-0.25,1.63,-0.25,1.63,INF,-1,0,7,0
700,1,1,-1.104,16.818,-0.10,1.57,-0.10,1.57,INF,-1,0,7,0
720,1,1,-5.395,17.279,-0.50,1.61,-0.50,1.61,INF,-1,0,7,0
740,1,1,-3.630,17.445,-0.34,1.63,-0.34,1.63,INF,-1,0,7,0
760,1,1,-27.639,13.793,-2.58,1.29,-2.58,1.29,INF,-1,0,7,0
780,1,1,-36.011,10.889,-3.36,1.02,-3.36,1.02,INF,-1,0,7,0
800,1,1,-32.902,11.417,-3.07,1.07,-3.07,1.07,INF,-1,0,7,0
820,1,1,-32.593,11.413,-3.04,1.07,-3.04,1.07,INF,-1,0,7,0
840,1,1,-32.978,11.984,-3.08,1.12,-3.08,1.12,INF,-1,0,7,0
860,1,1,-34.403,9.896,-3.21,0.92,-3.21,0.92,INF,-1,0,7,0
880,1,1,-33.656,11.152,-3.14,1.04,-3.14,1.04,INF,-1,0,7,0
900,1,1,-34.699,12.128,-3.24,1.13,-3.24,1.13,INF,-1,0,7,0
920,1,1,-35.253,10.537,-3.29,0.98,-3.29,0.98,INF,-1,0,7,0
940,1,1,-32.302,9.783,-3.02,0.91,-3.02,0.91,INF,-1,0,7,0
960,1,1,-35.118,10.868,-3.28,1.01,-3.28,1.02,INF,-1,1,7,0
980,1,1,-33.606,10.660,-3.14,0.99,-3.14,1.00,INF,-1,1,7,0
1000,1,1,-34.428,9.995,-3.21,0.93,-3.21,0.93,INF,-1,1,7,0
1020,1,1,-35.172,10.959,-3.28,1.02,-3.28,1.02,INF,-1,1,7,0
1040,1,1,-36.216,10.685,-3.38,1.00,-3.38,1.00,INF,-1,1,7,0
1060,1,1,-37.011,11.487,-3.46,1.07,-3.45,1.07,INF,-1,1,7,0
1080,1,1,-35.097,10.892,-3.28,1.02,-3.28,1.02,INF,-1,1,7,0
1100,1,1,-35.007,10.508,-3.27,0.98,-3.27,0.98,INF,-1,1,7,0
1120,1,1,-33.247,9.795,-3.10,0.91,-3.10,0.92,INF,-1,1,7,0
1140,1,1,-33.375,9.442,-3.12,0.88,-3.12,0.88,INF,-1,1,7,0
1160,1,1,-32.963,9.652,-3.08,0.90,-3.08,0.90,INF,-1,1,7,0
1180,1,1,-33.905,9.276,-3.17,0.87,-3.17,0.87,INF,-1,1,7,0
1200,1,1,-32.903,11.054,-3.07,1.03,-3.07,1.03,INF,-1,1,7,0
1220,1,1,-33.637,9.841,-3.14,0.92,-3.14,0.92,INF,-1,1,7,0
1240,1,1,-34.634,9.240,-3.23,0.86,-3.23,0.86,INF,-1,1,7,0
1260,1,1,-34.643,9.452,-3.23,0.88,-3.23,0.88,INF,-1,1,7,0
