"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04835
CalibrationParameters_A12,0.06428
CalibrationParameters_A13,0.01163
CalibrationParameters_A21,0.06404
CalibrationParameters_A22,-1.09808
CalibrationParameters_A23,-0.00222
CalibrationParameters_A31,0.00017
CalibrationParameters_A32,-0.00254
CalibrationParameters_E11,-0.17997
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.19987
CalibrationParameters_X,9.09285
CalibrationParameters_Y,-37.91408
CalibrationParameters_Rpc,93.60696
CalibrationParameters_MeanX,109.03298
CalibrationParameters_MeanY,104.47297
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-98.013,123.234,-9.08,11.23,-8.91,11.37,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,1,1,-127.674,114.051,-11.77,10.32,-11.57,10.54,INF,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,1,1,7.744,-0.216,0.72,-0.02,0.72,-0.02,INF,-1,0,7,0
240,1,1,8.192,1.674,0.77,0.16,0.77,0.16,INF,-1,0,7,0
260,1,1,8.008,-0.574,0.75,-0.05,0.75,-0.05,INF,-1,0,7,0
280,1,1,1.136,-0.344,0.11,-0.03,0.11,-0.03,INF,-1,0,7,0
300,1,1,-7.072,-1.847,-0.66,-0.17,-0.66,-0.17,INF,-1,0,7,0
320,1,1,-11.451,1.367,-1.07,0.13,-1.07,0.13,INF,-1,0,7,0
340,1,1,-11.649,1.461,-1.09,0.14,-1.09,0.14,INF,-1,0,7,0
360,1,1,-10.955,0.699,-1.02,0.07,-1.02,0.07,INF,-1,0,7,0
380,1,1,-11.421,0.043,-1.07,0.00,-1.07,0.00,INF,-1,0,7,0
400,1,1,-11.714,-0.348,-1.09,-0.03,-1.09,-0.03,INF,-1,0,7,0
420,1,1,-9.741,-0.486,-0.91,-0.05,-0.91,-0.05,INF,-1,0,7,0
440,1,1,-8.926,0.016,-0.83,0.00,-0.83,0.00,INF,-1,0,7,0
460,1,1,-13.168,0.388,-1.23,0.04,-1.23,0.04,INF,-1,0,7,0
480,1,1,-24.068,2.371,-2.25,0.22,-2.25,0.22,INF,-1,0,7,0
500,1,1,-25.062,3.688,-2.34,0.34,-2.34,0.34,INF,-1,0,7,0
520,1,1,-22.682,1.880,-2.12,0.18,-2.12,0.18,INF,-1,0,7,0
540,1,1,-24.517,2.894,-2.29,0.27,-2.29,0.27,INF,-1,0,7,0
560,1,1,-19.177,3.015,-1.79,0.28,-1.79,0.28,INF,-1,1,7,0
580,1,1,-25.747,2.239,-2.41,0.21,-2.41,0.21,INF,-1,1,7,0
600,1,1,-25.183,2.616,-2.35,0.24,-2.35,0.24,INF,-1,1,7,0
620,1,1,-26.647,0.758,-2.49,0.07,-2.49,0.07,INF,-1,0,7,0
640,1,1,-23.710,1.363,-2.21,0.13,-2.21,0.13,INF,-1,0,7,0
660,1,1,-24.799,4.089,-2.32,0.38,-2.32,0.38,INF,-1,0,7,0
680,1,1,-24.500,1.813,-2.29,0.17,-2.29,0.17,INF,-1,0,7,0
700,1,1,-25.430,2.720,-2.38,0.25,-2.38,0.25,INF,-1,0,7,0
720,1,1,-23.370,-0.304,-2.18,-0.03,-2.18,-0.03,INF,-1,0,7,0
740,1,1,-23.919,0.297,-2.23,0.03,-2.23,0.03,INF,-1,0,7,0
760,1,1,-23.094,-0.926,-2.16,-0.09,-2.16,-0.09,INF,-1,0,7,0
780,1,1,-24.219,0.464,-2.26,0.04,-2.26,0.04,INF,-1,0,7,0
800,1,1,-23.877,-0.199,-2.23,-0.02,-2.23,-0.02,INF,-1,0,7,0
820,1,1,-21.824,-2.179,-2.04,-0.20,-2.04,-0.20,INF,-1,0,7,0
840,1,1,-26.179,1.666,-2.45,0.16,-2.45,0.16,INF,-1,0,7,0
860,1,1,-25.178,0.956,-2.35,0.09,-2.35,0.09,INF,-1,1,7,0
880,1,1,-21.361,2.260,-2.00,0.21,-2.00,0.21,INF,-1,1,7,0
900,1,1,-21.562,1.124,-2.01,0.11,-2.01,0.11,INF,-1,1,7,0
920,1,1,-23.573,-0.438,-2.20,-0.04,-2.20,-0.04,INF,-1,1,7,0
940,1,1,-29.983,2.243,-2.80,0.21,-2.80,0.21,INF,-1,1,7,0
960,1,1,-27.289,2.036,-2.55,0.19,-2.55,0.19,INF,-1,1,7,0
980,1,1,-27.874,0.700,-2.60,0.07,-2.60,0.07,INF,-1,1,7,0
1000,1,1,-27.735,1.364,-2.59,0.13,-2.59,0.13,INF,-1,1,7,0
1020,1,1,-25.160,2.022,-2.35,0.19,-2.35,0.19,INF,-1,1,7,0
1040,1,1,-27.778,2.157,-2.59,0.20,-2.59,0.20,INF,-1,1,7,0
1060,1,1,-27.654,3.952,-2.58,0.37,-2.58,0.37,INF,-1,1,7,0
1080,1,1,-30.027,4.303,-2.80,0.40,-2.80,0.40,INF,-1,1,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1120,1,1,-28.782,3.371,-2.69,0.31,-2.69,0.32,INF,-1,1,7,0
1140,1,1,-26.568,3.375,-2.48,0.32,-2.48,0.32,INF,-1,1,7,0
1160,1,1,-29.287,3.178,-2.74,0.30,-2.74,0.30,INF,-1,1,7,0
1180,1,1,-18.172,4.679,-1.70,0.44,-1.70,0.44,INF,-1,1,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1300,1,1,-13.610,-13.397,-1.27,-1.25,-1.27,-1.25,INF,-1,0,7,0
1320,1,1,-11.409,-2.369,-1.07,-0.22,-1.07,-0.22,INF,-1,0,7,0
1340,1,1,-13.401,-5.560,-1.25,-0.52,-1.25,-0.52,INF,-1,0,7,0
1360,1,1,-17.871,2.414,-1.67,0.23,-1.67,0.23,INF,-1,0,7,0
1380,1,1,-17.007,-1.433,-1.59,-0.13,-1.59,-0.13,INF,-1,0,7,0
1400,1,1,-17.850,-0.752,-1.67,-0.07,-1.67,-0.07,INF,-1,0,7,0
1420,1,1,-18.898,-1.477,-1.77,-0.14,-1.77,-0.14,INF,-1,0,7,0
1440,1,1,-16.977,-0.356,-1.59,-0.03,-1.59,-0.03,INF,-1,0,7,0
1460,1,1,-17.719,-0.531,-1.66,-0.05,-1.66,-0.05,INF,-1,0,7,0
