"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06953
CalibrationParameters_A12,0.05272
CalibrationParameters_A13,-0.00967
CalibrationParameters_A21,0.05568
CalibrationParameters_A22,-1.04746
CalibrationParameters_A23,0.00696
CalibrationParameters_A31,-0.00007
CalibrationParameters_A32,-0.00059
CalibrationParameters_E11,-0.18002
CalibrationParameters_E12,0.00015
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20006
CalibrationParameters_X,5.03238
CalibrationParameters_Y,-30.82436
CalibrationParameters_Rpc,93.49584
CalibrationParameters_MeanX,128.03466
CalibrationParameters_MeanY,127.99001
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,-7.692,12.719,-0.72,1.19,-0.72,1.19,INF,-1,0,7,0
60,1,1,-13.126,14.848,-1.23,1.39,-1.23,1.39,INF,-1,0,7,0
80,1,1,-13.295,15.650,-1.24,1.46,-1.24,1.46,INF,-1,0,7,0
100,1,1,-8.762,11.965,-0.82,1.12,-0.82,1.12,INF,-1,0,7,0
120,1,1,-11.890,13.042,-1.11,1.22,-1.11,1.22,INF,-1,0,7,0
140,1,1,-7.487,12.194,-0.70,1.14,-0.70,1.14,INF,-1,0,7,0
160,1,1,-12.834,14.438,-1.20,1.35,-1.20,1.35,INF,-1,0,7,0
180,1,1,-9.681,13.221,-0.90,1.24,-0.90,1.24,INF,-1,0,7,0
200,1,1,-10.441,12.405,-0.98,1.16,-0.98,1.16,INF,-1,0,7,0
220,1,1,-9.675,11.611,-0.90,1.09,-0.90,1.09,INF,-1,0,7,0
240,1,1,-8.922,12.763,-0.83,1.19,-0.83,1.19,INF,-1,0,7,0
260,1,1,-11.437,12.978,-1.07,1.21,-1.07,1.21,INF,-1,0,7,0
280,1,1,-7.878,8.995,-0.74,0.84,-0.74,0.84,INF,-1,0,7,0
300,1,1,-8.274,10.519,-0.77,0.98,-0.77,0.98,INF,-1,0,7,0
320,1,1,-8.741,6.880,-0.82,0.64,-0.82,0.64,INF,-1,1,7,0
340,1,1,-10.773,9.918,-1.01,0.93,-1.01,0.93,INF,-1,1,7,0
360,1,1,-6.366,10.768,-0.59,1.01,-0.59,1.01,INF,-1,1,7,0
380,1,1,-11.270,11.292,-1.05,1.06,-1.05,1.06,INF,-1,1,7,0
400,1,1,-8.177,8.957,-0.76,0.84,-0.76,0.84,INF,-1,1,7,0
420,1,1,-8.202,8.295,-0.77,0.78,-0.77,0.78,INF,-1,1,7,0
440,1,1,-7.541,9.386,-0.70,0.88,-0.70,0.88,INF,-1,1,7,0
460,1,1,-12.164,9.778,-1.14,0.91,-1.14,0.91,INF,-1,1,7,0
480,1,1,-10.669,9.700,-1.00,0.91,-1.00,0.91,INF,-1,1,7,0
500,1,1,-8.601,10.794,-0.80,1.01,-0.80,1.01,INF,-1,1,7,0
520,1,1,-13.037,10.818,-1.22,1.01,-1.22,1.01,INF,-1,1,7,0
540,1,1,-9.186,9.659,-0.86,0.90,-0.86,0.90,INF,-1,1,7,0
560,1,1,-7.839,8.583,-0.73,0.80,-0.73,0.80,INF,-1,1,7,0
580,1,1,-12.957,10.076,-1.21,0.94,-1.21,0.94,INF,-1,1,7,0
600,1,1,-4.102,6.963,-0.38,0.65,-0.38,0.65,INF,-1,1,7,0
620,1,1,1.645,10.072,0.15,0.94,0.15,0.94,INF,-1,1,7,0
640,1,1,5.484,10.656,0.51,1.00,0.51,1.00,INF,-1,1,7,0
660,1,1,-0.660,11.445,-0.06,1.07,-0.06,1.07,INF,-1,1,7,0
680,1,1,-0.405,10.214,-0.04,0.95,-0.04,0.95,INF,-1,1,7,0
700,1,1,0.788,12.018,0.07,1.12,0.07,1.12,INF,-1,1,7,0
720,1,1,-1.760,10.977,-0.16,1.03,-0.16,1.03,INF,-1,1,7,0
740,1,1,-0.643,9.076,-0.06,0.85,-0.06,0.85,INF,-1,1,7,0
760,1,1,2.228,10.978,0.21,1.03,0.21,1.03,INF,-1,1,7,0
780,1,1,3.298,11.212,0.31,1.05,0.31,1.05,INF,-1,0,7,0
800,1,1,-0.118,11.513,-0.01,1.08,-0.01,1.08,INF,-1,0,7,0
820,1,1,0.987,6.746,0.09,0.63,0.09,0.63,INF,-1,0,7,0
840,1,1,3.883,10.884,0.36,1.02,0.36,1.02,INF,-1,0,7,0
860,1,1,2.066,10.613,0.19,0.99,0.19,0.99,INF,-1,0,7,0
880,1,1,1.485,10.699,0.14,1.00,0.14,1.00,INF,-1,0,7,0
900,1,1,2.383,10.174,0.22,0.95,0.22,0.95,INF,-1,0,7,0
920,1,1,1.385,8.227,0.13,0.77,0.13,0.77,INF,-1,0,7,0
940,1,1,0.151,11.604,0.01,1.08,0.01,1.08,INF,-1,0,7,0
960,1,1,-1.498,10.905,-0.14,1.02,-0.14,1.02,INF,-1,0,7,0
980,1,1,1.860,8.616,0.17,0.81,0.17,0.81,INF,-1,0,7,0
1000,1,1,-0.746,8.615,-0.07,0.81,-0.07,0.81,INF,-1,0,7,0
1020,1,1,-0.532,11.401,-0.05,1.07,-0.05,1.07,INF,-1,1,7,0
1040,1,1,-0.962,11.897,-0.09,1.11,-0.09,1.11,INF,-1,1,7,0
1060,1,1,0.281,10.584,0.03,0.99,0.03,0.99,INF,-1,1,7,0
1080,1,1,0.411,11.198,0.04,1.05,0.04,1.05,INF,-1,1,7,0
1100,1,1,1.500,11.077,0.14,1.04,0.14,1.04,INF,-1,1,7,0
1120,1,1,42.100,3.345,3.93,0.31,3.93,0.31,INF,-1,1,7,0
1140,1,1,61.908,-0.849,5.77,-0.08,5.77,-0.08,INF,-1,1,7,0
1160,1,1,52.513,-0.354,4.90,-0.03,4.90,-0.03,INF,-1,0,7,0
1180,1,1,51.910,1.352,4.84,0.13,4.84,0.13,INF,-1,0,7,0
1200,1,1,56.232,0.217,5.24,0.02,5.24,0.02,INF,-1,0,7,0
1220,1,1,57.668,-0.258,5.37,-0.02,5.37,-0.02,INF,-1,0,7,0
1240,1,1,54.698,0.840,5.10,0.08,5.10,0.08,INF,-1,0,7,0
1260,1,1,55.985,0.674,5.22,0.06,5.22,0.06,INF,-1,0,7,0
1280,1,1,59.357,0.138,5.53,0.01,5.53,0.01,INF,-1,0,7,0
1300,1,1,54.996,1.204,5.13,0.11,5.13,0.11,INF,-1,0,7,0
1320,1,1,51.964,-1.418,4.85,-0.13,4.85,-0.13,INF,-1,0,7,0
1340,1,1,56.860,-0.045,5.30,0.00,5.30,0.00,INF,-1,0,7,0
1360,1,1,53.303,0.961,4.97,0.09,4.97,0.09,INF,-1,0,7,0
1380,1,1,55.014,3.002,5.13,0.28,5.13,0.28,INF,-1,0,7,0
1400,1,1,56.466,0.452,5.26,0.04,5.26,0.04,INF,-1,0,7,0
