"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04878
CalibrationParameters_A12,0.05648
CalibrationParameters_A13,-0.00395
CalibrationParameters_A21,0.06002
CalibrationParameters_A22,-1.07074
CalibrationParameters_A23,-0.00169
CalibrationParameters_A31,-0.00001
CalibrationParameters_A32,-0.00101
CalibrationParameters_E11,-0.17992
CalibrationParameters_E12,0.00010
CalibrationParameters_E21,0.00002
CalibrationParameters_E22,0.20007
CalibrationParameters_X,5.38334
CalibrationParameters_Y,-33.56167
CalibrationParameters_Rpc,92.84102
CalibrationParameters_MeanX,132.41365
CalibrationParameters_MeanY,112.08654
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,24.234,-13.871,2.26,-1.30,2.26,-1.30,INF,-1,0,7,0
60,1,1,26.050,-13.595,2.43,-1.27,2.43,-1.27,INF,-1,0,7,0
80,1,1,22.156,-13.603,2.07,-1.27,2.07,-1.27,INF,-1,0,7,0
100,1,1,22.396,-14.255,2.09,-1.33,2.09,-1.33,INF,-1,0,7,0
120,1,1,23.189,-14.501,2.17,-1.35,2.17,-1.36,INF,-1,0,7,0
140,1,1,20.815,-13.218,1.94,-1.23,1.94,-1.24,INF,-1,0,7,0
160,1,1,23.646,-14.606,2.21,-1.36,2.21,-1.36,INF,-1,0,7,0
180,1,1,22.664,-14.638,2.12,-1.37,2.12,-1.37,INF,-1,0,7,0
200,1,1,22.149,-14.589,2.07,-1.36,2.07,-1.36,INF,-1,0,7,0
220,1,1,20.751,-13.015,1.94,-1.22,1.94,-1.22,INF,-1,0,7,0
240,1,1,1.535,-8.331,0.14,-0.78,0.14,-0.78,INF,-1,0,7,0
260,1,1,-4.805,-7.465,-0.45,-0.70,-0.45,-0.70,INF,-1,0,7,0
280,1,1,-4.760,-9.374,-0.44,-0.88,-0.44,-0.88,INF,-1,0,7,0
300,1,1,-3.213,-7.177,-0.30,-0.67,-0.30,-0.67,INF,-1,0,7,0
320,1,1,-4.197,-7.287,-0.39,-0.68,-0.39,-0.68,INF,-1,0,7,0
340,1,1,-3.708,-9.314,-0.35,-0.87,-0.35,-0.87,INF,-1,0,7,0
360,1,1,-1.872,-7.679,-0.17,-0.72,-0.17,-0.72,INF,-1,0,7,0
380,1,1,-4.406,-7.231,-0.41,-0.68,-0.41,-0.68,INF,-1,0,7,0
400,1,1,-0.679,0.364,-0.06,0.03,-0.06,0.03,INF,-1,0,7,0
420,1,1,4.488,1.475,0.42,0.14,0.42,0.14,INF,-1,0,7,0
440,1,1,-1.380,2.288,-0.13,0.21,-0.13,0.21,INF,-1,0,7,0
460,1,1,-0.824,1.606,-0.08,0.15,-0.08,0.15,INF,-1,1,7,0
480,1,1,-3.574,4.483,-0.33,0.42,-0.33,0.42,INF,-1,1,7,0
500,1,1,-2.728,2.926,-0.25,0.27,-0.25,0.27,INF,-1,1,7,0
520,1,1,-1.680,2.294,-0.16,0.21,-0.16,0.21,INF,-1,0,7,0
540,1,1,-2.189,0.573,-0.20,0.05,-0.20,0.05,INF,-1,0,7,0
560,1,1,-3.019,1.120,-0.28,0.10,-0.28,0.10,INF,-1,0,7,0
580,1,1,1.313,8.010,0.12,0.75,0.12,0.75,INF,-1,0,7,0
600,1,1,-0.754,14.365,-0.07,1.34,-0.07,1.34,INF,-1,0,7,0
620,1,1,1.357,12.668,0.13,1.18,0.13,1.18,INF,-1,0,7,0
640,1,1,-2.354,14.319,-0.22,1.34,-0.22,1.34,INF,-1,0,7,0
660,1,1,0.665,14.208,0.06,1.33,0.06,1.33,INF,-1,0,7,0
680,1,1,1.028,12.706,0.10,1.19,0.10,1.19,INF,-1,0,7,0
700,1,1,1.930,13.338,0.18,1.25,0.18,1.25,INF,-1,0,7,0
720,1,1,1.873,11.965,0.18,1.12,0.18,1.12,INF,-1,0,7,0
740,1,1,1.973,12.534,0.18,1.17,0.18,1.17,INF,-1,0,7,0
760,1,1,0.292,14.978,0.03,1.40,0.03,1.40,INF,-1,1,7,0
780,1,1,0.389,13.717,0.04,1.28,0.04,1.28,INF,-1,1,7,0
800,1,1,3.637,11.399,0.34,1.07,0.34,1.07,INF,-1,1,7,0
820,1,1,1.118,12.257,0.10,1.15,0.10,1.15,INF,-1,1,7,0
840,1,1,2.388,12.352,0.22,1.15,0.22,1.15,INF,-1,1,7,0
860,1,1,5.260,12.453,0.49,1.16,0.49,1.16,INF,-1,1,7,0
880,1,1,3.167,12.050,0.30,1.13,0.30,1.13,INF,-1,1,7,0
900,1,1,0.105,11.999,0.01,1.12,0.01,1.12,INF,-1,1,7,0
920,1,1,1.776,12.698,0.17,1.19,0.17,1.19,INF,-1,1,7,0
940,1,1,0.103,12.012,0.01,1.12,0.01,1.12,INF,-1,1,7,0
960,1,1,1.197,10.577,0.11,0.99,0.11,0.99,INF,-1,1,7,0
980,1,1,1.941,11.598,0.18,1.08,0.18,1.08,INF,-1,1,7,0
1000,1,1,3.023,9.877,0.28,0.92,0.28,0.92,INF,-1,1,7,0
1020,1,1,2.622,13.465,0.25,1.26,0.25,1.26,INF,-1,1,7,0
1040,1,1,1.179,12.918,0.11,1.21,0.11,1.21,INF,-1,1,7,0
1060,1,1,2.616,12.330,0.24,1.15,0.24,1.15,INF,-1,1,7,0
1080,1,1,6.683,11.674,0.62,1.09,0.62,1.09,INF,-1,1,7,0
1100,1,1,2.761,13.978,0.26,1.31,0.26,1.31,INF,-1,1,7,0
1120,1,1,0.020,11.647,0.00,1.09,0.00,1.09,INF,-1,1,7,0
1140,1,1,0.649,12.556,0.06,1.17,0.06,1.17,INF,-1,1,7,0
1160,1,1,1.195,11.017,0.11,1.03,0.11,1.03,INF,-1,1,7,0
1180,1,1,1.505,11.593,0.14,1.08,0.14,1.08,INF,-1,1,7,0
1200,1,1,1.594,11.396,0.15,1.07,0.15,1.07,INF,-1,1,7,0
1220,1,1,1.590,11.331,0.15,1.06,0.15,1.06,INF,-1,1,7,0
1240,1,1,2.240,11.661,0.21,1.09,0.21,1.09,INF,-1,1,7,0
1260,1,1,0.865,12.228,0.08,1.14,0.08,1.14,INF,-1,1,7,0
1280,1,1,3.990,11.073,0.37,1.03,0.37,1.03,INF,-1,1,7,0
1300,1,1,0.304,11.983,0.03,1.12,0.03,1.12,INF,-1,1,7,0
1320,1,1,-0.143,12.269,-0.01,1.15,-0.01,1.15,INF,-1,1,7,0
1340,1,1,1.554,11.381,0.15,1.06,0.15,1.06,INF,-1,1,7,0
1360,1,1,3.706,12.437,0.35,1.16,0.35,1.16,INF,-1,1,7,0
1380,1,1,0.538,10.346,0.05,0.97,0.05,0.97,INF,-1,1,7,0
1400,1,1,0.764,10.487,0.07,0.98,0.07,0.98,INF,-1,1,7,0
