"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05223
CalibrationParameters_A12,0.05317
CalibrationParameters_A13,0.04841
CalibrationParameters_A21,0.07439
CalibrationParameters_A22,-1.04984
CalibrationParameters_A23,-0.04804
CalibrationParameters_A31,0.00042
CalibrationParameters_A32,-0.00003
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.19991
CalibrationParameters_X,7.26093
CalibrationParameters_Y,-27.87403
CalibrationParameters_Rpc,92.12650
CalibrationParameters_MeanX,129.19475
CalibrationParameters_MeanY,141.60070
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-7.142,-12.261,-0.67,-1.15,-0.67,-1.15,INF,-1,0,7,0
20,1,1,-8.687,-13.012,-0.81,-1.22,-0.81,-1.22,INF,-1,0,7,0
40,1,1,-9.616,-11.132,-0.90,-1.04,-0.90,-1.04,INF,-1,0,7,0
60,1,1,-7.480,-11.235,-0.70,-1.05,-0.70,-1.05,INF,-1,0,7,0
80,1,1,-4.637,-12.380,-0.43,-1.16,-0.43,-1.16,INF,-1,0,7,0
100,1,1,-6.627,-12.626,-0.62,-1.18,-0.62,-1.18,INF,-1,0,7,0
120,1,1,-7.758,-11.621,-0.73,-1.09,-0.72,-1.09,INF,-1,0,7,0
140,1,1,-7.046,-13.540,-0.66,-1.27,-0.66,-1.27,INF,-1,0,7,0
160,1,1,-7.651,-12.513,-0.72,-1.17,-0.71,-1.17,INF,-1,0,7,0
180,1,1,-6.874,-13.948,-0.64,-1.30,-0.64,-1.30,INF,-1,0,7,0
200,1,1,-6.427,-13.148,-0.60,-1.23,-0.60,-1.23,INF,-1,0,7,0
220,1,1,-5.866,-13.814,-0.55,-1.29,-0.55,-1.29,INF,-1,0,7,0
240,1,1,-5.770,-13.780,-0.54,-1.29,-0.54,-1.29,INF,-1,0,7,0
260,1,1,-5.591,-13.214,-0.52,-1.23,-0.52,-1.23,INF,-1,0,7,0
280,1,1,-4.974,-13.425,-0.46,-1.25,-0.46,-1.25,INF,-1,1,7,0
300,1,1,-13.941,-2.363,-1.30,-0.22,-1.30,-0.22,INF,-1,1,7,0
320,1,1,-20.022,0.075,-1.87,0.01,-1.87,0.01,INF,-1,1,7,0
340,1,1,-18.831,-1.083,-1.76,-0.10,-1.76,-0.10,INF,-1,0,7,0
360,1,1,-19.252,-1.697,-1.80,-0.16,-1.80,-0.16,INF,-1,0,7,0
380,1,1,-19.484,-1.830,-1.82,-0.17,-1.82,-0.17,INF,-1,0,7,0
400,1,1,-19.569,-0.328,-1.83,-0.03,-1.83,-0.03,INF,-1,0,7,0
420,1,1,-18.265,-0.955,-1.71,-0.09,-1.71,-0.09,INF,-1,0,7,0
440,1,1,-19.417,-1.783,-1.81,-0.17,-1.81,-0.17,INF,-1,0,7,0
460,1,1,-22.096,-0.725,-2.06,-0.07,-2.06,-0.07,INF,-1,0,7,0
480,1,1,-21.809,-0.807,-2.04,-0.08,-2.04,-0.08,INF,-1,0,7,0
500,1,1,-21.602,-3.237,-2.02,-0.30,-2.02,-0.30,INF,-1,0,7,0
520,1,1,-5.630,4.780,-0.53,0.45,-0.53,0.45,INF,-1,0,7,0
540,1,1,-2.531,3.051,-0.24,0.29,-0.24,0.29,INF,-1,0,7,0
560,1,1,-3.385,5.051,-0.32,0.47,-0.32,0.47,INF,-1,0,7,0
580,1,1,-2.680,5.850,-0.25,0.55,-0.25,0.55,INF,-1,0,7,0
600,1,1,-2.274,5.980,-0.21,0.56,-0.21,0.56,INF,-1,0,7,0
620,1,1,-3.716,7.850,-0.35,0.73,-0.35,0.73,INF,-1,0,7,0
640,1,1,-3.156,6.217,-0.30,0.58,-0.29,0.58,INF,-1,0,7,0
660,1,1,-2.605,6.772,-0.24,0.63,-0.24,0.63,INF,-1,1,7,0
680,1,1,-2.494,5.996,-0.23,0.56,-0.23,0.56,INF,-1,1,7,0
700,1,1,-0.914,6.029,-0.09,0.56,-0.09,0.56,INF,-1,1,7,0
720,1,1,-3.629,6.727,-0.34,0.63,-0.34,0.63,INF,-1,1,7,0
740,1,1,-0.280,5.982,-0.03,0.56,-0.03,0.56,INF,-1,1,7,0
760,1,1,-1.946,7.413,-0.18,0.69,-0.18,0.69,INF,-1,1,7,0
780,1,1,-1.216,6.284,-0.11,0.59,-0.11,0.59,INF,-1,0,7,0
800,1,1,-3.062,7.526,-0.29,0.70,-0.29,0.70,INF,-1,0,7,0
820,1,1,-2.254,5.166,-0.21,0.48,-0.21,0.48,INF,-1,0,7,0
840,1,1,-11.536,6.998,-1.08,0.65,-1.08,0.65,INF,-1,0,7,0
860,1,1,-25.908,7.844,-2.42,0.73,-2.42,0.73,INF,-1,0,7,0
880,1,1,-24.864,11.027,-2.32,1.03,-2.32,1.03,INF,-1,0,7,0
900,1,1,-23.526,9.769,-2.20,0.91,-2.20,0.91,INF,-1,0,7,0
920,1,1,-25.588,10.322,-2.39,0.96,-2.39,0.96,INF,-1,0,7,0
940,1,1,-23.197,10.208,-2.17,0.95,-2.17,0.95,INF,-1,0,7,0
960,1,1,-23.990,10.938,-2.24,1.02,-2.24,1.02,INF,-1,0,7,0
980,1,1,-25.470,11.074,-2.38,1.03,-2.38,1.03,INF,-1,0,7,0
1000,1,1,-26.994,8.621,-2.52,0.80,-2.52,0.81,INF,-1,0,7,0
1020,1,1,-22.451,9.898,-2.10,0.92,-2.10,0.93,INF,-1,0,7,0
1040,1,1,-27.382,10.765,-2.56,1.01,-2.56,1.01,INF,-1,0,7,0
1060,1,1,-23.849,9.651,-2.23,0.90,-2.23,0.90,INF,-1,0,7,0
1080,1,1,-25.659,9.590,-2.40,0.90,-2.40,0.90,INF,-1,0,7,0
1100,1,1,-23.872,7.854,-2.23,0.73,-2.23,0.73,INF,-1,0,7,0
1120,1,1,-25.840,8.915,-2.41,0.83,-2.41,0.83,INF,-1,1,7,0
1140,1,1,-33.050,9.643,-3.09,0.90,-3.09,0.90,INF,-1,1,7,0
1160,1,1,-33.026,10.404,-3.08,0.97,-3.08,0.97,INF,-1,1,7,0
1180,1,1,-33.680,9.665,-3.14,0.90,-3.14,0.90,INF,-1,1,7,0
1200,1,1,-27.372,10.601,-2.56,0.99,-2.56,0.99,INF,-1,1,7,0
1220,1,1,-33.095,11.812,-3.09,1.10,-3.09,1.10,INF,-1,1,7,0
1240,1,1,-32.063,12.691,-2.99,1.18,-2.99,1.19,INF,-1,1,7,0
1260,1,1,-30.410,8.874,-2.84,0.83,-2.84,0.83,INF,-1,1,7,0
1280,1,1,-32.514,11.613,-3.04,1.08,-3.04,1.09,INF,-1,1,7,0
1300,1,1,-33.078,9.862,-3.09,0.92,-3.09,0.92,INF,-1,1,7,0
1320,1,1,-31.753,12.269,-2.97,1.15,-2.96,1.15,INF,-1,1,7,0
1340,1,1,-31.227,10.810,-2.92,1.01,-2.92,1.01,INF,-1,1,7,0
1360,1,1,-33.768,10.390,-3.15,0.97,-3.15,0.97,INF,-1,1,7,0
1380,1,1,-33.059,11.271,-3.09,1.05,-3.09,1.05,INF,-1,1,7,0
