"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05677
CalibrationParameters_A12,0.03649
CalibrationParameters_A13,-0.00766
CalibrationParameters_A21,0.06263
CalibrationParameters_A22,-1.08955
CalibrationParameters_A23,-0.01253
CalibrationParameters_A31,-0.00001
CalibrationParameters_A32,-0.00181
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00013
CalibrationParameters_E21,-0.00029
CalibrationParameters_E22,0.19992
CalibrationParameters_X,9.06419
CalibrationParameters_Y,-36.39719
CalibrationParameters_Rpc,93.72183
CalibrationParameters_MeanX,107.31665
CalibrationParameters_MeanY,111.40383
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-4.809,7.319,-0.45,0.68,-0.45,0.68,INF,-1,0,7,0
20,1,1,-0.767,9.195,-0.07,0.86,-0.07,0.86,INF,-1,0,7,0
40,1,1,-3.437,9.184,-0.32,0.86,-0.32,0.86,INF,-1,0,7,0
60,1,1,-2.842,6.464,-0.27,0.60,-0.27,0.60,INF,-1,0,7,0
80,1,1,-1.165,7.740,-0.11,0.72,-0.11,0.72,INF,-1,0,7,0
100,1,1,-3.324,6.518,-0.31,0.61,-0.31,0.61,INF,-1,0,7,0
120,1,1,-3.179,5.949,-0.30,0.56,-0.30,0.56,INF,-1,0,7,0
140,1,1,-3.205,6.874,-0.30,0.64,-0.30,0.64,INF,-1,0,7,0
160,1,1,-3.578,6.253,-0.33,0.58,-0.33,0.58,INF,-1,0,7,0
180,1,1,-5.373,6.681,-0.50,0.62,-0.50,0.62,INF,-1,0,7,0
200,1,1,-0.310,3.797,-0.03,0.35,-0.03,0.35,INF,-1,0,7,0
220,1,1,2.167,3.963,0.20,0.37,0.20,0.37,INF,-1,0,7,0
240,1,1,-1.882,4.833,-0.18,0.45,-0.18,0.45,INF,-1,0,7,0
260,1,1,-5.066,4.860,-0.47,0.45,-0.47,0.45,INF,-1,0,7,0
280,1,1,-18.052,13.417,-1.69,1.25,-1.69,1.25,INF,-1,1,7,0
300,1,1,-16.930,12.736,-1.58,1.19,-1.58,1.19,INF,-1,1,7,0
320,1,1,-19.259,10.221,-1.80,0.95,-1.80,0.96,INF,-1,0,7,0
340,1,1,-18.729,10.528,-1.75,0.98,-1.75,0.98,INF,-1,0,7,0
360,1,1,-17.190,12.290,-1.61,1.15,-1.61,1.15,INF,-1,0,7,0
380,1,1,-20.906,8.724,-1.95,0.81,-1.95,0.82,INF,-1,0,7,0
400,1,1,-20.172,8.207,-1.88,0.77,-1.88,0.77,INF,-1,0,7,0
420,1,1,-17.138,9.950,-1.60,0.93,-1.60,0.93,INF,-1,0,7,0
440,1,1,-18.999,9.348,-1.78,0.87,-1.78,0.87,INF,-1,0,7,0
460,1,1,-20.345,9.732,-1.90,0.91,-1.90,0.91,INF,-1,0,7,0
480,1,1,-21.900,15.363,-2.05,1.43,-2.05,1.44,INF,-1,0,7,0
500,1,1,-19.895,14.170,-1.86,1.32,-1.86,1.32,INF,-1,0,7,0
520,1,1,-22.803,13.504,-2.13,1.26,-2.13,1.26,INF,-1,0,7,0
540,1,1,-21.456,13.645,-2.00,1.27,-2.00,1.28,INF,-1,0,7,0
560,1,1,-18.574,13.460,-1.74,1.26,-1.74,1.26,INF,-1,1,7,0
580,1,1,-24.626,14.695,-2.30,1.37,-2.30,1.37,INF,-1,1,7,0
600,1,1,-24.056,14.903,-2.25,1.39,-2.25,1.39,INF,-1,1,7,0
620,1,1,-25.387,16.573,-2.37,1.55,-2.37,1.55,INF,-1,1,7,0
640,1,1,-22.993,15.626,-2.15,1.46,-2.15,1.46,INF,-1,1,7,0
660,1,1,-0.423,12.689,-0.04,1.19,-0.04,1.19,INF,-1,1,7,0
680,1,1,15.010,12.519,1.40,1.17,1.40,1.17,INF,-1,1,7,0
700,1,1,17.844,14.853,1.67,1.39,1.67,1.39,INF,-1,0,7,0
720,1,1,14.720,11.361,1.38,1.06,1.38,1.06,INF,-1,0,7,0
740,1,1,17.392,14.547,1.63,1.36,1.62,1.36,INF,-1,0,7,0
760,1,1,20.064,13.499,1.87,1.26,1.87,1.26,INF,-1,0,7,0
780,1,1,16.972,14.362,1.59,1.34,1.59,1.34,INF,-1,0,7,0
800,1,1,12.649,12.777,1.18,1.19,1.18,1.19,INF,-1,0,7,0
820,1,1,13.763,11.429,1.29,1.07,1.29,1.07,INF,-1,0,7,0
840,1,1,15.337,14.303,1.43,1.34,1.43,1.34,INF,-1,0,7,0
860,1,1,16.144,14.667,1.51,1.37,1.51,1.37,INF,-1,0,7,0
880,1,1,18.211,13.215,1.70,1.23,1.70,1.23,INF,-1,0,7,0
900,1,1,16.566,13.530,1.55,1.26,1.55,1.26,INF,-1,0,7,0
920,1,1,14.909,16.787,1.39,1.57,1.39,1.57,INF,-1,0,7,0
940,1,1,16.014,14.140,1.50,1.32,1.50,1.32,INF,-1,0,7,0
960,1,1,16.897,13.168,1.58,1.23,1.58,1.23,INF,-1,1,7,0
980,1,1,14.670,14.722,1.37,1.38,1.37,1.38,INF,-1,1,7,0
1000,1,1,13.744,10.302,1.28,0.96,1.28,0.96,INF,-1,1,7,0
1020,1,1,-0.150,-7.703,-0.01,-0.72,-0.01,-0.72,INF,-1,1,7,0
1040,1,1,-0.965,-15.221,-0.09,-1.42,-0.09,-1.42,INF,-1,1,7,0
1060,1,1,0.600,-14.026,0.06,-1.31,0.06,-1.31,INF,-1,0,7,0
1080,1,1,-3.829,-15.029,-0.36,-1.40,-0.36,-1.40,INF,-1,0,7,0
1100,1,1,-1.526,-15.107,-0.14,-1.41,-0.14,-1.41,INF,-1,0,7,0
1120,1,1,-0.834,-14.921,-0.08,-1.39,-0.08,-1.39,INF,-1,0,7,0
1140,1,1,0.105,-16.421,0.01,-1.53,0.01,-1.53,INF,-1,0,7,0
1160,1,1,1.163,-15.519,0.11,-1.45,0.11,-1.45,INF,-1,0,7,0
1180,1,1,-1.458,-17.511,-0.14,-1.64,-0.14,-1.64,INF,-1,0,7,0
1200,1,1,1.113,-18.581,0.10,-1.74,0.10,-1.74,INF,-1,0,7,0
1220,1,1,-3.121,-15.444,-0.29,-1.44,-0.29,-1.44,INF,-1,0,7,0
1240,1,1,-3.518,-14.042,-0.33,-1.31,-0.33,-1.31,INF,-1,0,7,0
1260,1,1,-4.325,-16.836,-0.40,-1.57,-0.40,-1.57,INF,-1,0,7,0
1280,1,1,-4.952,-14.808,-0.46,-1.38,-0.46,-1.38,INF,-1,0,7,0
1300,1,1,-16.957,-16.275,-1.58,-1.52,-1.58,-1.52,INF,-1,1,7,0
1320,1,1,-23.059,-26.051,-2.15,-2.43,-2.15,-2.43,INF,-1,1,7,0
1340,1,1,-24.619,-23.923,-2.30,-2.23,-2.30,-2.23,INF,-1,0,7,0
1360,1,1,-20.852,-24.902,-1.95,-2.32,-1.95,-2.33,INF,-1,0,7,0
1380,1,1,-20.220,-24.595,-1.89,-2.30,-1.89,-2.30,INF,-1,0,7,0
1400,1,1,-21.649,-23.817,-2.02,-2.22,-2.02,-2.22,INF,-1,0,7,0
1420,1,1,-23.736,-22.956,-2.22,-2.14,-2.22,-2.14,INF,-1,0,7,0
1440,1,1,-21.569,-25.758,-2.02,-2.40,-2.01,-2.41,INF,-1,0,7,0
1460,1,1,-20.515,-26.913,-1.92,-2.51,-1.91,-2.51,INF,-1,0,7,0
1480,1,1,-21.008,-26.522,-1.96,-2.48,-1.96,-2.48,INF,-1,0,7,0
1500,1,1,-23.222,-23.718,-2.17,-2.21,-2.17,-2.22,INF,-1,0,7,0
1520,1,1,-21.929,-25.723,-2.05,-2.40,-2.05,-2.40,INF,-1,0,7,0
1540,1,1,-21.420,-25.155,-2.00,-2.35,-2.00,-2.35,INF,-1,0,7,0
1560,1,1,-22.684,-23.960,-2.12,-2.24,-2.12,-2.24,INF,-1,0,7,0
1580,1,1,-22.966,-24.946,-2.15,-2.33,-2.14,-2.33,INF,-1,1,7,0
