"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.06953
CalibrationParameters_A12,0.05272
CalibrationParameters_A13,-0.00967
CalibrationParameters_A21,0.05568
CalibrationParameters_A22,-1.04746
CalibrationParameters_A23,0.00696
CalibrationParameters_A31,-0.00007
CalibrationParameters_A32,-0.00059
CalibrationParameters_E11,-0.18002
CalibrationParameters_E12,0.00015
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20006
CalibrationParameters_X,5.03238
CalibrationParameters_Y,-30.82436
CalibrationParameters_Rpc,93.49584
CalibrationParameters_MeanX,128.03466
CalibrationParameters_MeanY,127.99001
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,16.116,0.574,1.51,0.05,1.51,0.05,INF,-1,0,7,0
20,1,1,15.211,-0.001,1.42,0.00,1.42,0.00,INF,-1,0,7,0
40,1,1,15.110,2.708,1.41,0.25,1.41,0.25,INF,-1,0,7,0
60,1,1,12.531,2.192,1.17,0.20,1.17,0.20,INF,-1,0,7,0
80,1,1,15.857,1.460,1.48,0.14,1.48,0.14,INF,-1,0,7,0
100,1,1,13.616,0.820,1.27,0.08,1.27,0.08,INF,-1,0,7,0
120,1,1,13.947,0.040,1.30,0.00,1.30,0.00,INF,-1,0,7,0
140,1,1,16.583,-1.343,1.55,-0.13,1.55,-0.13,INF,-1,0,7,0
160,1,1,15.518,-0.732,1.45,-0.07,1.45,-0.07,INF,-1,0,7,0
180,1,1,12.685,1.369,1.19,0.13,1.19,0.13,INF,-1,0,7,0
200,1,1,12.211,2.551,1.14,0.24,1.14,0.24,INF,-1,0,7,0
220,1,1,15.982,-1.730,1.49,-0.16,1.49,-0.16,INF,-1,0,7,0
240,1,1,9.343,4.560,0.87,0.43,0.87,0.43,INF,-1,0,7,0
