"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.04835
CalibrationParameters_A12,0.06428
CalibrationParameters_A13,0.01163
CalibrationParameters_A21,0.06404
CalibrationParameters_A22,-1.09808
CalibrationParameters_A23,-0.00222
CalibrationParameters_A31,0.00017
CalibrationParameters_A32,-0.00254
CalibrationParameters_E11,-0.17997
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.19987
CalibrationParameters_X,9.09285
CalibrationParameters_Y,-37.91408
CalibrationParameters_Rpc,93.60696
CalibrationParameters_MeanX,109.03298
CalibrationParameters_MeanY,104.47297
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,13.420,10.682,1.25,1.00,1.25,1.00,INF,-1,0,7,0
20,1,1,11.947,11.186,1.12,1.05,1.12,1.05,INF,-1,0,7,0
40,1,1,12.878,9.997,1.20,0.93,1.20,0.93,INF,-1,0,7,0
60,1,1,16.603,9.867,1.55,0.92,1.55,0.92,INF,-1,0,7,0
80,1,1,12.951,10.222,1.21,0.96,1.21,0.96,INF,-1,0,7,0
100,1,1,13.359,13.072,1.25,1.22,1.25,1.22,INF,-1,0,7,0
120,1,1,11.855,12.950,1.11,1.21,1.11,1.21,INF,-1,0,7,0
140,1,1,14.028,10.183,1.31,0.95,1.31,0.95,INF,-1,0,7,0
160,1,1,12.497,12.630,1.17,1.18,1.17,1.18,INF,-1,0,7,0
180,1,1,10.913,13.082,1.02,1.22,1.02,1.22,INF,-1,0,7,0
200,1,1,-13.823,11.648,-1.29,1.09,-1.29,1.09,INF,-1,0,7,0
220,1,1,-23.705,11.052,-2.21,1.03,-2.21,1.03,INF,-1,0,7,0
240,1,1,-19.290,10.413,-1.80,0.97,-1.80,0.97,INF,-1,0,7,0
260,1,1,-21.132,7.477,-1.97,0.70,-1.97,0.70,INF,-1,0,7,0
280,1,1,-21.116,9.107,-1.97,0.85,-1.97,0.85,INF,-1,0,7,0
300,1,1,-22.928,9.986,-2.14,0.93,-2.14,0.93,INF,-1,0,7,0
320,1,1,-21.952,11.047,-2.05,1.03,-2.05,1.03,INF,-1,0,7,0
340,1,1,-22.810,13.918,-2.13,1.30,-2.13,1.30,INF,-1,0,7,0
360,1,1,-22.422,24.209,-2.09,2.26,-2.09,2.26,INF,-1,0,7,0
380,1,1,-22.931,23.843,-2.14,2.23,-2.14,2.23,INF,-1,0,7,0
400,1,1,-20.967,21.515,-1.96,2.01,-1.96,2.01,INF,-1,0,7,0
420,1,1,-24.487,23.385,-2.29,2.18,-2.29,2.18,INF,-1,0,7,0
440,1,1,-24.711,20.720,-2.31,1.93,-2.31,1.94,INF,-1,0,7,0
460,1,1,-21.056,20.215,-1.97,1.89,-1.97,1.89,INF,-1,1,7,0
480,1,1,-23.194,22.543,-2.17,2.10,-2.17,2.11,INF,-1,1,7,0
500,1,1,-24.486,22.973,-2.29,2.14,-2.29,2.15,INF,-1,1,7,0
520,1,1,-23.622,22.599,-2.21,2.11,-2.21,2.11,INF,-1,1,7,0
