"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03860
CalibrationParameters_A12,0.06327
CalibrationParameters_A13,-0.00523
CalibrationParameters_A21,0.06974
CalibrationParameters_A22,-1.06164
CalibrationParameters_A23,-0.05491
CalibrationParameters_A31,-0.00004
CalibrationParameters_A32,0.00008
CalibrationParameters_E11,-0.18004
CalibrationParameters_E12,0.00008
CalibrationParameters_E21,0.00005
CalibrationParameters_E22,0.20002
CalibrationParameters_X,5.86094
CalibrationParameters_Y,-26.94920
CalibrationParameters_Rpc,90.50036
CalibrationParameters_MeanX,139.67645
CalibrationParameters_MeanY,142.56037
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-8.684,3.695,-0.81,0.35,-0.81,0.35,INF,-1,0,7,0
20,1,1,-7.229,3.769,-0.68,0.35,-0.68,0.35,INF,-1,0,7,0
40,1,1,-5.804,3.212,-0.54,0.30,-0.54,0.30,INF,-1,0,7,0
60,1,1,-8.306,1.545,-0.78,0.14,-0.78,0.14,INF,-1,0,7,0
80,1,1,-3.986,0.221,-0.37,0.02,-0.37,0.02,INF,-1,0,7,0
100,1,1,-5.220,1.469,-0.49,0.14,-0.49,0.14,INF,-1,0,7,0
120,1,1,-4.098,2.776,-0.38,0.26,-0.38,0.26,INF,-1,0,7,0
140,1,1,-4.585,2.941,-0.43,0.27,-0.43,0.27,INF,-1,0,7,0
160,1,1,-5.291,2.848,-0.49,0.27,-0.49,0.27,INF,-1,0,7,0
180,1,1,-5.887,2.687,-0.55,0.25,-0.55,0.25,INF,-1,0,7,0
200,1,1,-7.572,4.654,-0.71,0.43,-0.71,0.43,INF,-1,0,7,0
220,1,1,-5.342,3.034,-0.50,0.28,-0.50,0.28,INF,-1,0,7,0
240,1,1,-5.151,2.996,-0.48,0.28,-0.48,0.28,INF,-1,0,7,0
260,1,1,-4.590,2.987,-0.43,0.28,-0.43,0.28,INF,-1,0,7,0
280,1,1,-5.722,2.406,-0.53,0.22,-0.53,0.22,INF,-1,1,7,0
300,1,1,-0.485,1.181,-0.05,0.11,-0.05,0.11,INF,-1,1,7,0
320,1,1,5.761,2.673,0.54,0.25,0.54,0.25,INF,-1,1,7,0
340,1,1,2.982,4.314,0.28,0.40,0.28,0.40,INF,-1,1,7,0
360,1,1,5.568,2.787,0.52,0.26,0.52,0.26,INF,-1,1,7,0
380,1,1,6.338,2.046,0.59,0.19,0.59,0.19,INF,-1,1,7,0
400,1,1,4.212,2.973,0.39,0.28,0.39,0.28,INF,-1,0,7,0
420,1,1,5.571,3.472,0.52,0.32,0.52,0.32,INF,-1,0,7,0
440,1,1,5.596,2.484,0.52,0.23,0.52,0.23,INF,-1,0,7,0
