"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05446
CalibrationParameters_A12,0.06824
CalibrationParameters_A13,0.00964
CalibrationParameters_A21,0.03850
CalibrationParameters_A22,-1.07787
CalibrationParameters_A23,0.00085
CalibrationParameters_A31,0.00010
CalibrationParameters_A32,-0.00105
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,-0.00001
CalibrationParameters_E21,-0.00002
CalibrationParameters_E22,0.19996
CalibrationParameters_X,8.50547
CalibrationParameters_Y,-33.40085
CalibrationParameters_Rpc,92.36813
CalibrationParameters_MeanX,120.24628
CalibrationParameters_MeanY,122.39708
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,16.851,-3.946,1.57,-0.37,1.57,-0.37,INF,-1,0,7,0
60,1,1,16.356,-4.475,1.53,-0.42,1.53,-0.42,INF,-1,0,7,0
80,1,1,16.485,-5.572,1.54,-0.52,1.54,-0.52,INF,-1,0,7,0
100,1,1,13.471,-5.823,1.26,-0.54,1.26,-0.54,INF,-1,0,7,0
120,1,1,14.144,-2.408,1.32,-0.23,1.32,-0.23,INF,-1,0,7,0
140,1,1,16.721,-4.038,1.56,-0.38,1.56,-0.38,INF,-1,0,7,0
160,1,1,15.169,-4.005,1.42,-0.37,1.42,-0.37,INF,-1,0,7,0
180,1,1,15.469,-2.294,1.45,-0.21,1.45,-0.21,INF,-1,0,7,0
200,1,1,15.090,-5.104,1.41,-0.48,1.41,-0.48,INF,-1,0,7,0
220,1,1,14.073,-4.404,1.32,-0.41,1.32,-0.41,INF,-1,0,7,0
240,1,1,3.016,2.132,0.28,0.20,0.28,0.20,INF,-1,0,7,0
260,1,1,-13.792,5.494,-1.29,0.51,-1.29,0.51,INF,-1,0,7,0
280,1,1,-12.184,6.625,-1.14,0.62,-1.14,0.62,INF,-1,0,7,0
300,1,1,-12.664,4.412,-1.18,0.41,-1.18,0.41,INF,-1,0,7,0
320,1,1,-13.415,7.897,-1.25,0.74,-1.25,0.74,INF,-1,0,7,0
340,1,1,-11.514,7.337,-1.08,0.69,-1.08,0.69,INF,-1,0,7,0
360,1,1,-12.130,7.194,-1.13,0.67,-1.13,0.67,INF,-1,0,7,0
380,1,1,-10.690,7.096,-1.00,0.66,-1.00,0.66,INF,-1,0,7,0
400,1,1,-9.173,7.222,-0.86,0.67,-0.86,0.67,INF,-1,0,7,0
420,1,1,-14.873,6.426,-1.39,0.60,-1.39,0.60,INF,-1,0,7,0
440,1,1,-12.093,7.618,-1.13,0.71,-1.13,0.71,INF,-1,1,7,0
460,1,1,-14.087,6.194,-1.32,0.58,-1.32,0.58,INF,-1,1,7,0
480,1,1,-14.890,7.252,-1.39,0.68,-1.39,0.68,INF,-1,1,7,0
500,1,1,-14.339,7.374,-1.34,0.69,-1.34,0.69,INF,-1,0,7,0
520,1,1,-13.699,16.759,-1.28,1.57,-1.28,1.57,INF,-1,0,7,0
540,1,1,-18.974,15.119,-1.77,1.41,-1.77,1.41,INF,-1,0,7,0
560,1,1,-16.607,15.448,-1.55,1.44,-1.55,1.44,INF,-1,0,7,0
580,1,1,-20.363,16.329,-1.90,1.53,-1.90,1.53,INF,-1,0,7,0
600,1,1,-18.795,14.873,-1.76,1.39,-1.76,1.39,INF,-1,0,7,0
620,1,1,-16.693,14.148,-1.56,1.32,-1.56,1.32,INF,-1,0,7,0
640,1,1,-17.938,14.126,-1.68,1.32,-1.68,1.32,INF,-1,0,7,0
660,1,1,-18.932,14.431,-1.77,1.35,-1.77,1.35,INF,-1,0,7,0
680,1,1,-18.004,13.474,-1.68,1.26,-1.68,1.26,INF,-1,0,7,0
700,1,1,-19.310,15.847,-1.80,1.48,-1.80,1.48,INF,-1,0,7,0
720,1,1,-21.383,13.725,-2.00,1.28,-2.00,1.28,INF,-1,0,7,0
740,1,1,-18.749,14.637,-1.75,1.37,-1.75,1.37,INF,-1,1,7,0
760,1,1,-23.671,14.286,-2.21,1.33,-2.21,1.34,INF,-1,1,7,0
780,1,1,-21.379,15.511,-2.00,1.45,-2.00,1.45,INF,-1,1,7,0
800,1,1,-17.984,15.069,-1.68,1.41,-1.68,1.41,INF,-1,1,7,0
820,1,1,-17.682,13.223,-1.65,1.24,-1.65,1.24,INF,-1,1,7,0
840,1,1,-22.445,18.024,-2.10,1.68,-2.10,1.68,INF,-1,1,7,0
860,1,1,-20.882,14.234,-1.95,1.33,-1.95,1.33,INF,-1,1,7,0
880,1,1,-21.475,15.517,-2.01,1.45,-2.01,1.45,INF,-1,1,7,0
900,1,1,-22.494,14.637,-2.10,1.37,-2.10,1.37,INF,-1,1,7,0
920,1,1,-6.398,17.358,-0.60,1.62,-0.60,1.62,INF,-1,1,7,0
940,1,1,21.383,12.261,2.00,1.15,2.00,1.15,INF,-1,1,7,0
960,1,1,22.557,9.675,2.11,0.90,2.11,0.90,INF,-1,0,7,0
980,1,1,22.946,11.443,2.14,1.07,2.14,1.07,INF,-1,0,7,0
1000,1,1,22.429,6.345,2.10,0.59,2.10,0.59,INF,-1,0,7,0
1020,1,1,23.408,10.678,2.19,1.00,2.19,1.00,INF,-1,0,7,0
1040,1,1,22.913,9.890,2.14,0.92,2.14,0.92,INF,-1,0,7,0
1060,1,1,23.501,10.617,2.20,0.99,2.20,0.99,INF,-1,0,7,0
1080,1,1,26.387,9.499,2.46,0.89,2.46,0.89,INF,-1,0,7,0
1100,1,1,19.570,11.283,1.83,1.05,1.83,1.05,INF,-1,0,7,0
1120,1,1,21.376,11.973,2.00,1.12,2.00,1.12,INF,-1,0,7,0
1140,1,1,22.669,9.484,2.12,0.89,2.12,0.89,INF,-1,0,7,0
1160,1,1,22.929,10.735,2.14,1.00,2.14,1.00,INF,-1,0,7,0
1180,1,1,23.058,10.298,2.15,0.96,2.15,0.96,INF,-1,0,7,0
1200,1,1,22.374,10.643,2.09,0.99,2.09,0.99,INF,-1,0,7,0
1220,1,1,15.293,10.092,1.43,0.94,1.43,0.94,INF,-1,1,7,0
1240,1,1,15.380,6.677,1.44,0.62,1.44,0.62,INF,-1,1,7,0
1260,1,1,11.769,7.331,1.10,0.69,1.10,0.69,INF,-1,1,7,0
1280,1,1,11.838,9.139,1.11,0.85,1.11,0.85,INF,-1,1,7,0
1300,1,1,8.398,6.160,0.78,0.58,0.78,0.58,INF,-1,0,7,0
1320,1,1,13.166,5.762,1.23,0.54,1.23,0.54,INF,-1,0,7,0
1340,1,1,10.241,7.706,0.96,0.72,0.96,0.72,INF,-1,0,7,0
1360,1,1,11.714,6.285,1.09,0.59,1.09,0.59,INF,-1,0,7,0
1380,1,1,12.281,5.202,1.15,0.49,1.15,0.49,INF,-1,0,7,0
1400,1,1,11.087,7.915,1.04,0.74,1.04,0.74,INF,-1,0,7,0
