"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05849
CalibrationParameters_A12,0.05823
CalibrationParameters_A13,0.03933
CalibrationParameters_A21,0.05939
CalibrationParameters_A22,-1.07423
CalibrationParameters_A23,0.01582
CalibrationParameters_A31,0.00038
CalibrationParameters_A32,-0.00146
CalibrationParameters_E11,-0.18013
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00022
CalibrationParameters_E22,0.20003
CalibrationParameters_X,10.11921
CalibrationParameters_Y,-34.98284
CalibrationParameters_Rpc,94.29678
CalibrationParameters_MeanX,110.30362
CalibrationParameters_MeanY,118.14572
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,5.291,-10.299,0.49,-0.96,0.49,-0.96,INF,-1,0,7,0
20,1,1,-4.985,-7.236,-0.47,-0.68,-0.47,-0.68,INF,-1,0,7,0
40,1,1,2.579,-8.734,0.24,-0.82,0.24,-0.82,INF,-1,0,7,0
60,1,1,-2.952,-7.990,-0.28,-0.75,-0.28,-0.75,INF,-1,0,7,0
80,1,1,-2.931,-7.080,-0.27,-0.66,-0.27,-0.66,INF,-1,0,7,0
100,1,1,-1.201,-8.320,-0.11,-0.78,-0.11,-0.78,INF,-1,0,7,0
120,1,1,-3.746,-8.674,-0.35,-0.81,-0.35,-0.81,INF,-1,0,7,0
140,1,1,-5.244,-9.092,-0.49,-0.85,-0.49,-0.85,INF,-1,0,7,0
160,1,1,-2.580,-9.047,-0.24,-0.85,-0.24,-0.85,INF,-1,0,7,0
180,1,1,-1.650,-8.716,-0.15,-0.81,-0.15,-0.81,INF,-1,0,7,0
200,1,1,-5.208,-7.425,-0.49,-0.69,-0.49,-0.69,INF,-1,0,7,0
220,1,1,-4.252,-7.833,-0.40,-0.73,-0.40,-0.73,INF,-1,0,7,0
240,1,1,-4.401,-9.639,-0.41,-0.90,-0.41,-0.90,INF,-1,0,7,0
260,1,1,-5.174,-7.764,-0.48,-0.73,-0.48,-0.73,INF,-1,0,7,0
280,1,1,-2.933,-8.826,-0.27,-0.82,-0.27,-0.82,INF,-1,1,7,0
300,1,1,-3.918,-8.425,-0.37,-0.79,-0.37,-0.79,INF,-1,1,7,0
320,1,1,-4.739,-7.847,-0.44,-0.73,-0.44,-0.73,INF,-1,1,7,0
340,1,1,-6.310,-8.202,-0.59,-0.77,-0.59,-0.77,INF,-1,1,7,0
360,1,1,-2.925,-7.884,-0.27,-0.74,-0.27,-0.74,INF,-1,1,7,0
380,1,1,-1.344,-10.894,-0.13,-1.02,-0.13,-1.02,INF,-1,1,7,0
400,1,1,-4.002,-5.636,-0.37,-0.53,-0.37,-0.53,INF,-1,1,7,0
420,1,1,-5.001,-1.238,-0.47,-0.12,-0.47,-0.12,INF,-1,1,7,0
440,1,1,-2.267,-6.926,-0.21,-0.65,-0.21,-0.65,INF,-1,1,7,0
460,1,1,-5.120,-4.253,-0.48,-0.40,-0.48,-0.40,INF,-1,1,7,0
480,1,1,-4.364,-3.413,-0.41,-0.32,-0.41,-0.32,INF,-1,1,7,0
500,1,1,-5.983,-2.428,-0.56,-0.23,-0.56,-0.23,INF,-1,1,7,0
520,1,1,-1.298,-3.140,-0.12,-0.29,-0.12,-0.29,INF,-1,1,7,0
540,1,1,-1.119,-3.832,-0.10,-0.36,-0.10,-0.36,INF,-1,1,7,0
560,1,1,-3.116,-5.352,-0.29,-0.50,-0.29,-0.50,INF,-1,1,7,0
580,1,1,-5.059,-1.596,-0.47,-0.15,-0.47,-0.15,INF,-1,1,7,0
600,1,1,-2.629,-4.696,-0.25,-0.44,-0.25,-0.44,INF,-1,1,7,0
620,1,1,-3.054,-0.760,-0.29,-0.07,-0.29,-0.07,INF,-1,1,7,0
640,1,1,13.507,1.721,1.26,0.16,1.26,0.16,INF,-1,1,7,0
660,1,1,13.811,1.306,1.29,0.12,1.29,0.12,INF,-1,1,7,0
680,1,1,15.760,0.292,1.47,0.03,1.47,0.03,INF,-1,0,7,0
700,1,1,11.204,2.148,1.05,0.20,1.05,0.20,INF,-1,0,7,0
720,1,1,9.327,1.829,0.87,0.17,0.87,0.17,INF,-1,0,7,0
740,1,1,10.404,2.807,0.97,0.26,0.97,0.26,INF,-1,0,7,0
760,1,1,9.791,0.119,0.92,0.01,0.92,0.01,INF,-1,0,7,0
780,1,1,15.098,0.354,1.41,0.03,1.41,0.03,INF,-1,0,7,0
800,1,1,14.051,2.931,1.31,0.27,1.31,0.27,INF,-1,0,7,0
820,1,1,9.391,0.792,0.88,0.07,0.88,0.07,INF,-1,0,7,0
840,1,1,12.451,1.326,1.16,0.12,1.16,0.12,INF,-1,0,7,0
860,1,1,16.789,1.955,1.57,0.18,1.57,0.18,INF,-1,0,7,0
880,1,1,19.840,1.171,1.85,0.11,1.85,0.11,INF,-1,0,7,0
900,1,1,18.484,0.970,1.73,0.09,1.73,0.09,INF,-1,0,7,0
920,1,1,19.938,0.308,1.86,0.03,1.86,0.03,INF,-1,1,7,0
940,1,1,19.026,-1.327,1.78,-0.12,1.78,-0.12,INF,-1,1,7,0
960,1,1,21.655,0.246,2.02,0.02,2.02,0.02,INF,-1,1,7,0
980,1,1,18.757,2.124,1.75,0.20,1.75,0.20,INF,-1,1,7,0
1000,1,1,20.300,0.030,1.90,0.00,1.90,0.00,INF,-1,1,7,0
1020,1,1,20.853,-0.156,1.95,-0.01,1.95,-0.01,INF,-1,1,7,0
1040,1,1,16.917,1.924,1.58,0.18,1.58,0.18,INF,-1,1,7,0
1060,1,1,15.844,2.265,1.48,0.21,1.48,0.21,INF,-1,1,7,0
1080,1,1,14.340,-9.387,1.34,-0.88,1.34,-0.88,INF,-1,1,7,0
1100,1,1,20.997,7.347,1.96,0.69,1.96,0.69,INF,-1,1,7,0
1120,1,1,11.623,-7.344,1.09,-0.69,1.09,-0.69,INF,-1,1,7,0
1140,1,1,9.776,-2.937,0.91,-0.27,0.91,-0.27,INF,-1,1,7,0
1160,1,1,8.254,5.257,0.77,0.49,0.77,0.49,INF,-1,1,7,0
1180,1,1,7.456,6.371,0.70,0.60,0.70,0.60,INF,-1,1,7,0
1200,1,1,8.277,5.686,0.77,0.53,0.77,0.53,INF,-1,1,7,0
1220,1,1,7.394,4.836,0.69,0.45,0.69,0.45,INF,-1,1,7,0
1240,1,1,1.011,5.300,0.09,0.50,0.09,0.50,INF,-1,1,7,0
1260,1,1,-5.965,6.761,-0.56,0.63,-0.56,0.63,INF,-1,1,7,0
1280,1,1,-1.837,5.392,-0.17,0.50,-0.17,0.50,INF,-1,0,7,0
1300,1,1,-5.530,3.361,-0.52,0.31,-0.52,0.31,INF,-1,0,7,0
1320,1,1,-7.296,4.646,-0.68,0.43,-0.68,0.43,INF,-1,0,7,0
1340,1,1,-4.688,3.412,-0.44,0.32,-0.44,0.32,INF,-1,0,7,0
1360,1,1,-5.055,5.839,-0.47,0.55,-0.47,0.55,INF,-1,0,7,0
1380,1,1,-8.468,4.042,-0.79,0.38,-0.79,0.38,INF,-1,0,7,0
1400,1,1,-6.587,4.804,-0.62,0.45,-0.62,0.45,INF,-1,0,7,0
1420,1,1,-5.027,6.835,-0.47,0.64,-0.47,0.64,INF,-1,0,7,0
1440,1,1,-4.345,4.585,-0.41,0.43,-0.41,0.43,INF,-1,0,7,0
1460,1,1,-7.278,3.004,-0.68,0.28,-0.68,0.28,INF,-1,0,7,0
1480,1,1,-4.440,6.178,-0.41,0.58,-0.41,0.58,INF,-1,0,7,0
1500,1,1,-5.623,4.016,-0.53,0.38,-0.53,0.38,INF,-1,0,7,0
1520,1,1,-7.535,3.585,-0.70,0.34,-0.70,0.34,INF,-1,1,7,0
1540,1,1,-6.890,2.871,-0.64,0.27,-0.64,0.27,INF,-1,1,7,0
1560,1,1,-6.958,2.362,-0.65,0.22,-0.65,0.22,INF,-1,1,7,0
1580,1,1,-17.416,5.322,-1.63,0.50,-1.63,0.50,INF,-1,1,7,0
1600,1,1,-15.390,3.247,-1.44,0.30,-1.44,0.30,INF,-1,1,7,0
1620,1,1,-16.273,4.410,-1.52,0.41,-1.52,0.41,INF,-1,0,7,0
1640,1,1,-16.569,4.148,-1.55,0.39,-1.55,0.39,INF,-1,0,7,0
1660,1,1,-13.466,5.444,-1.26,0.51,-1.26,0.51,INF,-1,0,7,0
1680,1,1,-17.287,1.939,-1.62,0.18,-1.62,0.18,INF,-1,0,7,0
1700,1,1,-16.767,4.571,-1.57,0.43,-1.57,0.43,INF,-1,0,7,0
1720,1,1,-15.753,4.398,-1.47,0.41,-1.47,0.41,INF,-1,0,7,0
1740,1,1,-13.317,5.116,-1.24,0.48,-1.24,0.48,INF,-1,0,7,0
1760,1,1,-14.636,5.342,-1.37,0.50,-1.37,0.50,INF,-1,0,7,0
1780,1,1,-10.675,2.610,-1.00,0.24,-1.00,0.24,INF,-1,0,7,0
1800,1,1,-11.892,5.588,-1.11,0.52,-1.11,0.52,INF,-1,0,7,0
1820,1,1,-15.356,6.386,-1.43,0.60,-1.43,0.60,INF,-1,0,7,0
1840,1,1,-12.193,4.039,-1.14,0.38,-1.14,0.38,INF,-1,0,7,0
1860,1,1,-26.425,5.345,-2.47,0.50,-2.47,0.50,INF,-1,1,7,0
1880,1,1,-42.310,2.126,-3.95,0.20,-3.95,0.20,INF,-1,1,7,0
1900,1,1,-42.864,-0.558,-4.00,-0.05,-4.00,-0.05,INF,-1,0,7,0
1920,1,1,-43.547,2.592,-4.06,0.24,-4.06,0.24,INF,-1,0,7,0
