"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.00253
CalibrationParameters_A12,0.00963
CalibrationParameters_A13,-0.04289
CalibrationParameters_A21,0.06583
CalibrationParameters_A22,-1.04469
CalibrationParameters_A23,-0.00527
CalibrationParameters_A31,-0.00084
CalibrationParameters_A32,0.00007
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00008
CalibrationParameters_E21,0.00008
CalibrationParameters_E22,0.20001
CalibrationParameters_X,14.63033
CalibrationParameters_Y,11.73208
CalibrationParameters_Rpc,49.86164
CalibrationParameters_MeanX,175.89753
CalibrationParameters_MeanY,102.74583
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-78.341,91.944,-7.28,8.46,-7.20,8.53,INF,-1,0,7,0
20,1,1,34.118,-103.522,3.19,-9.57,3.14,-9.59,INF,-1,0,7,0
40,1,1,-4.489,8.536,-0.42,0.80,-0.42,0.80,INF,-1,0,7,0
60,1,1,-3.577,10.964,-0.33,1.02,-0.33,1.02,INF,-1,0,7,0
80,1,1,-4.455,9.281,-0.42,0.87,-0.42,0.87,INF,-1,0,7,0
100,1,1,-4.263,8.136,-0.40,0.76,-0.40,0.76,INF,-1,0,7,0
120,1,1,-3.365,8.456,-0.31,0.79,-0.31,0.79,INF,-1,0,7,0
140,1,1,-4.665,11.724,-0.44,1.10,-0.44,1.10,INF,-1,0,7,0
160,1,1,-5.571,9.652,-0.52,0.90,-0.52,0.90,INF,-1,0,7,0
180,1,1,-6.923,10.053,-0.65,0.94,-0.65,0.94,INF,-1,0,7,0
200,1,1,-3.387,8.702,-0.32,0.81,-0.32,0.81,INF,-1,0,7,0
220,1,1,7.599,5.624,0.71,0.53,0.71,0.53,INF,-1,0,7,0
240,1,1,4.892,6.858,0.46,0.64,0.46,0.64,INF,-1,0,7,0
260,1,1,6.822,8.033,0.64,0.75,0.64,0.75,INF,-1,0,7,0
280,1,1,5.651,7.131,0.53,0.67,0.53,0.67,INF,-1,0,7,0
300,1,1,5.574,5.325,0.52,0.50,0.52,0.50,INF,-1,0,7,0
320,1,1,5.988,6.165,0.56,0.58,0.56,0.58,INF,-1,1,7,0
340,1,1,6.490,3.482,0.61,0.33,0.61,0.33,INF,-1,1,7,0
360,1,1,4.524,5.606,0.42,0.52,0.42,0.52,INF,-1,1,7,0
380,1,1,1.368,2.706,0.13,0.25,0.13,0.25,INF,-1,1,7,0
400,1,1,-2.586,-6.764,-0.24,-0.63,-0.24,-0.63,INF,-1,1,7,0
420,1,1,-1.115,-1.448,-0.10,-0.14,-0.10,-0.14,INF,-1,1,7,0
440,1,1,-4.581,-3.846,-0.43,-0.36,-0.43,-0.36,INF,-1,1,7,0
460,1,1,-3.793,-5.987,-0.35,-0.56,-0.35,-0.56,INF,-1,1,7,0
480,1,1,-6.486,-5.414,-0.61,-0.51,-0.61,-0.51,INF,-1,0,7,0
500,1,1,-1.143,-4.344,-0.11,-0.41,-0.11,-0.41,INF,-1,0,7,0
520,1,1,-4.997,-4.203,-0.47,-0.39,-0.47,-0.39,INF,-1,0,7,0
540,1,1,-5.302,-4.332,-0.50,-0.40,-0.50,-0.40,INF,-1,0,7,0
560,1,1,-7.679,-5.329,-0.72,-0.50,-0.72,-0.50,INF,-1,0,7,0
580,1,1,-5.086,-6.523,-0.48,-0.61,-0.48,-0.61,INF,-1,0,7,0
600,1,1,-6.331,-4.636,-0.59,-0.43,-0.59,-0.43,INF,-1,0,7,0
620,1,1,-5.125,-4.573,-0.48,-0.43,-0.48,-0.43,INF,-1,0,7,0
640,1,1,-24.118,1.827,-2.25,0.17,-2.25,0.17,INF,-1,0,7,0
660,1,1,-22.022,3.043,-2.06,0.28,-2.06,0.28,INF,-1,0,7,0
680,1,1,-25.817,1.011,-2.41,0.09,-2.41,0.09,INF,-1,0,7,0
700,1,1,-25.085,2.136,-2.34,0.20,-2.34,0.20,INF,-1,0,7,0
720,1,1,-26.512,2.665,-2.48,0.25,-2.48,0.25,INF,-1,0,7,0
740,1,1,-23.407,3.056,-2.19,0.29,-2.19,0.29,INF,-1,0,7,0
760,1,1,-25.357,3.106,-2.37,0.29,-2.37,0.29,INF,-1,0,7,0
780,1,1,-23.290,5.137,-2.18,0.48,-2.18,0.48,INF,-1,0,7,0
800,1,1,-25.012,1.175,-2.34,0.11,-2.34,0.11,INF,-1,1,7,0
820,1,1,-24.123,3.918,-2.25,0.37,-2.25,0.37,INF,-1,1,7,0
840,1,1,-24.832,1.941,-2.32,0.18,-2.32,0.18,INF,-1,1,7,0
860,1,1,-29.982,0.691,-2.80,0.06,-2.80,0.06,INF,-1,1,7,0
880,1,1,-26.891,1.922,-2.51,0.18,-2.51,0.18,INF,-1,1,7,0
900,1,1,-18.088,0.690,-1.69,0.06,-1.69,0.06,INF,-1,1,7,0
920,1,1,-15.497,1.783,-1.45,0.17,-1.45,0.17,INF,-1,1,7,0
940,1,1,-15.428,4.184,-1.44,0.39,-1.44,0.39,INF,-1,1,7,0
960,1,1,-18.521,-0.556,-1.73,-0.05,-1.73,-0.05,INF,-1,1,7,0
980,1,1,-18.439,-0.225,-1.72,-0.02,-1.72,-0.02,INF,-1,1,7,0
1000,1,1,-19.261,-1.425,-1.80,-0.13,-1.80,-0.13,INF,-1,1,7,0
1020,1,1,-17.551,0.431,-1.64,0.04,-1.64,0.04,INF,-1,1,7,0
1040,1,1,-20.645,-0.654,-1.93,-0.06,-1.93,-0.06,INF,-1,1,7,0
1060,1,1,-18.665,0.139,-1.74,0.01,-1.74,0.01,INF,-1,1,7,0
1080,1,1,-16.248,-0.853,-1.52,-0.08,-1.52,-0.08,INF,-1,1,7,0
1100,1,1,-18.102,0.480,-1.69,0.04,-1.69,0.04,INF,-1,1,7,0
1120,1,1,-15.832,-0.037,-1.48,0.00,-1.48,0.00,INF,-1,1,7,0
1140,1,1,-20.995,-0.430,-1.96,-0.04,-1.96,-0.04,INF,-1,1,7,0
1160,1,1,-17.802,-0.148,-1.66,-0.01,-1.66,-0.01,INF,-1,1,7,0
1180,1,1,-18.569,-3.144,-1.74,-0.29,-1.74,-0.29,INF,-1,1,7,0
1200,1,1,-20.603,-3.080,-1.92,-0.29,-1.92,-0.29,INF,-1,1,7,0
1220,1,1,-22.052,-1.272,-2.06,-0.12,-2.06,-0.12,INF,-1,1,7,0
1240,1,1,-18.443,-2.241,-1.72,-0.21,-1.72,-0.21,INF,-1,1,7,0
1260,1,1,-16.477,-1.054,-1.54,-0.10,-1.54,-0.10,INF,-1,1,7,0
1280,1,1,-18.370,1.263,-1.72,0.12,-1.72,0.12,INF,-1,1,7,0
1300,1,1,-15.186,-0.446,-1.42,-0.04,-1.42,-0.04,INF,-1,1,7,0
1320,1,1,-17.597,-1.327,-1.64,-0.12,-1.64,-0.12,INF,-1,1,7,0
1340,1,1,-15.405,-0.828,-1.44,-0.08,-1.44,-0.08,INF,-1,1,7,0
1360,1,1,-20.712,-4.311,-1.94,-0.40,-1.94,-0.40,INF,-1,1,7,0
1380,1,1,-15.791,2.265,-1.48,0.21,-1.48,0.21,INF,-1,1,7,0
1400,1,1,-21.292,-1.271,-1.99,-0.12,-1.99,-0.12,INF,-1,1,7,0
1420,1,1,-17.777,-0.961,-1.66,-0.09,-1.66,-0.09,INF,-1,1,7,0
1440,1,1,-18.611,0.301,-1.74,0.03,-1.74,0.03,INF,-1,1,7,0
1460,1,1,-15.117,-1.277,-1.41,-0.12,-1.41,-0.12,INF,-1,1,7,0
1480,1,1,-2.809,-1.958,-0.26,-0.18,-0.26,-0.18,INF,-1,1,7,0
1500,1,1,21.840,-2.526,2.04,-0.24,2.04,-0.24,INF,-1,1,7,0
1520,1,1,18.491,-4.131,1.73,-0.39,1.73,-0.39,INF,-1,0,7,0
1540,1,1,22.324,-0.006,2.09,0.00,2.09,0.00,INF,-1,0,7,0
