"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03918
CalibrationParameters_A12,0.02820
CalibrationParameters_A13,-0.00895
CalibrationParameters_A21,0.07453
CalibrationParameters_A22,-1.05437
CalibrationParameters_A23,0.03946
CalibrationParameters_A31,-0.00014
CalibrationParameters_A32,-0.00056
CalibrationParameters_E11,-0.18004
CalibrationParameters_E12,0.00006
CalibrationParameters_E21,0.00007
CalibrationParameters_E22,0.20001
CalibrationParameters_X,19.19226
CalibrationParameters_Y,14.45351
CalibrationParameters_Rpc,50.71648
CalibrationParameters_MeanX,150.04924
CalibrationParameters_MeanY,115.57009
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,1.761,15.127,0.16,1.41,0.16,1.41,INF,-1,0,7,0
20,1,1,-1.378,15.635,-0.13,1.46,-0.13,1.46,INF,-1,0,7,0
40,1,1,1.540,15.947,0.14,1.49,0.14,1.49,INF,-1,0,7,0
60,1,1,1.403,13.747,0.13,1.28,0.13,1.28,INF,-1,0,7,0
80,1,1,3.099,12.678,0.29,1.18,0.29,1.18,INF,-1,0,7,0
100,1,1,0.266,16.361,0.02,1.53,0.02,1.53,INF,-1,0,7,0
120,1,1,0.930,15.102,0.09,1.41,0.09,1.41,INF,-1,0,7,0
140,1,1,1.093,14.838,0.10,1.39,0.10,1.39,INF,-1,0,7,0
160,1,1,1.995,14.200,0.19,1.33,0.19,1.33,INF,-1,0,7,0
180,1,1,1.083,14.663,0.10,1.37,0.10,1.37,INF,-1,0,7,0
200,1,1,0.666,13.563,0.06,1.27,0.06,1.27,INF,-1,0,7,0
220,1,1,2.807,15.116,0.26,1.41,0.26,1.41,INF,-1,0,7,0
240,1,1,0.978,14.579,0.09,1.36,0.09,1.36,INF,-1,0,7,0
260,1,1,4.951,10.203,0.46,0.95,0.46,0.95,INF,-1,0,7,0
280,1,1,5.517,8.115,0.52,0.76,0.52,0.76,INF,-1,1,7,0
300,1,1,6.651,9.311,0.62,0.87,0.62,0.87,INF,-1,1,7,0
320,1,1,6.547,9.162,0.61,0.86,0.61,0.86,INF,-1,1,7,0
340,1,1,7.010,6.535,0.66,0.61,0.66,0.61,INF,-1,1,7,0
360,1,1,6.454,6.669,0.60,0.62,0.60,0.62,INF,-1,1,7,0
380,1,1,7.363,7.139,0.69,0.67,0.69,0.67,INF,-1,1,7,0
400,1,1,6.501,7.708,0.61,0.72,0.61,0.72,INF,-1,1,7,0
