"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05043
CalibrationParameters_A12,0.02610
CalibrationParameters_A13,-0.05930
CalibrationParameters_A21,0.04718
CalibrationParameters_A22,-1.05787
CalibrationParameters_A23,0.03974
CalibrationParameters_A31,-0.00108
CalibrationParameters_A32,-0.00056
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,-0.00011
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.19989
CalibrationParameters_X,9.46660
CalibrationParameters_Y,21.32994
CalibrationParameters_Rpc,52.42334
CalibrationParameters_MeanX,194.74223
CalibrationParameters_MeanY,141.73411
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-3.194,11.436,-0.30,1.07,-0.30,1.07,INF,-1,0,7,0
20,1,1,-2.293,12.872,-0.21,1.20,-0.21,1.20,INF,-1,0,7,0
40,1,1,-4.009,14.150,-0.37,1.32,-0.37,1.32,INF,-1,0,7,0
60,1,1,-2.270,13.018,-0.21,1.22,-0.21,1.22,INF,-1,0,7,0
80,1,1,-3.914,11.869,-0.37,1.11,-0.37,1.11,INF,-1,0,7,0
100,1,1,-3.265,13.267,-0.31,1.24,-0.31,1.24,INF,-1,0,7,0
120,1,1,-4.460,11.172,-0.42,1.04,-0.42,1.04,INF,-1,0,7,0
140,1,1,-3.875,12.118,-0.36,1.13,-0.36,1.13,INF,-1,0,7,0
160,1,1,-2.907,10.536,-0.27,0.98,-0.27,0.98,INF,-1,0,7,0
180,1,1,0.843,4.186,0.08,0.39,0.08,0.39,INF,-1,0,7,0
200,1,1,-0.063,1.683,-0.01,0.16,-0.01,0.16,INF,-1,0,7,0
220,1,1,-1.085,0.874,-0.10,0.08,-0.10,0.08,INF,-1,0,7,0
240,1,1,0.030,2.282,0.00,0.21,0.00,0.21,INF,-1,0,7,0
260,1,1,-1.015,1.046,-0.09,0.10,-0.09,0.10,INF,-1,0,7,0
280,1,1,-0.026,-0.092,0.00,-0.01,0.00,-0.01,INF,-1,1,7,0
300,1,1,1.493,0.381,0.14,0.04,0.14,0.04,INF,-1,1,7,0
320,1,1,-0.181,-0.291,-0.02,-0.03,-0.02,-0.03,INF,-1,1,7,0
340,1,1,1.106,-0.072,0.10,-0.01,0.10,-0.01,INF,-1,1,7,0
360,1,1,0.629,0.808,0.06,0.08,0.06,0.08,INF,-1,1,7,0
380,1,1,-0.443,-2.107,-0.04,-0.20,-0.04,-0.20,INF,-1,1,7,0
400,1,1,-0.780,-2.485,-0.07,-0.23,-0.07,-0.23,INF,-1,1,7,0
420,1,1,0.303,-0.008,0.03,0.00,0.03,0.00,INF,-1,1,7,0
440,1,1,-0.805,-2.179,-0.08,-0.20,-0.08,-0.20,INF,-1,1,7,0
460,1,1,-7.251,-9.886,-0.68,-0.92,-0.68,-0.92,INF,-1,1,7,0
480,1,1,-9.379,-10.019,-0.88,-0.94,-0.88,-0.94,INF,-1,0,7,0
500,1,1,-9.166,-9.686,-0.86,-0.91,-0.86,-0.91,INF,-1,0,7,0
520,1,1,-10.162,-6.593,-0.95,-0.62,-0.95,-0.62,INF,-1,0,7,0
540,1,1,-10.157,-8.667,-0.95,-0.81,-0.95,-0.81,INF,-1,0,7,0
560,1,1,-11.643,-6.482,-1.09,-0.61,-1.09,-0.61,INF,-1,0,7,0
580,1,1,-9.545,-9.204,-0.89,-0.86,-0.89,-0.86,INF,-1,0,7,0
600,1,1,-10.482,-8.755,-0.98,-0.82,-0.98,-0.82,INF,-1,0,7,0
620,1,1,-10.965,-7.238,-1.02,-0.68,-1.02,-0.68,INF,-1,0,7,0
640,1,1,-9.725,-7.819,-0.91,-0.73,-0.91,-0.73,INF,-1,0,7,0
660,1,1,-8.106,-10.584,-0.76,-0.99,-0.76,-0.99,INF,-1,0,7,0
680,1,1,-0.598,-10.478,-0.06,-0.98,-0.06,-0.98,INF,-1,0,7,0
700,1,1,9.981,-21.856,0.93,-2.04,0.93,-2.04,INF,-1,0,7,0
720,1,1,10.081,-23.549,0.94,-2.20,0.94,-2.20,INF,-1,1,7,0
740,1,1,9.230,-23.199,0.86,-2.17,0.86,-2.17,INF,-1,0,7,0
760,1,1,10.355,-21.996,0.97,-2.05,0.97,-2.06,INF,-1,0,7,0
780,1,1,9.837,-21.766,0.92,-2.03,0.92,-2.03,INF,-1,0,7,0
800,1,1,8.149,-22.177,0.76,-2.07,0.76,-2.07,INF,-1,0,7,0
820,1,1,8.478,-21.698,0.79,-2.03,0.79,-2.03,INF,-1,0,7,0
840,1,1,13.002,-24.102,1.22,-2.25,1.21,-2.25,INF,-1,0,7,0
860,1,1,10.228,-22.214,0.96,-2.08,0.96,-2.08,INF,-1,0,7,0
880,1,1,9.872,-21.162,0.92,-1.98,0.92,-1.98,INF,-1,0,7,0
900,1,1,10.304,-21.123,0.96,-1.97,0.96,-1.97,INF,-1,0,7,0
920,1,1,18.674,-21.700,1.74,-2.03,1.74,-2.03,INF,-1,0,7,0
940,1,1,17.285,-24.879,1.62,-2.32,1.61,-2.32,INF,-1,0,7,0
960,1,1,18.596,-24.137,1.74,-2.25,1.74,-2.25,INF,-1,0,7,0
980,1,1,17.698,-20.999,1.65,-1.96,1.65,-1.96,INF,-1,1,7,0
1000,1,1,17.275,-23.656,1.61,-2.21,1.61,-2.21,INF,-1,1,7,0
1020,1,1,18.383,-23.939,1.72,-2.24,1.72,-2.24,INF,-1,1,7,0
1040,1,1,18.412,-22.849,1.72,-2.13,1.72,-2.13,INF,-1,1,7,0
1060,1,1,17.820,-21.131,1.67,-1.97,1.66,-1.97,INF,-1,1,7,0
