"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02750
CalibrationParameters_A12,0.01228
CalibrationParameters_A13,0.06534
CalibrationParameters_A21,0.05848
CalibrationParameters_A22,-1.04859
CalibrationParameters_A23,-0.00337
CalibrationParameters_A31,0.00129
CalibrationParameters_A32,0.00006
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,-0.00010
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.19994
CalibrationParameters_X,13.93375
CalibrationParameters_Y,13.53009
CalibrationParameters_Rpc,51.49631
CalibrationParameters_MeanX,164.83300
CalibrationParameters_MeanY,115.58076
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,1,1,13.789,15.738,1.29,1.47,1.29,1.47,INF,-1,0,7,0
120,1,1,13.785,17.851,1.29,1.67,1.29,1.67,INF,-1,0,7,0
140,1,1,15.443,13.457,1.44,1.26,1.44,1.26,INF,-1,0,7,0
160,1,1,18.112,19.837,1.69,1.85,1.69,1.85,INF,-1,0,7,0
180,1,1,14.694,17.978,1.37,1.68,1.37,1.68,INF,-1,0,7,0
200,1,1,15.706,14.736,1.47,1.38,1.47,1.38,INF,-1,0,7,0
220,1,1,15.690,18.426,1.47,1.72,1.47,1.72,INF,-1,0,7,0
240,1,1,13.402,18.429,1.25,1.72,1.25,1.72,INF,-1,0,7,0
260,1,1,16.554,19.446,1.55,1.82,1.55,1.82,INF,-1,0,7,0
280,1,1,15.452,17.710,1.44,1.65,1.44,1.65,INF,-1,0,7,0
300,1,1,16.525,17.859,1.54,1.67,1.54,1.67,INF,-1,0,7,0
320,1,1,14.635,15.678,1.37,1.46,1.37,1.47,INF,-1,0,7,0
340,1,1,12.309,19.826,1.15,1.85,1.15,1.85,INF,-1,0,7,0
360,1,1,-9.646,24.020,-0.90,2.24,-0.90,2.24,INF,-1,0,7,0
380,1,1,-8.969,23.792,-0.84,2.22,-0.84,2.22,INF,-1,1,7,0
400,1,1,-2.640,22.319,-0.25,2.09,-0.25,2.09,INF,-1,0,7,0
420,1,1,-1.782,25.703,-0.17,2.40,-0.17,2.40,INF,-1,0,7,0
440,1,1,-2.656,28.573,-0.25,2.67,-0.25,2.67,INF,-1,0,7,0
460,1,1,-3.397,21.786,-0.32,2.04,-0.32,2.04,INF,-1,0,7,0
480,1,1,-4.533,25.533,-0.42,2.39,-0.42,2.39,INF,-1,0,7,0
500,1,1,-9.976,21.216,-0.93,1.98,-0.93,1.98,INF,-1,0,7,0
520,1,1,-4.954,25.449,-0.46,2.38,-0.46,2.38,INF,-1,0,7,0
540,1,1,-3.567,24.180,-0.33,2.26,-0.33,2.26,INF,-1,0,7,0
560,1,1,-33.020,18.264,-3.08,1.70,-3.08,1.71,INF,-1,0,7,0
580,1,1,-30.713,19.601,-2.87,1.83,-2.87,1.83,INF,-1,0,7,0
600,1,1,-30.326,20.580,-2.83,1.92,-2.83,1.92,INF,-1,0,7,0
620,1,1,-34.835,21.696,-3.25,2.02,-3.25,2.03,INF,-1,0,7,0
640,1,1,-35.239,17.461,-3.29,1.63,-3.29,1.63,INF,-1,0,7,0
660,1,1,-38.558,18.256,-3.60,1.70,-3.60,1.71,INF,-1,0,7,0
680,1,1,-34.241,18.116,-3.20,1.69,-3.20,1.69,INF,-1,0,7,0
700,1,1,-33.353,22.639,-3.11,2.11,-3.11,2.12,INF,-1,0,7,0
720,1,1,-33.432,15.630,-3.12,1.46,-3.12,1.46,INF,-1,0,7,0
740,1,1,-31.139,22.728,-2.91,2.12,-2.91,2.12,INF,-1,0,7,0
760,1,1,-40.330,17.146,-3.76,1.60,-3.76,1.60,INF,-1,0,7,0
780,1,1,-34.548,18.149,-3.23,1.69,-3.22,1.70,INF,-1,1,7,0
800,1,1,-42.140,14.752,-3.93,1.38,-3.93,1.38,INF,-1,1,7,0
820,1,1,-37.028,22.110,-3.46,2.06,-3.45,2.07,INF,-1,1,7,0
840,1,1,-39.412,19.837,-3.68,1.85,-3.68,1.85,INF,-1,1,7,0
860,1,1,-32.890,19.188,-3.07,1.79,-3.07,1.79,INF,-1,1,7,0
880,1,1,-37.561,16.980,-3.51,1.58,-3.51,1.59,INF,-1,1,7,0
900,1,1,-33.292,19.703,-3.11,1.84,-3.11,1.84,INF,-1,1,7,0
920,1,1,-33.844,19.936,-3.16,1.86,-3.16,1.86,INF,-1,1,7,0
940,1,1,-38.667,18.545,-3.61,1.73,-3.61,1.73,INF,-1,1,7,0
960,1,1,-44.432,17.784,-4.15,1.66,-4.14,1.66,INF,-1,1,7,0
980,1,1,-33.614,21.665,-3.14,2.02,-3.14,2.02,INF,-1,1,7,0
1000,1,1,-36.702,20.088,-3.43,1.87,-3.42,1.88,INF,-1,1,7,0
1020,1,1,-18.844,19.038,-1.76,1.78,-1.76,1.78,INF,-1,1,7,0
1040,1,1,-18.910,22.435,-1.77,2.10,-1.77,2.10,INF,-1,1,7,0
1060,1,1,-19.617,21.893,-1.83,2.04,-1.83,2.05,INF,-1,1,7,0
1080,1,1,-19.292,19.706,-1.80,1.84,-1.80,1.84,INF,-1,1,7,0
1100,1,1,-23.167,18.360,-2.16,1.71,-2.16,1.72,INF,-1,1,7,0
1120,1,1,-25.163,18.616,-2.35,1.74,-2.35,1.74,INF,-1,1,7,0
1140,1,1,-17.338,21.024,-1.62,1.96,-1.62,1.96,INF,-1,1,7,0
1160,1,1,-23.161,18.368,-2.16,1.72,-2.16,1.72,INF,-1,1,7,0
1180,1,1,-25.796,17.979,-2.41,1.68,-2.41,1.68,INF,-1,1,7,0
1200,1,1,-22.331,24.306,-2.09,2.27,-2.08,2.27,INF,-1,1,7,0
1220,1,1,-28.383,24.101,-2.65,2.25,-2.65,2.25,INF,-1,1,7,0
1240,1,1,-20.153,22.740,-1.88,2.12,-1.88,2.12,INF,-1,1,7,0
1260,1,1,-28.445,19.630,-2.66,1.83,-2.66,1.83,INF,-1,1,7,0
1280,1,1,-20.596,22.716,-1.92,2.12,-1.92,2.12,INF,-1,1,7,0
1300,1,1,-27.081,21.056,-2.53,1.97,-2.53,1.97,INF,-1,1,7,0
1320,1,1,-33.983,19.842,-3.17,1.85,-3.17,1.85,INF,-1,1,7,0
1340,1,1,-37.851,18.014,-3.53,1.68,-3.53,1.68,INF,-1,1,7,0
1360,1,1,-32.385,20.813,-3.02,1.94,-3.02,1.94,INF,-1,1,7,0
1380,1,1,-38.346,14.144,-3.58,1.32,-3.58,1.32,INF,-1,1,7,0
