"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05043
CalibrationParameters_A12,0.03902
CalibrationParameters_A13,-0.00464
CalibrationParameters_A21,0.07008
CalibrationParameters_A22,-1.09763
CalibrationParameters_A23,-0.02041
CalibrationParameters_A31,-0.00011
CalibrationParameters_A32,0.00027
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,-0.00005
CalibrationParameters_E21,0.00004
CalibrationParameters_E22,0.19996
CalibrationParameters_X,14.03720
CalibrationParameters_Y,24.62449
CalibrationParameters_Rpc,51.86760
CalibrationParameters_MeanX,194.82890
CalibrationParameters_MeanY,131.10282
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,2.485,9.031,0.23,0.84,0.23,0.84,INF,-1,0,7,0
20,1,1,4.974,-5.229,0.46,-0.49,0.46,-0.49,INF,-1,0,7,0
40,1,1,10.080,10.376,0.94,0.97,0.94,0.97,INF,-1,0,7,0
60,1,1,1.596,15.071,0.15,1.41,0.15,1.41,INF,-1,0,7,0
80,1,1,7.745,11.022,0.72,1.03,0.72,1.03,INF,-1,0,7,0
100,1,1,5.282,11.889,0.49,1.11,0.49,1.11,INF,-1,0,7,0
120,1,1,11.474,-2.391,1.07,-0.22,1.07,-0.22,INF,-1,0,7,0
140,1,1,7.187,5.588,0.67,0.52,0.67,0.52,INF,-1,0,7,0
160,1,1,3.457,13.451,0.32,1.26,0.32,1.26,INF,-1,0,7,0
180,1,1,6.664,5.156,0.62,0.48,0.62,0.48,INF,-1,0,7,0
200,1,1,19.020,2.021,1.78,0.19,1.78,0.19,INF,-1,0,7,0
220,1,1,18.671,9.487,1.74,0.89,1.74,0.89,INF,-1,0,7,0
240,1,1,19.525,10.919,1.82,1.02,1.82,1.02,INF,-1,0,7,0
260,1,1,21.691,9.772,2.03,0.91,2.03,0.91,INF,-1,0,7,0
280,1,1,22.950,5.480,2.14,0.51,2.14,0.51,INF,-1,1,7,0
300,1,1,30.630,1.563,2.86,0.15,2.86,0.15,INF,-1,0,7,0
320,1,1,27.876,6.045,2.60,0.56,2.60,0.56,INF,-1,0,7,0
340,1,1,17.674,11.761,1.65,1.10,1.65,1.10,INF,-1,0,7,0
360,1,1,15.500,10.019,1.45,0.94,1.45,0.94,INF,-1,0,7,0
380,1,1,17.288,7.326,1.62,0.68,1.62,0.68,INF,-1,0,7,0
400,1,1,16.218,0.710,1.52,0.07,1.52,0.07,INF,-1,0,7,0
420,1,1,8.136,-1.024,0.76,-0.10,0.76,-0.10,INF,-1,0,7,0
440,1,1,16.470,-5.310,1.54,-0.50,1.54,-0.50,INF,-1,0,7,0
460,1,1,12.408,-7.944,1.16,-0.74,1.16,-0.74,INF,-1,0,7,0
480,1,1,6.127,-2.878,0.57,-0.27,0.57,-0.27,INF,-1,0,7,0
500,1,1,3.185,2.859,0.30,0.27,0.30,0.27,INF,-1,0,7,0
520,1,1,6.032,2.101,0.56,0.20,0.56,0.20,INF,-1,0,7,0
540,1,1,10.587,-4.030,0.99,-0.38,0.99,-0.38,INF,-1,0,7,0
560,1,1,-7.746,0.118,-0.72,0.01,-0.72,0.01,INF,-1,1,7,0
580,1,1,-21.089,-8.141,-1.97,-0.76,-1.97,-0.76,INF,-1,1,7,0
600,1,1,-22.626,-5.932,-2.11,-0.55,-2.11,-0.55,INF,-1,0,7,0
620,1,1,-22.703,-6.680,-2.12,-0.62,-2.12,-0.62,INF,-1,0,7,0
640,1,1,-30.891,1.789,-2.88,0.17,-2.88,0.17,INF,-1,0,7,0
660,1,1,-19.930,-0.432,-1.86,-0.04,-1.86,-0.04,INF,-1,0,7,0
680,1,1,-17.673,-9.506,-1.65,-0.89,-1.65,-0.89,INF,-1,0,7,0
700,1,1,-28.192,0.065,-2.63,0.01,-2.63,0.01,INF,-1,0,7,0
720,1,1,-24.931,-12.134,-2.33,-1.13,-2.33,-1.13,INF,-1,0,7,0
740,1,1,-24.394,6.973,-2.28,0.65,-2.28,0.65,INF,-1,0,7,0
760,1,1,-20.909,-1.501,-1.95,-0.14,-1.95,-0.14,INF,-1,0,7,0
780,1,1,-26.663,-0.545,-2.49,-0.05,-2.49,-0.05,INF,-1,0,7,0
800,1,1,-20.261,0.571,-1.89,0.05,-1.89,0.05,INF,-1,0,7,0
820,1,1,-4.245,0.879,-0.40,0.08,-0.40,0.08,INF,-1,0,7,0
840,1,1,-6.335,6.940,-0.59,0.65,-0.59,0.65,INF,-1,0,7,0
860,1,1,-9.480,10.988,-0.89,1.03,-0.89,1.03,INF,-1,0,7,0
880,1,1,-8.401,11.064,-0.79,1.03,-0.79,1.03,INF,-1,0,7,0
900,1,1,-7.885,9.515,-0.74,0.89,-0.74,0.89,INF,-1,0,7,0
920,1,1,-4.797,5.508,-0.45,0.51,-0.45,0.51,INF,-1,0,7,0
