"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.01025
CalibrationParameters_A12,0.02417
CalibrationParameters_A13,0.07065
CalibrationParameters_A21,0.06917
CalibrationParameters_A22,-1.05466
CalibrationParameters_A23,-0.03329
CalibrationParameters_A31,0.00137
CalibrationParameters_A32,0.00054
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,0.00013
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20001
CalibrationParameters_X,8.86030
CalibrationParameters_Y,13.04790
CalibrationParameters_Rpc,49.33281
CalibrationParameters_MeanX,188.96156
CalibrationParameters_MeanY,130.85356
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-86.802,-24.635,-8.06,-2.28,-8.05,-2.30,INF,-1,0,7,0
20,1,1,-90.184,-21.917,-8.37,-2.03,-8.36,-2.05,INF,-1,0,7,0
40,1,1,-94.799,-20.530,-8.79,-1.90,-8.79,-1.92,INF,-1,0,7,0
60,1,1,-87.692,-23.627,-8.14,-2.19,-8.14,-2.21,INF,-1,0,7,0
80,1,1,-90.095,-21.228,-8.36,-1.96,-8.36,-1.98,INF,-1,0,7,0
100,1,1,-90.371,-19.602,-8.39,-1.81,-8.38,-1.83,INF,-1,0,7,0
120,1,1,-93.422,-23.125,-8.67,-2.14,-8.66,-2.16,INF,-1,0,7,0
140,1,1,-91.838,-25.961,-8.52,-2.40,-8.51,-2.43,INF,-1,0,7,0
160,1,1,-96.054,-24.698,-8.91,-2.28,-8.90,-2.31,INF,-1,0,7,0
180,1,1,6.216,-17.908,0.58,-1.67,0.58,-1.67,INF,-1,0,7,0
200,1,1,-5.898,-16.078,-0.55,-1.50,-0.55,-1.50,INF,-1,0,7,0
220,1,1,-9.271,-17.566,-0.87,-1.64,-0.87,-1.64,INF,-1,0,7,0
240,1,1,-9.695,-16.692,-0.91,-1.56,-0.91,-1.56,INF,-1,0,7,0
260,1,1,-8.247,-14.071,-0.77,-1.31,-0.77,-1.31,INF,-1,0,7,0
280,1,1,-10.184,-15.863,-0.95,-1.48,-0.95,-1.48,INF,-1,0,7,0
300,1,1,-7.062,-16.866,-0.66,-1.58,-0.66,-1.58,INF,-1,0,7,0
320,1,1,-6.324,-15.639,-0.59,-1.46,-0.59,-1.46,INF,-1,0,7,0
340,1,1,-7.662,-16.746,-0.72,-1.56,-0.72,-1.56,INF,-1,0,7,0
360,1,1,-6.202,-14.469,-0.58,-1.35,-0.58,-1.35,INF,-1,0,7,0
380,1,1,-5.799,-15.678,-0.54,-1.47,-0.54,-1.47,INF,-1,0,7,0
400,1,1,-6.799,-14.173,-0.64,-1.32,-0.64,-1.32,INF,-1,0,7,0
420,1,1,-8.092,-12.727,-0.76,-1.19,-0.76,-1.19,INF,-1,0,7,0
440,1,1,-8.664,-12.318,-0.81,-1.15,-0.81,-1.15,INF,-1,0,7,0
460,1,1,-7.675,-13.372,-0.72,-1.25,-0.72,-1.25,INF,-1,0,7,0
480,1,1,-7.278,-10.449,-0.68,-0.98,-0.68,-0.98,INF,-1,1,7,0
500,1,1,-12.949,-16.263,-1.21,-1.52,-1.21,-1.52,INF,-1,1,7,0
520,1,1,-5.166,-13.334,-0.48,-1.25,-0.48,-1.25,INF,-1,1,7,0
540,1,1,-10.683,-13.394,-1.00,-1.25,-1.00,-1.25,INF,-1,1,7,0
560,1,1,-3.342,-13.531,-0.31,-1.26,-0.31,-1.26,INF,-1,1,7,0
580,1,1,-38.209,-13.371,-3.57,-1.25,-3.57,-1.25,INF,-1,1,7,0
600,1,1,-40.004,-11.324,-3.73,-1.06,-3.73,-1.06,INF,-1,1,7,0
620,1,1,-42.647,-13.778,-3.98,-1.28,-3.98,-1.29,INF,-1,0,7,0
640,1,1,-36.727,-12.705,-3.43,-1.19,-3.43,-1.19,INF,-1,0,7,0
660,1,1,-42.413,-12.025,-3.96,-1.12,-3.96,-1.12,INF,-1,0,7,0
