"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05043
CalibrationParameters_A12,0.03902
CalibrationParameters_A13,-0.00464
CalibrationParameters_A21,0.07008
CalibrationParameters_A22,-1.09763
CalibrationParameters_A23,-0.02041
CalibrationParameters_A31,-0.00011
CalibrationParameters_A32,0.00027
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,-0.00005
CalibrationParameters_E21,0.00004
CalibrationParameters_E22,0.19996
CalibrationParameters_X,14.03720
CalibrationParameters_Y,24.62449
CalibrationParameters_Rpc,51.86760
CalibrationParameters_MeanX,194.82890
CalibrationParameters_MeanY,131.10282
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,1,1,21.897,0.196,2.05,0.02,2.05,0.02,INF,-1,0,7,0
140,1,1,16.749,2.170,1.57,0.20,1.57,0.20,INF,-1,0,7,0
160,1,1,17.030,8.704,1.59,0.81,1.59,0.81,INF,-1,0,7,0
180,1,1,23.440,11.055,2.19,1.03,2.19,1.03,INF,-1,0,7,0
200,1,1,15.187,11.835,1.42,1.11,1.42,1.11,INF,-1,0,7,0
220,1,1,15.331,10.114,1.43,0.94,1.43,0.95,INF,-1,0,7,0
240,1,1,21.242,7.228,1.98,0.68,1.98,0.68,INF,-1,0,7,0
260,1,1,25.487,2.966,2.38,0.28,2.38,0.28,INF,-1,0,7,0
280,1,1,22.624,5.116,2.11,0.48,2.11,0.48,INF,-1,0,7,0
300,1,1,15.934,14.190,1.49,1.33,1.49,1.33,INF,-1,0,7,0
320,1,1,18.076,5.020,1.69,0.47,1.69,0.47,INF,-1,0,7,0
340,1,1,2.530,-1.378,0.24,-0.13,0.24,-0.13,INF,-1,0,7,0
360,1,1,6.514,-2.069,0.61,-0.19,0.61,-0.19,INF,-1,0,7,0
380,1,1,3.470,-2.925,0.32,-0.27,0.32,-0.27,INF,-1,0,7,0
400,1,1,9.564,1.609,0.89,0.15,0.89,0.15,INF,-1,0,7,0
420,1,1,2.168,1.713,0.20,0.16,0.20,0.16,INF,-1,0,7,0
440,1,1,1.042,1.737,0.10,0.16,0.10,0.16,INF,-1,1,7,0
460,1,1,-7.120,3.460,-0.67,0.32,-0.67,0.32,INF,-1,0,7,0
480,1,1,-1.271,3.468,-0.12,0.32,-0.12,0.32,INF,-1,0,7,0
500,1,1,-1.273,2.204,-0.12,0.21,-0.12,0.21,INF,-1,0,7,0
520,1,1,3.721,3.405,0.35,0.32,0.35,0.32,INF,-1,0,7,0
540,1,1,1.416,4.062,0.13,0.38,0.13,0.38,INF,-1,0,7,0
560,1,1,-2.841,5.477,-0.27,0.51,-0.27,0.51,INF,-1,0,7,0
580,1,1,1.001,-6.781,0.09,-0.63,0.09,-0.63,INF,-1,0,7,0
600,1,1,-8.660,1.425,-0.81,0.13,-0.81,0.13,INF,-1,0,7,0
620,1,1,-2.600,0.227,-0.24,0.02,-0.24,0.02,INF,-1,0,7,0
640,1,1,-10.074,-4.835,-0.94,-0.45,-0.94,-0.45,INF,-1,0,7,0
660,1,1,-7.158,0.629,-0.67,0.06,-0.67,0.06,INF,-1,0,7,0
680,1,1,-7.445,-1.514,-0.70,-0.14,-0.70,-0.14,INF,-1,0,7,0
700,1,1,2.469,-1.306,0.23,-0.12,0.23,-0.12,INF,-1,1,7,0
720,1,1,2.181,2.488,0.20,0.23,0.20,0.23,INF,-1,1,7,0
740,1,1,-1.167,1.576,-0.11,0.15,-0.11,0.15,INF,-1,1,7,0
760,1,1,-5.933,-3.666,-0.55,-0.34,-0.55,-0.34,INF,-1,1,7,0
780,1,1,-23.594,-8.575,-2.20,-0.80,-2.20,-0.80,INF,-1,1,7,0
800,1,1,-31.568,-11.455,-2.95,-1.07,-2.95,-1.07,INF,-1,1,7,0
820,1,1,-33.097,-17.886,-3.09,-1.67,-3.09,-1.67,INF,-1,0,7,0
840,1,1,-29.702,-11.893,-2.77,-1.11,-2.77,-1.11,INF,-1,0,7,0
860,1,1,-34.461,-8.301,-3.22,-0.77,-3.22,-0.78,INF,-1,0,7,0
880,1,1,-31.047,-9.948,-2.90,-0.93,-2.90,-0.93,INF,-1,0,7,0
900,1,1,-34.510,-10.370,-3.22,-0.97,-3.22,-0.97,INF,-1,0,7,0
920,1,1,-32.495,-15.940,-3.03,-1.49,-3.03,-1.49,INF,-1,0,7,0
940,1,1,-32.140,-12.593,-3.00,-1.18,-3.00,-1.18,INF,-1,0,7,0
960,1,1,-30.949,-11.688,-2.89,-1.09,-2.89,-1.09,INF,-1,0,7,0
980,1,1,-37.015,-9.601,-3.46,-0.90,-3.46,-0.90,INF,-1,0,7,0
1000,1,1,-30.678,-6.888,-2.87,-0.64,-2.86,-0.64,INF,-1,0,7,0
1020,1,1,-38.898,-11.231,-3.63,-1.05,-3.63,-1.05,INF,-1,0,7,0
1040,1,1,-26.628,-16.003,-2.49,-1.49,-2.49,-1.50,INF,-1,0,7,0
1060,1,1,-29.023,-20.655,-2.71,-1.93,-2.71,-1.93,INF,-1,1,7,0
1080,1,1,-26.553,-16.430,-2.48,-1.53,-2.48,-1.54,INF,-1,1,7,0
1100,1,1,-37.587,-19.646,-3.51,-1.83,-3.51,-1.84,INF,-1,1,7,0
1120,1,1,-36.289,-13.064,-3.39,-1.22,-3.39,-1.22,INF,-1,1,7,0
1140,1,1,-27.984,-25.484,-2.61,-2.38,-2.61,-2.38,INF,-1,1,7,0
1160,1,1,-31.649,-19.175,-2.96,-1.79,-2.95,-1.79,INF,-1,1,7,0
1180,1,1,-37.152,-18.682,-3.47,-1.74,-3.47,-1.75,INF,-1,1,7,0
1200,1,1,-34.338,-16.849,-3.21,-1.57,-3.20,-1.57,INF,-1,1,7,0
1220,1,1,-30.744,-20.213,-2.87,-1.89,-2.87,-1.89,INF,-1,1,7,0
1240,1,1,-36.115,-19.808,-3.37,-1.85,-3.37,-1.85,INF,-1,1,7,0
1260,1,1,-28.530,-17.498,-2.66,-1.63,-2.66,-1.64,INF,-1,1,7,0
1280,1,1,-27.608,-24.141,-2.58,-2.25,-2.58,-2.26,INF,-1,1,7,0
1300,1,1,-33.913,-18.753,-3.17,-1.75,-3.17,-1.75,INF,-1,1,7,0
1320,1,1,-3.183,-5.107,-0.30,-0.48,-0.30,-0.48,INF,-1,1,7,0
1340,1,1,7.973,3.146,0.75,0.29,0.75,0.29,INF,-1,1,7,0
