"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.05043
CalibrationParameters_A12,0.02610
CalibrationParameters_A13,-0.05930
CalibrationParameters_A21,0.04718
CalibrationParameters_A22,-1.05787
CalibrationParameters_A23,0.03974
CalibrationParameters_A31,-0.00108
CalibrationParameters_A32,-0.00056
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,-0.00011
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.19989
CalibrationParameters_X,9.46660
CalibrationParameters_Y,21.32994
CalibrationParameters_Rpc,52.42334
CalibrationParameters_MeanX,194.74223
CalibrationParameters_MeanY,141.73411
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,0.686,-16.894,0.06,-1.58,0.06,-1.58,INF,-1,0,7,0
40,1,1,1.323,-16.766,0.12,-1.57,0.12,-1.57,INF,-1,0,7,0
60,1,1,3.684,-19.250,0.34,-1.80,0.34,-1.80,INF,-1,0,7,0
80,1,1,2.725,-18.522,0.25,-1.73,0.25,-1.73,INF,-1,0,7,0
100,1,1,2.127,-16.224,0.20,-1.52,0.20,-1.52,INF,-1,0,7,0
120,1,1,0.603,-15.990,0.06,-1.49,0.06,-1.49,INF,-1,0,7,0
140,1,1,2.613,-17.770,0.24,-1.66,0.24,-1.66,INF,-1,0,7,0
160,1,1,2.625,-17.723,0.25,-1.66,0.25,-1.66,INF,-1,0,7,0
180,1,1,2.935,-16.123,0.27,-1.51,0.27,-1.51,INF,-1,0,7,0
200,1,1,6.716,-4.555,0.63,-0.43,0.63,-0.43,INF,-1,0,7,0
220,1,1,5.997,-0.870,0.56,-0.08,0.56,-0.08,INF,-1,0,7,0
240,1,1,5.644,-1.650,0.53,-0.15,0.53,-0.15,INF,-1,0,7,0
260,1,1,7.741,-4.722,0.72,-0.44,0.72,-0.44,INF,-1,0,7,0
280,1,1,9.383,-4.574,0.88,-0.43,0.88,-0.43,INF,-1,0,7,0
300,1,1,6.225,-4.229,0.58,-0.40,0.58,-0.40,INF,-1,1,7,0
320,1,1,7.023,-3.636,0.66,-0.34,0.66,-0.34,INF,-1,1,7,0
340,1,1,7.906,-2.878,0.74,-0.27,0.74,-0.27,INF,-1,1,7,0
360,1,1,6.984,-4.172,0.65,-0.39,0.65,-0.39,INF,-1,1,7,0
380,1,1,4.551,3.983,0.43,0.37,0.43,0.37,INF,-1,1,7,0
400,1,1,1.481,7.385,0.14,0.69,0.14,0.69,INF,-1,1,7,0
420,1,1,1.893,6.323,0.18,0.59,0.18,0.59,INF,-1,0,7,0
440,1,1,1.491,7.931,0.14,0.74,0.14,0.74,INF,-1,0,7,0
460,1,1,2.937,5.126,0.27,0.48,0.27,0.48,INF,-1,0,7,0
480,1,1,2.656,6.041,0.25,0.56,0.25,0.56,INF,-1,0,7,0
500,1,1,2.197,4.743,0.21,0.44,0.21,0.44,INF,-1,0,7,0
520,1,1,0.119,6.916,0.01,0.65,0.01,0.65,INF,-1,0,7,0
540,1,1,4.051,6.693,0.38,0.63,0.38,0.63,INF,-1,0,7,0
560,1,1,1.841,7.147,0.17,0.67,0.17,0.67,INF,-1,0,7,0
580,1,1,2.400,5.807,0.22,0.54,0.22,0.54,INF,-1,0,7,0
600,1,1,9.271,5.519,0.87,0.52,0.87,0.52,INF,-1,0,7,0
620,1,1,10.169,7.764,0.95,0.73,0.95,0.73,INF,-1,0,7,0
640,1,1,9.323,9.987,0.87,0.93,0.87,0.93,INF,-1,0,7,0
660,1,1,11.882,6.456,1.11,0.60,1.11,0.60,INF,-1,1,7,0
680,1,1,11.323,6.773,1.06,0.63,1.06,0.63,INF,-1,1,7,0
700,1,1,12.610,6.853,1.18,0.64,1.18,0.64,INF,-1,1,7,0
720,1,1,10.487,7.227,0.98,0.68,0.98,0.68,INF,-1,1,7,0
