"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02750
CalibrationParameters_A12,0.01228
CalibrationParameters_A13,0.06534
CalibrationParameters_A21,0.05848
CalibrationParameters_A22,-1.04859
CalibrationParameters_A23,-0.00337
CalibrationParameters_A31,0.00129
CalibrationParameters_A32,0.00006
CalibrationParameters_E11,-0.18011
CalibrationParameters_E12,-0.00010
CalibrationParameters_E21,0.00003
CalibrationParameters_E22,0.19994
CalibrationParameters_X,13.93375
CalibrationParameters_Y,13.53009
CalibrationParameters_Rpc,51.49631
CalibrationParameters_MeanX,164.83300
CalibrationParameters_MeanY,115.58076
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-140.413,-104.902,-12.90,-9.47,-12.72,-9.71,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,1,1,-25.621,21.773,-2.39,2.03,-2.39,2.03,INF,-1,0,7,0
320,1,1,-21.633,20.048,-2.02,1.87,-2.02,1.87,INF,-1,0,7,0
340,1,1,-22.308,22.943,-2.08,2.14,-2.08,2.14,INF,-1,0,7,0
360,1,1,-25.148,23.433,-2.35,2.19,-2.35,2.19,INF,-1,0,7,0
380,1,1,-22.973,23.172,-2.15,2.16,-2.14,2.16,INF,-1,0,7,0
400,1,1,-24.384,22.171,-2.28,2.07,-2.28,2.07,INF,-1,0,7,0
420,1,1,-22.542,22.637,-2.11,2.11,-2.10,2.11,INF,-1,0,7,0
440,1,1,-24.375,22.267,-2.28,2.08,-2.28,2.08,INF,-1,0,7,0
460,1,1,-22.610,24.258,-2.11,2.26,-2.11,2.27,INF,-1,0,7,0
480,1,1,-24.779,22.166,-2.31,2.07,-2.31,2.07,INF,-1,0,7,0
500,1,1,-22.714,21.521,-2.12,2.01,-2.12,2.01,INF,-1,0,7,0
520,1,1,-24.325,17.766,-2.27,1.66,-2.27,1.66,INF,-1,0,7,0
540,1,1,-26.346,14.973,-2.46,1.40,-2.46,1.40,INF,-1,0,7,0
560,1,1,-17.997,-1.395,-1.68,-0.13,-1.68,-0.13,INF,-1,0,7,0
580,1,1,-22.063,-0.968,-2.06,-0.09,-2.06,-0.09,INF,-1,1,7,0
600,1,1,-24.583,-2.829,-2.30,-0.26,-2.30,-0.26,INF,-1,0,7,0
620,1,1,-22.850,-4.325,-2.13,-0.40,-2.13,-0.40,INF,-1,0,7,0
640,1,1,-25.677,-0.989,-2.40,-0.09,-2.40,-0.09,INF,-1,0,7,0
660,1,1,-25.017,-2.959,-2.34,-0.28,-2.34,-0.28,INF,-1,0,7,0
680,1,1,-27.173,-3.646,-2.54,-0.34,-2.54,-0.34,INF,-1,0,7,0
700,1,1,-23.523,-3.458,-2.20,-0.32,-2.20,-0.32,INF,-1,0,7,0
720,1,1,-18.564,-1.531,-1.73,-0.14,-1.73,-0.14,INF,-1,0,7,0
740,1,1,-24.627,-10.960,-2.30,-1.02,-2.30,-1.02,INF,-1,0,7,0
760,1,1,-21.808,-7.514,-2.04,-0.70,-2.04,-0.70,INF,-1,0,7,0
780,1,1,-15.880,-12.136,-1.48,-1.13,-1.48,-1.13,INF,-1,0,7,0
800,1,1,-14.255,-5.935,-1.33,-0.55,-1.33,-0.55,INF,-1,0,7,0
820,1,1,-14.796,-6.978,-1.38,-0.65,-1.38,-0.65,INF,-1,0,7,0
840,1,1,-13.035,-6.930,-1.22,-0.65,-1.22,-0.65,INF,-1,1,7,0
860,1,1,-22.445,-8.473,-2.10,-0.79,-2.10,-0.79,INF,-1,1,7,0
880,1,1,-23.174,-12.042,-2.16,-1.12,-2.16,-1.13,INF,-1,1,7,0
900,1,1,-18.368,-10.305,-1.72,-0.96,-1.72,-0.96,INF,-1,1,7,0
920,1,1,27.220,4.487,2.54,0.42,2.54,0.42,INF,-1,1,7,0
940,1,1,37.820,21.696,3.53,2.02,3.53,2.03,INF,-1,1,7,0
960,1,1,41.642,24.939,3.89,2.32,3.88,2.33,INF,-1,0,7,0
980,1,1,38.035,23.303,3.55,2.17,3.55,2.18,INF,-1,0,7,0
1000,1,1,41.106,26.689,3.84,2.49,3.83,2.49,INF,-1,0,7,0
1020,1,1,38.564,21.912,3.60,2.04,3.60,2.05,INF,-1,0,7,0
1040,1,1,35.846,20.754,3.35,1.94,3.34,1.94,INF,-1,0,7,0
1060,1,1,35.062,16.333,3.27,1.52,3.27,1.53,INF,-1,0,7,0
1080,1,1,39.329,21.258,3.67,1.98,3.67,1.99,INF,-1,0,7,0
1100,1,1,39.921,21.801,3.73,2.03,3.72,2.04,INF,-1,0,7,0
1120,1,1,37.179,20.295,3.47,1.89,3.47,1.90,INF,-1,0,7,0
1140,1,1,39.245,19.909,3.66,1.86,3.66,1.86,INF,-1,0,7,0
1160,1,1,40.950,14.635,3.82,1.36,3.82,1.37,INF,-1,0,7,0
1180,1,1,39.606,12.590,3.70,1.17,3.70,1.18,INF,-1,0,7,0
1200,1,1,42.085,18.258,3.93,1.70,3.93,1.71,INF,-1,0,7,0
1220,1,1,43.512,19.784,4.06,1.84,4.06,1.85,INF,-1,1,7,0
1240,1,1,45.682,21.750,4.26,2.03,4.26,2.03,INF,-1,1,7,0
1260,1,1,47.284,19.387,4.41,1.81,4.41,1.81,INF,-1,1,7,0
1280,1,1,46.723,21.757,4.36,2.03,4.36,2.03,INF,-1,1,7,0
1300,1,1,47.242,20.026,4.41,1.87,4.40,1.87,INF,-1,1,7,0
1320,1,1,42.623,17.782,3.98,1.66,3.98,1.66,INF,-1,1,7,0
1340,1,1,47.516,19.653,4.43,1.83,4.43,1.84,INF,-1,1,7,0
1360,1,1,41.015,17.272,3.83,1.61,3.83,1.61,INF,-1,1,7,0
1380,1,1,43.588,21.537,4.07,2.01,4.06,2.01,INF,-1,1,7,0
