"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.01025
CalibrationParameters_A12,0.02417
CalibrationParameters_A13,0.07065
CalibrationParameters_A21,0.06917
CalibrationParameters_A22,-1.05466
CalibrationParameters_A23,-0.03329
CalibrationParameters_A31,0.00137
CalibrationParameters_A32,0.00054
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,0.00013
CalibrationParameters_E21,0.00009
CalibrationParameters_E22,0.20001
CalibrationParameters_X,8.86030
CalibrationParameters_Y,13.04790
CalibrationParameters_Rpc,49.33281
CalibrationParameters_MeanX,188.96156
CalibrationParameters_MeanY,130.85356
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,1,1,2.893,2.673,0.27,0.25,0.27,0.25,INF,-1,0,7,0
240,1,1,5.848,2.518,0.55,0.24,0.55,0.24,INF,-1,0,7,0
260,1,1,5.941,1.843,0.56,0.17,0.56,0.17,INF,-1,0,7,0
280,1,1,3.582,3.442,0.33,0.32,0.33,0.32,INF,-1,0,7,0
300,1,1,5.677,3.348,0.53,0.31,0.53,0.31,INF,-1,0,7,0
320,1,1,7.568,4.705,0.71,0.44,0.71,0.44,INF,-1,0,7,0
340,1,1,6.003,5.637,0.56,0.53,0.56,0.53,INF,-1,0,7,0
360,1,1,6.207,4.710,0.58,0.44,0.58,0.44,INF,-1,0,7,0
380,1,1,-3.257,-2.334,-0.30,-0.22,-0.30,-0.22,INF,-1,0,7,0
400,1,1,-3.340,-2.569,-0.31,-0.24,-0.31,-0.24,INF,-1,0,7,0
420,1,1,-5.447,-1.826,-0.51,-0.17,-0.51,-0.17,INF,-1,0,7,0
440,1,1,-1.834,-1.409,-0.17,-0.13,-0.17,-0.13,INF,-1,0,7,0
460,1,1,-5.128,-2.455,-0.48,-0.23,-0.48,-0.23,INF,-1,0,7,0
480,1,1,-1.957,-2.278,-0.18,-0.21,-0.18,-0.21,INF,-1,0,7,0
500,1,1,-9.730,-1.296,-0.91,-0.12,-0.91,-0.12,INF,-1,1,7,0
520,1,1,-5.637,-0.552,-0.53,-0.05,-0.53,-0.05,INF,-1,1,7,0
540,1,1,-3.776,3.358,-0.35,0.31,-0.35,0.31,INF,-1,1,7,0
560,1,1,-5.187,1.629,-0.48,0.15,-0.48,0.15,INF,-1,1,7,0
580,1,1,-0.477,0.460,-0.04,0.04,-0.04,0.04,INF,-1,1,7,0
600,1,1,-4.517,1.490,-0.42,0.14,-0.42,0.14,INF,-1,1,7,0
620,1,1,-5.486,-2.797,-0.51,-0.26,-0.51,-0.26,INF,-1,1,7,0
640,1,1,-1.771,-1.801,-0.17,-0.17,-0.17,-0.17,INF,-1,1,7,0
660,1,1,-6.769,0.922,-0.63,0.09,-0.63,0.09,INF,-1,1,7,0
680,1,1,-21.462,-4.797,-2.01,-0.45,-2.01,-0.45,INF,-1,1,7,0
700,1,1,-19.457,-4.458,-1.82,-0.42,-1.82,-0.42,INF,-1,1,7,0
720,1,1,-16.212,-3.339,-1.51,-0.31,-1.51,-0.31,INF,-1,0,7,0
740,1,1,-19.158,-3.928,-1.79,-0.37,-1.79,-0.37,INF,-1,0,7,0
760,1,1,-18.970,-5.066,-1.77,-0.47,-1.77,-0.47,INF,-1,0,7,0
780,1,1,-17.524,-6.760,-1.64,-0.63,-1.64,-0.63,INF,-1,0,7,0
800,1,1,-18.803,-1.861,-1.76,-0.17,-1.76,-0.17,INF,-1,0,7,0
820,1,1,-19.261,-2.119,-1.80,-0.20,-1.80,-0.20,INF,-1,0,7,0
840,1,1,-15.614,-3.566,-1.46,-0.33,-1.46,-0.33,INF,-1,0,7,0
860,1,1,-13.006,-6.784,-1.22,-0.63,-1.22,-0.63,INF,-1,0,7,0
880,1,1,18.706,-5.155,1.75,-0.48,1.75,-0.48,INF,-1,0,7,0
900,1,1,30.045,-6.067,2.81,-0.57,2.81,-0.57,INF,-1,0,7,0
920,1,1,24.471,-2.958,2.29,-0.28,2.29,-0.28,INF,-1,0,7,0
940,1,1,23.244,-5.453,2.17,-0.51,2.17,-0.51,INF,-1,0,7,0
960,1,1,26.538,-2.927,2.48,-0.27,2.48,-0.27,INF,-1,0,7,0
980,1,1,23.918,-4.178,2.23,-0.39,2.23,-0.39,INF,-1,0,7,0
1000,1,1,22.257,-5.721,2.08,-0.53,2.08,-0.53,INF,-1,0,7,0
1020,1,1,27.793,-4.237,2.60,-0.40,2.60,-0.40,INF,-1,0,7,0
1040,1,1,26.427,-5.198,2.47,-0.49,2.47,-0.49,INF,-1,0,7,0
1060,1,1,22.507,-5.000,2.10,-0.47,2.10,-0.47,INF,-1,0,7,0
1080,1,1,23.559,-5.067,2.20,-0.47,2.20,-0.47,INF,-1,0,7,0
1100,1,1,27.306,-4.465,2.55,-0.42,2.55,-0.42,INF,-1,0,7,0
1120,1,1,24.267,-4.695,2.27,-0.44,2.27,-0.44,INF,-1,0,7,0
1140,1,1,26.572,-4.640,2.48,-0.43,2.48,-0.43,INF,-1,1,7,0
1160,1,1,6.235,-4.912,0.58,-0.46,0.58,-0.46,INF,-1,1,7,0
1180,1,1,-3.064,-4.365,-0.29,-0.41,-0.29,-0.41,INF,-1,1,7,0
1200,1,1,-6.548,-3.961,-0.61,-0.37,-0.61,-0.37,INF,-1,0,7,0
1220,1,1,-4.388,-3.739,-0.41,-0.35,-0.41,-0.35,INF,-1,0,7,0
1240,1,1,-3.414,0.175,-0.32,0.02,-0.32,0.02,INF,-1,0,7,0
1260,1,1,-7.870,-2.573,-0.74,-0.24,-0.74,-0.24,INF,-1,0,7,0
1280,1,1,-7.470,-1.583,-0.70,-0.15,-0.70,-0.15,INF,-1,0,7,0
1300,1,1,-5.411,-1.919,-0.51,-0.18,-0.51,-0.18,INF,-1,0,7,0
1320,1,1,-7.914,-1.766,-0.74,-0.17,-0.74,-0.17,INF,-1,0,7,0
1340,1,1,-5.305,-3.325,-0.50,-0.31,-0.50,-0.31,INF,-1,0,7,0
