"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03830
CalibrationParameters_A12,0.01377
CalibrationParameters_A13,0.03741
CalibrationParameters_A21,0.05402
CalibrationParameters_A22,-1.05832
CalibrationParameters_A23,0.06023
CalibrationParameters_A31,0.00075
CalibrationParameters_A32,-0.00085
CalibrationParameters_E11,-0.17998
CalibrationParameters_E12,0.00013
CalibrationParameters_E21,-0.00024
CalibrationParameters_E22,0.20002
CalibrationParameters_X,19.44585
CalibrationParameters_Y,13.94229
CalibrationParameters_Rpc,50.56122
CalibrationParameters_MeanX,180.34489
CalibrationParameters_MeanY,104.05925
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-10.967,13.827,-1.02,1.29,-1.02,1.29,INF,-1,0,7,0
40,1,1,5.448,11.197,0.51,1.05,0.51,1.05,INF,-1,0,7,0
60,1,1,4.763,13.244,0.45,1.24,0.45,1.24,INF,-1,0,7,0
80,1,1,2.009,7.166,0.19,0.67,0.19,0.67,INF,-1,0,7,0
100,1,1,4.532,14.819,0.42,1.38,0.42,1.38,INF,-1,0,7,0
120,1,1,12.683,11.344,1.19,1.06,1.19,1.06,INF,-1,0,7,0
140,1,1,4.267,6.260,0.40,0.59,0.40,0.59,INF,-1,0,7,0
160,1,1,14.210,8.275,1.33,0.77,1.33,0.77,INF,-1,0,7,0
180,1,1,8.498,4.928,0.79,0.46,0.79,0.46,INF,-1,0,7,0
200,1,1,-0.373,9.669,-0.03,0.90,-0.03,0.90,INF,-1,0,7,0
220,1,1,6.375,8.838,0.60,0.83,0.60,0.83,INF,-1,0,7,0
240,1,1,4.384,9.281,0.41,0.87,0.41,0.87,INF,-1,0,7,0
260,1,1,15.370,13.575,1.44,1.27,1.44,1.27,INF,-1,0,7,0
280,1,1,3.616,-2.714,0.34,-0.25,0.34,-0.25,INF,-1,0,7,0
300,1,1,20.064,-2.855,1.87,-0.27,1.87,-0.27,INF,-1,0,7,0
320,1,1,7.095,-0.733,0.66,-0.07,0.66,-0.07,INF,-1,1,7,0
340,1,1,10.838,-7.822,1.01,-0.73,1.01,-0.73,INF,-1,1,7,0
360,1,1,24.872,-1.092,2.32,-0.10,2.32,-0.10,INF,-1,1,7,0
380,1,1,11.176,-3.790,1.04,-0.35,1.04,-0.35,INF,-1,0,7,0
400,1,1,17.237,-4.647,1.61,-0.43,1.61,-0.43,INF,-1,0,7,0
420,1,1,15.486,-2.433,1.45,-0.23,1.45,-0.23,INF,-1,0,7,0
440,1,1,14.695,-8.582,1.37,-0.80,1.37,-0.80,INF,-1,0,7,0
460,1,1,0.485,0.890,0.05,0.08,0.05,0.08,INF,-1,0,7,0
480,1,1,7.260,-10.296,0.68,-0.96,0.68,-0.96,INF,-1,0,7,0
500,1,1,3.976,-19.414,0.37,-1.81,0.37,-1.81,INF,-1,0,7,0
520,1,1,11.110,-21.338,1.04,-1.99,1.04,-1.99,INF,-1,0,7,0
540,1,1,8.385,-13.358,0.78,-1.25,0.78,-1.25,INF,-1,0,7,0
560,1,1,9.972,-12.302,0.93,-1.15,0.93,-1.15,INF,-1,0,7,0
580,1,1,-1.192,-15.297,-0.11,-1.43,-0.11,-1.43,INF,-1,0,7,0
600,1,1,3.647,-18.532,0.34,-1.73,0.34,-1.73,INF,-1,0,7,0
620,1,1,0.082,-15.947,0.01,-1.49,0.01,-1.49,INF,-1,1,7,0
640,1,1,-1.648,-9.887,-0.15,-0.92,-0.15,-0.92,INF,-1,1,7,0
660,1,1,3.562,-12.743,0.33,-1.19,0.33,-1.19,INF,-1,1,7,0
680,1,1,-1.085,-16.022,-0.10,-1.50,-0.10,-1.50,INF,-1,1,7,0
700,1,1,10.482,-16.796,0.98,-1.57,0.98,-1.57,INF,-1,1,7,0
720,1,1,6.063,-16.667,0.57,-1.56,0.57,-1.56,INF,-1,1,7,0
740,1,1,0.808,-11.863,0.08,-1.11,0.08,-1.11,INF,-1,1,7,0
760,1,1,5.696,-14.026,0.53,-1.31,0.53,-1.31,INF,-1,1,7,0
780,1,1,2.052,-11.813,0.19,-1.10,0.19,-1.10,INF,-1,1,7,0
800,1,1,10.011,-10.156,0.94,-0.95,0.94,-0.95,INF,-1,1,7,0
820,1,1,6.717,-15.508,0.63,-1.45,0.63,-1.45,INF,-1,1,7,0
840,1,1,16.905,-14.903,1.58,-1.39,1.58,-1.39,INF,-1,1,7,0
860,1,1,10.428,-2.466,0.97,-0.23,0.97,-0.23,INF,-1,1,7,0
880,1,1,23.414,-13.639,2.19,-1.27,2.19,-1.27,INF,-1,1,7,0
900,1,1,24.628,-14.149,2.30,-1.32,2.30,-1.32,INF,-1,1,7,0
920,1,1,19.309,-12.132,1.80,-1.13,1.80,-1.13,INF,-1,0,7,0
940,1,1,19.797,-17.700,1.85,-1.65,1.85,-1.65,INF,-1,0,7,0
960,1,1,15.070,-6.838,1.41,-0.64,1.41,-0.64,INF,-1,0,7,0
980,1,1,29.663,-16.876,2.77,-1.58,2.77,-1.58,INF,-1,0,7,0
1000,1,1,16.240,-9.662,1.52,-0.90,1.52,-0.90,INF,-1,0,7,0
1020,1,1,23.752,-10.893,2.22,-1.02,2.22,-1.02,INF,-1,0,7,0
1040,1,1,20.242,-9.502,1.89,-0.89,1.89,-0.89,INF,-1,0,7,0
