"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.00919
CalibrationParameters_A12,0.04490
CalibrationParameters_A13,0.04814
CalibrationParameters_A21,0.03411
CalibrationParameters_A22,-1.05437
CalibrationParameters_A23,-0.08437
CalibrationParameters_A31,0.00092
CalibrationParameters_A32,0.00122
CalibrationParameters_E11,-0.18008
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,-0.00018
CalibrationParameters_E22,0.20003
CalibrationParameters_X,3.10219
CalibrationParameters_Y,-17.75504
CalibrationParameters_Rpc,70.88005
CalibrationParameters_MeanX,190.58814
CalibrationParameters_MeanY,133.96963
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,9.875,-40.449,0.92,-3.77,0.92,-3.78,INF,-1,0,7,0
20,1,1,3.414,-41.924,0.32,-3.91,0.32,-3.91,INF,-1,0,7,0
40,1,1,8.594,-41.759,0.80,-3.90,0.80,-3.90,INF,-1,0,7,0
60,1,1,7.842,-39.779,0.73,-3.71,0.73,-3.71,INF,-1,0,7,0
80,1,1,5.340,-42.257,0.50,-3.94,0.50,-3.94,INF,-1,0,7,0
100,1,1,8.568,-41.764,0.80,-3.90,0.80,-3.90,INF,-1,0,7,0
120,1,1,6.398,-40.022,0.60,-3.74,0.60,-3.74,INF,-1,0,7,0
140,1,1,9.212,-41.219,0.86,-3.85,0.86,-3.85,INF,-1,0,7,0
160,1,1,9.186,-39.714,0.86,-3.71,0.86,-3.71,INF,-1,0,7,0
180,1,1,4.833,-24.814,0.45,-2.32,0.45,-2.32,INF,-1,0,7,0
200,1,1,-7.861,-3.976,-0.73,-0.37,-0.73,-0.37,INF,-1,0,7,0
220,1,1,-9.251,-6.558,-0.86,-0.61,-0.86,-0.61,INF,-1,0,7,0
240,1,1,-8.328,-6.289,-0.78,-0.59,-0.78,-0.59,INF,-1,0,7,0
260,1,1,-7.567,-4.845,-0.71,-0.45,-0.71,-0.45,INF,-1,0,7,0
280,1,1,-10.048,-4.294,-0.94,-0.40,-0.94,-0.40,INF,-1,0,7,0
300,1,1,-8.105,-3.890,-0.76,-0.36,-0.76,-0.36,INF,-1,0,7,0
320,1,1,-9.860,-3.737,-0.92,-0.35,-0.92,-0.35,INF,-1,0,7,0
340,1,1,-10.417,-4.751,-0.97,-0.44,-0.97,-0.44,INF,-1,0,7,0
360,1,1,-8.740,-5.394,-0.82,-0.50,-0.82,-0.50,INF,-1,0,7,0
