"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02258
CalibrationParameters_A12,0.06259
CalibrationParameters_A13,-0.02208
CalibrationParameters_A21,0.02712
CalibrationParameters_A22,-1.05877
CalibrationParameters_A23,-0.10758
CalibrationParameters_A31,-0.00053
CalibrationParameters_A32,0.00147
CalibrationParameters_E11,-0.17985
CalibrationParameters_E12,-0.00017
CalibrationParameters_E21,0.00016
CalibrationParameters_E22,0.19998
CalibrationParameters_X,5.73042
CalibrationParameters_Y,-17.97625
CalibrationParameters_Rpc,70.51451
CalibrationParameters_MeanX,172.76598
CalibrationParameters_MeanY,137.54286
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,15.496,-3.299,1.45,-0.31,1.45,-0.31,INF,-1,0,7,0
20,1,1,15.331,-2.210,1.43,-0.21,1.43,-0.21,INF,-1,0,7,0
40,1,1,14.975,-1.318,1.40,-0.12,1.40,-0.12,INF,-1,0,7,0
60,1,1,14.236,-2.890,1.33,-0.27,1.33,-0.27,INF,-1,0,7,0
80,1,1,15.909,-1.382,1.49,-0.13,1.49,-0.13,INF,-1,0,7,0
100,1,1,14.601,-1.526,1.36,-0.14,1.36,-0.14,INF,-1,0,7,0
120,1,1,16.194,-1.069,1.51,-0.10,1.51,-0.10,INF,-1,0,7,0
140,1,1,15.500,-1.195,1.45,-0.11,1.45,-0.11,INF,-1,0,7,0
160,1,1,16.598,-0.933,1.55,-0.09,1.55,-0.09,INF,-1,0,7,0
180,1,1,14.947,-2.456,1.40,-0.23,1.40,-0.23,INF,-1,0,7,0
200,1,1,15.587,-2.769,1.46,-0.26,1.46,-0.26,INF,-1,0,7,0
220,1,1,16.048,-2.616,1.50,-0.24,1.50,-0.24,INF,-1,0,7,0
240,1,1,14.991,-2.245,1.40,-0.21,1.40,-0.21,INF,-1,0,7,0
260,1,1,3.123,-2.756,0.29,-0.26,0.29,-0.26,INF,-1,0,7,0
280,1,1,6.847,-3.375,0.64,-0.32,0.64,-0.32,INF,-1,1,7,0
300,1,1,6.456,-3.560,0.60,-0.33,0.60,-0.33,INF,-1,1,7,0
320,1,1,5.684,-3.286,0.53,-0.31,0.53,-0.31,INF,-1,1,7,0
340,1,1,6.426,-3.602,0.60,-0.34,0.60,-0.34,INF,-1,1,7,0
360,1,1,6.770,-3.168,0.63,-0.30,0.63,-0.30,INF,-1,1,7,0
380,1,1,5.364,-4.924,0.50,-0.46,0.50,-0.46,INF,-1,1,7,0
400,1,1,5.910,-4.610,0.55,-0.43,0.55,-0.43,INF,-1,1,7,0
420,1,1,5.828,-4.029,0.54,-0.38,0.54,-0.38,INF,-1,1,7,0
440,1,1,5.722,-4.399,0.53,-0.41,0.53,-0.41,INF,-1,1,7,0
460,1,1,5.444,-5.432,0.51,-0.51,0.51,-0.51,INF,-1,1,7,0
480,1,1,6.124,-6.384,0.57,-0.60,0.57,-0.60,INF,-1,1,7,0
500,1,1,7.359,23.021,0.69,2.15,0.69,2.15,INF,-1,1,7,0
520,1,1,6.581,18.240,0.62,1.70,0.61,1.70,INF,-1,1,7,0
540,1,1,6.125,20.051,0.57,1.87,0.57,1.87,INF,-1,0,7,0
560,1,1,6.375,18.872,0.60,1.76,0.60,1.76,INF,-1,0,7,0
580,1,1,5.794,19.644,0.54,1.84,0.54,1.84,INF,-1,0,7,0
600,1,1,6.537,19.374,0.61,1.81,0.61,1.81,INF,-1,0,7,0
620,1,1,5.864,20.110,0.55,1.88,0.55,1.88,INF,-1,0,7,0
640,1,1,7.007,21.401,0.65,2.00,0.65,2.00,INF,-1,0,7,0
660,1,1,5.637,20.416,0.53,1.91,0.53,1.91,INF,-1,0,7,0
680,1,1,7.238,19.530,0.68,1.82,0.68,1.82,INF,-1,0,7,0
700,1,1,6.763,18.918,0.63,1.77,0.63,1.77,INF,-1,0,7,0
720,1,1,7.135,20.161,0.67,1.88,0.67,1.88,INF,-1,0,7,0
740,1,1,5.908,20.793,0.55,1.94,0.55,1.94,INF,-1,0,7,0
760,1,1,6.853,20.300,0.64,1.90,0.64,1.90,INF,-1,0,7,0
780,1,1,6.443,20.626,0.60,1.93,0.60,1.93,INF,-1,1,7,0
800,1,1,7.118,19.964,0.67,1.87,0.66,1.87,INF,-1,1,7,0
820,1,1,6.247,18.658,0.58,1.74,0.58,1.74,INF,-1,1,7,0
840,1,1,6.341,20.104,0.59,1.88,0.59,1.88,INF,-1,1,7,0
860,1,1,7.967,19.863,0.74,1.86,0.74,1.86,INF,-1,1,7,0
880,1,1,1.127,26.093,0.11,2.44,0.11,2.44,INF,-1,1,7,0
900,1,1,2.269,28.526,0.21,2.66,0.21,2.66,INF,-1,1,7,0
920,1,1,1.570,28.230,0.15,2.64,0.15,2.64,INF,-1,1,7,0
940,1,1,1.532,29.579,0.14,2.76,0.14,2.76,INF,-1,1,7,0
960,1,1,2.749,29.643,0.26,2.77,0.26,2.77,INF,-1,1,7,0
980,1,1,2.612,27.914,0.24,2.61,0.24,2.61,INF,-1,1,7,0
1000,1,1,2.572,30.373,0.24,2.84,0.24,2.84,INF,-1,1,7,0
1020,1,1,1.027,30.912,0.10,2.89,0.10,2.89,INF,-1,1,7,0
1040,1,1,2.704,28.662,0.25,2.68,0.25,2.68,INF,-1,1,7,0
1060,1,1,2.263,30.533,0.21,2.85,0.21,2.85,INF,-1,1,7,0
1080,1,1,3.537,29.697,0.33,2.77,0.33,2.77,INF,-1,1,7,0
1100,1,1,2.087,30.600,0.20,2.86,0.19,2.86,INF,-1,0,7,0
1120,1,1,2.421,29.209,0.23,2.73,0.23,2.73,INF,-1,0,7,0
1140,1,1,3.281,31.783,0.31,2.97,0.31,2.97,INF,-1,0,7,0
1160,1,1,2.150,30.742,0.20,2.87,0.20,2.87,INF,-1,0,7,0
1180,1,1,3.931,30.483,0.37,2.85,0.37,2.85,INF,-1,0,7,0
1200,1,1,6.250,28.204,0.58,2.63,0.58,2.63,INF,-1,0,7,0
1220,1,1,5.172,27.404,0.48,2.56,0.48,2.56,INF,-1,0,7,0
1240,1,1,6.116,28.360,0.57,2.65,0.57,2.65,INF,-1,0,7,0
1260,1,1,3.975,27.054,0.37,2.53,0.37,2.53,INF,-1,0,7,0
1280,1,1,5.053,29.522,0.47,2.76,0.47,2.76,INF,-1,0,7,0
1300,1,1,6.091,28.209,0.57,2.63,0.57,2.63,INF,-1,0,7,0
1320,1,1,4.994,28.374,0.47,2.65,0.47,2.65,INF,-1,0,7,0
1340,1,1,4.870,27.818,0.46,2.60,0.45,2.60,INF,-1,1,7,0
1360,1,1,6.964,28.459,0.65,2.66,0.65,2.66,INF,-1,1,7,0
1380,1,1,7.445,28.014,0.70,2.62,0.70,2.62,INF,-1,1,7,0
1400,1,1,6.101,26.864,0.57,2.51,0.57,2.51,INF,-1,1,7,0
1420,1,1,5.137,26.763,0.48,2.50,0.48,2.50,INF,-1,1,7,0
1440,1,1,7.885,28.735,0.74,2.68,0.74,2.68,INF,-1,1,7,0
1460,1,1,8.529,6.691,0.80,0.63,0.80,0.63,INF,-1,1,7,0
1480,1,1,2.852,-2.063,0.27,-0.19,0.27,-0.19,INF,-1,1,7,0
1500,1,1,5.601,-0.031,0.52,0.00,0.52,0.00,INF,-1,0,7,0
1520,1,1,3.762,-0.466,0.35,-0.04,0.35,-0.04,INF,-1,0,7,0
1540,1,1,3.870,-2.162,0.36,-0.20,0.36,-0.20,INF,-1,0,7,0
1560,1,1,4.570,-0.922,0.43,-0.09,0.43,-0.09,INF,-1,0,7,0
1580,1,1,4.030,-0.381,0.38,-0.04,0.38,-0.04,INF,-1,0,7,0
1600,1,1,4.069,-0.470,0.38,-0.04,0.38,-0.04,INF,-1,0,7,0
1620,1,1,5.302,-1.326,0.50,-0.12,0.50,-0.12,INF,-1,0,7,0
1640,1,1,4.984,-2.636,0.47,-0.25,0.47,-0.25,INF,-1,0,7,0
1660,1,1,3.460,-1.638,0.32,-0.15,0.32,-0.15,INF,-1,0,7,0
1680,1,1,4.512,-1.671,0.42,-0.16,0.42,-0.16,INF,-1,0,7,0
1700,1,1,4.818,-1.093,0.45,-0.10,0.45,-0.10,INF,-1,0,7,0
1720,1,1,5.091,-1.637,0.48,-0.15,0.48,-0.15,INF,-1,0,7,0
1740,1,1,2.695,-3.328,0.25,-0.31,0.25,-0.31,INF,-1,1,7,0
1760,1,1,3.547,-2.798,0.33,-0.26,0.33,-0.26,INF,-1,1,7,0
1780,1,1,3.905,-2.311,0.36,-0.22,0.36,-0.22,INF,-1,1,7,0
1800,1,1,3.568,-1.432,0.33,-0.13,0.33,-0.13,INF,-1,1,7,0
1820,1,1,4.584,-2.593,0.43,-0.24,0.43,-0.24,INF,-1,1,7,0
1840,1,1,4.190,-0.761,0.39,-0.07,0.39,-0.07,INF,-1,1,7,0
1860,1,1,2.506,-2.651,0.23,-0.25,0.23,-0.25,INF,-1,1,7,0
1880,1,1,4.228,-2.172,0.40,-0.20,0.40,-0.20,INF,-1,1,7,0
1900,1,1,11.590,7.031,1.08,0.66,1.08,0.66,INF,-1,1,7,0
1920,1,1,9.535,7.643,0.89,0.71,0.89,0.71,INF,-1,1,7,0
1940,1,1,9.239,7.522,0.86,0.70,0.86,0.70,INF,-1,1,7,0
1960,1,1,8.919,7.856,0.83,0.73,0.83,0.73,INF,-1,1,7,0
1980,1,1,11.282,7.959,1.05,0.74,1.05,0.74,INF,-1,1,7,0
2000,1,1,8.766,7.455,0.82,0.70,0.82,0.70,INF,-1,1,7,0
2020,1,1,10.246,7.666,0.96,0.72,0.96,0.72,INF,-1,1,7,0
2040,1,1,9.844,8.579,0.92,0.80,0.92,0.80,INF,-1,1,7,0
2060,1,1,9.459,6.081,0.88,0.57,0.88,0.57,INF,-1,1,7,0
2080,1,1,9.133,7.500,0.85,0.70,0.85,0.70,INF,-1,1,7,0
2100,1,1,8.253,7.829,0.77,0.73,0.77,0.73,INF,-1,1,7,0
2120,1,1,9.733,7.325,0.91,0.68,0.91,0.68,INF,-1,1,7,0
2140,1,1,9.720,8.159,0.91,0.76,0.91,0.76,INF,-1,1,7,0
2160,1,1,9.152,8.332,0.86,0.78,0.86,0.78,INF,-1,1,7,0
2180,1,1,10.534,9.736,0.98,0.91,0.98,0.91,INF,-1,0,7,0
2200,1,1,8.685,17.881,0.81,1.67,0.81,1.67,INF,-1,0,7,0
2220,1,1,6.963,16.750,0.65,1.57,0.65,1.57,INF,-1,0,7,0
2240,1,1,7.972,15.620,0.75,1.46,0.74,1.46,INF,-1,0,7,0
2260,1,1,7.958,17.552,0.74,1.64,0.74,1.64,INF,-1,0,7,0
2280,1,1,7.985,17.432,0.75,1.63,0.75,1.63,INF,-1,0,7,0
2300,1,1,7.526,16.729,0.70,1.56,0.70,1.56,INF,-1,0,7,0
