"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02033
CalibrationParameters_A12,0.04040
CalibrationParameters_A13,0.00143
CalibrationParameters_A21,0.05041
CalibrationParameters_A22,-1.06669
CalibrationParameters_A23,-0.00251
CalibrationParameters_A31,0.00003
CalibrationParameters_A32,0.00003
CalibrationParameters_E11,-0.18000
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19998
CalibrationParameters_X,1.30307
CalibrationParameters_Y,-19.41593
CalibrationParameters_Rpc,72.50426
CalibrationParameters_MeanX,189.52035
CalibrationParameters_MeanY,130.93632
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,6.673,-9.433,0.62,-0.88,0.62,-0.88,INF,-1,0,7,0
20,1,1,6.136,-8.379,0.57,-0.78,0.57,-0.78,INF,-1,0,7,0
40,1,1,6.170,-8.234,0.58,-0.77,0.58,-0.77,INF,-1,0,7,0
60,1,1,4.685,-9.446,0.44,-0.88,0.44,-0.88,INF,-1,0,7,0
80,1,1,7.066,-8.854,0.66,-0.83,0.66,-0.83,INF,-1,0,7,0
100,1,1,5.416,-10.093,0.51,-0.94,0.51,-0.94,INF,-1,0,7,0
120,1,1,5.386,-9.837,0.50,-0.92,0.50,-0.92,INF,-1,0,7,0
140,1,1,5.935,-8.081,0.55,-0.76,0.55,-0.76,INF,-1,0,7,0
160,1,1,6.129,-8.210,0.57,-0.77,0.57,-0.77,INF,-1,0,7,0
180,1,1,6.713,-9.006,0.63,-0.84,0.63,-0.84,INF,-1,0,7,0
200,1,1,6.469,-8.627,0.60,-0.81,0.60,-0.81,INF,-1,0,7,0
220,1,1,19.777,3.919,1.85,0.37,1.85,0.37,INF,-1,0,7,0
240,1,1,15.667,3.629,1.46,0.34,1.46,0.34,INF,-1,0,7,0
260,1,1,16.245,2.764,1.52,0.26,1.52,0.26,INF,-1,0,7,0
280,1,1,16.684,1.920,1.56,0.18,1.56,0.18,INF,-1,0,7,0
300,1,1,17.525,2.847,1.64,0.27,1.64,0.27,INF,-1,0,7,0
320,1,1,17.534,3.038,1.64,0.28,1.64,0.28,INF,-1,1,7,0
340,1,1,16.616,3.202,1.55,0.30,1.55,0.30,INF,-1,1,7,0
360,1,1,16.840,2.070,1.57,0.19,1.57,0.19,INF,-1,1,7,0
380,1,1,18.159,3.061,1.70,0.29,1.70,0.29,INF,-1,1,7,0
400,1,1,17.323,2.833,1.62,0.26,1.62,0.26,INF,-1,1,7,0
420,1,1,16.832,3.079,1.57,0.29,1.57,0.29,INF,-1,1,7,0
440,1,1,-11.337,18.411,-1.06,1.72,-1.06,1.72,INF,-1,1,7,0
460,1,1,-9.805,24.039,-0.92,2.25,-0.92,2.25,INF,-1,1,7,0
480,1,1,-9.463,24.214,-0.88,2.26,-0.88,2.26,INF,-1,0,7,0
