"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03859
CalibrationParameters_A12,0.03818
CalibrationParameters_A13,-0.02073
CalibrationParameters_A21,0.05247
CalibrationParameters_A22,-1.07643
CalibrationParameters_A23,-0.03777
CalibrationParameters_A31,-0.00042
CalibrationParameters_A32,0.00049
CalibrationParameters_E11,-0.17987
CalibrationParameters_E12,0.00001
CalibrationParameters_E21,0.00005
CalibrationParameters_E22,0.19996
CalibrationParameters_X,6.62098
CalibrationParameters_Y,-19.26636
CalibrationParameters_Rpc,71.75896
CalibrationParameters_MeanX,166.13633
CalibrationParameters_MeanY,138.10767
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-58.111,-114.504,-5.42,-10.53,-5.32,-10.58,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,1,1,93.969,-110.157,8.72,-10.07,8.58,-10.19,INF,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,1,1,35.373,-42.704,3.30,-3.98,3.29,-3.99,INF,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,1,1,36.260,-42.350,3.39,-3.95,3.38,-3.95,INF,-1,0,7,0
200,1,1,-21.768,-4.818,-2.03,-0.45,-2.03,-0.45,INF,-1,0,7,0
220,1,1,-13.377,2.955,-1.25,0.28,-1.25,0.28,INF,-1,0,7,0
240,1,1,-13.630,5.576,-1.27,0.52,-1.27,0.52,INF,-1,0,7,0
260,1,1,-16.218,4.007,-1.52,0.37,-1.52,0.37,INF,-1,0,7,0
280,1,1,-13.281,4.583,-1.24,0.43,-1.24,0.43,INF,-1,0,7,0
300,1,1,-11.785,5.354,-1.10,0.50,-1.10,0.50,INF,-1,0,7,0
320,1,1,-13.208,4.024,-1.23,0.38,-1.23,0.38,INF,-1,0,7,0
340,1,1,-14.854,4.136,-1.39,0.39,-1.39,0.39,INF,-1,0,7,0
360,1,1,-11.693,3.968,-1.09,0.37,-1.09,0.37,INF,-1,0,7,0
380,1,1,-17.224,2.422,-1.61,0.23,-1.61,0.23,INF,-1,0,7,0
400,1,1,13.517,1.115,1.26,0.10,1.26,0.10,INF,-1,0,7,0
420,1,1,11.171,0.516,1.04,0.05,1.04,0.05,INF,-1,0,7,0
440,1,1,13.529,2.158,1.26,0.20,1.26,0.20,INF,-1,0,7,0
460,1,1,10.932,-0.012,1.02,0.00,1.02,0.00,INF,-1,0,7,0
480,1,1,9.691,-1.258,0.91,-0.12,0.91,-0.12,INF,-1,0,7,0
500,1,1,8.775,-0.336,0.82,-0.03,0.82,-0.03,INF,-1,0,7,0
520,1,1,10.848,-2.632,1.01,-0.25,1.01,-0.25,INF,-1,0,7,0
540,1,1,9.110,-1.146,0.85,-0.11,0.85,-0.11,INF,-1,0,7,0
560,1,1,9.658,-0.220,0.90,-0.02,0.90,-0.02,INF,-1,0,7,0
580,1,1,7.925,-1.220,0.74,-0.11,0.74,-0.11,INF,-1,1,7,0
600,1,1,16.233,-4.399,1.52,-0.41,1.52,-0.41,INF,-1,1,7,0
620,1,1,14.037,-1.826,1.31,-0.17,1.31,-0.17,INF,-1,1,7,0
640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
660,1,1,17.440,-1.473,1.63,-0.14,1.63,-0.14,INF,-1,1,7,0
680,1,1,18.874,0.483,1.76,0.05,1.76,0.05,INF,-1,0,7,0
700,1,1,17.108,-2.490,1.60,-0.23,1.60,-0.23,INF,-1,0,7,0
720,1,1,13.279,-3.216,1.24,-0.30,1.24,-0.30,INF,-1,0,7,0
740,1,1,14.051,-3.256,1.31,-0.30,1.31,-0.30,INF,-1,0,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
780,1,1,-102.562,-113.466,-9.50,-10.35,-9.34,-10.49,INF,-1,0,7,0
800,1,1,16.709,-0.363,1.56,-0.03,1.56,-0.03,INF,-1,0,7,0
820,1,1,13.965,-2.007,1.31,-0.19,1.31,-0.19,INF,-1,0,7,0
840,1,1,14.456,-2.798,1.35,-0.26,1.35,-0.26,INF,-1,0,7,0
860,1,1,13.016,-1.744,1.22,-0.16,1.22,-0.16,INF,-1,0,7,0
880,1,1,14.910,-4.103,1.39,-0.38,1.39,-0.38,INF,-1,1,7,0
900,1,1,11.777,-1.572,1.10,-0.15,1.10,-0.15,INF,-1,1,7,0
920,1,1,12.840,-0.426,1.20,-0.04,1.20,-0.04,INF,-1,1,7,0
940,1,1,11.884,-2.022,1.11,-0.19,1.11,-0.19,INF,-1,1,7,0
960,1,1,12.694,-0.980,1.19,-0.09,1.19,-0.09,INF,-1,1,7,0
980,1,1,10.883,-1.986,1.02,-0.19,1.02,-0.19,INF,-1,1,7,0
1000,1,1,11.013,-0.973,1.03,-0.09,1.03,-0.09,INF,-1,1,7,0
