"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.01690
CalibrationParameters_A12,0.07740
CalibrationParameters_A13,0.01972
CalibrationParameters_A21,0.01703
CalibrationParameters_A22,-1.08650
CalibrationParameters_A23,-0.07562
CalibrationParameters_A31,0.00030
CalibrationParameters_A32,0.00108
CalibrationParameters_E11,-0.18013
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,0.00005
CalibrationParameters_E22,0.19990
CalibrationParameters_X,6.42105
CalibrationParameters_Y,-17.72018
CalibrationParameters_Rpc,68.36706
CalibrationParameters_MeanX,170.34669
CalibrationParameters_MeanY,127.50223
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,16.978,17.173,1.59,1.60,1.59,1.60,INF,-1,0,7,0
20,1,1,19.625,17.814,1.83,1.66,1.83,1.66,INF,-1,0,7,0
40,1,1,16.347,17.239,1.53,1.61,1.53,1.61,INF,-1,0,7,0
60,1,1,15.043,18.443,1.41,1.72,1.41,1.72,INF,-1,0,7,0
80,1,1,17.200,18.770,1.61,1.75,1.61,1.75,INF,-1,0,7,0
100,1,1,17.574,17.968,1.64,1.68,1.64,1.68,INF,-1,0,7,0
120,1,1,15.358,19.214,1.44,1.79,1.43,1.80,INF,-1,0,7,0
140,1,1,16.792,17.217,1.57,1.61,1.57,1.61,INF,-1,0,7,0
160,1,1,13.755,17.155,1.29,1.60,1.28,1.60,INF,-1,0,7,0
180,1,1,-7.994,-4.639,-0.75,-0.43,-0.75,-0.43,INF,-1,0,7,0
200,1,1,-27.642,-12.708,-2.58,-1.19,-2.58,-1.19,INF,-1,0,7,0
220,1,1,-25.212,-13.250,-2.36,-1.24,-2.35,-1.24,INF,-1,0,7,0
