"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02739
CalibrationParameters_A12,0.03037
CalibrationParameters_A13,0.02930
CalibrationParameters_A21,0.05100
CalibrationParameters_A22,-1.07681
CalibrationParameters_A23,-0.10214
CalibrationParameters_A31,0.00054
CalibrationParameters_A32,0.00145
CalibrationParameters_E11,-0.17988
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.20018
CalibrationParameters_X,5.14127
CalibrationParameters_Y,-19.50289
CalibrationParameters_Rpc,71.38372
CalibrationParameters_MeanX,176.16444
CalibrationParameters_MeanY,128.87210
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-11.897,-1.091,-1.11,-0.10,-1.11,-0.10,INF,-1,0,7,0
20,1,1,-10.345,0.161,-0.97,0.02,-0.97,0.02,INF,-1,0,7,0
40,1,1,-8.818,-0.730,-0.82,-0.07,-0.82,-0.07,INF,-1,0,7,0
60,1,1,-10.654,0.234,-1.00,0.02,-1.00,0.02,INF,-1,0,7,0
80,1,1,-9.382,-1.992,-0.88,-0.19,-0.88,-0.19,INF,-1,0,7,0
100,1,1,-11.789,0.803,-1.10,0.08,-1.10,0.08,INF,-1,0,7,0
120,1,1,-11.063,1.413,-1.03,0.13,-1.03,0.13,INF,-1,0,7,0
140,1,1,-6.609,0.957,-0.62,0.09,-0.62,0.09,INF,-1,0,7,0
160,1,1,-9.613,0.614,-0.90,0.06,-0.90,0.06,INF,-1,0,7,0
180,1,1,-13.171,-0.861,-1.23,-0.08,-1.23,-0.08,INF,-1,0,7,0
200,1,1,-10.920,0.209,-1.02,0.02,-1.02,0.02,INF,-1,0,7,0
220,1,1,-8.858,1.810,-0.83,0.17,-0.83,0.17,INF,-1,0,7,0
240,1,1,-7.876,-0.492,-0.74,-0.05,-0.74,-0.05,INF,-1,0,7,0
260,1,1,2.056,3.697,0.19,0.35,0.19,0.35,INF,-1,0,7,0
280,1,1,-4.329,3.736,-0.40,0.35,-0.40,0.35,INF,-1,1,7,0
300,1,1,-4.527,7.089,-0.42,0.66,-0.42,0.66,INF,-1,1,7,0
320,1,1,-4.605,4.957,-0.43,0.46,-0.43,0.46,INF,-1,1,7,0
340,1,1,-1.395,4.349,-0.13,0.41,-0.13,0.41,INF,-1,1,7,0
360,1,1,-3.783,4.012,-0.35,0.37,-0.35,0.37,INF,-1,1,7,0
380,1,1,-2.986,4.746,-0.28,0.44,-0.28,0.44,INF,-1,1,7,0
400,1,1,-3.702,4.570,-0.35,0.43,-0.35,0.43,INF,-1,1,7,0
420,1,1,-6.117,6.889,-0.57,0.64,-0.57,0.64,INF,-1,1,7,0
440,1,1,-4.594,3.346,-0.43,0.31,-0.43,0.31,INF,-1,1,7,0
460,1,1,-3.267,3.970,-0.31,0.37,-0.31,0.37,INF,-1,1,7,0
480,1,1,-3.519,3.914,-0.33,0.37,-0.33,0.37,INF,-1,1,7,0
500,1,1,-3.116,5.420,-0.29,0.51,-0.29,0.51,INF,-1,1,7,0
520,1,1,0.403,7.707,0.04,0.72,0.04,0.72,INF,-1,1,7,0
