"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.03284
CalibrationParameters_A12,0.03899
CalibrationParameters_A13,-0.01606
CalibrationParameters_A21,0.04971
CalibrationParameters_A22,-1.06851
CalibrationParameters_A23,-0.03040
CalibrationParameters_A31,-0.00033
CalibrationParameters_A32,0.00043
CalibrationParameters_E11,-0.18006
CalibrationParameters_E12,0.00005
CalibrationParameters_E21,-0.00014
CalibrationParameters_E22,0.19993
CalibrationParameters_X,6.16206
CalibrationParameters_Y,-17.68771
CalibrationParameters_Rpc,72.28456
CalibrationParameters_MeanX,177.61956
CalibrationParameters_MeanY,136.11027
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,1,1,7.164,-11.762,0.67,-1.10,0.67,-1.10,INF,-1,0,7,0
160,1,1,4.220,-5.817,0.39,-0.54,0.39,-0.54,INF,-1,0,7,0
180,1,1,4.183,-5.303,0.39,-0.50,0.39,-0.50,INF,-1,0,7,0
200,1,1,4.566,-1.027,0.43,-0.10,0.43,-0.10,INF,-1,0,7,0
220,1,1,4.335,0.145,0.41,0.01,0.41,0.01,INF,-1,0,7,0
240,1,1,4.146,-0.730,0.39,-0.07,0.39,-0.07,INF,-1,0,7,0
260,1,1,4.619,-1.472,0.43,-0.14,0.43,-0.14,INF,-1,0,7,0
280,1,1,3.885,0.259,0.36,0.02,0.36,0.02,INF,-1,0,7,0
300,1,1,4.182,0.129,0.39,0.01,0.39,0.01,INF,-1,0,7,0
320,1,1,4.582,0.372,0.43,0.03,0.43,0.03,INF,-1,0,7,0
340,1,1,4.247,-0.489,0.40,-0.05,0.40,-0.05,INF,-1,0,7,0
360,1,1,3.785,-0.473,0.35,-0.04,0.35,-0.04,INF,-1,0,7,0
380,1,1,5.333,-0.767,0.50,-0.07,0.50,-0.07,INF,-1,0,7,0
400,1,1,24.090,0.372,2.25,0.03,2.25,0.03,INF,-1,0,7,0
420,1,1,21.381,0.461,2.00,0.04,2.00,0.04,INF,-1,0,7,0
440,1,1,21.467,0.118,2.01,0.01,2.01,0.01,INF,-1,0,7,0
460,1,1,21.449,0.630,2.00,0.06,2.00,0.06,INF,-1,0,7,0
480,1,1,21.072,0.005,1.97,0.00,1.97,0.00,INF,-1,0,7,0
500,1,1,20.257,0.855,1.89,0.08,1.89,0.08,INF,-1,0,7,0
520,1,1,20.330,0.198,1.90,0.02,1.90,0.02,INF,-1,1,7,0
540,1,1,19.642,-0.030,1.84,0.00,1.84,0.00,INF,-1,1,7,0
560,1,1,19.261,0.525,1.80,0.05,1.80,0.05,INF,-1,1,7,0
580,1,1,19.418,0.803,1.81,0.07,1.81,0.08,INF,-1,1,7,0
600,1,1,19.026,0.165,1.78,0.02,1.78,0.02,INF,-1,1,7,0
620,1,1,23.627,1.352,2.21,0.13,2.21,0.13,INF,-1,1,7,0
640,1,1,25.762,0.187,2.41,0.02,2.41,0.02,INF,-1,1,7,0
660,1,1,24.858,0.090,2.32,0.01,2.32,0.01,INF,-1,0,7,0
680,1,1,24.892,-0.545,2.33,-0.05,2.33,-0.05,INF,-1,0,7,0
700,1,1,24.821,-0.269,2.32,-0.03,2.32,-0.03,INF,-1,0,7,0
720,1,1,24.631,0.846,2.30,0.08,2.30,0.08,INF,-1,0,7,0
740,1,1,-15.241,-3.598,-1.42,-0.34,-1.42,-0.34,INF,-1,0,7,0
760,1,1,-22.076,-3.245,-2.06,-0.30,-2.06,-0.30,INF,-1,0,7,0
780,1,1,-21.814,-4.313,-2.04,-0.40,-2.04,-0.40,INF,-1,0,7,0
800,1,1,-21.942,-4.306,-2.05,-0.40,-2.05,-0.40,INF,-1,0,7,0
820,1,1,-23.002,-3.817,-2.15,-0.36,-2.15,-0.36,INF,-1,0,7,0
840,1,1,-23.688,-4.896,-2.21,-0.46,-2.21,-0.46,INF,-1,0,7,0
860,1,1,-23.500,-4.760,-2.20,-0.44,-2.20,-0.44,INF,-1,0,7,0
880,1,1,-23.777,-4.992,-2.22,-0.47,-2.22,-0.47,INF,-1,0,7,0
900,1,1,-23.419,-4.919,-2.19,-0.46,-2.19,-0.46,INF,-1,0,7,0
920,1,1,-21.436,-4.931,-2.00,-0.46,-2.00,-0.46,INF,-1,0,7,0
940,1,1,-22.713,-4.825,-2.12,-0.45,-2.12,-0.45,INF,-1,0,7,0
960,1,1,-22.473,-4.375,-2.10,-0.41,-2.10,-0.41,INF,-1,0,7,0
980,1,1,-22.641,-4.586,-2.12,-0.43,-2.12,-0.43,INF,-1,0,7,0
1000,1,1,-22.627,-4.823,-2.11,-0.45,-2.11,-0.45,INF,-1,0,7,0
1020,1,1,-22.081,-4.468,-2.06,-0.42,-2.06,-0.42,INF,-1,1,7,0
1040,1,1,-21.314,-4.179,-1.99,-0.39,-1.99,-0.39,INF,-1,1,7,0
1060,1,1,-20.718,-4.471,-1.94,-0.42,-1.94,-0.42,INF,-1,1,7,0
1080,1,1,-20.308,-3.914,-1.90,-0.37,-1.90,-0.37,INF,-1,1,7,0
1100,1,1,-20.945,-3.744,-1.96,-0.35,-1.96,-0.35,INF,-1,1,7,0
1120,1,1,-20.590,-4.088,-1.92,-0.38,-1.92,-0.38,INF,-1,1,7,0
1140,1,1,-21.084,-4.917,-1.97,-0.46,-1.97,-0.46,INF,-1,1,7,0
1160,1,1,-20.211,-5.585,-1.89,-0.52,-1.89,-0.52,INF,-1,1,7,0
1180,1,1,13.143,0.660,1.23,0.06,1.23,0.06,INF,-1,1,7,0
1200,1,1,15.926,-0.113,1.49,-0.01,1.49,-0.01,INF,-1,1,7,0
1220,1,1,17.038,-1.452,1.59,-0.14,1.59,-0.14,INF,-1,0,7,0
1240,1,1,16.674,-0.876,1.56,-0.08,1.56,-0.08,INF,-1,0,7,0
1260,1,1,15.731,0.648,1.47,0.06,1.47,0.06,INF,-1,0,7,0
1280,1,1,16.959,0.097,1.58,0.01,1.58,0.01,INF,-1,0,7,0
1300,1,1,16.444,-1.129,1.54,-0.11,1.54,-0.11,INF,-1,0,7,0
1320,1,1,16.992,-0.348,1.59,-0.03,1.59,-0.03,INF,-1,0,7,0
1340,1,1,18.593,-0.971,1.74,-0.09,1.74,-0.09,INF,-1,0,7,0
1360,1,1,19.114,-0.199,1.79,-0.02,1.79,-0.02,INF,-1,0,7,0
1380,1,1,18.597,-1.693,1.74,-0.16,1.74,-0.16,INF,-1,0,7,0
1400,1,1,19.838,-0.074,1.85,-0.01,1.85,-0.01,INF,-1,0,7,0
1420,1,1,21.279,0.022,1.99,0.00,1.99,0.00,INF,-1,0,7,0
1440,1,1,35.766,5.652,3.34,0.53,3.34,0.53,INF,-1,0,7,0
1460,1,1,33.629,3.054,3.14,0.29,3.14,0.29,INF,-1,1,7,0
1480,1,1,34.990,4.289,3.27,0.40,3.27,0.40,INF,-1,0,7,0
1500,1,1,33.322,3.995,3.11,0.37,3.11,0.37,INF,-1,0,7,0
1520,1,1,33.448,3.275,3.12,0.31,3.12,0.31,INF,-1,0,7,0
1540,1,1,32.368,2.402,3.02,0.22,3.02,0.22,INF,-1,0,7,0
1560,1,1,33.755,2.375,3.15,0.22,3.15,0.22,INF,-1,0,7,0
1580,1,1,32.853,2.231,3.07,0.21,3.07,0.21,INF,-1,0,7,0
1600,1,1,31.804,1.672,2.97,0.16,2.97,0.16,INF,-1,0,7,0
1620,1,1,32.987,2.523,3.08,0.24,3.08,0.24,INF,-1,0,7,0
1640,1,1,32.424,4.001,3.03,0.37,3.03,0.37,INF,-1,0,7,0
1660,1,1,32.915,3.025,3.07,0.28,3.07,0.28,INF,-1,0,7,0
1680,1,1,-0.246,0.812,-0.02,0.08,-0.02,0.08,INF,-1,0,7,0
1700,1,1,1.233,0.016,0.12,0.00,0.12,0.00,INF,-1,0,7,0
1720,1,1,1.109,-0.868,0.10,-0.08,0.10,-0.08,INF,-1,0,7,0
1740,1,1,0.899,-0.681,0.08,-0.06,0.08,-0.06,INF,-1,0,7,0
1760,1,1,0.601,-1.566,0.06,-0.15,0.06,-0.15,INF,-1,0,7,0
1780,1,1,0.757,1.048,0.07,0.10,0.07,0.10,INF,-1,0,7,0
1800,1,1,0.558,-0.544,0.05,-0.05,0.05,-0.05,INF,-1,0,7,0
1820,1,1,0.409,-0.665,0.04,-0.06,0.04,-0.06,INF,-1,0,7,0
1840,1,1,2.102,0.221,0.20,0.02,0.20,0.02,INF,-1,0,7,0
