"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02258
CalibrationParameters_A12,0.06259
CalibrationParameters_A13,-0.02208
CalibrationParameters_A21,0.02712
CalibrationParameters_A22,-1.05877
CalibrationParameters_A23,-0.10758
CalibrationParameters_A31,-0.00053
CalibrationParameters_A32,0.00147
CalibrationParameters_E11,-0.17985
CalibrationParameters_E12,-0.00017
CalibrationParameters_E21,0.00016
CalibrationParameters_E22,0.19998
CalibrationParameters_X,5.73042
CalibrationParameters_Y,-17.97625
CalibrationParameters_Rpc,70.51451
CalibrationParameters_MeanX,172.76598
CalibrationParameters_MeanY,137.54286
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-30.730,-15.042,-2.87,-1.40,-2.87,-1.41,INF,-1,0,7,0
20,1,1,-33.914,-14.757,-3.17,-1.38,-3.17,-1.38,INF,-1,0,7,0
40,1,1,-29.001,-14.963,-2.71,-1.40,-2.71,-1.40,INF,-1,0,7,0
60,1,1,-21.698,-12.886,-2.03,-1.20,-2.03,-1.20,INF,-1,0,7,0
80,1,1,-6.068,-6.309,-0.57,-0.59,-0.57,-0.59,INF,-1,0,7,0
100,1,1,-9.816,-7.067,-0.92,-0.66,-0.92,-0.66,INF,-1,0,7,0
120,1,1,-10.009,-7.018,-0.94,-0.66,-0.94,-0.66,INF,-1,0,7,0
140,1,1,-6.593,-8.418,-0.62,-0.79,-0.62,-0.79,INF,-1,0,7,0
160,1,1,-8.442,-8.140,-0.79,-0.76,-0.79,-0.76,INF,-1,0,7,0
180,1,1,-8.507,-6.603,-0.80,-0.62,-0.80,-0.62,INF,-1,0,7,0
200,1,1,-7.139,-8.388,-0.67,-0.78,-0.67,-0.78,INF,-1,0,7,0
220,1,1,-4.860,-8.111,-0.45,-0.76,-0.45,-0.76,INF,-1,0,7,0
240,1,1,-6.236,-7.783,-0.58,-0.73,-0.58,-0.73,INF,-1,0,7,0
260,1,1,-7.395,-7.540,-0.69,-0.70,-0.69,-0.70,INF,-1,0,7,0
280,1,1,-1.907,-4.809,-0.18,-0.45,-0.18,-0.45,INF,-1,0,7,0
300,1,1,18.441,0.087,1.72,0.01,1.72,0.01,INF,-1,0,7,0
320,1,1,14.586,-0.465,1.36,-0.04,1.36,-0.04,INF,-1,0,7,0
340,1,1,13.960,-0.350,1.30,-0.03,1.30,-0.03,INF,-1,0,7,0
360,1,1,13.130,0.056,1.23,0.01,1.23,0.01,INF,-1,0,7,0
380,1,1,12.527,-1.940,1.17,-0.18,1.17,-0.18,INF,-1,0,7,0
400,1,1,11.941,0.425,1.12,0.04,1.12,0.04,INF,-1,0,7,0
420,1,1,13.418,1.542,1.25,0.14,1.25,0.14,INF,-1,0,7,0
440,1,1,13.367,1.468,1.25,0.14,1.25,0.14,INF,-1,1,7,0
460,1,1,14.501,-1.094,1.36,-0.10,1.36,-0.10,INF,-1,0,7,0
480,1,1,13.595,0.922,1.27,0.09,1.27,0.09,INF,-1,0,7,0
500,1,1,12.598,-0.810,1.18,-0.08,1.18,-0.08,INF,-1,0,7,0
520,1,1,4.353,-4.780,0.41,-0.45,0.41,-0.45,INF,-1,0,7,0
540,1,1,6.366,-3.550,0.60,-0.33,0.60,-0.33,INF,-1,0,7,0
560,1,1,4.380,-2.041,0.41,-0.19,0.41,-0.19,INF,-1,0,7,0
580,1,1,6.467,-1.503,0.60,-0.14,0.60,-0.14,INF,-1,0,7,0
600,1,1,5.469,-4.700,0.51,-0.44,0.51,-0.44,INF,-1,0,7,0
620,1,1,1.355,-5.296,0.13,-0.49,0.13,-0.49,INF,-1,0,7,0
640,1,1,-2.096,-7.603,-0.20,-0.71,-0.20,-0.71,INF,-1,0,7,0
660,1,1,-3.124,-15.495,-0.29,-1.45,-0.29,-1.45,INF,-1,0,7,0
680,1,1,-6.791,-15.068,-0.63,-1.41,-0.63,-1.41,INF,-1,0,7,0
700,1,1,-4.439,-17.101,-0.41,-1.60,-0.41,-1.60,INF,-1,0,7,0
720,1,1,-7.032,-15.316,-0.66,-1.43,-0.66,-1.43,INF,-1,0,7,0
740,1,1,-3.908,-16.695,-0.37,-1.56,-0.37,-1.56,INF,-1,0,7,0
760,1,1,-3.908,-17.131,-0.37,-1.60,-0.37,-1.60,INF,-1,0,7,0
780,1,1,-5.531,-16.586,-0.52,-1.55,-0.52,-1.55,INF,-1,1,7,0
800,1,1,-5.362,-15.777,-0.50,-1.47,-0.50,-1.47,INF,-1,1,7,0
820,1,1,-2.949,-16.637,-0.28,-1.55,-0.28,-1.55,INF,-1,1,7,0
840,1,1,-4.254,-14.797,-0.40,-1.38,-0.40,-1.38,INF,-1,1,7,0
860,1,1,-4.712,-14.650,-0.44,-1.37,-0.44,-1.37,INF,-1,1,7,0
880,1,1,-3.940,-17.272,-0.37,-1.61,-0.37,-1.61,INF,-1,1,7,0
900,1,1,-4.865,-16.498,-0.45,-1.54,-0.45,-1.54,INF,-1,1,7,0
920,1,1,-6.667,-15.003,-0.62,-1.40,-0.62,-1.40,INF,-1,1,7,0
940,1,1,-3.878,-16.798,-0.36,-1.57,-0.36,-1.57,INF,-1,1,7,0
