"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02594
CalibrationParameters_A12,0.03944
CalibrationParameters_A13,0.00539
CalibrationParameters_A21,0.04608
CalibrationParameters_A22,-1.07807
CalibrationParameters_A23,-0.05546
CalibrationParameters_A31,0.00006
CalibrationParameters_A32,0.00078
CalibrationParameters_E11,-0.17974
CalibrationParameters_E12,0.00007
CalibrationParameters_E21,-0.00007
CalibrationParameters_E22,0.20004
CalibrationParameters_X,7.09901
CalibrationParameters_Y,-18.18697
CalibrationParameters_Rpc,72.19770
CalibrationParameters_MeanX,153.15040
CalibrationParameters_MeanY,130.24991
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-20.923,-38.725,-1.95,-3.61,-1.95,-3.61,INF,-1,0,7,0
20,1,1,-21.952,-39.607,-2.05,-3.69,-2.05,-3.70,INF,-1,0,7,0
40,1,1,-21.268,-38.352,-1.99,-3.58,-1.98,-3.58,INF,-1,0,7,0
60,1,1,-21.695,-37.161,-2.03,-3.47,-2.02,-3.47,INF,-1,0,7,0
80,1,1,-20.946,-37.087,-1.96,-3.46,-1.95,-3.46,INF,-1,0,7,0
100,1,1,-21.981,-36.747,-2.05,-3.43,-2.05,-3.43,INF,-1,0,7,0
120,1,1,-21.411,-36.582,-2.00,-3.41,-2.00,-3.42,INF,-1,0,7,0
140,1,1,-20.843,-38.952,-1.95,-3.63,-1.94,-3.64,INF,-1,0,7,0
160,1,1,3.100,-8.652,0.29,-0.81,0.29,-0.81,INF,-1,0,7,0
180,1,1,2.182,-9.792,0.20,-0.92,0.20,-0.92,INF,-1,0,7,0
200,1,1,1.294,-10.491,0.12,-0.98,0.12,-0.98,INF,-1,0,7,0
220,1,1,1.222,-10.122,0.11,-0.95,0.11,-0.95,INF,-1,0,7,0
240,1,1,1.270,-9.996,0.12,-0.93,0.12,-0.93,INF,-1,0,7,0
260,1,1,1.923,-10.622,0.18,-0.99,0.18,-0.99,INF,-1,0,7,0
280,1,1,1.042,-10.033,0.10,-0.94,0.10,-0.94,INF,-1,0,7,0
300,1,1,1.006,-5.481,0.09,-0.51,0.09,-0.51,INF,-1,0,7,0
320,1,1,0.011,10.549,0.00,0.99,0.00,0.99,INF,-1,0,7,0
340,1,1,0.024,8.136,0.00,0.76,0.00,0.76,INF,-1,0,7,0
360,1,1,-2.519,7.499,-0.24,0.70,-0.24,0.70,INF,-1,0,7,0
