"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02739
CalibrationParameters_A12,0.03037
CalibrationParameters_A13,0.02930
CalibrationParameters_A21,0.05100
CalibrationParameters_A22,-1.07681
CalibrationParameters_A23,-0.10214
CalibrationParameters_A31,0.00054
CalibrationParameters_A32,0.00145
CalibrationParameters_E11,-0.17988
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,-0.00006
CalibrationParameters_E22,0.20018
CalibrationParameters_X,5.14127
CalibrationParameters_Y,-19.50289
CalibrationParameters_Rpc,71.38372
CalibrationParameters_MeanX,176.16444
CalibrationParameters_MeanY,128.87210
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
440,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
460,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
480,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
500,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
520,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
540,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
560,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
580,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
600,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
620,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
640,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
660,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
680,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
720,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
740,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
760,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
780,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
900,1,1,25.998,-6.162,2.43,-0.58,2.43,-0.58,INF,-1,0,7,0
920,1,1,23.493,-11.063,2.19,-1.03,2.19,-1.03,INF,-1,0,7,0
940,1,1,25.277,-9.802,2.36,-0.92,2.36,-0.92,INF,-1,0,7,0
960,1,1,24.893,-10.560,2.33,-0.99,2.33,-0.99,INF,-1,0,7,0
980,1,1,23.939,-9.929,2.24,-0.93,2.24,-0.93,INF,-1,0,7,0
1000,1,1,22.859,-6.951,2.14,-0.65,2.14,-0.65,INF,-1,0,7,0
1020,1,1,23.033,-11.040,2.15,-1.03,2.15,-1.03,INF,-1,0,7,0
1040,1,1,25.065,-9.164,2.34,-0.86,2.34,-0.86,INF,-1,0,7,0
1060,1,1,21.229,-9.749,1.98,-0.91,1.98,-0.91,INF,-1,0,7,0
1080,1,1,22.780,-7.960,2.13,-0.74,2.13,-0.74,INF,-1,0,7,0
1100,1,1,23.408,-9.833,2.19,-0.92,2.19,-0.92,INF,-1,0,7,0
1120,1,1,23.690,-9.605,2.21,-0.90,2.21,-0.90,INF,-1,0,7,0
1140,1,1,20.038,-6.929,1.87,-0.65,1.87,-0.65,INF,-1,0,7,0
1160,1,1,23.054,-8.302,2.15,-0.78,2.15,-0.78,INF,-1,0,7,0
1180,1,1,23.210,-9.271,2.17,-0.87,2.17,-0.87,INF,-1,1,7,0
1200,1,1,19.054,-9.196,1.78,-0.86,1.78,-0.86,INF,-1,1,7,0
1220,1,1,18.673,-8.506,1.74,-0.79,1.74,-0.80,INF,-1,1,7,0
1240,1,1,17.320,-7.141,1.62,-0.67,1.62,-0.67,INF,-1,1,7,0
1260,1,1,17.695,-9.872,1.65,-0.92,1.65,-0.92,INF,-1,1,7,0
1280,1,1,23.196,-7.240,2.17,-0.68,2.17,-0.68,INF,-1,1,7,0
1300,1,1,21.146,-5.489,1.98,-0.51,1.98,-0.51,INF,-1,1,7,0
1320,1,1,19.772,-4.081,1.85,-0.38,1.85,-0.38,INF,-1,1,7,0
1340,1,1,21.577,-2.982,2.02,-0.28,2.02,-0.28,INF,-1,1,7,0
1360,1,1,21.761,-7.305,2.03,-0.68,2.03,-0.68,INF,-1,1,7,0
1380,1,1,17.859,-7.438,1.67,-0.69,1.67,-0.70,INF,-1,1,7,0
1400,1,1,20.953,-7.075,1.96,-0.66,1.96,-0.66,INF,-1,1,7,0
1420,1,1,16.298,-6.077,1.52,-0.57,1.52,-0.57,INF,-1,1,7,0
