"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.01690
CalibrationParameters_A12,0.07740
CalibrationParameters_A13,0.01972
CalibrationParameters_A21,0.01703
CalibrationParameters_A22,-1.08650
CalibrationParameters_A23,-0.07562
CalibrationParameters_A31,0.00030
CalibrationParameters_A32,0.00108
CalibrationParameters_E11,-0.18013
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,0.00005
CalibrationParameters_E22,0.19990
CalibrationParameters_X,6.42105
CalibrationParameters_Y,-17.72018
CalibrationParameters_Rpc,68.36706
CalibrationParameters_MeanX,170.34669
CalibrationParameters_MeanY,127.50223
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,1,1,8.533,1.113,0.80,0.10,0.80,0.10,INF,-1,0,7,0
60,1,1,2.865,-7.618,0.27,-0.71,0.27,-0.71,INF,-1,0,7,0
80,1,1,4.547,-8.393,0.43,-0.78,0.42,-0.78,INF,-1,0,7,0
100,1,1,3.952,-8.085,0.37,-0.76,0.37,-0.76,INF,-1,0,7,0
120,1,1,4.094,-7.580,0.38,-0.71,0.38,-0.71,INF,-1,0,7,0
140,1,1,1.351,-7.582,0.13,-0.71,0.13,-0.71,INF,-1,0,7,0
160,1,1,4.199,-8.540,0.39,-0.80,0.39,-0.80,INF,-1,0,7,0
180,1,1,1.824,-6.055,0.17,-0.57,0.17,-0.57,INF,-1,0,7,0
200,1,1,5.287,-8.780,0.49,-0.82,0.49,-0.82,INF,-1,0,7,0
220,1,1,26.904,6.360,2.51,0.59,2.51,0.59,INF,-1,0,7,0
240,1,1,25.532,7.671,2.39,0.72,2.38,0.72,INF,-1,0,7,0
260,1,1,22.107,7.794,2.07,0.73,2.07,0.73,INF,-1,0,7,0
280,1,1,25.725,7.598,2.40,0.71,2.40,0.71,INF,-1,0,7,0
300,1,1,26.832,6.648,2.51,0.62,2.51,0.62,INF,-1,0,7,0
320,1,1,22.476,8.284,2.10,0.77,2.10,0.77,INF,-1,0,7,0
340,1,1,27.736,6.711,2.59,0.63,2.59,0.63,INF,-1,0,7,0
360,1,1,26.395,7.976,2.47,0.74,2.47,0.75,INF,-1,0,7,0
380,1,1,25.346,7.723,2.37,0.72,2.37,0.72,INF,-1,0,7,0
400,1,1,26.410,6.291,2.47,0.59,2.47,0.59,INF,-1,0,7,0
420,1,1,27.407,6.060,2.56,0.57,2.56,0.57,INF,-1,0,7,0
440,1,1,25.648,6.594,2.40,0.62,2.40,0.62,INF,-1,0,7,0
460,1,1,23.155,8.279,2.16,0.77,2.16,0.77,INF,-1,0,7,0
480,1,1,-1.188,7.536,-0.11,0.70,-0.11,0.70,INF,-1,0,7,0
500,1,1,-10.481,7.094,-0.98,0.66,-0.98,0.66,INF,-1,1,7,0
520,1,1,-11.049,6.458,-1.03,0.60,-1.03,0.60,INF,-1,0,7,0
540,1,1,-9.821,7.047,-0.92,0.66,-0.92,0.66,INF,-1,0,7,0
560,1,1,-10.001,5.919,-0.93,0.55,-0.93,0.55,INF,-1,0,7,0
580,1,1,-9.918,6.841,-0.93,0.64,-0.93,0.64,INF,-1,0,7,0
600,1,1,-10.600,6.323,-0.99,0.59,-0.99,0.59,INF,-1,0,7,0
620,1,1,-11.598,6.750,-1.08,0.63,-1.08,0.63,INF,-1,0,7,0
640,1,1,-11.241,4.584,-1.05,0.43,-1.05,0.43,INF,-1,0,7,0
660,1,1,-11.723,7.925,-1.10,0.74,-1.10,0.74,INF,-1,0,7,0
680,1,1,-11.556,6.438,-1.08,0.60,-1.08,0.60,INF,-1,0,7,0
700,1,1,-10.869,5.438,-1.02,0.51,-1.02,0.51,INF,-1,0,7,0
720,1,1,-9.784,4.582,-0.91,0.43,-0.91,0.43,INF,-1,0,7,0
740,1,1,-11.321,6.146,-1.06,0.57,-1.06,0.57,INF,-1,0,7,0
760,1,1,-12.336,5.813,-1.15,0.54,-1.15,0.54,INF,-1,1,7,0
780,1,1,-10.170,6.794,-0.95,0.63,-0.95,0.63,INF,-1,1,7,0
800,1,1,-10.683,7.298,-1.00,0.68,-1.00,0.68,INF,-1,1,7,0
820,1,1,-11.585,7.379,-1.08,0.69,-1.08,0.69,INF,-1,1,7,0
840,1,1,-13.161,7.925,-1.23,0.74,-1.23,0.74,INF,-1,1,7,0
860,1,1,-10.375,6.119,-0.97,0.57,-0.97,0.57,INF,-1,1,7,0
880,1,1,-12.430,7.958,-1.16,0.74,-1.16,0.74,INF,-1,1,7,0
900,1,1,-11.116,6.778,-1.04,0.63,-1.04,0.63,INF,-1,1,7,0
920,1,1,9.249,12.492,0.86,1.17,0.86,1.17,INF,-1,1,7,0
940,1,1,18.308,12.133,1.71,1.13,1.71,1.13,INF,-1,1,7,0
960,1,1,18.025,11.578,1.68,1.08,1.68,1.08,INF,-1,0,7,0
980,1,1,16.435,10.671,1.54,1.00,1.54,1.00,INF,-1,0,7,0
1000,1,1,17.828,12.620,1.67,1.18,1.67,1.18,INF,-1,0,7,0
1020,1,1,16.770,13.288,1.57,1.24,1.57,1.24,INF,-1,0,7,0
1040,1,1,18.194,11.306,1.70,1.06,1.70,1.06,INF,-1,0,7,0
1060,1,1,15.557,13.577,1.45,1.27,1.45,1.27,INF,-1,0,7,0
1080,1,1,17.459,10.882,1.63,1.02,1.63,1.02,INF,-1,0,7,0
1100,1,1,18.049,13.062,1.69,1.22,1.69,1.22,INF,-1,0,7,0
1120,1,1,17.084,12.006,1.60,1.12,1.60,1.12,INF,-1,0,7,0
1140,1,1,18.045,12.446,1.69,1.16,1.69,1.16,INF,-1,0,7,0
1160,1,1,19.097,11.078,1.78,1.03,1.78,1.04,INF,-1,0,7,0
1180,1,1,30.419,19.292,2.84,1.80,2.84,1.80,INF,-1,0,7,0
1200,1,1,26.106,18.719,2.44,1.75,2.44,1.75,INF,-1,1,7,0
1220,1,1,30.552,19.603,2.85,1.83,2.85,1.83,INF,-1,1,7,0
1240,1,1,27.586,18.266,2.58,1.71,2.58,1.71,INF,-1,1,7,0
1260,1,1,28.520,20.132,2.66,1.88,2.66,1.88,INF,-1,0,7,0
1280,1,1,28.029,18.843,2.62,1.76,2.62,1.76,INF,-1,0,7,0
1300,1,1,32.105,18.397,3.00,1.72,3.00,1.72,INF,-1,0,7,0
1320,1,1,33.461,19.613,3.12,1.83,3.12,1.83,INF,-1,0,7,0
1340,1,1,32.194,18.664,3.01,1.74,3.00,1.74,INF,-1,0,7,0
1360,1,1,32.283,18.781,3.01,1.75,3.01,1.75,INF,-1,0,7,0
1380,1,1,30.445,20.631,2.84,1.93,2.84,1.93,INF,-1,0,7,0
1400,1,1,30.804,18.147,2.88,1.69,2.88,1.70,INF,-1,0,7,0
1420,1,1,33.875,20.740,3.16,1.93,3.16,1.94,INF,-1,0,7,0
