"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.02033
CalibrationParameters_A12,0.04040
CalibrationParameters_A13,0.00143
CalibrationParameters_A21,0.05041
CalibrationParameters_A22,-1.06669
CalibrationParameters_A23,-0.00251
CalibrationParameters_A31,0.00003
CalibrationParameters_A32,0.00003
CalibrationParameters_E11,-0.18000
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19998
CalibrationParameters_X,1.30307
CalibrationParameters_Y,-19.41593
CalibrationParameters_Rpc,72.50426
CalibrationParameters_MeanX,189.52035
CalibrationParameters_MeanY,130.93632
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,1,1,15.666,-66.069,1.46,-6.15,1.46,-6.15,INF,-1,0,7,0
260,1,1,13.599,-59.842,1.27,-5.57,1.26,-5.58,INF,-1,0,7,0
280,1,1,13.173,-56.687,1.23,-5.28,1.23,-5.28,INF,-1,0,7,0
300,1,1,2.082,-24.122,0.19,-2.25,0.19,-2.25,INF,-1,0,7,0
320,1,1,-2.739,6.073,-0.26,0.57,-0.26,0.57,INF,-1,0,7,0
340,1,1,-3.508,3.343,-0.33,0.31,-0.33,0.31,INF,-1,0,7,0
360,1,1,-3.656,5.897,-0.34,0.55,-0.34,0.55,INF,-1,0,7,0
380,1,1,-3.166,3.507,-0.30,0.33,-0.30,0.33,INF,-1,0,7,0
400,1,1,-2.607,3.698,-0.24,0.35,-0.24,0.35,INF,-1,0,7,0
420,1,1,-2.884,3.090,-0.27,0.29,-0.27,0.29,INF,-1,0,7,0
440,1,1,-2.237,2.677,-0.21,0.25,-0.21,0.25,INF,-1,0,7,0
460,1,1,-2.954,2.412,-0.28,0.23,-0.28,0.23,INF,-1,0,7,0
480,1,1,-2.720,2.030,-0.25,0.19,-0.25,0.19,INF,-1,0,7,0
500,1,1,-1.478,-8.830,-0.14,-0.83,-0.14,-0.83,INF,-1,0,7,0
520,1,1,-2.880,-6.781,-0.27,-0.63,-0.27,-0.63,INF,-1,0,7,0
540,1,1,-1.098,-5.660,-0.10,-0.53,-0.10,-0.53,INF,-1,0,7,0
560,1,1,-2.554,-7.419,-0.24,-0.69,-0.24,-0.69,INF,-1,0,7,0
580,1,1,-3.356,-8.281,-0.31,-0.77,-0.31,-0.77,INF,-1,0,7,0
600,1,1,-2.571,-9.291,-0.24,-0.87,-0.24,-0.87,INF,-1,1,7,0
620,1,1,-2.442,-7.575,-0.23,-0.71,-0.23,-0.71,INF,-1,1,7,0
640,1,1,-3.978,-7.760,-0.37,-0.73,-0.37,-0.73,INF,-1,1,7,0
660,1,1,-3.376,-8.407,-0.32,-0.79,-0.32,-0.79,INF,-1,1,7,0
680,1,1,-2.867,-7.506,-0.27,-0.70,-0.27,-0.70,INF,-1,1,7,0
700,1,1,-4.530,-7.373,-0.42,-0.69,-0.42,-0.69,INF,-1,1,7,0
720,1,1,-3.276,-8.451,-0.31,-0.79,-0.31,-0.79,INF,-1,1,7,0
740,1,1,-2.578,-8.020,-0.24,-0.75,-0.24,-0.75,INF,-1,1,7,0
760,1,1,-2.753,-10.421,-0.26,-0.97,-0.26,-0.97,INF,-1,1,7,0
780,1,1,-4.025,-8.536,-0.38,-0.80,-0.38,-0.80,INF,-1,1,7,0
800,1,1,-1.857,-9.360,-0.17,-0.87,-0.17,-0.87,INF,-1,1,7,0
820,1,1,-4.122,-6.446,-0.39,-0.60,-0.39,-0.60,INF,-1,1,7,0
840,1,1,-4.084,-7.715,-0.38,-0.72,-0.38,-0.72,INF,-1,1,7,0
860,1,1,-2.565,-6.960,-0.24,-0.65,-0.24,-0.65,INF,-1,1,7,0
880,1,1,-5.151,-6.712,-0.48,-0.63,-0.48,-0.63,INF,-1,1,7,0
900,1,1,-3.929,-6.043,-0.37,-0.56,-0.37,-0.56,INF,-1,1,7,0
920,1,1,-4.342,-6.451,-0.41,-0.60,-0.41,-0.60,INF,-1,1,7,0
940,1,1,-4.867,-6.604,-0.45,-0.62,-0.45,-0.62,INF,-1,1,7,0
960,1,1,-3.328,-7.368,-0.31,-0.69,-0.31,-0.69,INF,-1,1,7,0
980,1,1,-4.111,-7.538,-0.38,-0.70,-0.38,-0.70,INF,-1,1,7,0
1000,1,1,-5.047,-5.905,-0.47,-0.55,-0.47,-0.55,INF,-1,1,7,0
1020,1,1,-4.256,-7.122,-0.40,-0.67,-0.40,-0.67,INF,-1,1,7,0
1040,1,1,-3.757,-5.943,-0.35,-0.56,-0.35,-0.56,INF,-1,1,7,0
1060,1,1,-5.776,-6.462,-0.54,-0.60,-0.54,-0.60,INF,-1,1,7,0
1080,1,1,-3.472,-5.965,-0.32,-0.56,-0.32,-0.56,INF,-1,1,7,0
1100,1,1,-3.417,-6.733,-0.32,-0.63,-0.32,-0.63,INF,-1,1,7,0
1120,1,1,-3.145,-7.563,-0.29,-0.71,-0.29,-0.71,INF,-1,1,7,0
1140,1,1,-3.528,-6.480,-0.33,-0.61,-0.33,-0.61,INF,-1,1,7,0
1160,1,1,-6.232,-5.323,-0.58,-0.50,-0.58,-0.50,INF,-1,1,7,0
1180,1,1,-5.872,-6.488,-0.55,-0.61,-0.55,-0.61,INF,-1,1,7,0
1200,1,1,-5.582,-6.349,-0.52,-0.59,-0.52,-0.59,INF,-1,1,7,0
1220,1,1,-4.996,-7.106,-0.47,-0.66,-0.47,-0.66,INF,-1,1,7,0
1240,1,1,-5.900,-6.950,-0.55,-0.65,-0.55,-0.65,INF,-1,1,7,0
1260,1,1,-4.892,-6.117,-0.46,-0.57,-0.46,-0.57,INF,-1,1,7,0
1280,1,1,-5.487,-6.260,-0.51,-0.59,-0.51,-0.59,INF,-1,1,7,0
1300,1,1,-5.214,-4.914,-0.49,-0.46,-0.49,-0.46,INF,-1,1,7,0
1320,1,1,7.774,-18.583,0.73,-1.74,0.73,-1.74,INF,-1,1,7,0
