"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.12550
CalibrationParameters_A12,0.05089
CalibrationParameters_A13,-0.00068
CalibrationParameters_A21,0.01846
CalibrationParameters_A22,-1.13458
CalibrationParameters_A23,-0.09713
CalibrationParameters_A31,-0.00012
CalibrationParameters_A32,0.00192
CalibrationParameters_E11,-0.17997
CalibrationParameters_E12,-0.00016
CalibrationParameters_E21,-0.00021
CalibrationParameters_E22,0.19996
CalibrationParameters_X,0.88982
CalibrationParameters_Y,49.01152
CalibrationParameters_Rpc,63.19469
CalibrationParameters_MeanX,188.14262
CalibrationParameters_MeanY,147.48712
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-206.106,-77.056,-18.58,-6.79,-18.45,-7.16,INF,-1,0,7,0
20,1,1,32.968,8.506,3.08,0.79,3.08,0.79,INF,-1,0,7,0
40,1,1,33.297,14.310,3.11,1.34,3.11,1.34,INF,-1,0,7,0
60,1,1,32.619,13.146,3.05,1.23,3.05,1.23,INF,-1,0,7,0
80,1,1,32.180,11.576,3.01,1.08,3.00,1.08,INF,-1,0,7,0
100,1,1,34.598,10.059,3.23,0.94,3.23,0.94,INF,-1,0,7,0
120,1,1,33.228,10.831,3.10,1.01,3.10,1.01,INF,-1,0,7,0
140,1,1,36.433,10.068,3.40,0.94,3.40,0.94,INF,-1,0,7,0
160,1,1,32.949,9.966,3.08,0.93,3.08,0.93,INF,-1,0,7,0
180,1,1,30.247,11.307,2.82,1.06,2.82,1.06,INF,-1,0,7,0
200,1,1,31.097,9.721,2.90,0.91,2.90,0.91,INF,-1,0,7,0
220,1,1,29.596,9.599,2.76,0.90,2.76,0.90,INF,-1,0,7,0
240,1,1,29.331,9.998,2.74,0.93,2.74,0.93,INF,-1,0,7,0
260,1,1,30.691,7.676,2.87,0.72,2.87,0.72,INF,-1,0,7,0
280,1,1,24.150,6.372,2.26,0.60,2.26,0.60,INF,-1,0,7,0
300,1,1,-1.926,-3.870,-0.18,-0.36,-0.18,-0.36,INF,-1,1,7,0
320,1,1,-3.513,-5.101,-0.33,-0.48,-0.33,-0.48,INF,-1,1,7,0
340,1,1,-1.617,-6.381,-0.15,-0.60,-0.15,-0.60,INF,-1,0,7,0
360,1,1,-2.668,-1.568,-0.25,-0.15,-0.25,-0.15,INF,-1,0,7,0
380,1,1,-1.910,-5.921,-0.18,-0.55,-0.18,-0.55,INF,-1,0,7,0
400,1,1,-2.390,-5.464,-0.22,-0.51,-0.22,-0.51,INF,-1,0,7,0
420,1,1,-1.972,-2.450,-0.18,-0.23,-0.18,-0.23,INF,-1,0,7,0
440,1,1,0.060,-7.380,0.01,-0.69,0.01,-0.69,INF,-1,0,7,0
460,1,1,-0.521,-3.371,-0.05,-0.32,-0.05,-0.32,INF,-1,0,7,0
480,1,1,3.980,-4.743,0.37,-0.44,0.37,-0.44,INF,-1,0,7,0
500,1,1,2.171,-8.112,0.20,-0.76,0.20,-0.76,INF,-1,0,7,0
520,1,1,4.993,-3.336,0.47,-0.31,0.47,-0.31,INF,-1,0,7,0
540,1,1,1.284,-5.567,0.12,-0.52,0.12,-0.52,INF,-1,0,7,0
560,1,1,2.588,-3.359,0.24,-0.31,0.24,-0.31,INF,-1,0,7,0
580,1,1,1.732,-8.815,0.16,-0.82,0.16,-0.82,INF,-1,1,7,0
600,1,1,-0.177,-10.590,-0.02,-0.99,-0.02,-0.99,INF,-1,1,7,0
620,1,1,1.467,-7.915,0.14,-0.74,0.14,-0.74,INF,-1,1,7,0
640,1,1,-1.369,-7.611,-0.13,-0.71,-0.13,-0.71,INF,-1,1,7,0
660,1,1,-0.453,-5.289,-0.04,-0.49,-0.04,-0.49,INF,-1,1,7,0
680,1,1,2.748,-3.572,0.26,-0.33,0.26,-0.33,INF,-1,1,7,0
700,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
720,1,1,-1.038,-6.662,-0.10,-0.62,-0.10,-0.62,INF,-1,1,7,0
740,1,1,-2.626,-7.000,-0.25,-0.65,-0.25,-0.65,INF,-1,1,7,0
760,1,1,0.983,-4.237,0.09,-0.40,0.09,-0.40,INF,-1,1,7,0
780,1,1,-19.800,-8.833,-1.85,-0.83,-1.85,-0.83,INF,-1,1,7,0
800,1,1,-28.542,-13.739,-2.67,-1.28,-2.67,-1.28,INF,-1,1,7,0
820,1,1,-27.964,-17.459,-2.61,-1.63,-2.61,-1.63,INF,-1,0,7,0
840,1,1,-27.214,-12.234,-2.54,-1.14,-2.54,-1.14,INF,-1,0,7,0
860,1,1,-33.642,-14.830,-3.14,-1.38,-3.14,-1.39,INF,-1,0,7,0
880,1,1,-32.349,-13.801,-3.02,-1.29,-3.02,-1.29,INF,-1,0,7,0
900,1,1,-31.097,-13.549,-2.90,-1.26,-2.90,-1.27,INF,-1,0,7,0
920,1,1,-33.632,-10.685,-3.14,-1.00,-3.14,-1.00,INF,-1,0,7,0
940,1,1,-35.262,-15.785,-3.29,-1.47,-3.29,-1.48,INF,-1,0,7,0
960,1,1,-37.918,-12.926,-3.54,-1.21,-3.54,-1.21,INF,-1,0,7,0
980,1,1,-39.472,-17.153,-3.68,-1.60,-3.68,-1.60,INF,-1,0,7,0
1000,1,1,-41.433,-15.857,-3.87,-1.48,-3.87,-1.48,INF,-1,0,7,0
1020,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1040,1,1,-41.365,-16.571,-3.86,-1.54,-3.86,-1.55,INF,-1,0,7,0
1060,1,1,-41.471,-15.625,-3.87,-1.46,-3.87,-1.46,INF,-1,0,7,0
1080,1,1,-41.117,-16.807,-3.84,-1.57,-3.84,-1.57,INF,-1,1,7,0
1100,1,1,-42.781,-13.588,-3.99,-1.27,-3.99,-1.27,INF,-1,1,7,0
1120,1,1,-43.310,-14.070,-4.04,-1.31,-4.04,-1.31,INF,-1,1,7,0
1140,1,1,-43.472,-17.312,-4.06,-1.61,-4.05,-1.62,INF,-1,1,7,0
1160,1,1,-41.848,-14.448,-3.91,-1.35,-3.90,-1.35,INF,-1,1,7,0
1180,1,1,-41.438,-14.866,-3.87,-1.39,-3.87,-1.39,INF,-1,1,7,0
1200,1,1,-47.740,-15.993,-4.45,-1.49,-4.45,-1.49,INF,-1,1,7,0
1220,1,1,-45.591,-15.307,-4.25,-1.43,-4.25,-1.43,INF,-1,1,7,0
1240,1,1,-45.595,-12.319,-4.25,-1.15,-4.25,-1.15,INF,-1,0,7,0
1260,1,1,-41.834,-15.453,-3.90,-1.44,-3.90,-1.44,INF,-1,0,7,0
1280,1,1,-45.706,-16.182,-4.26,-1.51,-4.26,-1.51,INF,-1,0,7,0
