"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.12225
CalibrationParameters_A12,0.07284
CalibrationParameters_A13,-0.07965
CalibrationParameters_A21,0.03301
CalibrationParameters_A22,-1.18335
CalibrationParameters_A23,0.00718
CalibrationParameters_A31,-0.00145
CalibrationParameters_A32,0.00129
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,0.00011
CalibrationParameters_E21,-0.00020
CalibrationParameters_E22,0.20014
CalibrationParameters_X,-8.18583
CalibrationParameters_Y,49.88816
CalibrationParameters_Rpc,65.53747
CalibrationParameters_MeanX,181.05843
CalibrationParameters_MeanY,135.33984
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,5.185,7.066,0.48,0.66,0.48,0.66,INF,-1,0,7,0
20,1,1,7.008,8.548,0.65,0.80,0.65,0.80,INF,-1,0,7,0
40,1,1,5.875,6.288,0.55,0.59,0.55,0.59,INF,-1,0,7,0
60,1,1,6.477,6.089,0.61,0.57,0.61,0.57,INF,-1,0,7,0
80,1,1,6.183,7.108,0.58,0.66,0.58,0.66,INF,-1,0,7,0
100,1,1,5.829,5.822,0.54,0.54,0.54,0.54,INF,-1,0,7,0
120,1,1,5.200,5.970,0.49,0.56,0.49,0.56,INF,-1,0,7,0
140,1,1,5.915,7.611,0.55,0.71,0.55,0.71,INF,-1,0,7,0
160,1,1,6.255,6.376,0.58,0.60,0.58,0.60,INF,-1,0,7,0
180,1,1,6.822,8.306,0.64,0.78,0.64,0.78,INF,-1,0,7,0
200,1,1,8.299,8.392,0.78,0.78,0.78,0.78,INF,-1,0,7,0
220,1,1,6.299,7.966,0.59,0.74,0.59,0.74,INF,-1,0,7,0
240,1,1,6.032,6.660,0.56,0.62,0.56,0.62,INF,-1,0,7,0
260,1,1,6.093,7.625,0.57,0.71,0.57,0.71,INF,-1,0,7,0
280,1,1,5.364,6.600,0.50,0.62,0.50,0.62,INF,-1,1,7,0
300,1,1,4.455,6.175,0.42,0.58,0.42,0.58,INF,-1,1,7,0
320,1,1,5.663,5.990,0.53,0.56,0.53,0.56,INF,-1,1,7,0
340,1,1,4.971,6.447,0.46,0.60,0.46,0.60,INF,-1,1,7,0
360,1,1,-2.803,8.704,-0.26,0.81,-0.26,0.81,INF,-1,1,7,0
380,1,1,-2.774,9.932,-0.26,0.93,-0.26,0.93,INF,-1,1,7,0
400,1,1,-1.876,11.302,-0.18,1.06,-0.18,1.06,INF,-1,1,7,0
420,1,1,-4.405,9.170,-0.41,0.86,-0.41,0.86,INF,-1,1,7,0
440,1,1,-3.891,10.348,-0.36,0.97,-0.36,0.97,INF,-1,1,7,0
460,1,1,-4.251,9.179,-0.40,0.86,-0.40,0.86,INF,-1,0,7,0
480,1,1,-4.290,10.918,-0.40,1.02,-0.40,1.02,INF,-1,0,7,0
