"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.15937
CalibrationParameters_A12,0.04895
CalibrationParameters_A13,0.08711
CalibrationParameters_A21,0.06374
CalibrationParameters_A22,-1.15600
CalibrationParameters_A23,0.10740
CalibrationParameters_A31,0.00156
CalibrationParameters_A32,-0.00001
CalibrationParameters_E11,-0.18019
CalibrationParameters_E12,0.00013
CalibrationParameters_E21,-0.00035
CalibrationParameters_E22,0.20000
CalibrationParameters_X,10.28761
CalibrationParameters_Y,47.89038
CalibrationParameters_Rpc,74.36951
CalibrationParameters_MeanX,133.09131
CalibrationParameters_MeanY,118.17037
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-1.592,-3.946,-0.15,-0.37,-0.15,-0.37,INF,-1,0,7,0
20,1,1,-1.617,-4.824,-0.15,-0.45,-0.15,-0.45,INF,-1,0,7,0
40,1,1,-2.103,-4.910,-0.20,-0.46,-0.20,-0.46,INF,-1,0,7,0
60,1,1,-1.863,-4.788,-0.17,-0.45,-0.17,-0.45,INF,-1,0,7,0
80,1,1,-1.585,-4.240,-0.15,-0.40,-0.15,-0.40,INF,-1,0,7,0
100,1,1,-1.500,-5.253,-0.14,-0.49,-0.14,-0.49,INF,-1,0,7,0
120,1,1,-0.285,-4.502,-0.03,-0.42,-0.03,-0.42,INF,-1,0,7,0
140,1,1,-1.985,-5.882,-0.19,-0.55,-0.19,-0.55,INF,-1,0,7,0
160,1,1,-2.382,-4.601,-0.22,-0.43,-0.22,-0.43,INF,-1,0,7,0
180,1,1,-2.231,-4.917,-0.21,-0.46,-0.21,-0.46,INF,-1,0,7,0
200,1,1,-2.168,-4.681,-0.20,-0.44,-0.20,-0.44,INF,-1,0,7,0
220,1,1,-1.435,-4.470,-0.13,-0.42,-0.13,-0.42,INF,-1,0,7,0
240,1,1,-1.283,-4.521,-0.12,-0.42,-0.12,-0.42,INF,-1,0,7,0
260,1,1,-1.688,-3.980,-0.16,-0.37,-0.16,-0.37,INF,-1,0,7,0
280,1,1,-1.953,-3.747,-0.18,-0.35,-0.18,-0.35,INF,-1,1,7,0
300,1,1,-1.250,-4.525,-0.12,-0.42,-0.12,-0.42,INF,-1,1,7,0
320,1,1,-15.485,12.629,-1.45,1.18,-1.45,1.18,INF,-1,1,7,0
340,1,1,-17.659,16.451,-1.65,1.54,-1.65,1.54,INF,-1,1,7,0
360,1,1,-16.793,15.251,-1.57,1.42,-1.57,1.43,INF,-1,0,7,0
380,1,1,-15.892,15.267,-1.49,1.43,-1.48,1.43,INF,-1,0,7,0
400,1,1,-16.065,14.781,-1.50,1.38,-1.50,1.38,INF,-1,0,7,0
420,1,1,-16.639,14.165,-1.55,1.32,-1.55,1.32,INF,-1,0,7,0
440,1,1,-17.224,14.809,-1.61,1.38,-1.61,1.38,INF,-1,0,7,0
460,1,1,-15.670,14.859,-1.46,1.39,-1.46,1.39,INF,-1,0,7,0
480,1,1,-15.279,14.944,-1.43,1.40,-1.43,1.40,INF,-1,0,7,0
500,1,1,-15.637,14.840,-1.46,1.39,-1.46,1.39,INF,-1,0,7,0
520,1,1,-15.187,15.010,-1.42,1.40,-1.42,1.40,INF,-1,0,7,0
540,1,1,-15.537,15.149,-1.45,1.42,-1.45,1.42,INF,-1,0,7,0
560,1,1,-14.463,15.171,-1.35,1.42,-1.35,1.42,INF,-1,0,7,0
580,1,1,-16.765,15.321,-1.57,1.43,-1.57,1.43,INF,-1,0,7,0
600,1,1,-15.401,14.958,-1.44,1.40,-1.44,1.40,INF,-1,1,7,0
620,1,1,-15.372,14.710,-1.44,1.37,-1.44,1.37,INF,-1,1,7,0
640,1,1,-16.940,14.762,-1.58,1.38,-1.58,1.38,INF,-1,1,7,0
660,1,1,-16.455,14.017,-1.54,1.31,-1.54,1.31,INF,-1,1,7,0
680,1,1,-16.088,13.741,-1.50,1.28,-1.50,1.28,INF,-1,1,7,0
700,1,1,-16.759,14.938,-1.57,1.40,-1.57,1.40,INF,-1,1,7,0
720,1,1,-18.031,15.015,-1.68,1.40,-1.68,1.40,INF,-1,1,7,0
740,1,1,-19.427,14.533,-1.82,1.36,-1.81,1.36,INF,-1,1,7,0
760,1,1,-19.388,14.964,-1.81,1.40,-1.81,1.40,INF,-1,1,7,0
780,1,1,-19.633,14.435,-1.83,1.35,-1.83,1.35,INF,-1,1,7,0
800,1,1,-19.413,15.970,-1.81,1.49,-1.81,1.49,INF,-1,1,7,0
820,1,1,-18.506,14.797,-1.73,1.38,-1.73,1.38,INF,-1,1,7,0
840,1,1,-19.638,15.516,-1.83,1.45,-1.83,1.45,INF,-1,1,7,0
860,1,1,-19.693,15.390,-1.84,1.44,-1.84,1.44,INF,-1,1,7,0
880,1,1,-18.971,15.339,-1.77,1.43,-1.77,1.43,INF,-1,1,7,0
900,1,1,-17.317,15.107,-1.62,1.41,-1.62,1.41,INF,-1,1,7,0
920,1,1,-17.778,14.299,-1.66,1.34,-1.66,1.34,INF,-1,1,7,0
940,1,1,-18.354,15.143,-1.71,1.41,-1.71,1.42,INF,-1,1,7,0
960,1,1,-17.357,14.799,-1.62,1.38,-1.62,1.38,INF,-1,1,7,0
980,1,1,-17.373,15.032,-1.62,1.40,-1.62,1.40,INF,-1,1,7,0
1000,1,1,-17.367,15.182,-1.62,1.42,-1.62,1.42,INF,-1,1,7,0
1020,1,1,-17.704,14.600,-1.65,1.36,-1.65,1.36,INF,-1,1,7,0
1040,1,1,-17.096,14.120,-1.60,1.32,-1.60,1.32,INF,-1,1,7,0
1060,1,1,-16.162,13.812,-1.51,1.29,-1.51,1.29,INF,-1,1,7,0
1080,1,1,-17.508,14.405,-1.64,1.35,-1.64,1.35,INF,-1,1,7,0
1100,1,1,-16.256,13.802,-1.52,1.29,-1.52,1.29,INF,-1,1,7,0
1120,1,1,-16.886,12.948,-1.58,1.21,-1.58,1.21,INF,-1,1,7,0
1140,1,1,-16.069,13.586,-1.50,1.27,-1.50,1.27,INF,-1,1,7,0
1160,1,1,-15.695,13.343,-1.47,1.25,-1.47,1.25,INF,-1,1,7,0
1180,1,1,-14.769,11.775,-1.38,1.10,-1.38,1.10,INF,-1,1,7,0
1200,1,1,-15.730,11.901,-1.47,1.11,-1.47,1.11,INF,-1,1,7,0
1220,1,1,-15.406,12.395,-1.44,1.16,-1.44,1.16,INF,-1,1,7,0
1240,1,1,-15.507,13.055,-1.45,1.22,-1.45,1.22,INF,-1,1,7,0
