"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.17432
CalibrationParameters_A12,0.05423
CalibrationParameters_A13,0.01177
CalibrationParameters_A21,0.07046
CalibrationParameters_A22,-1.23708
CalibrationParameters_A23,0.01318
CalibrationParameters_A31,0.00017
CalibrationParameters_A32,0.00191
CalibrationParameters_E11,-0.17991
CalibrationParameters_E12,-0.00006
CalibrationParameters_E21,-0.00015
CalibrationParameters_E22,0.19994
CalibrationParameters_X,23.02456
CalibrationParameters_Y,54.38646
CalibrationParameters_Rpc,72.19150
CalibrationParameters_MeanX,132.86929
CalibrationParameters_MeanY,123.55791
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,47.462,14.261,4.43,1.33,4.43,1.33,INF,-1,0,7,0
20,1,1,32.705,7.173,3.05,0.67,3.05,0.67,INF,-1,0,7,0
40,1,1,31.154,6.406,2.91,0.60,2.91,0.60,INF,-1,0,7,0
60,1,1,32.674,6.428,3.05,0.60,3.05,0.60,INF,-1,0,7,0
80,1,1,32.839,5.348,3.07,0.50,3.07,0.50,INF,-1,0,7,0
100,1,1,32.139,4.895,3.00,0.46,3.00,0.46,INF,-1,0,7,0
120,1,1,32.232,6.475,3.01,0.60,3.01,0.61,INF,-1,0,7,0
140,1,1,34.092,6.029,3.18,0.56,3.18,0.56,INF,-1,0,7,0
160,1,1,31.744,4.397,2.96,0.41,2.96,0.41,INF,-1,0,7,0
180,1,1,32.138,6.106,3.00,0.57,3.00,0.57,INF,-1,0,7,0
200,1,1,31.846,5.326,2.97,0.50,2.97,0.50,INF,-1,0,7,0
220,1,1,23.766,7.989,2.22,0.75,2.22,0.75,INF,-1,0,7,0
240,1,1,-0.049,-0.785,0.00,-0.07,0.00,-0.07,INF,-1,0,7,0
260,1,1,1.215,-2.088,0.11,-0.20,0.11,-0.20,INF,-1,0,7,0
280,1,1,0.994,-1.108,0.09,-0.10,0.09,-0.10,INF,-1,0,7,0
300,1,1,0.904,-1.164,0.08,-0.11,0.08,-0.11,INF,-1,0,7,0
320,1,1,0.813,-2.141,0.08,-0.20,0.08,-0.20,INF,-1,0,7,0
340,1,1,1.495,-2.170,0.14,-0.20,0.14,-0.20,INF,-1,0,7,0
360,1,1,1.173,-1.644,0.11,-0.15,0.11,-0.15,INF,-1,0,7,0
380,1,1,1.755,-1.269,0.16,-0.12,0.16,-0.12,INF,-1,0,7,0
400,1,1,0.657,-2.438,0.06,-0.23,0.06,-0.23,INF,-1,0,7,0
420,1,1,0.449,-3.256,0.04,-0.30,0.04,-0.30,INF,-1,0,7,0
440,1,1,0.188,-2.444,0.02,-0.23,0.02,-0.23,INF,-1,1,7,0
460,1,1,1.804,-1.806,0.17,-0.17,0.17,-0.17,INF,-1,1,7,0
480,1,1,1.889,-1.568,0.18,-0.15,0.18,-0.15,INF,-1,1,7,0
500,1,1,-0.688,-0.897,-0.06,-0.08,-0.06,-0.08,INF,-1,1,7,0
520,1,1,-2.531,4.235,-0.24,0.40,-0.24,0.40,INF,-1,1,7,0
540,1,1,-2.497,4.651,-0.23,0.43,-0.23,0.43,INF,-1,1,7,0
560,1,1,-1.662,2.583,-0.16,0.24,-0.16,0.24,INF,-1,0,7,0
580,1,1,-1.645,5.194,-0.15,0.49,-0.15,0.49,INF,-1,0,7,0
600,1,1,-1.821,4.874,-0.17,0.46,-0.17,0.46,INF,-1,0,7,0
620,1,1,-2.894,4.366,-0.27,0.41,-0.27,0.41,INF,-1,0,7,0
640,1,1,-3.327,4.113,-0.31,0.38,-0.31,0.38,INF,-1,0,7,0
660,1,1,-3.744,3.114,-0.35,0.29,-0.35,0.29,INF,-1,0,7,0
680,1,1,-4.152,3.178,-0.39,0.30,-0.39,0.30,INF,-1,0,7,0
700,1,1,-3.087,2.452,-0.29,0.23,-0.29,0.23,INF,-1,0,7,0
720,1,1,-8.708,5.070,-0.81,0.47,-0.81,0.47,INF,-1,0,7,0
740,1,1,-15.149,5.042,-1.42,0.47,-1.42,0.47,INF,-1,0,7,0
760,1,1,-16.584,2.985,-1.55,0.28,-1.55,0.28,INF,-1,0,7,0
780,1,1,-17.321,1.766,-1.62,0.16,-1.62,0.17,INF,-1,0,7,0
800,1,1,-16.893,2.045,-1.58,0.19,-1.58,0.19,INF,-1,1,7,0
820,1,1,-16.791,2.123,-1.57,0.20,-1.57,0.20,INF,-1,0,7,0
840,1,1,-17.694,2.746,-1.65,0.26,-1.65,0.26,INF,-1,0,7,0
860,1,1,-17.227,1.652,-1.61,0.15,-1.61,0.15,INF,-1,0,7,0
880,1,1,-17.751,1.902,-1.66,0.18,-1.66,0.18,INF,-1,0,7,0
900,1,1,-16.510,2.250,-1.54,0.21,-1.54,0.21,INF,-1,0,7,0
920,1,1,-16.954,3.267,-1.58,0.31,-1.58,0.31,INF,-1,0,7,0
940,1,1,-16.394,2.818,-1.53,0.26,-1.53,0.26,INF,-1,0,7,0
960,1,1,-17.157,2.153,-1.60,0.20,-1.60,0.20,INF,-1,0,7,0
980,1,1,-16.818,1.742,-1.57,0.16,-1.57,0.16,INF,-1,0,7,0
1000,1,1,-16.824,2.089,-1.57,0.20,-1.57,0.20,INF,-1,0,7,0
1020,1,1,-16.239,3.142,-1.52,0.29,-1.52,0.29,INF,-1,0,7,0
1040,1,1,-15.692,1.997,-1.47,0.19,-1.47,0.19,INF,-1,0,7,0
1060,1,1,-16.700,2.515,-1.56,0.23,-1.56,0.24,INF,-1,1,7,0
1080,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1180,1,1,10.734,-129.576,1.00,-11.93,0.98,-11.94,INF,-1,0,7,0
1200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1240,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1340,1,1,6.371,29.306,0.60,2.74,0.59,2.74,INF,-1,0,7,0
1360,1,1,10.067,27.414,0.94,2.56,0.94,2.56,INF,-1,0,7,0
1380,1,1,10.619,27.345,0.99,2.55,0.99,2.55,INF,-1,0,7,0
1400,1,1,9.064,27.897,0.85,2.61,0.85,2.61,INF,-1,0,7,0
1420,1,1,9.137,26.863,0.85,2.51,0.85,2.51,INF,-1,0,7,0
1440,1,1,9.556,26.820,0.89,2.50,0.89,2.51,INF,-1,0,7,0
1460,1,1,9.048,23.603,0.85,2.20,0.84,2.21,INF,-1,0,7,0
1480,1,1,-0.903,16.215,-0.08,1.52,-0.08,1.52,INF,-1,0,7,0
1500,1,1,-1.271,13.867,-0.12,1.30,-0.12,1.30,INF,-1,0,7,0
1520,1,1,-2.349,14.269,-0.22,1.33,-0.22,1.33,INF,-1,0,7,0
1540,1,1,-1.984,15.112,-0.19,1.41,-0.19,1.41,INF,-1,0,7,0
1560,1,1,-0.628,15.904,-0.06,1.49,-0.06,1.49,INF,-1,0,7,0
1580,1,1,-1.392,16.838,-0.13,1.57,-0.13,1.57,INF,-1,0,7,0
1600,1,1,-1.848,16.488,-0.17,1.54,-0.17,1.54,INF,-1,0,7,0
1620,1,1,-1.289,16.770,-0.12,1.57,-0.12,1.57,INF,-1,1,7,0
1640,1,1,-1.136,17.616,-0.11,1.65,-0.11,1.65,INF,-1,1,7,0
1660,1,1,-1.225,17.247,-0.11,1.61,-0.11,1.61,INF,-1,1,7,0
1680,1,1,-0.488,16.173,-0.05,1.51,-0.05,1.51,INF,-1,1,7,0
1700,1,1,-1.714,16.777,-0.16,1.57,-0.16,1.57,INF,-1,1,7,0
1720,1,1,-0.587,13.024,-0.05,1.22,-0.05,1.22,INF,-1,1,7,0
1740,1,1,-1.417,14.899,-0.13,1.39,-0.13,1.39,INF,-1,1,7,0
