"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.16680
CalibrationParameters_A12,0.03738
CalibrationParameters_A13,0.09807
CalibrationParameters_A21,0.08510
CalibrationParameters_A22,-1.18859
CalibrationParameters_A23,-0.03039
CalibrationParameters_A31,0.00151
CalibrationParameters_A32,0.00117
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,-0.00004
CalibrationParameters_E22,0.19998
CalibrationParameters_X,20.32875
CalibrationParameters_Y,49.26821
CalibrationParameters_Rpc,71.69486
CalibrationParameters_MeanX,111.27340
CalibrationParameters_MeanY,95.83206
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-2.655,-4.671,-0.25,-0.44,-0.25,-0.44,INF,-1,0,7,0
20,1,1,-3.117,-4.971,-0.29,-0.46,-0.29,-0.46,INF,-1,0,7,0
40,1,1,-3.253,-5.307,-0.30,-0.50,-0.30,-0.50,INF,-1,0,7,0
60,1,1,-3.637,-5.796,-0.34,-0.54,-0.34,-0.54,INF,-1,0,7,0
80,1,1,-4.601,-3.531,-0.43,-0.33,-0.43,-0.33,INF,-1,0,7,0
100,1,1,-3.126,-4.586,-0.29,-0.43,-0.29,-0.43,INF,-1,0,7,0
120,1,1,-3.651,-5.648,-0.34,-0.53,-0.34,-0.53,INF,-1,0,7,0
140,1,1,-3.769,-4.222,-0.35,-0.39,-0.35,-0.39,INF,-1,0,7,0
160,1,1,-3.745,-4.316,-0.35,-0.40,-0.35,-0.40,INF,-1,0,7,0
180,1,1,-5.075,-4.277,-0.47,-0.40,-0.47,-0.40,INF,-1,0,7,0
200,1,1,-3.869,-4.941,-0.36,-0.46,-0.36,-0.46,INF,-1,0,7,0
220,1,1,-3.903,-4.846,-0.36,-0.45,-0.36,-0.45,INF,-1,0,7,0
240,1,1,-3.268,-7.251,-0.31,-0.68,-0.31,-0.68,INF,-1,0,7,0
260,1,1,-3.944,-5.741,-0.37,-0.54,-0.37,-0.54,INF,-1,0,7,0
280,1,1,-5.058,-4.629,-0.47,-0.43,-0.47,-0.43,INF,-1,1,7,0
300,1,1,-4.747,-4.813,-0.44,-0.45,-0.44,-0.45,INF,-1,1,7,0
320,1,1,-4.464,-5.382,-0.42,-0.50,-0.42,-0.50,INF,-1,1,7,0
340,1,1,-5.559,-5.729,-0.52,-0.54,-0.52,-0.54,INF,-1,1,7,0
360,1,1,-4.410,-6.646,-0.41,-0.62,-0.41,-0.62,INF,-1,1,7,0
380,1,1,-3.753,-6.178,-0.35,-0.58,-0.35,-0.58,INF,-1,1,7,0
400,1,1,-4.831,-7.705,-0.45,-0.72,-0.45,-0.72,INF,-1,1,7,0
420,1,1,1.530,-6.679,0.14,-0.62,0.14,-0.62,INF,-1,1,7,0
440,1,1,6.205,-7.005,0.58,-0.65,0.58,-0.65,INF,-1,1,7,0
460,1,1,4.244,-6.771,0.40,-0.63,0.40,-0.63,INF,-1,1,7,0
480,1,1,5.900,-6.887,0.55,-0.64,0.55,-0.64,INF,-1,1,7,0
500,1,1,5.638,-8.200,0.53,-0.77,0.53,-0.77,INF,-1,1,7,0
520,1,1,5.431,-6.342,0.51,-0.59,0.51,-0.59,INF,-1,1,7,0
540,1,1,5.401,-7.962,0.50,-0.74,0.50,-0.74,INF,-1,1,7,0
560,1,1,5.359,-8.003,0.50,-0.75,0.50,-0.75,INF,-1,1,7,0
580,1,1,6.003,-8.411,0.56,-0.79,0.56,-0.79,INF,-1,1,7,0
600,1,1,4.167,-6.292,0.39,-0.59,0.39,-0.59,INF,-1,1,7,0
620,1,1,5.173,-6.947,0.48,-0.65,0.48,-0.65,INF,-1,1,7,0
640,1,1,5.748,-7.316,0.54,-0.68,0.54,-0.68,INF,-1,1,7,0
660,1,1,3.899,-8.545,0.36,-0.80,0.36,-0.80,INF,-1,1,7,0
680,1,1,5.315,-8.372,0.50,-0.78,0.50,-0.78,INF,-1,1,7,0
700,1,1,4.742,-6.885,0.44,-0.64,0.44,-0.64,INF,-1,1,7,0
720,1,1,6.539,-6.059,0.61,-0.57,0.61,-0.57,INF,-1,1,7,0
740,1,1,10.273,-6.743,0.96,-0.63,0.96,-0.63,INF,-1,1,7,0
760,1,1,18.344,-6.983,1.71,-0.65,1.71,-0.65,INF,-1,0,7,0
780,1,1,19.405,-6.144,1.81,-0.57,1.81,-0.57,INF,-1,0,7,0
800,1,1,18.263,-6.973,1.71,-0.65,1.71,-0.65,INF,-1,0,7,0
820,1,1,19.181,-6.842,1.79,-0.64,1.79,-0.64,INF,-1,0,7,0
840,1,1,17.618,-6.010,1.65,-0.56,1.65,-0.56,INF,-1,0,7,0
860,1,1,18.089,-7.158,1.69,-0.67,1.69,-0.67,INF,-1,0,7,0
880,1,1,17.789,-7.320,1.66,-0.68,1.66,-0.68,INF,-1,0,7,0
900,1,1,17.988,-6.945,1.68,-0.65,1.68,-0.65,INF,-1,0,7,0
920,1,1,16.719,-6.777,1.56,-0.63,1.56,-0.63,INF,-1,0,7,0
940,1,1,16.463,-6.679,1.54,-0.62,1.54,-0.62,INF,-1,0,7,0
960,1,1,18.099,-6.750,1.69,-0.63,1.69,-0.63,INF,-1,0,7,0
980,1,1,16.371,-6.989,1.53,-0.65,1.53,-0.65,INF,-1,0,7,0
1000,1,1,16.426,-8.038,1.53,-0.75,1.53,-0.75,INF,-1,1,7,0
1020,1,1,16.475,-6.933,1.54,-0.65,1.54,-0.65,INF,-1,1,7,0
1040,1,1,-1.563,-7.209,-0.15,-0.67,-0.15,-0.67,INF,-1,1,7,0
1060,1,1,-3.816,-5.612,-0.36,-0.52,-0.36,-0.52,INF,-1,1,7,0
1080,1,1,-2.317,-5.797,-0.22,-0.54,-0.22,-0.54,INF,-1,0,7,0
1100,1,1,-4.223,-6.942,-0.39,-0.65,-0.39,-0.65,INF,-1,0,7,0
1120,1,1,-4.844,-6.866,-0.45,-0.64,-0.45,-0.64,INF,-1,0,7,0
1140,1,1,-4.828,-8.668,-0.45,-0.81,-0.45,-0.81,INF,-1,0,7,0
1160,1,1,-3.889,-8.838,-0.36,-0.83,-0.36,-0.83,INF,-1,0,7,0
1180,1,1,-3.084,-7.032,-0.29,-0.66,-0.29,-0.66,INF,-1,0,7,0
1200,1,1,-4.647,-5.860,-0.43,-0.55,-0.43,-0.55,INF,-1,0,7,0
1220,1,1,-3.678,-6.068,-0.34,-0.57,-0.34,-0.57,INF,-1,0,7,0
1240,1,1,-3.305,-5.536,-0.31,-0.52,-0.31,-0.52,INF,-1,0,7,0
1260,1,1,-4.836,-7.440,-0.45,-0.70,-0.45,-0.70,INF,-1,0,7,0
1280,1,1,-4.231,-6.078,-0.40,-0.57,-0.40,-0.57,INF,-1,0,7,0
1300,1,1,-5.449,-6.315,-0.51,-0.59,-0.51,-0.59,INF,-1,0,7,0
1320,1,1,-4.577,-6.210,-0.43,-0.58,-0.43,-0.58,INF,-1,1,7,0
1340,1,1,-5.378,-6.639,-0.50,-0.62,-0.50,-0.62,INF,-1,1,7,0
1360,1,1,-4.397,-6.792,-0.41,-0.63,-0.41,-0.63,INF,-1,1,7,0
