"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.15037
CalibrationParameters_A12,0.07791
CalibrationParameters_A13,0.00763
CalibrationParameters_A21,0.05414
CalibrationParameters_A22,-1.21136
CalibrationParameters_A23,0.07211
CalibrationParameters_A31,0.00029
CalibrationParameters_A32,0.00120
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19988
CalibrationParameters_X,18.43532
CalibrationParameters_Y,52.50255
CalibrationParameters_Rpc,70.17825
CalibrationParameters_MeanX,124.72035
CalibrationParameters_MeanY,88.06214
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-19.586,7.385,-1.83,0.69,-1.83,0.69,INF,-1,0,7,0
20,1,1,-19.539,7.874,-1.83,0.74,-1.83,0.74,INF,-1,0,7,0
40,1,1,-17.516,8.635,-1.64,0.81,-1.64,0.81,INF,-1,0,7,0
60,1,1,-18.028,9.066,-1.68,0.85,-1.68,0.85,INF,-1,0,7,0
80,1,1,-16.467,9.525,-1.54,0.89,-1.54,0.89,INF,-1,0,7,0
100,1,1,-17.657,8.492,-1.65,0.79,-1.65,0.79,INF,-1,0,7,0
120,1,1,-17.615,8.636,-1.65,0.81,-1.65,0.81,INF,-1,0,7,0
140,1,1,-20.402,9.867,-1.91,0.92,-1.91,0.92,INF,-1,0,7,0
160,1,1,-15.999,6.804,-1.50,0.64,-1.49,0.64,INF,-1,0,7,0
180,1,1,-17.689,6.822,-1.65,0.64,-1.65,0.64,INF,-1,0,7,0
200,1,1,-17.003,5.518,-1.59,0.52,-1.59,0.52,INF,-1,0,7,0
220,1,1,-18.640,6.792,-1.74,0.63,-1.74,0.63,INF,-1,0,7,0
240,1,1,-10.428,3.225,-0.97,0.30,-0.97,0.30,INF,-1,0,7,0
260,1,1,-0.823,-5.619,-0.08,-0.53,-0.08,-0.53,INF,-1,0,7,0
280,1,1,-0.398,-3.180,-0.04,-0.30,-0.04,-0.30,INF,-1,1,7,0
300,1,1,-1.642,-4.662,-0.15,-0.44,-0.15,-0.44,INF,-1,0,7,0
320,1,1,-0.577,-2.967,-0.05,-0.28,-0.05,-0.28,INF,-1,0,7,0
340,1,1,-1.718,-4.782,-0.16,-0.45,-0.16,-0.45,INF,-1,0,7,0
360,1,1,-0.720,-3.977,-0.07,-0.37,-0.07,-0.37,INF,-1,0,7,0
380,1,1,-1.563,-4.108,-0.15,-0.38,-0.15,-0.38,INF,-1,0,7,0
400,1,1,-0.050,-4.574,0.00,-0.43,0.00,-0.43,INF,-1,0,7,0
420,1,1,-0.755,-2.997,-0.07,-0.28,-0.07,-0.28,INF,-1,0,7,0
440,1,1,-0.483,-4.420,-0.05,-0.41,-0.05,-0.41,INF,-1,0,7,0
460,1,1,-0.558,-5.054,-0.05,-0.47,-0.05,-0.47,INF,-1,0,7,0
480,1,1,-0.700,-5.653,-0.07,-0.53,-0.07,-0.53,INF,-1,0,7,0
500,1,1,-0.460,-5.100,-0.04,-0.48,-0.04,-0.48,INF,-1,0,7,0
520,1,1,-23.034,5.269,-2.15,0.49,-2.15,0.49,INF,-1,0,7,0
540,1,1,-32.061,1.722,-2.99,0.16,-2.99,0.16,INF,-1,1,7,0
560,1,1,-33.373,1.313,-3.12,0.12,-3.12,0.12,INF,-1,0,7,0
580,1,1,-33.196,0.541,-3.10,0.05,-3.10,0.05,INF,-1,0,7,0
600,1,1,-32.873,1.162,-3.07,0.11,-3.07,0.11,INF,-1,0,7,0
620,1,1,-32.846,0.455,-3.07,0.04,-3.07,0.04,INF,-1,0,7,0
640,1,1,-33.610,1.003,-3.14,0.09,-3.14,0.09,INF,-1,0,7,0
660,1,1,-32.961,1.813,-3.08,0.17,-3.08,0.17,INF,-1,0,7,0
680,1,1,-33.291,1.455,-3.11,0.14,-3.11,0.14,INF,-1,0,7,0
700,1,1,-33.421,-0.107,-3.12,-0.01,-3.12,-0.01,INF,-1,0,7,0
720,1,1,-33.043,1.146,-3.09,0.11,-3.09,0.11,INF,-1,0,7,0
740,1,1,-35.114,1.497,-3.28,0.14,-3.28,0.14,INF,-1,0,7,0
760,1,1,-42.152,7.749,-3.93,0.72,-3.93,0.72,INF,-1,0,7,0
780,1,1,-45.101,9.093,-4.21,0.85,-4.21,0.85,INF,-1,0,7,0
800,1,1,-44.452,7.775,-4.15,0.72,-4.15,0.73,INF,-1,0,7,0
820,1,1,-43.962,8.697,-4.10,0.81,-4.10,0.81,INF,-1,1,7,0
840,1,1,-44.076,8.111,-4.11,0.76,-4.11,0.76,INF,-1,1,7,0
860,1,1,-43.861,8.310,-4.09,0.77,-4.09,0.78,INF,-1,1,7,0
880,1,1,-44.163,7.813,-4.12,0.73,-4.12,0.73,INF,-1,1,7,0
900,1,1,-43.377,8.383,-4.05,0.78,-4.05,0.78,INF,-1,1,7,0
920,1,1,-44.963,6.351,-4.20,0.59,-4.19,0.59,INF,-1,1,7,0
940,1,1,-44.235,8.073,-4.13,0.75,-4.13,0.75,INF,-1,1,7,0
960,1,1,-44.294,6.988,-4.13,0.65,-4.13,0.65,INF,-1,1,7,0
980,1,1,-44.328,7.470,-4.14,0.70,-4.14,0.70,INF,-1,1,7,0
1000,1,1,-44.445,7.060,-4.15,0.66,-4.15,0.66,INF,-1,1,7,0
1020,1,1,-44.915,6.633,-4.19,0.62,-4.19,0.62,INF,-1,1,7,0
1040,1,1,-43.900,5.471,-4.10,0.51,-4.10,0.51,INF,-1,1,7,0
1060,1,1,-32.945,15.087,-3.08,1.41,-3.08,1.41,INF,-1,1,7,0
1080,1,1,-33.889,16.665,-3.16,1.55,-3.16,1.56,INF,-1,1,7,0
1100,1,1,-33.568,15.288,-3.13,1.43,-3.13,1.43,INF,-1,0,7,0
1120,1,1,-32.120,15.245,-3.00,1.42,-3.00,1.42,INF,-1,0,7,0
1140,1,1,-33.293,14.938,-3.11,1.39,-3.11,1.40,INF,-1,0,7,0
1160,1,1,-32.272,15.491,-3.01,1.45,-3.01,1.45,INF,-1,0,7,0
1180,1,1,-33.142,13.340,-3.09,1.24,-3.09,1.25,INF,-1,0,7,0
1200,1,1,-33.335,13.566,-3.11,1.27,-3.11,1.27,INF,-1,0,7,0
1220,1,1,-33.288,14.067,-3.11,1.31,-3.11,1.31,INF,-1,0,7,0
1240,1,1,-34.104,14.877,-3.18,1.39,-3.18,1.39,INF,-1,0,7,0
1260,1,1,-32.861,13.762,-3.07,1.28,-3.07,1.29,INF,-1,0,7,0
1280,1,1,-33.618,13.786,-3.14,1.29,-3.14,1.29,INF,-1,0,7,0
1300,1,1,-33.524,15.291,-3.13,1.43,-3.13,1.43,INF,-1,0,7,0
1320,1,1,-32.834,14.589,-3.07,1.36,-3.07,1.36,INF,-1,0,7,0
1340,1,1,-30.768,14.631,-2.87,1.37,-2.87,1.37,INF,-1,1,7,0
1360,1,1,-31.501,12.769,-2.94,1.19,-2.94,1.19,INF,-1,1,7,0
1380,1,1,-30.429,15.520,-2.84,1.45,-2.84,1.45,INF,-1,1,7,0
1400,1,1,-31.956,15.727,-2.98,1.47,-2.98,1.47,INF,-1,1,7,0
1420,1,1,-24.490,20.547,-2.29,1.92,-2.29,1.92,INF,-1,1,7,0
1440,1,1,-23.124,20.410,-2.16,1.91,-2.16,1.91,INF,-1,1,7,0
1460,1,1,-23.679,21.805,-2.21,2.04,-2.21,2.04,INF,-1,0,7,0
1480,1,1,-22.240,20.479,-2.08,1.91,-2.08,1.91,INF,-1,0,7,0
1500,1,1,-24.271,20.107,-2.27,1.88,-2.27,1.88,INF,-1,0,7,0
1520,1,1,-22.928,22.382,-2.14,2.09,-2.14,2.09,INF,-1,0,7,0
1540,1,1,-25.320,19.254,-2.37,1.80,-2.36,1.80,INF,-1,0,7,0
1560,1,1,-23.747,20.911,-2.22,1.95,-2.22,1.95,INF,-1,0,7,0
1580,1,1,-22.657,20.968,-2.12,1.96,-2.12,1.96,INF,-1,0,7,0
1600,1,1,-24.413,21.112,-2.28,1.97,-2.28,1.97,INF,-1,0,7,0
1620,1,1,-25.007,21.884,-2.34,2.04,-2.33,2.04,INF,-1,0,7,0
1640,1,1,-25.298,20.040,-2.36,1.87,-2.36,1.87,INF,-1,0,7,0
1660,1,1,-5.699,25.612,-0.53,2.39,-0.53,2.39,INF,-1,0,7,0
1680,1,1,-7.112,24.462,-0.66,2.29,-0.66,2.29,INF,-1,0,7,0
1700,1,1,-8.331,23.729,-0.78,2.22,-0.78,2.22,INF,-1,0,7,0
1720,1,1,-8.540,23.554,-0.80,2.20,-0.80,2.20,INF,-1,0,7,0
1740,1,1,-10.391,24.873,-0.97,2.32,-0.97,2.32,INF,-1,0,7,0
1760,1,1,-8.388,23.114,-0.78,2.16,-0.78,2.16,INF,-1,1,7,0
1780,1,1,-8.611,25.519,-0.80,2.38,-0.80,2.38,INF,-1,1,7,0
1800,1,1,-9.345,25.986,-0.87,2.43,-0.87,2.43,INF,-1,1,7,0
1820,1,1,-9.646,23.205,-0.90,2.17,-0.90,2.17,INF,-1,1,7,0
1840,1,1,-9.277,23.735,-0.87,2.22,-0.87,2.22,INF,-1,1,7,0
1860,1,1,-8.992,23.486,-0.84,2.19,-0.84,2.19,INF,-1,1,7,0
1880,1,1,-8.105,24.532,-0.76,2.29,-0.76,2.29,INF,-1,1,7,0
1900,1,1,-8.532,23.571,-0.80,2.20,-0.80,2.20,INF,-1,1,7,0
