"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.15037
CalibrationParameters_A12,0.07791
CalibrationParameters_A13,0.00763
CalibrationParameters_A21,0.05414
CalibrationParameters_A22,-1.21136
CalibrationParameters_A23,0.07211
CalibrationParameters_A31,0.00029
CalibrationParameters_A32,0.00120
CalibrationParameters_E11,-0.17999
CalibrationParameters_E12,-0.00015
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19988
CalibrationParameters_X,18.43532
CalibrationParameters_Y,52.50255
CalibrationParameters_Rpc,70.17825
CalibrationParameters_MeanX,124.72035
CalibrationParameters_MeanY,88.06214
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,1,1,-12.385,7.727,-1.16,0.72,-1.16,0.72,INF,-1,0,7,0
40,1,1,-8.089,9.377,-0.76,0.88,-0.76,0.88,INF,-1,0,7,0
60,1,1,-9.523,9.340,-0.89,0.87,-0.89,0.87,INF,-1,0,7,0
80,1,1,-9.060,8.484,-0.85,0.79,-0.85,0.79,INF,-1,0,7,0
100,1,1,-7.589,9.024,-0.71,0.84,-0.71,0.84,INF,-1,0,7,0
120,1,1,-8.596,8.099,-0.80,0.76,-0.80,0.76,INF,-1,0,7,0
140,1,1,-9.152,10.208,-0.86,0.95,-0.86,0.95,INF,-1,0,7,0
160,1,1,-8.568,9.106,-0.80,0.85,-0.80,0.85,INF,-1,0,7,0
180,1,1,-8.869,8.350,-0.83,0.78,-0.83,0.78,INF,-1,0,7,0
200,1,1,-8.700,9.177,-0.81,0.86,-0.81,0.86,INF,-1,0,7,0
220,1,1,-8.880,8.576,-0.83,0.80,-0.83,0.80,INF,-1,0,7,0
240,1,1,-8.361,8.655,-0.78,0.81,-0.78,0.81,INF,-1,0,7,0
260,1,1,-9.759,7.666,-0.91,0.72,-0.91,0.72,INF,-1,0,7,0
280,1,1,-36.795,15.618,-3.43,1.46,-3.43,1.46,INF,-1,0,7,0
300,1,1,-38.965,13.551,-3.64,1.26,-3.64,1.27,INF,-1,1,7,0
320,1,1,-39.182,14.753,-3.66,1.38,-3.66,1.38,INF,-1,0,7,0
340,1,1,-39.357,14.037,-3.67,1.31,-3.67,1.31,INF,-1,0,7,0
360,1,1,-38.716,13.678,-3.61,1.28,-3.61,1.28,INF,-1,0,7,0
380,1,1,-37.846,12.450,-3.53,1.16,-3.53,1.16,INF,-1,0,7,0
400,1,1,-37.998,11.514,-3.55,1.07,-3.55,1.08,INF,-1,0,7,0
420,1,1,-38.014,12.266,-3.55,1.14,-3.55,1.15,INF,-1,0,7,0
440,1,1,-38.680,12.696,-3.61,1.18,-3.61,1.19,INF,-1,0,7,0
460,1,1,-37.724,11.092,-3.52,1.03,-3.52,1.04,INF,-1,0,7,0
480,1,1,-39.287,12.285,-3.67,1.15,-3.67,1.15,INF,-1,0,7,0
500,1,1,-39.207,12.549,-3.66,1.17,-3.66,1.17,INF,-1,0,7,0
520,1,1,-39.667,11.905,-3.70,1.11,-3.70,1.11,INF,-1,0,7,0
540,1,1,-39.648,12.175,-3.70,1.14,-3.70,1.14,INF,-1,0,7,0
560,1,1,7.702,12.645,0.72,1.18,0.72,1.18,INF,-1,1,7,0
580,1,1,15.992,10.223,1.49,0.96,1.49,0.96,INF,-1,1,7,0
600,1,1,15.627,10.572,1.46,0.99,1.46,0.99,INF,-1,0,7,0
620,1,1,13.891,9.354,1.30,0.87,1.30,0.87,INF,-1,0,7,0
640,1,1,15.947,9.654,1.49,0.90,1.49,0.90,INF,-1,0,7,0
660,1,1,15.232,8.789,1.42,0.82,1.42,0.82,INF,-1,0,7,0
680,1,1,14.647,8.480,1.37,0.79,1.37,0.79,INF,-1,0,7,0
700,1,1,15.174,8.922,1.42,0.83,1.42,0.83,INF,-1,0,7,0
720,1,1,14.677,10.770,1.37,1.01,1.37,1.01,INF,-1,0,7,0
740,1,1,14.792,9.383,1.38,0.88,1.38,0.88,INF,-1,0,7,0
760,1,1,16.447,7.840,1.54,0.73,1.54,0.73,INF,-1,0,7,0
780,1,1,15.925,7.614,1.49,0.71,1.49,0.71,INF,-1,0,7,0
800,1,1,14.397,7.685,1.35,0.72,1.35,0.72,INF,-1,0,7,0
820,1,1,15.821,7.909,1.48,0.74,1.48,0.74,INF,-1,0,7,0
840,1,1,15.423,7.819,1.44,0.73,1.44,0.73,INF,-1,1,7,0
860,1,1,15.761,6.663,1.47,0.62,1.47,0.62,INF,-1,1,7,0
880,1,1,12.610,8.698,1.18,0.81,1.18,0.81,INF,-1,1,7,0
900,1,1,-25.529,7.966,-2.38,0.74,-2.38,0.74,INF,-1,1,7,0
920,1,1,-35.783,7.449,-3.34,0.69,-3.34,0.70,INF,-1,1,7,0
940,1,1,-34.010,5.299,-3.18,0.49,-3.18,0.50,INF,-1,0,7,0
960,1,1,-33.939,9.638,-3.17,0.90,-3.17,0.90,INF,-1,0,7,0
980,1,1,-34.430,8.799,-3.21,0.82,-3.21,0.82,INF,-1,0,7,0
1000,1,1,-34.519,6.378,-3.22,0.60,-3.22,0.60,INF,-1,0,7,0
1020,1,1,-33.163,6.863,-3.10,0.64,-3.10,0.64,INF,-1,0,7,0
1040,1,1,-34.987,7.472,-3.27,0.70,-3.27,0.70,INF,-1,0,7,0
1060,1,1,-32.478,7.773,-3.03,0.73,-3.03,0.73,INF,-1,0,7,0
1080,1,1,-33.466,8.728,-3.12,0.81,-3.12,0.82,INF,-1,0,7,0
