"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.17158
CalibrationParameters_A12,0.05770
CalibrationParameters_A13,0.05503
CalibrationParameters_A21,0.04898
CalibrationParameters_A22,-1.20432
CalibrationParameters_A23,0.00730
CalibrationParameters_A31,0.00090
CalibrationParameters_A32,0.00094
CalibrationParameters_E11,-0.18012
CalibrationParameters_E12,-0.00012
CalibrationParameters_E21,-0.00002
CalibrationParameters_E22,0.19974
CalibrationParameters_X,21.44294
CalibrationParameters_Y,49.56438
CalibrationParameters_Rpc,72.01644
CalibrationParameters_MeanX,134.35434
CalibrationParameters_MeanY,117.88496
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-8.483,0.380,-0.79,0.04,-0.79,0.04,INF,-1,0,7,0
20,1,1,-10.647,0.891,-1.00,0.08,-1.00,0.08,INF,-1,0,7,0
40,1,1,-8.915,0.023,-0.83,0.00,-0.83,0.00,INF,-1,0,7,0
60,1,1,-7.656,-1.178,-0.72,-0.11,-0.72,-0.11,INF,-1,0,7,0
80,1,1,-8.559,-0.302,-0.80,-0.03,-0.80,-0.03,INF,-1,0,7,0
100,1,1,-7.956,0.302,-0.74,0.03,-0.74,0.03,INF,-1,0,7,0
120,1,1,-8.203,-0.531,-0.77,-0.05,-0.77,-0.05,INF,-1,0,7,0
140,1,1,-7.822,-0.929,-0.73,-0.09,-0.73,-0.09,INF,-1,0,7,0
160,1,1,-9.866,-1.092,-0.92,-0.10,-0.92,-0.10,INF,-1,0,7,0
180,1,1,-7.506,-0.877,-0.70,-0.08,-0.70,-0.08,INF,-1,0,7,0
200,1,1,-7.905,-0.253,-0.74,-0.02,-0.74,-0.02,INF,-1,0,7,0
220,1,1,-6.864,-0.182,-0.64,-0.02,-0.64,-0.02,INF,-1,0,7,0
240,1,1,-7.158,-2.186,-0.67,-0.20,-0.67,-0.20,INF,-1,0,7,0
260,1,1,-7.295,-1.709,-0.68,-0.16,-0.68,-0.16,INF,-1,0,7,0
280,1,1,-6.593,-2.114,-0.62,-0.20,-0.62,-0.20,INF,-1,1,7,0
300,1,1,-8.954,-0.283,-0.84,-0.03,-0.84,-0.03,INF,-1,1,7,0
320,1,1,-7.004,-1.135,-0.65,-0.11,-0.65,-0.11,INF,-1,1,7,0
340,1,1,-6.338,-1.399,-0.59,-0.13,-0.59,-0.13,INF,-1,1,7,0
360,1,1,-8.108,-2.055,-0.76,-0.19,-0.76,-0.19,INF,-1,1,7,0
380,1,1,-5.862,-3.388,-0.55,-0.32,-0.55,-0.32,INF,-1,1,7,0
400,1,1,-5.779,-3.594,-0.54,-0.34,-0.54,-0.34,INF,-1,1,7,0
420,1,1,-6.503,-3.656,-0.61,-0.34,-0.61,-0.34,INF,-1,1,7,0
440,1,1,-5.362,-3.139,-0.50,-0.29,-0.50,-0.29,INF,-1,1,7,0
460,1,1,-4.223,-3.471,-0.39,-0.32,-0.39,-0.32,INF,-1,1,7,0
480,1,1,11.587,3.409,1.08,0.32,1.08,0.32,INF,-1,1,7,0
500,1,1,13.161,6.700,1.23,0.63,1.23,0.63,INF,-1,1,7,0
520,1,1,11.647,5.339,1.09,0.50,1.09,0.50,INF,-1,0,7,0
540,1,1,12.736,6.247,1.19,0.58,1.19,0.58,INF,-1,0,7,0
560,1,1,11.444,6.820,1.07,0.64,1.07,0.64,INF,-1,0,7,0
580,1,1,10.791,6.090,1.01,0.57,1.01,0.57,INF,-1,0,7,0
600,1,1,11.910,6.318,1.11,0.59,1.11,0.59,INF,-1,0,7,0
620,1,1,12.311,7.133,1.15,0.67,1.15,0.67,INF,-1,0,7,0
640,1,1,11.870,6.567,1.11,0.61,1.11,0.61,INF,-1,0,7,0
660,1,1,10.185,6.681,0.95,0.62,0.95,0.62,INF,-1,0,7,0
680,1,1,10.877,7.591,1.02,0.71,1.02,0.71,INF,-1,0,7,0
700,1,1,10.389,7.879,0.97,0.74,0.97,0.74,INF,-1,0,7,0
720,1,1,11.672,5.448,1.09,0.51,1.09,0.51,INF,-1,0,7,0
740,1,1,10.292,5.756,0.96,0.54,0.96,0.54,INF,-1,0,7,0
760,1,1,10.250,5.379,0.96,0.50,0.96,0.50,INF,-1,1,7,0
780,1,1,10.356,5.533,0.97,0.52,0.97,0.52,INF,-1,1,7,0
800,1,1,10.545,5.276,0.99,0.49,0.99,0.49,INF,-1,1,7,0
820,1,1,11.142,5.956,1.04,0.56,1.04,0.56,INF,-1,1,7,0
840,1,1,10.456,4.993,0.98,0.47,0.98,0.47,INF,-1,1,7,0
860,1,1,9.199,3.561,0.86,0.33,0.86,0.33,INF,-1,1,7,0
880,1,1,2.060,-7.932,0.19,-0.74,0.19,-0.74,INF,-1,1,7,0
900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
920,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1020,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1040,1,1,9.040,10.685,0.84,1.00,0.84,1.00,INF,-1,0,7,0
1060,1,1,6.869,14.558,0.64,1.36,0.64,1.36,INF,-1,0,7,0
1080,1,1,5.971,17.698,0.56,1.65,0.56,1.65,INF,-1,0,7,0
1100,1,1,5.333,17.959,0.50,1.68,0.50,1.68,INF,-1,0,7,0
1120,1,1,6.661,17.774,0.62,1.66,0.62,1.66,INF,-1,0,7,0
1140,1,1,6.294,19.072,0.59,1.78,0.59,1.78,INF,-1,0,7,0
1160,1,1,5.459,18.678,0.51,1.75,0.51,1.75,INF,-1,0,7,0
1180,1,1,6.528,18.433,0.61,1.72,0.61,1.72,INF,-1,0,7,0
1200,1,1,4.977,19.000,0.47,1.78,0.46,1.78,INF,-1,0,7,0
1220,1,1,5.557,18.896,0.52,1.77,0.52,1.77,INF,-1,0,7,0
1240,1,1,5.124,17.646,0.48,1.65,0.48,1.65,INF,-1,0,7,0
1260,1,1,8.349,12.994,0.78,1.21,0.78,1.21,INF,-1,0,7,0
1280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
1360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1440,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1460,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1480,1,1,4.216,-9.954,0.39,-0.93,0.39,-0.93,INF,-1,0,7,0
1500,1,1,3.804,-1.704,0.36,-0.16,0.36,-0.16,INF,-1,0,7,0
1520,1,1,2.821,0.300,0.26,0.03,0.26,0.03,INF,-1,0,7,0
1540,1,1,3.657,-1.490,0.34,-0.14,0.34,-0.14,INF,-1,0,7,0
1560,1,1,3.963,-1.236,0.37,-0.12,0.37,-0.12,INF,-1,0,7,0
1580,1,1,3.839,2.063,0.36,0.19,0.36,0.19,INF,-1,0,7,0
1600,1,1,3.724,2.667,0.35,0.25,0.35,0.25,INF,-1,0,7,0
1620,1,1,3.591,2.060,0.34,0.19,0.34,0.19,INF,-1,0,7,0
1640,1,1,4.303,1.924,0.40,0.18,0.40,0.18,INF,-1,0,7,0
1660,1,1,3.436,0.725,0.32,0.07,0.32,0.07,INF,-1,0,7,0
1680,1,1,3.285,0.365,0.31,0.03,0.31,0.03,INF,-1,0,7,0
1700,1,1,3.148,1.961,0.29,0.18,0.29,0.18,INF,-1,0,7,0
1720,1,1,3.760,3.170,0.35,0.30,0.35,0.30,INF,-1,0,7,0
1740,1,1,6.849,-0.042,0.64,0.00,0.64,0.00,INF,-1,0,7,0
1760,1,1,-36.438,17.861,-3.40,1.67,-3.40,1.67,INF,-1,0,7,0
1780,1,1,-32.997,14.662,-3.08,1.37,-3.08,1.37,INF,-1,1,7,0
1800,1,1,-32.947,15.940,-3.08,1.49,-3.08,1.49,INF,-1,0,7,0
1820,1,1,-33.107,15.356,-3.09,1.43,-3.09,1.43,INF,-1,0,7,0
1840,1,1,-33.122,15.496,-3.09,1.45,-3.09,1.45,INF,-1,0,7,0
1860,1,1,-34.081,16.312,-3.18,1.52,-3.18,1.52,INF,-1,0,7,0
1880,1,1,-32.723,16.205,-3.06,1.51,-3.05,1.51,INF,-1,0,7,0
1900,1,1,-33.125,15.116,-3.09,1.41,-3.09,1.41,INF,-1,0,7,0
1920,1,1,-33.594,15.332,-3.14,1.43,-3.14,1.43,INF,-1,0,7,0
1940,1,1,-34.052,15.225,-3.18,1.42,-3.18,1.42,INF,-1,0,7,0
1960,1,1,-33.418,15.418,-3.12,1.44,-3.12,1.44,INF,-1,0,7,0
1980,1,1,-34.669,16.692,-3.24,1.56,-3.24,1.56,INF,-1,0,7,0
2000,1,1,-33.124,15.791,-3.09,1.47,-3.09,1.48,INF,-1,0,7,0
2020,1,1,-32.797,15.737,-3.06,1.47,-3.06,1.47,INF,-1,0,7,0
2040,1,1,-34.578,15.954,-3.23,1.49,-3.23,1.49,INF,-1,1,7,0
2060,1,1,-33.573,15.427,-3.13,1.44,-3.13,1.44,INF,-1,1,7,0
2080,1,1,-34.089,15.471,-3.18,1.44,-3.18,1.45,INF,-1,1,7,0
2100,1,1,-34.144,15.868,-3.19,1.48,-3.19,1.48,INF,-1,1,7,0
2120,1,1,-33.984,16.161,-3.17,1.51,-3.17,1.51,INF,-1,1,7,0
2140,1,1,-34.947,15.348,-3.26,1.43,-3.26,1.43,INF,-1,1,7,0
2160,1,1,-35.496,15.885,-3.31,1.48,-3.31,1.48,INF,-1,1,7,0
2180,1,1,-36.103,15.722,-3.37,1.47,-3.37,1.47,INF,-1,1,7,0
2200,1,1,-34.672,15.887,-3.24,1.48,-3.24,1.48,INF,-1,1,7,0
2220,1,1,-34.712,16.194,-3.24,1.51,-3.24,1.51,INF,-1,1,7,0
2240,1,1,-36.748,16.937,-3.43,1.58,-3.43,1.58,INF,-1,1,7,0
2260,1,1,-35.282,17.953,-3.29,1.67,-3.29,1.68,INF,-1,1,7,0
2280,1,1,-34.437,16.528,-3.22,1.54,-3.21,1.54,INF,-1,1,7,0
2300,1,1,-35.670,15.952,-3.33,1.49,-3.33,1.49,INF,-1,1,7,0
2320,1,1,-35.552,14.552,-3.32,1.36,-3.32,1.36,INF,-1,1,7,0
2340,1,1,-35.825,15.949,-3.34,1.49,-3.34,1.49,INF,-1,1,7,0
2360,1,1,-40.214,18.157,-3.75,1.69,-3.75,1.70,INF,-1,1,7,0
2380,1,1,30.589,5.274,2.86,0.49,2.86,0.49,INF,-1,1,7,0
2400,1,1,46.345,2.808,4.32,0.26,4.32,0.26,INF,-1,1,7,0
2420,1,1,44.728,1.546,4.17,0.14,4.17,0.14,INF,-1,0,7,0
2440,1,1,43.346,2.371,4.04,0.22,4.04,0.22,INF,-1,0,7,0
2460,1,1,43.056,1.503,4.02,0.14,4.02,0.14,INF,-1,0,7,0
2480,1,1,42.635,0.951,3.98,0.09,3.98,0.09,INF,-1,0,7,0
2500,1,1,42.064,1.100,3.93,0.10,3.93,0.10,INF,-1,0,7,0
2520,1,1,41.046,0.560,3.83,0.05,3.83,0.05,INF,-1,0,7,0
2540,1,1,39.768,2.699,3.71,0.25,3.71,0.25,INF,-1,0,7,0
2560,1,1,40.794,2.613,3.81,0.24,3.81,0.24,INF,-1,0,7,0
