"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.11063
CalibrationParameters_A12,0.07479
CalibrationParameters_A13,0.08755
CalibrationParameters_A21,0.05264
CalibrationParameters_A22,-1.11411
CalibrationParameters_A23,0.03936
CalibrationParameters_A31,0.00162
CalibrationParameters_A32,-0.00012
CalibrationParameters_E11,-0.17981
CalibrationParameters_E12,-0.00005
CalibrationParameters_E21,-0.00007
CalibrationParameters_E22,0.19990
CalibrationParameters_X,11.01911
CalibrationParameters_Y,40.44807
CalibrationParameters_Rpc,67.09733
CalibrationParameters_MeanX,161.60047
CalibrationParameters_MeanY,70.78865
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,INF,-1,0,7,0
200,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
220,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
240,1,1,-67.638,-256.738,-6.30,-22.60,-5.81,-22.73,INF,-1,0,7,0
260,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
280,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
300,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
320,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
340,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
360,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
380,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
400,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
420,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
440,1,1,52.548,-14.836,4.90,-1.38,4.90,-1.39,INF,-1,0,7,0
460,1,1,31.413,-3.835,2.93,-0.36,2.93,-0.36,INF,-1,0,7,0
480,1,1,15.481,4.359,1.45,0.41,1.45,0.41,INF,-1,0,7,0
500,1,1,11.047,7.488,1.03,0.70,1.03,0.70,INF,-1,0,7,0
520,1,1,12.051,10.414,1.13,0.97,1.13,0.97,INF,-1,0,7,0
540,1,1,12.362,8.946,1.16,0.84,1.16,0.84,INF,-1,0,7,0
560,1,1,13.039,10.544,1.22,0.99,1.22,0.99,INF,-1,0,7,0
580,1,1,13.025,10.864,1.22,1.02,1.22,1.02,INF,-1,0,7,0
600,1,1,12.994,7.923,1.21,0.74,1.21,0.74,INF,-1,0,7,0
620,1,1,6.109,9.380,0.57,0.88,0.57,0.88,INF,-1,0,7,0
640,1,1,-0.418,12.704,-0.04,1.19,-0.04,1.19,INF,-1,0,7,0
660,1,1,-0.072,15.979,-0.01,1.49,-0.01,1.49,INF,-1,0,7,0
680,1,1,0.769,11.662,0.07,1.09,0.07,1.09,INF,-1,0,7,0
700,1,1,-0.878,12.159,-0.08,1.14,-0.08,1.14,INF,-1,0,7,0
720,1,1,0.472,13.510,0.04,1.26,0.04,1.26,INF,-1,0,7,0
740,1,1,0.389,12.444,0.04,1.16,0.04,1.16,INF,-1,0,7,0
760,1,1,0.807,12.246,0.08,1.14,0.08,1.14,INF,-1,1,7,0
780,1,1,-0.941,13.346,-0.09,1.25,-0.09,1.25,INF,-1,1,7,0
800,1,1,-1.681,12.128,-0.16,1.13,-0.16,1.13,INF,-1,1,7,0
820,1,1,-2.085,14.247,-0.19,1.33,-0.19,1.33,INF,-1,1,7,0
840,1,1,-3.606,14.303,-0.34,1.34,-0.34,1.34,INF,-1,1,7,0
860,1,1,-2.054,13.229,-0.19,1.24,-0.19,1.24,INF,-1,1,7,0
880,1,1,-2.773,13.812,-0.26,1.29,-0.26,1.29,INF,-1,1,7,0
900,1,1,-2.014,15.001,-0.19,1.40,-0.19,1.40,INF,-1,1,7,0
920,1,1,-2.573,12.999,-0.24,1.21,-0.24,1.21,INF,-1,1,7,0
940,1,1,-4.592,16.685,-0.43,1.56,-0.43,1.56,INF,-1,1,7,0
960,1,1,-4.476,18.123,-0.42,1.69,-0.42,1.69,INF,-1,1,7,0
980,1,1,-4.041,18.746,-0.38,1.75,-0.38,1.75,INF,-1,0,7,0
1000,1,1,-4.345,15.122,-0.41,1.41,-0.41,1.41,INF,-1,0,7,0
1020,1,1,-3.853,17.093,-0.36,1.60,-0.36,1.60,INF,-1,0,7,0
1040,1,1,-5.800,17.582,-0.54,1.64,-0.54,1.64,INF,-1,0,7,0
1060,1,1,-6.856,19.358,-0.64,1.81,-0.64,1.81,INF,-1,0,7,0
1080,1,1,-5.610,16.875,-0.52,1.58,-0.52,1.58,INF,-1,0,7,0
1100,1,1,-6.547,17.906,-0.61,1.67,-0.61,1.67,INF,-1,0,7,0
1120,1,1,-6.462,17.166,-0.60,1.60,-0.60,1.60,INF,-1,0,7,0
1140,1,1,-6.395,17.297,-0.60,1.62,-0.60,1.62,INF,-1,0,7,0
1160,1,1,-7.269,16.516,-0.68,1.54,-0.68,1.54,INF,-1,0,7,0
1180,1,1,-6.335,16.868,-0.59,1.58,-0.59,1.58,INF,-1,0,7,0
1200,1,1,-7.836,16.802,-0.73,1.57,-0.73,1.57,INF,-1,0,7,0
1220,1,1,-7.156,16.878,-0.67,1.58,-0.67,1.58,INF,-1,1,7,0
1240,1,1,-6.260,18.381,-0.59,1.72,-0.58,1.72,INF,-1,1,7,0
1260,1,1,-6.600,17.053,-0.62,1.59,-0.62,1.59,INF,-1,1,7,0
1280,1,1,-6.166,17.527,-0.58,1.64,-0.58,1.64,INF,-1,1,7,0
1300,1,1,-4.712,17.572,-0.44,1.64,-0.44,1.64,INF,-1,1,7,0
1320,1,1,-3.944,16.919,-0.37,1.58,-0.37,1.58,INF,-1,1,7,0
1340,1,1,-4.093,18.635,-0.38,1.74,-0.38,1.74,INF,-1,1,7,0
1360,1,1,-2.834,17.593,-0.26,1.64,-0.26,1.64,INF,-1,1,7,0
1380,1,1,-2.979,18.297,-0.28,1.71,-0.28,1.71,INF,-1,1,7,0
1400,1,1,-3.800,18.337,-0.36,1.71,-0.36,1.71,INF,-1,1,7,0
