"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.16680
CalibrationParameters_A12,0.03738
CalibrationParameters_A13,0.09807
CalibrationParameters_A21,0.08510
CalibrationParameters_A22,-1.18859
CalibrationParameters_A23,-0.03039
CalibrationParameters_A31,0.00151
CalibrationParameters_A32,0.00117
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,-0.00002
CalibrationParameters_E21,-0.00004
CalibrationParameters_E22,0.19998
CalibrationParameters_X,20.32875
CalibrationParameters_Y,49.26821
CalibrationParameters_Rpc,71.69486
CalibrationParameters_MeanX,111.27340
CalibrationParameters_MeanY,95.83206
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,1,1,24.327,49.984,2.27,4.66,2.27,4.66,INF,-1,0,7,0
160,1,1,24.398,47.780,2.28,4.45,2.27,4.46,INF,-1,0,7,0
180,1,1,32.913,55.362,3.07,5.15,3.06,5.16,INF,-1,0,7,0
200,1,1,7.405,14.696,0.69,1.37,0.69,1.37,INF,-1,0,7,0
220,1,1,8.736,16.780,0.82,1.57,0.82,1.57,INF,-1,0,7,0
240,1,1,8.786,14.733,0.82,1.38,0.82,1.38,INF,-1,0,7,0
260,1,1,7.973,13.440,0.75,1.26,0.75,1.26,INF,-1,0,7,0
280,1,1,8.605,13.366,0.80,1.25,0.80,1.25,INF,-1,0,7,0
300,1,1,8.248,15.060,0.77,1.41,0.77,1.41,INF,-1,0,7,0
320,1,1,8.020,13.154,0.75,1.23,0.75,1.23,INF,-1,0,7,0
340,1,1,8.272,14.293,0.77,1.34,0.77,1.34,INF,-1,0,7,0
360,1,1,7.182,13.423,0.67,1.25,0.67,1.25,INF,-1,0,7,0
380,1,1,7.180,13.553,0.67,1.27,0.67,1.27,INF,-1,0,7,0
400,1,1,-1.054,1.990,-0.10,0.19,-0.10,0.19,INF,-1,0,7,0
420,1,1,0.278,0.161,0.03,0.02,0.03,0.02,INF,-1,0,7,0
440,1,1,0.597,-1.293,0.06,-0.12,0.06,-0.12,INF,-1,0,7,0
460,1,1,0.638,-0.574,0.06,-0.05,0.06,-0.05,INF,-1,0,7,0
480,1,1,1.003,-2.104,0.09,-0.20,0.09,-0.20,INF,-1,0,7,0
500,1,1,-0.375,-1.868,-0.04,-0.17,-0.04,-0.17,INF,-1,1,7,0
520,1,1,0.645,-2.969,0.06,-0.28,0.06,-0.28,INF,-1,0,7,0
540,1,1,-0.419,-3.447,-0.04,-0.32,-0.04,-0.32,INF,-1,0,7,0
560,1,1,1.051,-4.224,0.10,-0.39,0.10,-0.39,INF,-1,0,7,0
580,1,1,-0.452,-2.142,-0.04,-0.20,-0.04,-0.20,INF,-1,0,7,0
600,1,1,-0.132,-3.279,-0.01,-0.31,-0.01,-0.31,INF,-1,0,7,0
620,1,1,0.258,-3.362,0.02,-0.31,0.02,-0.31,INF,-1,0,7,0
640,1,1,0.171,-2.624,0.02,-0.25,0.02,-0.25,INF,-1,0,7,0
660,1,1,-0.298,-3.237,-0.03,-0.30,-0.03,-0.30,INF,-1,0,7,0
680,1,1,-1.622,-4.443,-0.15,-0.42,-0.15,-0.42,INF,-1,0,7,0
700,1,1,-0.530,-5.005,-0.05,-0.47,-0.05,-0.47,INF,-1,0,7,0
720,1,1,-1.412,-4.668,-0.13,-0.44,-0.13,-0.44,INF,-1,0,7,0
740,1,1,-0.476,-4.011,-0.04,-0.37,-0.04,-0.37,INF,-1,0,7,0
760,1,1,-1.203,-4.874,-0.11,-0.46,-0.11,-0.46,INF,-1,1,7,0
780,1,1,-0.323,-4.191,-0.03,-0.39,-0.03,-0.39,INF,-1,1,7,0
800,1,1,-2.065,-5.881,-0.19,-0.55,-0.19,-0.55,INF,-1,1,7,0
820,1,1,-1.108,-4.627,-0.10,-0.43,-0.10,-0.43,INF,-1,1,7,0
840,1,1,-2.711,-8.656,-0.25,-0.81,-0.25,-0.81,INF,-1,1,7,0
860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
920,1,1,-32.323,-220.127,-3.02,-19.73,-2.84,-19.75,INF,-1,1,7,0
940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
960,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
980,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1000,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1020,1,1,-17.912,27.027,-1.67,2.52,-1.67,2.52,INF,-1,0,7,0
1040,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
1060,1,1,-17.191,26.072,-1.61,2.43,-1.60,2.44,INF,-1,0,7,0
1080,1,1,-14.514,26.339,-1.36,2.46,-1.36,2.46,INF,-1,0,7,0
1100,1,1,-15.898,26.624,-1.49,2.49,-1.48,2.49,INF,-1,0,7,0
1120,1,1,-14.546,27.022,-1.36,2.52,-1.36,2.52,INF,-1,0,7,0
1140,1,1,-14.464,26.291,-1.35,2.46,-1.35,2.46,INF,-1,0,7,0
1160,1,1,-15.668,26.137,-1.46,2.44,-1.46,2.44,INF,-1,0,7,0
1180,1,1,-14.930,26.690,-1.40,2.49,-1.39,2.49,INF,-1,0,7,0
1200,1,1,-15.154,25.791,-1.42,2.41,-1.41,2.41,INF,-1,0,7,0
1220,1,1,-15.446,24.685,-1.44,2.31,-1.44,2.31,INF,-1,0,7,0
1240,1,1,-14.939,24.762,-1.40,2.31,-1.39,2.31,INF,-1,0,7,0
1260,1,1,-13.872,26.272,-1.30,2.45,-1.30,2.45,INF,-1,0,7,0
1280,1,1,-14.241,28.153,-1.33,2.63,-1.33,2.63,INF,-1,0,7,0
1300,1,1,-15.497,25.637,-1.45,2.39,-1.45,2.39,INF,-1,1,7,0
1320,1,1,-14.984,25.349,-1.40,2.37,-1.40,2.37,INF,-1,1,7,0
1340,1,1,-14.833,26.202,-1.39,2.45,-1.38,2.45,INF,-1,1,7,0
1360,1,1,-14.719,24.810,-1.38,2.32,-1.37,2.32,INF,-1,1,7,0
1380,1,1,-16.080,25.017,-1.50,2.34,-1.50,2.34,INF,-1,1,7,0
