"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.18166
CalibrationParameters_A12,0.07415
CalibrationParameters_A13,-0.02423
CalibrationParameters_A21,0.04463
CalibrationParameters_A22,-1.23281
CalibrationParameters_A23,0.03427
CalibrationParameters_A31,-0.00016
CalibrationParameters_A32,0.00033
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,-0.00008
CalibrationParameters_E21,-0.00002
CalibrationParameters_E22,0.19993
CalibrationParameters_X,35.67759
CalibrationParameters_Y,45.06473
CalibrationParameters_Rpc,88.75761
CalibrationParameters_MeanX,103.90116
CalibrationParameters_MeanY,153.99240
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-39.538,13.681,-3.69,1.28,-3.69,1.28,INF,-1,0,7,0
20,1,1,-38.822,13.988,-3.62,1.30,-3.62,1.31,INF,-1,0,7,0
40,1,1,-39.409,13.367,-3.68,1.25,-3.68,1.25,INF,-1,0,7,0
60,1,1,-38.550,13.129,-3.60,1.22,-3.60,1.23,INF,-1,0,7,0
80,1,1,-39.284,12.958,-3.67,1.21,-3.67,1.21,INF,-1,0,7,0
100,1,1,-37.656,13.140,-3.52,1.23,-3.51,1.23,INF,-1,0,7,0
120,1,1,-39.095,12.852,-3.65,1.20,-3.65,1.20,INF,-1,0,7,0
140,1,1,-37.998,12.165,-3.55,1.13,-3.55,1.14,INF,-1,0,7,0
160,1,1,-37.905,13.762,-3.54,1.28,-3.54,1.29,INF,-1,0,7,0
180,1,1,-37.505,13.237,-3.50,1.23,-3.50,1.24,INF,-1,0,7,0
200,1,1,-37.500,13.280,-3.50,1.24,-3.50,1.24,INF,-1,0,7,0
220,1,1,1.575,8.472,0.15,0.79,0.15,0.79,INF,-1,0,7,0
240,1,1,4.912,11.646,0.46,1.09,0.46,1.09,INF,-1,0,7,0
260,1,1,2.544,11.067,0.24,1.03,0.24,1.03,INF,-1,0,7,0
280,1,1,1.754,11.667,0.16,1.09,0.16,1.09,INF,-1,0,7,0
300,1,1,1.722,11.778,0.16,1.10,0.16,1.10,INF,-1,0,7,0
320,1,1,1.172,10.700,0.11,1.00,0.11,1.00,INF,-1,0,7,0
340,1,1,0.732,10.731,0.07,1.00,0.07,1.00,INF,-1,0,7,0
360,1,1,2.230,10.132,0.21,0.95,0.21,0.95,INF,-1,0,7,0
380,1,1,0.537,10.665,0.05,1.00,0.05,1.00,INF,-1,0,7,0
400,1,1,2.255,11.668,0.21,1.09,0.21,1.09,INF,-1,0,7,0
420,1,1,0.478,11.578,0.04,1.08,0.04,1.08,INF,-1,0,7,0
440,1,1,1.153,11.181,0.11,1.04,0.11,1.04,INF,-1,0,7,0
460,1,1,1.033,10.779,0.10,1.01,0.10,1.01,INF,-1,0,7,0
480,1,1,1.072,9.943,0.10,0.93,0.10,0.93,INF,-1,0,7,0
500,1,1,0.855,9.447,0.08,0.88,0.08,0.88,INF,-1,1,7,0
520,1,1,0.488,11.328,0.05,1.06,0.05,1.06,INF,-1,1,7,0
540,1,1,0.638,10.355,0.06,0.97,0.06,0.97,INF,-1,1,7,0
560,1,1,1.095,9.601,0.10,0.90,0.10,0.90,INF,-1,1,7,0
580,1,1,-2.262,3.385,-0.21,0.32,-0.21,0.32,INF,-1,1,7,0
600,1,1,-4.304,-16.380,-0.40,-1.53,-0.40,-1.53,INF,-1,1,7,0
620,1,1,-4.012,-15.727,-0.38,-1.47,-0.37,-1.47,INF,-1,1,7,0
640,1,1,-5.441,-15.873,-0.51,-1.48,-0.51,-1.48,INF,-1,0,7,0
660,1,1,-6.173,-16.490,-0.58,-1.54,-0.58,-1.54,INF,-1,0,7,0
680,1,1,-5.796,-16.525,-0.54,-1.54,-0.54,-1.54,INF,-1,0,7,0
700,1,1,-4.028,-16.795,-0.38,-1.57,-0.38,-1.57,INF,-1,0,7,0
720,1,1,-4.514,-16.527,-0.42,-1.54,-0.42,-1.54,INF,-1,0,7,0
740,1,1,-5.534,-16.758,-0.52,-1.57,-0.52,-1.57,INF,-1,0,7,0
760,1,1,-4.383,-16.817,-0.41,-1.57,-0.41,-1.57,INF,-1,0,7,0
780,1,1,-5.487,-16.431,-0.51,-1.54,-0.51,-1.54,INF,-1,0,7,0
800,1,1,-4.419,-16.875,-0.41,-1.58,-0.41,-1.58,INF,-1,0,7,0
820,1,1,-4.464,-16.524,-0.42,-1.54,-0.42,-1.54,INF,-1,0,7,0
840,1,1,-3.708,-17.154,-0.35,-1.60,-0.35,-1.60,INF,-1,0,7,0
