"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.10056
CalibrationParameters_A12,0.04563
CalibrationParameters_A13,-0.03841
CalibrationParameters_A21,0.06026
CalibrationParameters_A22,-1.15996
CalibrationParameters_A23,0.01916
CalibrationParameters_A31,-0.00066
CalibrationParameters_A32,0.00011
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19998
CalibrationParameters_X,21.21605
CalibrationParameters_Y,40.14395
CalibrationParameters_Rpc,85.29737
CalibrationParameters_MeanX,150.21109
CalibrationParameters_MeanY,137.03774
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,1.033,20.342,0.10,1.90,0.10,1.90,INF,-1,0,7,0
20,1,1,2.844,16.702,0.27,1.56,0.27,1.56,INF,-1,0,7,0
40,1,1,-0.019,16.408,0.00,1.53,0.00,1.53,INF,-1,0,7,0
60,1,1,-1.585,16.440,-0.15,1.54,-0.15,1.54,INF,-1,0,7,0
80,1,1,1.193,17.662,0.11,1.65,0.11,1.65,INF,-1,0,7,0
100,1,1,2.832,18.058,0.26,1.69,0.26,1.69,INF,-1,0,7,0
120,1,1,0.419,15.637,0.04,1.46,0.04,1.46,INF,-1,0,7,0
140,1,1,4.167,18.742,0.39,1.75,0.39,1.75,INF,-1,0,7,0
160,1,1,1.981,16.593,0.19,1.55,0.19,1.55,INF,-1,0,7,0
180,1,1,1.094,16.661,0.10,1.56,0.10,1.56,INF,-1,0,7,0
200,1,1,2.805,14.775,0.26,1.38,0.26,1.38,INF,-1,0,7,0
220,1,1,-22.557,0.348,-2.11,0.03,-2.11,0.03,INF,-1,0,7,0
240,1,1,-20.137,-0.231,-1.88,-0.02,-1.88,-0.02,INF,-1,0,7,0
260,1,1,-17.363,-1.620,-1.62,-0.15,-1.62,-0.15,INF,-1,0,7,0
280,1,1,-20.875,-4.871,-1.95,-0.46,-1.95,-0.46,INF,-1,0,7,0
300,1,1,-23.091,-5.028,-2.16,-0.47,-2.16,-0.47,INF,-1,0,7,0
320,1,1,-23.527,-3.910,-2.20,-0.37,-2.20,-0.37,INF,-1,0,7,0
340,1,1,-24.090,-1.879,-2.25,-0.18,-2.25,-0.18,INF,-1,0,7,0
