"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.11099
CalibrationParameters_A12,0.06235
CalibrationParameters_A13,-0.02378
CalibrationParameters_A21,0.01994
CalibrationParameters_A22,-1.20004
CalibrationParameters_A23,0.07164
CalibrationParameters_A31,-0.00014
CalibrationParameters_A32,-0.00018
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,0.00011
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.20012
CalibrationParameters_X,26.73124
CalibrationParameters_Y,43.22150
CalibrationParameters_Rpc,81.24925
CalibrationParameters_MeanX,124.13183
CalibrationParameters_MeanY,151.89912
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-4.667,39.438,-0.44,3.68,-0.44,3.68,INF,-1,0,7,0
20,1,1,-4.434,38.203,-0.41,3.57,-0.41,3.57,INF,-1,0,7,0
40,1,1,-3.535,38.391,-0.33,3.58,-0.33,3.58,INF,-1,0,7,0
60,1,1,-0.801,37.928,-0.07,3.54,-0.07,3.54,INF,-1,0,7,0
80,1,1,-1.046,38.527,-0.10,3.60,-0.10,3.60,INF,-1,0,7,0
100,1,1,0.196,37.427,0.02,3.49,0.02,3.49,INF,-1,0,7,0
120,1,1,-6.968,44.286,-0.65,4.13,-0.65,4.13,INF,-1,0,7,0
140,1,1,-12.968,34.519,-1.21,3.22,-1.21,3.22,INF,-1,0,7,0
160,1,1,-11.839,34.573,-1.11,3.23,-1.10,3.23,INF,-1,0,7,0
180,1,1,-10.104,30.481,-0.94,2.85,-0.94,2.85,INF,-1,0,7,0
200,1,1,4.292,4.063,0.40,0.38,0.40,0.38,INF,-1,0,7,0
220,1,1,3.055,7.099,0.29,0.66,0.29,0.66,INF,-1,0,7,0
240,1,1,2.386,6.351,0.22,0.59,0.22,0.59,INF,-1,0,7,0
260,1,1,1.545,6.427,0.14,0.60,0.14,0.60,INF,-1,0,7,0
280,1,1,2.729,7.142,0.26,0.67,0.26,0.67,INF,-1,0,7,0
300,1,1,3.397,7.133,0.32,0.67,0.32,0.67,INF,-1,0,7,0
320,1,1,4.614,6.948,0.43,0.65,0.43,0.65,INF,-1,0,7,0
340,1,1,4.226,6.753,0.39,0.63,0.39,0.63,INF,-1,0,7,0
360,1,1,2.353,5.564,0.22,0.52,0.22,0.52,INF,-1,0,7,0
380,1,1,1.324,4.009,0.12,0.37,0.12,0.37,INF,-1,0,7,0
400,1,1,-11.743,-14.958,-1.10,-1.40,-1.10,-1.40,INF,-1,0,7,0
420,1,1,-7.747,-18.764,-0.72,-1.75,-0.72,-1.75,INF,-1,0,7,0
440,1,1,-9.766,-18.656,-0.91,-1.74,-0.91,-1.74,INF,-1,0,7,0
460,1,1,-10.118,-19.135,-0.95,-1.79,-0.95,-1.79,INF,-1,0,7,0
480,1,1,-10.557,-18.320,-0.99,-1.71,-0.99,-1.71,INF,-1,0,7,0
500,1,1,-10.072,-20.771,-0.94,-1.94,-0.94,-1.94,INF,-1,0,7,0
520,1,1,-10.024,-20.711,-0.94,-1.93,-0.94,-1.94,INF,-1,0,7,0
540,1,1,-8.901,-20.486,-0.83,-1.91,-0.83,-1.91,INF,-1,0,7,0
560,1,1,-9.122,-22.468,-0.85,-2.10,-0.85,-2.10,INF,-1,0,7,0
580,1,1,-9.961,-21.024,-0.93,-1.96,-0.93,-1.96,INF,-1,0,7,0
600,1,1,-11.317,-19.273,-1.06,-1.80,-1.06,-1.80,INF,-1,1,7,0
620,1,1,-10.162,-19.262,-0.95,-1.80,-0.95,-1.80,INF,-1,1,7,0
640,1,1,1.663,-2.631,0.16,-0.25,0.16,-0.25,INF,-1,1,7,0
660,1,1,0.236,-3.822,0.02,-0.36,0.02,-0.36,INF,-1,1,7,0
680,1,1,0.509,-4.324,0.05,-0.40,0.05,-0.40,INF,-1,0,7,0
700,1,1,0.842,-3.758,0.08,-0.35,0.08,-0.35,INF,-1,0,7,0
720,1,1,0.831,-3.103,0.08,-0.29,0.08,-0.29,INF,-1,0,7,0
740,1,1,0.881,-5.085,0.08,-0.48,0.08,-0.48,INF,-1,0,7,0
760,1,1,-0.074,-4.507,-0.01,-0.42,-0.01,-0.42,INF,-1,0,7,0
780,1,1,-0.300,-2.516,-0.03,-0.24,-0.03,-0.24,INF,-1,0,7,0
800,1,1,-0.238,-3.978,-0.02,-0.37,-0.02,-0.37,INF,-1,0,7,0
820,1,1,0.677,-3.009,0.06,-0.28,0.06,-0.28,INF,-1,0,7,0
840,1,1,0.260,-4.252,0.02,-0.40,0.02,-0.40,INF,-1,0,7,0
860,1,1,0.348,-5.080,0.03,-0.47,0.03,-0.47,INF,-1,0,7,0
880,1,1,-30.553,10.466,-2.85,0.98,-2.85,0.98,INF,-1,0,7,0
900,1,1,-72.077,31.169,-6.71,2.89,-6.70,2.91,INF,-1,0,7,0
920,1,1,-74.493,38.940,-6.93,3.61,-6.91,3.63,INF,-1,0,7,0
940,1,1,-73.368,39.167,-6.83,3.63,-6.81,3.66,INF,-1,0,7,0
960,1,1,-75.045,40.239,-6.98,3.73,-6.96,3.76,INF,-1,0,7,0
980,1,1,-75.971,38.726,-7.06,3.59,-7.05,3.61,INF,-1,0,7,0
1000,1,1,-75.069,37.877,-6.98,3.51,-6.97,3.54,INF,-1,0,7,0
1020,1,1,-73.969,37.508,-6.88,3.48,-6.87,3.50,INF,-1,0,7,0
1040,1,1,-73.415,36.263,-6.83,3.36,-6.82,3.39,INF,-1,0,7,0
1060,1,1,-73.488,37.214,-6.84,3.45,-6.82,3.47,INF,-1,0,7,0
1080,1,1,-73.423,38.880,-6.83,3.60,-6.82,3.63,INF,-1,0,7,0
1100,1,1,-74.249,38.599,-6.91,3.58,-6.89,3.60,INF,-1,0,7,0
1120,1,1,-72.842,37.901,-6.78,3.51,-6.76,3.54,INF,-1,0,7,0
1140,1,1,-72.430,37.924,-6.74,3.52,-6.73,3.54,INF,-1,0,7,0
1160,1,1,-73.886,37.822,-6.87,3.51,-6.86,3.53,INF,-1,1,7,0
1180,1,1,-70.117,35.345,-6.53,3.28,-6.51,3.30,INF,-1,1,7,0
1200,1,1,-40.711,10.521,-3.80,0.98,-3.80,0.98,INF,-1,1,7,0
1220,1,1,-13.188,-4.639,-1.23,-0.43,-1.23,-0.43,INF,-1,1,7,0
1240,1,1,-15.743,-2.391,-1.47,-0.22,-1.47,-0.22,INF,-1,0,7,0
1260,1,1,-16.384,-2.037,-1.53,-0.19,-1.53,-0.19,INF,-1,0,7,0
1280,1,1,-15.547,-2.397,-1.45,-0.22,-1.45,-0.22,INF,-1,0,7,0
1300,1,1,-16.375,-2.682,-1.53,-0.25,-1.53,-0.25,INF,-1,0,7,0
1320,1,1,-15.482,-3.609,-1.45,-0.34,-1.45,-0.34,INF,-1,0,7,0
1340,1,1,-13.386,-3.380,-1.25,-0.32,-1.25,-0.32,INF,-1,0,7,0
1360,1,1,-15.426,-2.802,-1.44,-0.26,-1.44,-0.26,INF,-1,0,7,0
1380,1,1,-13.494,-4.456,-1.26,-0.42,-1.26,-0.42,INF,-1,0,7,0
1400,1,1,-14.235,-5.773,-1.33,-0.54,-1.33,-0.54,INF,-1,0,7,0
1420,1,1,-12.978,-2.935,-1.21,-0.27,-1.21,-0.27,INF,-1,0,7,0
1440,1,1,-15.043,-3.388,-1.41,-0.32,-1.41,-0.32,INF,-1,0,7,0
1460,1,1,-15.136,-2.838,-1.41,-0.27,-1.41,-0.27,INF,-1,0,7,0
1480,1,1,-14.195,-3.552,-1.33,-0.33,-1.33,-0.33,INF,-1,0,7,0
1500,1,1,-15.196,-4.519,-1.42,-0.42,-1.42,-0.42,INF,-1,1,7,0
1520,1,1,-14.862,-5.472,-1.39,-0.51,-1.39,-0.51,INF,-1,1,7,0
1540,1,1,-4.492,-6.315,-0.42,-0.59,-0.42,-0.59,INF,-1,1,7,0
1560,1,1,1.358,-4.309,0.13,-0.40,0.13,-0.40,INF,-1,1,7,0
1580,1,1,0.424,-4.391,0.04,-0.41,0.04,-0.41,INF,-1,0,7,0
