"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.09409
CalibrationParameters_A12,0.06280
CalibrationParameters_A13,0.13991
CalibrationParameters_A21,0.05305
CalibrationParameters_A22,-1.18655
CalibrationParameters_A23,0.01725
CalibrationParameters_A31,0.00260
CalibrationParameters_A32,0.00043
CalibrationParameters_E11,-0.18009
CalibrationParameters_E12,0.00001
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19985
CalibrationParameters_X,11.95110
CalibrationParameters_Y,45.48367
CalibrationParameters_Rpc,87.19623
CalibrationParameters_MeanX,182.22500
CalibrationParameters_MeanY,151.61689
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,3.734,-3.117,0.35,-0.29,0.35,-0.29,INF,-1,0,7,0
20,1,1,4.761,-3.561,0.45,-0.33,0.45,-0.33,INF,-1,0,7,0
40,1,1,5.235,-4.056,0.49,-0.38,0.49,-0.38,INF,-1,0,7,0
60,1,1,5.122,-5.063,0.48,-0.47,0.48,-0.47,INF,-1,0,7,0
80,1,1,4.968,-4.510,0.46,-0.42,0.46,-0.42,INF,-1,0,7,0
100,1,1,5.760,-5.849,0.54,-0.55,0.54,-0.55,INF,-1,0,7,0
120,1,1,4.314,-5.863,0.40,-0.55,0.40,-0.55,INF,-1,0,7,0
140,1,1,4.868,-6.747,0.46,-0.63,0.45,-0.63,INF,-1,0,7,0
160,1,1,4.446,-4.223,0.42,-0.39,0.42,-0.39,INF,-1,0,7,0
180,1,1,3.119,-5.424,0.29,-0.51,0.29,-0.51,INF,-1,0,7,0
200,1,1,4.237,-4.707,0.40,-0.44,0.40,-0.44,INF,-1,0,7,0
220,1,1,1.879,-5.603,0.18,-0.52,0.18,-0.52,INF,-1,0,7,0
240,1,1,4.388,-5.153,0.41,-0.48,0.41,-0.48,INF,-1,0,7,0
260,1,1,3.797,-4.163,0.35,-0.39,0.35,-0.39,INF,-1,0,7,0
280,1,1,4.748,-5.291,0.44,-0.49,0.44,-0.49,INF,-1,1,7,0
300,1,1,4.126,-6.049,0.39,-0.57,0.39,-0.57,INF,-1,1,7,0
320,1,1,2.992,-4.608,0.28,-0.43,0.28,-0.43,INF,-1,1,7,0
340,1,1,4.553,-6.545,0.43,-0.61,0.43,-0.61,INF,-1,1,7,0
360,1,1,3.478,-4.663,0.33,-0.44,0.33,-0.44,INF,-1,1,7,0
380,1,1,2.005,-5.629,0.19,-0.53,0.19,-0.53,INF,-1,1,7,0
400,1,1,1.785,-5.063,0.17,-0.47,0.17,-0.47,INF,-1,1,7,0
420,1,1,3.384,-6.003,0.32,-0.56,0.32,-0.56,INF,-1,1,7,0
440,1,1,3.543,-6.727,0.33,-0.63,0.33,-0.63,INF,-1,1,7,0
460,1,1,12.318,-8.751,1.15,-0.82,1.15,-0.82,INF,-1,1,7,0
480,1,1,14.796,-9.378,1.38,-0.88,1.38,-0.88,INF,-1,1,7,0
500,1,1,14.425,-9.243,1.35,-0.86,1.35,-0.86,INF,-1,1,7,0
520,1,1,13.593,-7.276,1.27,-0.68,1.27,-0.68,INF,-1,1,7,0
540,1,1,14.557,-9.530,1.36,-0.89,1.36,-0.89,INF,-1,1,7,0
560,1,1,12.802,-9.448,1.20,-0.88,1.20,-0.88,INF,-1,1,7,0
580,1,1,13.447,-9.265,1.26,-0.87,1.26,-0.87,INF,-1,1,7,0
600,1,1,13.748,-8.466,1.28,-0.79,1.28,-0.79,INF,-1,1,7,0
620,1,1,13.899,-9.479,1.30,-0.89,1.30,-0.89,INF,-1,0,7,0
640,1,1,14.937,-10.885,1.40,-1.02,1.40,-1.02,INF,-1,0,7,0
660,1,1,13.898,-11.047,1.30,-1.03,1.30,-1.03,INF,-1,0,7,0
680,1,1,14.576,-9.703,1.36,-0.91,1.36,-0.91,INF,-1,0,7,0
700,1,1,13.078,-9.790,1.22,-0.91,1.22,-0.91,INF,-1,0,7,0
720,1,1,14.031,-8.998,1.31,-0.84,1.31,-0.84,INF,-1,0,7,0
740,1,1,14.260,-10.420,1.33,-0.97,1.33,-0.97,INF,-1,0,7,0
760,1,1,12.704,-8.165,1.19,-0.76,1.19,-0.76,INF,-1,0,7,0
780,1,1,13.978,-10.092,1.31,-0.94,1.31,-0.94,INF,-1,0,7,0
800,1,1,12.554,-11.164,1.17,-1.04,1.17,-1.04,INF,-1,0,7,0
820,1,1,13.233,-10.038,1.24,-0.94,1.24,-0.94,INF,-1,0,7,0
840,1,1,12.972,-10.226,1.21,-0.96,1.21,-0.96,INF,-1,0,7,0
860,1,1,13.080,-8.777,1.22,-0.82,1.22,-0.82,INF,-1,1,7,0
880,1,1,12.566,-8.375,1.17,-0.78,1.17,-0.78,INF,-1,1,7,0
900,1,1,13.213,-9.585,1.23,-0.90,1.23,-0.90,INF,-1,1,7,0
920,1,1,13.193,-9.994,1.23,-0.93,1.23,-0.93,INF,-1,1,7,0
940,1,1,13.600,-11.009,1.27,-1.03,1.27,-1.03,INF,-1,1,7,0
960,1,1,13.347,-9.360,1.25,-0.87,1.25,-0.87,INF,-1,1,7,0
980,1,1,15.574,-12.193,1.46,-1.14,1.46,-1.14,INF,-1,1,7,0
1000,1,1,14.048,-11.729,1.31,-1.10,1.31,-1.10,INF,-1,1,7,0
1020,1,1,12.413,-11.013,1.16,-1.03,1.16,-1.03,INF,-1,1,7,0
1040,1,1,13.882,-10.905,1.30,-1.02,1.30,-1.02,INF,-1,1,7,0
1060,1,1,14.972,-11.002,1.40,-1.03,1.40,-1.03,INF,-1,1,7,0
1080,1,1,14.481,-10.645,1.35,-0.99,1.35,-0.99,INF,-1,1,7,0
1100,1,1,13.973,-10.309,1.31,-0.96,1.31,-0.96,INF,-1,1,7,0
1120,1,1,14.934,-10.032,1.40,-0.94,1.40,-0.94,INF,-1,1,7,0
1140,1,1,16.209,-11.086,1.51,-1.04,1.51,-1.04,INF,-1,1,7,0
1160,1,1,14.695,-9.047,1.37,-0.85,1.37,-0.85,INF,-1,1,7,0
1180,1,1,15.338,-11.085,1.43,-1.04,1.43,-1.04,INF,-1,1,7,0
1200,1,1,15.674,-10.071,1.46,-0.94,1.46,-0.94,INF,-1,1,7,0
1220,1,1,15.575,-10.073,1.46,-0.94,1.46,-0.94,INF,-1,1,7,0
1240,1,1,15.805,-9.502,1.48,-0.89,1.48,-0.89,INF,-1,1,7,0
1260,1,1,15.246,-10.463,1.42,-0.98,1.42,-0.98,INF,-1,1,7,0
1280,1,1,15.827,-10.403,1.48,-0.97,1.48,-0.97,INF,-1,1,7,0
1300,1,1,17.362,-11.011,1.62,-1.03,1.62,-1.03,INF,-1,1,7,0
1320,1,1,16.135,-11.653,1.51,-1.09,1.51,-1.09,INF,-1,1,7,0
1340,1,1,17.944,-11.924,1.68,-1.11,1.68,-1.11,INF,-1,1,7,0
1360,1,1,16.774,-10.338,1.57,-0.97,1.57,-0.97,INF,-1,1,7,0
1380,1,1,15.827,-10.616,1.48,-0.99,1.48,-0.99,INF,-1,1,7,0
1400,1,1,17.995,-12.503,1.68,-1.17,1.68,-1.17,INF,-1,1,7,0
1420,1,1,17.409,-10.530,1.63,-0.98,1.63,-0.98,INF,-1,1,7,0
1440,1,1,17.031,-11.334,1.59,-1.06,1.59,-1.06,INF,-1,1,7,0
1460,1,1,17.800,-10.997,1.66,-1.03,1.66,-1.03,INF,-1,1,7,0
1480,1,1,18.309,-12.454,1.71,-1.16,1.71,-1.16,INF,-1,1,7,0
1500,1,1,17.456,-12.195,1.63,-1.14,1.63,-1.14,INF,-1,1,7,0
1520,1,1,18.135,-12.408,1.69,-1.16,1.69,-1.16,INF,-1,1,7,0
1540,1,1,17.957,-11.465,1.68,-1.07,1.68,-1.07,INF,-1,1,7,0
1560,1,1,17.244,-10.926,1.61,-1.02,1.61,-1.02,INF,-1,1,7,0
1580,1,1,16.642,-10.956,1.56,-1.02,1.55,-1.02,INF,-1,1,7,0
1600,1,1,18.745,-13.032,1.75,-1.22,1.75,-1.22,INF,-1,1,7,0
1620,1,1,17.631,-11.866,1.65,-1.11,1.65,-1.11,INF,-1,1,7,0
1640,1,1,18.728,-12.278,1.75,-1.15,1.75,-1.15,INF,-1,1,7,0
1660,1,1,17.487,-12.029,1.63,-1.12,1.63,-1.12,INF,-1,1,7,0
1680,1,1,17.796,-13.246,1.66,-1.24,1.66,-1.24,INF,-1,1,7,0
1700,1,1,18.610,-11.917,1.74,-1.11,1.74,-1.11,INF,-1,1,7,0
1720,1,1,18.508,-11.109,1.73,-1.04,1.73,-1.04,INF,-1,1,7,0
1740,1,1,18.041,-12.584,1.69,-1.18,1.69,-1.18,INF,-1,1,7,0
1760,1,1,18.319,-11.874,1.71,-1.11,1.71,-1.11,INF,-1,1,7,0
1780,1,1,18.210,-12.457,1.70,-1.16,1.70,-1.16,INF,-1,1,7,0
1800,1,1,19.204,-13.662,1.79,-1.28,1.79,-1.28,INF,-1,1,7,0
1820,1,1,19.119,-12.914,1.79,-1.21,1.79,-1.21,INF,-1,1,7,0
1840,1,1,18.769,-13.118,1.75,-1.23,1.75,-1.23,INF,-1,1,7,0
1860,1,1,17.496,-11.363,1.63,-1.06,1.63,-1.06,INF,-1,1,7,0
1880,1,1,20.913,-13.302,1.95,-1.24,1.95,-1.24,INF,-1,1,7,0
1900,1,1,18.345,-12.321,1.71,-1.15,1.71,-1.15,INF,-1,1,7,0
1920,1,1,20.171,-11.994,1.88,-1.12,1.88,-1.12,INF,-1,1,7,0
1940,1,1,19.974,-14.235,1.87,-1.33,1.87,-1.33,INF,-1,1,7,0
1960,1,1,18.644,-13.355,1.74,-1.25,1.74,-1.25,INF,-1,1,7,0
1980,1,1,18.626,-12.125,1.74,-1.13,1.74,-1.13,INF,-1,1,7,0
2000,1,1,21.374,-12.947,2.00,-1.21,2.00,-1.21,INF,-1,1,7,0
2020,1,1,19.270,-12.530,1.80,-1.17,1.80,-1.17,INF,-1,1,7,0
2040,1,1,20.052,-13.298,1.87,-1.24,1.87,-1.24,INF,-1,1,7,0
2060,1,1,20.341,-12.936,1.90,-1.21,1.90,-1.21,INF,-1,1,7,0
2080,1,1,18.930,-12.585,1.77,-1.18,1.77,-1.18,INF,-1,1,7,0
2100,1,1,19.782,-14.282,1.85,-1.33,1.85,-1.33,INF,-1,1,7,0
2120,1,1,20.333,-14.861,1.90,-1.39,1.90,-1.39,INF,-1,1,7,0
2140,1,1,19.747,-15.088,1.85,-1.41,1.84,-1.41,INF,-1,1,7,0
2160,1,1,20.179,-14.812,1.89,-1.38,1.88,-1.38,INF,-1,1,7,0
2180,1,1,20.064,-14.413,1.87,-1.35,1.87,-1.35,INF,-1,1,7,0
2200,1,1,20.539,-13.464,1.92,-1.26,1.92,-1.26,INF,-1,1,7,0
2220,1,1,19.870,-13.601,1.86,-1.27,1.86,-1.27,INF,-1,1,7,0
2240,1,1,20.108,-13.168,1.88,-1.23,1.88,-1.23,INF,-1,1,7,0
2260,1,1,20.346,-12.728,1.90,-1.19,1.90,-1.19,INF,-1,1,7,0
2280,1,1,19.188,-11.989,1.79,-1.12,1.79,-1.12,INF,-1,1,7,0
2300,1,1,19.832,-11.808,1.85,-1.10,1.85,-1.10,INF,-1,1,7,0
2320,1,1,18.474,-13.325,1.73,-1.24,1.73,-1.25,INF,-1,1,7,0
2340,1,1,19.332,-13.795,1.81,-1.29,1.81,-1.29,INF,-1,1,7,0
2360,1,1,19.628,-13.151,1.83,-1.23,1.83,-1.23,INF,-1,1,7,0
2380,1,1,19.634,-13.791,1.83,-1.29,1.83,-1.29,INF,-1,1,7,0
2400,1,1,18.141,-12.413,1.70,-1.16,1.69,-1.16,INF,-1,1,7,0
2420,1,1,19.867,-12.822,1.86,-1.20,1.86,-1.20,INF,-1,1,7,0
2440,1,1,18.711,-12.804,1.75,-1.20,1.75,-1.20,INF,-1,1,7,0
2460,1,1,18.709,-12.247,1.75,-1.14,1.75,-1.14,INF,-1,1,7,0
2480,1,1,18.364,-13.698,1.72,-1.28,1.72,-1.28,INF,-1,1,7,0
2500,1,1,18.101,-14.617,1.69,-1.37,1.69,-1.37,INF,-1,1,7,0
2520,1,1,20.362,-13.566,1.90,-1.27,1.90,-1.27,INF,-1,1,7,0
2540,1,1,19.040,-12.685,1.78,-1.18,1.78,-1.19,INF,-1,1,7,0
2560,1,1,20.199,-12.301,1.89,-1.15,1.89,-1.15,INF,-1,1,7,0
2580,1,1,19.566,-12.831,1.83,-1.20,1.83,-1.20,INF,-1,1,7,0
2600,1,1,19.046,-13.227,1.78,-1.24,1.78,-1.24,INF,-1,1,7,0
2620,1,1,21.408,-12.445,2.00,-1.16,2.00,-1.16,INF,-1,1,7,0
2640,1,1,19.520,-12.215,1.82,-1.14,1.82,-1.14,INF,-1,1,7,0
2660,1,1,21.068,-12.078,1.97,-1.13,1.97,-1.13,INF,-1,1,7,0
2680,1,1,19.312,-14.017,1.80,-1.31,1.80,-1.31,INF,-1,1,7,0
2700,1,1,19.756,-13.409,1.85,-1.25,1.85,-1.25,INF,-1,1,7,0
2720,1,1,19.782,-13.990,1.85,-1.31,1.85,-1.31,INF,-1,1,7,0
2740,1,1,21.075,-14.954,1.97,-1.40,1.97,-1.40,INF,-1,1,7,0
2760,1,1,19.583,-13.876,1.83,-1.30,1.83,-1.30,INF,-1,1,7,0
2780,1,1,20.045,-13.839,1.87,-1.29,1.87,-1.29,INF,-1,1,7,0
2800,1,1,19.299,-14.210,1.80,-1.33,1.80,-1.33,INF,-1,1,7,0
2820,1,1,20.778,-14.530,1.94,-1.36,1.94,-1.36,INF,-1,1,7,0
2840,1,1,19.883,-15.198,1.86,-1.42,1.86,-1.42,INF,-1,1,7,0
2860,1,1,21.246,-13.979,1.98,-1.31,1.98,-1.31,INF,-1,1,7,0
2880,1,1,20.249,-14.941,1.89,-1.40,1.89,-1.40,INF,-1,1,7,0
2900,1,1,20.056,-15.434,1.87,-1.44,1.87,-1.44,INF,-1,1,7,0
2920,1,1,20.630,-16.212,1.93,-1.51,1.93,-1.51,INF,-1,1,7,0
2940,1,1,21.184,-15.695,1.98,-1.47,1.98,-1.47,INF,-1,1,7,0
2960,1,1,20.659,-16.364,1.93,-1.53,1.93,-1.53,INF,-1,1,7,0
2980,1,1,22.557,-17.274,2.11,-1.61,2.11,-1.61,INF,-1,1,7,0
3000,1,1,21.310,-15.925,1.99,-1.49,1.99,-1.49,INF,-1,1,7,0
3020,1,1,21.895,-16.395,2.05,-1.53,2.04,-1.53,INF,-1,1,7,0
3040,1,1,20.813,-16.612,1.94,-1.55,1.94,-1.55,INF,-1,1,7,0
3060,1,1,19.576,-15.034,1.83,-1.40,1.83,-1.40,INF,-1,1,7,0
3080,1,1,22.087,-16.324,2.06,-1.52,2.06,-1.53,INF,-1,1,7,0
3100,1,1,21.679,-15.790,2.03,-1.47,2.02,-1.48,INF,-1,1,7,0
3120,1,1,21.087,-16.636,1.97,-1.55,1.97,-1.55,INF,-1,0,7,0
3140,1,1,20.365,-16.179,1.90,-1.51,1.90,-1.51,INF,-1,0,7,0
3160,1,1,20.501,-16.936,1.92,-1.58,1.91,-1.58,INF,-1,0,7,0
3180,1,1,22.210,-18.579,2.08,-1.73,2.07,-1.74,INF,-1,0,7,0
3200,1,1,21.090,-16.766,1.97,-1.57,1.97,-1.57,INF,-1,0,7,0
3220,1,1,20.962,-16.817,1.96,-1.57,1.96,-1.57,INF,-1,0,7,0
3240,1,1,20.458,-17.604,1.91,-1.64,1.91,-1.64,INF,-1,0,7,0
3260,1,1,20.144,-18.276,1.88,-1.71,1.88,-1.71,INF,-1,0,7,0
3280,1,1,19.904,-18.303,1.86,-1.71,1.86,-1.71,INF,-1,0,7,0
3300,1,1,18.161,-16.227,1.70,-1.52,1.70,-1.52,INF,-1,0,7,0
3320,1,1,18.850,-16.623,1.76,-1.55,1.76,-1.55,INF,-1,0,7,0
3340,1,1,19.807,-17.187,1.85,-1.61,1.85,-1.61,INF,-1,0,7,0
3360,1,1,18.787,-17.745,1.76,-1.66,1.75,-1.66,INF,-1,1,7,0
3380,1,1,20.209,-17.625,1.89,-1.65,1.89,-1.65,INF,-1,1,7,0
3400,1,1,18.335,-16.169,1.71,-1.51,1.71,-1.51,INF,-1,1,7,0
3420,1,1,17.585,-15.567,1.64,-1.45,1.64,-1.45,INF,-1,1,7,0
3440,1,1,17.690,-15.535,1.65,-1.45,1.65,-1.45,INF,-1,1,7,0
3460,1,1,17.890,-16.675,1.67,-1.56,1.67,-1.56,INF,-1,1,7,0
3480,1,1,17.241,-17.838,1.61,-1.67,1.61,-1.67,INF,-1,1,7,0
3500,1,1,16.948,-16.213,1.58,-1.51,1.58,-1.52,INF,-1,1,7,0
3520,1,1,16.445,-16.084,1.54,-1.50,1.54,-1.50,INF,-1,1,7,0
3540,1,1,17.056,-17.954,1.59,-1.68,1.59,-1.68,INF,-1,1,7,0
3560,1,1,17.904,-17.754,1.67,-1.66,1.67,-1.66,INF,-1,1,7,0
3580,1,1,16.526,-16.388,1.54,-1.53,1.54,-1.53,INF,-1,1,7,0
3600,1,1,16.555,-18.012,1.55,-1.68,1.55,-1.68,INF,-1,1,7,0
3620,1,1,15.851,-15.701,1.48,-1.47,1.48,-1.47,INF,-1,1,7,0
3640,1,1,17.307,-17.424,1.62,-1.63,1.62,-1.63,INF,-1,1,7,0
3660,1,1,18.100,-16.562,1.69,-1.55,1.69,-1.55,INF,-1,1,7,0
3680,1,1,16.951,-18.581,1.58,-1.74,1.58,-1.74,INF,-1,1,7,0
3700,1,1,17.347,-16.667,1.62,-1.56,1.62,-1.56,INF,-1,1,7,0
3720,1,1,16.683,-18.249,1.56,-1.70,1.56,-1.71,INF,-1,1,7,0
3740,1,1,17.558,-17.933,1.64,-1.67,1.64,-1.68,INF,-1,1,7,0
3760,1,1,14.302,-17.347,1.34,-1.62,1.34,-1.62,INF,-1,1,7,0
3780,1,1,4.998,-10.079,0.47,-0.94,0.47,-0.94,INF,-1,1,7,0
3800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
3820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
3840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
3860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
3880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
3900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
3920,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
3940,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
3960,1,1,10.590,-33.858,0.99,-3.16,0.99,-3.16,INF,-1,0,7,0
3980,1,1,15.736,-9.708,1.47,-0.91,1.47,-0.91,INF,-1,0,7,0
4000,1,1,15.996,-7.192,1.49,-0.67,1.49,-0.67,INF,-1,0,7,0
4020,1,1,15.051,-7.614,1.41,-0.71,1.41,-0.71,INF,-1,0,7,0
4040,1,1,17.405,-11.634,1.63,-1.09,1.63,-1.09,INF,-1,0,7,0
4060,1,1,15.902,-12.272,1.49,-1.15,1.49,-1.15,INF,-1,0,7,0
4080,1,1,18.983,-10.853,1.77,-1.01,1.77,-1.01,INF,-1,0,7,0
4100,1,1,18.539,-11.962,1.73,-1.12,1.73,-1.12,INF,-1,0,7,0
4120,1,1,19.475,-11.724,1.82,-1.10,1.82,-1.10,INF,-1,0,7,0
4140,1,1,18.979,-10.604,1.77,-0.99,1.77,-0.99,INF,-1,0,7,0
4160,1,1,21.008,-10.800,1.96,-1.01,1.96,-1.01,INF,-1,0,7,0
4180,1,1,19.078,-9.838,1.78,-0.92,1.78,-0.92,INF,-1,0,7,0
4200,1,1,17.920,-10.171,1.67,-0.95,1.67,-0.95,INF,-1,0,7,0
4220,1,1,1.575,-12.962,0.15,-1.21,0.15,-1.21,INF,-1,0,7,0
4240,1,1,0.638,-12.531,0.06,-1.17,0.06,-1.17,INF,-1,0,7,0
4260,1,1,0.895,-12.004,0.08,-1.12,0.08,-1.12,INF,-1,0,7,0
4280,1,1,-0.185,-9.783,-0.02,-0.91,-0.02,-0.91,INF,-1,0,7,0
4300,1,1,1.680,-11.875,0.16,-1.11,0.16,-1.11,INF,-1,0,7,0
4320,1,1,0.676,-11.666,0.06,-1.09,0.06,-1.09,INF,-1,0,7,0
4340,1,1,1.381,-9.515,0.13,-0.89,0.13,-0.89,INF,-1,1,7,0
4360,1,1,1.571,-9.590,0.15,-0.90,0.15,-0.90,INF,-1,1,7,0
