"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.12333
CalibrationParameters_A12,0.06470
CalibrationParameters_A13,-0.04522
CalibrationParameters_A21,0.02824
CalibrationParameters_A22,-1.20312
CalibrationParameters_A23,0.08531
CalibrationParameters_A31,-0.00048
CalibrationParameters_A32,0.00004
CalibrationParameters_E11,-0.17996
CalibrationParameters_E12,0.00008
CalibrationParameters_E21,-0.00011
CalibrationParameters_E22,0.20002
CalibrationParameters_X,20.66687
CalibrationParameters_Y,45.74591
CalibrationParameters_Rpc,86.05000
CalibrationParameters_MeanX,151.57000
CalibrationParameters_MeanY,159.58913
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,16.855,-3.924,1.58,-0.37,1.57,-0.37,INF,-1,0,7,0
20,1,1,17.500,-3.791,1.64,-0.35,1.64,-0.35,INF,-1,0,7,0
40,1,1,18.138,-4.201,1.69,-0.39,1.69,-0.39,INF,-1,0,7,0
60,1,1,17.567,-4.463,1.64,-0.42,1.64,-0.42,INF,-1,0,7,0
80,1,1,17.119,-3.000,1.60,-0.28,1.60,-0.28,INF,-1,0,7,0
100,1,1,17.566,-4.677,1.64,-0.44,1.64,-0.44,INF,-1,0,7,0
120,1,1,17.578,-3.367,1.64,-0.31,1.64,-0.31,INF,-1,0,7,0
140,1,1,19.305,-4.199,1.80,-0.39,1.80,-0.39,INF,-1,0,7,0
160,1,1,17.510,-6.009,1.64,-0.56,1.64,-0.56,INF,-1,0,7,0
180,1,1,17.593,-3.964,1.64,-0.37,1.64,-0.37,INF,-1,0,7,0
200,1,1,16.056,-4.073,1.50,-0.38,1.50,-0.38,INF,-1,0,7,0
220,1,1,17.390,-4.811,1.63,-0.45,1.62,-0.45,INF,-1,0,7,0
240,1,1,17.046,-5.152,1.59,-0.48,1.59,-0.48,INF,-1,0,7,0
260,1,1,16.162,-5.594,1.51,-0.52,1.51,-0.52,INF,-1,0,7,0
280,1,1,17.913,-5.469,1.67,-0.51,1.67,-0.51,INF,-1,1,7,0
300,1,1,16.320,-4.893,1.53,-0.46,1.52,-0.46,INF,-1,1,7,0
320,1,1,17.848,-5.275,1.67,-0.49,1.67,-0.49,INF,-1,1,7,0
340,1,1,16.333,-5.991,1.53,-0.56,1.53,-0.56,INF,-1,1,7,0
360,1,1,16.305,-4.854,1.52,-0.45,1.52,-0.45,INF,-1,1,7,0
380,1,1,14.520,-6.668,1.36,-0.62,1.36,-0.62,INF,-1,1,7,0
400,1,1,14.355,-5.394,1.34,-0.50,1.34,-0.50,INF,-1,1,7,0
420,1,1,14.310,-5.960,1.34,-0.56,1.34,-0.56,INF,-1,1,7,0
440,1,1,11.688,-7.066,1.09,-0.66,1.09,-0.66,INF,-1,1,7,0
460,1,1,14.008,-6.142,1.31,-0.57,1.31,-0.57,INF,-1,1,7,0
480,1,1,11.906,-6.908,1.11,-0.65,1.11,-0.65,INF,-1,1,7,0
500,1,1,12.016,-7.744,1.12,-0.72,1.12,-0.72,INF,-1,1,7,0
520,1,1,12.142,-6.645,1.13,-0.62,1.13,-0.62,INF,-1,1,7,0
540,1,1,9.393,-8.268,0.88,-0.77,0.88,-0.77,INF,-1,1,7,0
560,1,1,9.466,-6.935,0.88,-0.65,0.88,-0.65,INF,-1,1,7,0
580,1,1,10.766,-6.200,1.01,-0.58,1.01,-0.58,INF,-1,1,7,0
600,1,1,10.724,-7.971,1.00,-0.74,1.00,-0.75,INF,-1,1,7,0
620,1,1,10.042,-6.846,0.94,-0.64,0.94,-0.64,INF,-1,1,7,0
640,1,1,9.869,-7.331,0.92,-0.69,0.92,-0.69,INF,-1,1,7,0
