"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.14673
CalibrationParameters_A12,0.05649
CalibrationParameters_A13,0.04077
CalibrationParameters_A21,0.03658
CalibrationParameters_A22,-1.21545
CalibrationParameters_A23,0.02597
CalibrationParameters_A31,0.00074
CalibrationParameters_A32,0.00046
CalibrationParameters_E11,-0.18003
CalibrationParameters_E12,0.00005
CalibrationParameters_E21,-0.00029
CalibrationParameters_E22,0.20020
CalibrationParameters_X,30.54242
CalibrationParameters_Y,47.09657
CalibrationParameters_Rpc,86.87245
CalibrationParameters_MeanX,122.76440
CalibrationParameters_MeanY,159.30649
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-9.348,20.315,-0.87,1.90,-0.87,1.90,INF,-1,0,7,0
20,1,1,-11.046,19.769,-1.03,1.85,-1.03,1.85,INF,-1,0,7,0
40,1,1,-10.277,20.776,-0.96,1.94,-0.96,1.94,INF,-1,0,7,0
60,1,1,-9.877,20.559,-0.92,1.92,-0.92,1.92,INF,-1,0,7,0
80,1,1,-9.179,20.052,-0.86,1.87,-0.86,1.87,INF,-1,0,7,0
100,1,1,-10.425,20.374,-0.97,1.90,-0.97,1.90,INF,-1,0,7,0
120,1,1,-9.979,18.340,-0.93,1.71,-0.93,1.71,INF,-1,0,7,0
140,1,1,-9.827,18.478,-0.92,1.73,-0.92,1.73,INF,-1,0,7,0
160,1,1,-9.787,17.985,-0.91,1.68,-0.91,1.68,INF,-1,0,7,0
180,1,1,-10.267,17.111,-0.96,1.60,-0.96,1.60,INF,-1,0,7,0
200,1,1,-8.906,17.270,-0.83,1.61,-0.83,1.61,INF,-1,0,7,0
220,1,1,-8.673,16.307,-0.81,1.52,-0.81,1.52,INF,-1,0,7,0
240,1,1,-15.646,12.099,-1.46,1.13,-1.46,1.13,INF,-1,0,7,0
260,1,1,-13.495,10.681,-1.26,1.00,-1.26,1.00,INF,-1,0,7,0
280,1,1,-14.744,8.712,-1.38,0.81,-1.38,0.81,INF,-1,1,7,0
300,1,1,-14.701,9.931,-1.37,0.93,-1.37,0.93,INF,-1,1,7,0
320,1,1,-15.824,10.214,-1.48,0.95,-1.48,0.95,INF,-1,1,7,0
340,1,1,-16.668,9.158,-1.56,0.86,-1.56,0.86,INF,-1,1,7,0
360,1,1,-16.358,9.392,-1.53,0.88,-1.53,0.88,INF,-1,1,7,0
380,1,1,-17.173,9.329,-1.60,0.87,-1.60,0.87,INF,-1,1,7,0
400,1,1,-16.702,9.099,-1.56,0.85,-1.56,0.85,INF,-1,1,7,0
420,1,1,-16.345,8.477,-1.53,0.79,-1.53,0.79,INF,-1,0,7,0
440,1,1,-17.462,9.021,-1.63,0.84,-1.63,0.84,INF,-1,0,7,0
460,1,1,-18.521,9.348,-1.73,0.87,-1.73,0.87,INF,-1,0,7,0
480,1,1,-17.507,9.049,-1.64,0.85,-1.64,0.85,INF,-1,0,7,0
500,1,1,-18.228,7.751,-1.70,0.72,-1.70,0.72,INF,-1,0,7,0
520,1,1,-18.520,8.617,-1.73,0.80,-1.73,0.81,INF,-1,0,7,0
540,1,1,-18.547,8.079,-1.73,0.75,-1.73,0.76,INF,-1,0,7,0
560,1,1,-19.195,7.012,-1.79,0.66,-1.79,0.66,INF,-1,0,7,0
580,1,1,-18.507,8.378,-1.73,0.78,-1.73,0.78,INF,-1,0,7,0
600,1,1,-18.293,6.689,-1.71,0.62,-1.71,0.63,INF,-1,0,7,0
620,1,1,-17.944,5.889,-1.68,0.55,-1.68,0.55,INF,-1,0,7,0
640,1,1,-17.795,6.609,-1.66,0.62,-1.66,0.62,INF,-1,0,7,0
660,1,1,-18.175,6.775,-1.70,0.63,-1.70,0.63,INF,-1,1,7,0
680,1,1,-18.075,6.017,-1.69,0.56,-1.69,0.56,INF,-1,1,7,0
700,1,1,-17.628,6.377,-1.65,0.60,-1.65,0.60,INF,-1,1,7,0
720,1,1,-17.654,5.464,-1.65,0.51,-1.65,0.51,INF,-1,1,7,0
740,1,1,-18.013,6.190,-1.68,0.58,-1.68,0.58,INF,-1,1,7,0
760,1,1,-18.218,6.096,-1.70,0.57,-1.70,0.57,INF,-1,1,7,0
780,1,1,-28.751,8.963,-2.69,0.84,-2.69,0.84,INF,-1,1,7,0
800,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
820,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
840,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,1,7,0
860,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
880,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
900,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
