"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.11099
CalibrationParameters_A12,0.06235
CalibrationParameters_A13,-0.02378
CalibrationParameters_A21,0.01994
CalibrationParameters_A22,-1.20004
CalibrationParameters_A23,0.07164
CalibrationParameters_A31,-0.00014
CalibrationParameters_A32,-0.00018
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,0.00011
CalibrationParameters_E21,-0.00005
CalibrationParameters_E22,0.20012
CalibrationParameters_X,26.73124
CalibrationParameters_Y,43.22150
CalibrationParameters_Rpc,81.24925
CalibrationParameters_MeanX,124.13183
CalibrationParameters_MeanY,151.89912
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-91.413,37.893,-8.48,3.50,-8.47,3.54,INF,-1,0,7,0
20,1,1,-87.968,44.185,-8.17,4.08,-8.15,4.12,INF,-1,0,7,0
40,1,1,-87.651,42.534,-8.14,3.93,-8.12,3.97,INF,-1,0,7,0
60,1,1,-84.986,42.790,-7.89,3.96,-7.87,3.99,INF,-1,0,7,0
80,1,1,-86.170,42.465,-8.00,3.92,-7.98,3.96,INF,-1,0,7,0
100,1,1,-87.807,43.380,-8.15,4.01,-8.13,4.05,INF,-1,0,7,0
120,1,1,-83.781,43.483,-7.78,4.02,-7.76,4.06,INF,-1,0,7,0
140,1,1,-84.482,40.925,-7.85,3.78,-7.83,3.82,INF,-1,0,7,0
160,1,1,-48.844,23.769,-4.56,2.21,-4.55,2.22,INF,-1,0,7,0
180,1,1,-7.101,24.048,-0.66,2.25,-0.66,2.25,INF,-1,0,7,0
200,1,1,-7.896,22.491,-0.74,2.10,-0.74,2.10,INF,-1,0,7,0
220,1,1,-9.607,23.653,-0.90,2.21,-0.90,2.21,INF,-1,0,7,0
240,1,1,-8.575,24.735,-0.80,2.31,-0.80,2.31,INF,-1,0,7,0
260,1,1,-9.629,24.371,-0.90,2.28,-0.90,2.28,INF,-1,0,7,0
280,1,1,-9.999,23.530,-0.93,2.20,-0.93,2.20,INF,-1,0,7,0
300,1,1,-8.600,21.684,-0.80,2.03,-0.80,2.03,INF,-1,0,7,0
320,1,1,-9.476,22.779,-0.89,2.13,-0.89,2.13,INF,-1,0,7,0
340,1,1,-8.172,25.512,-0.76,2.38,-0.76,2.38,INF,-1,0,7,0
360,1,1,-10.564,23.176,-0.99,2.16,-0.99,2.17,INF,-1,0,7,0
380,1,1,-10.267,23.605,-0.96,2.20,-0.96,2.21,INF,-1,0,7,0
400,1,1,-9.868,24.833,-0.92,2.32,-0.92,2.32,INF,-1,0,7,0
420,1,1,-8.900,23.011,-0.83,2.15,-0.83,2.15,INF,-1,0,7,0
440,1,1,-10.078,22.672,-0.94,2.12,-0.94,2.12,INF,-1,1,7,0
460,1,1,-8.711,23.216,-0.81,2.17,-0.81,2.17,INF,-1,1,7,0
480,1,1,-5.765,20.623,-0.54,1.93,-0.54,1.93,INF,-1,1,7,0
500,1,1,25.596,4.626,2.39,0.43,2.39,0.43,INF,-1,1,7,0
520,1,1,28.690,8.028,2.68,0.75,2.68,0.75,INF,-1,1,7,0
540,1,1,28.938,8.178,2.70,0.76,2.70,0.76,INF,-1,0,7,0
560,1,1,26.679,6.801,2.49,0.64,2.49,0.64,INF,-1,0,7,0
580,1,1,25.454,8.874,2.38,0.83,2.38,0.83,INF,-1,0,7,0
600,1,1,27.891,6.313,2.61,0.59,2.60,0.59,INF,-1,0,7,0
620,1,1,28.139,11.466,2.63,1.07,2.63,1.07,INF,-1,0,7,0
640,1,1,26.633,9.310,2.49,0.87,2.49,0.87,INF,-1,0,7,0
660,1,1,24.397,9.536,2.28,0.89,2.28,0.89,INF,-1,0,7,0
680,1,1,25.353,10.394,2.37,0.97,2.37,0.97,INF,-1,0,7,0
700,1,1,28.317,7.880,2.64,0.74,2.64,0.74,INF,-1,0,7,0
720,1,1,27.421,7.154,2.56,0.67,2.56,0.67,INF,-1,0,7,0
740,1,1,28.277,8.836,2.64,0.82,2.64,0.83,INF,-1,0,7,0
760,1,1,27.909,7.081,2.61,0.66,2.61,0.66,INF,-1,0,7,0
780,1,1,27.320,9.395,2.55,0.88,2.55,0.88,INF,-1,1,7,0
800,1,1,28.011,8.502,2.62,0.79,2.62,0.79,INF,-1,1,7,0
820,1,1,26.123,9.455,2.44,0.88,2.44,0.88,INF,-1,1,7,0
840,1,1,30.619,8.293,2.86,0.77,2.86,0.78,INF,-1,1,7,0
860,1,1,28.607,7.951,2.67,0.74,2.67,0.74,INF,-1,1,7,0
880,1,1,25.520,8.101,2.38,0.76,2.38,0.76,INF,-1,1,7,0
900,1,1,26.543,6.594,2.48,0.62,2.48,0.62,INF,-1,1,7,0
920,1,1,28.749,7.932,2.69,0.74,2.68,0.74,INF,-1,1,7,0
940,1,1,28.970,9.625,2.71,0.90,2.71,0.90,INF,-1,1,7,0
960,1,1,25.976,7.999,2.43,0.75,2.43,0.75,INF,-1,1,7,0
980,1,1,27.335,10.077,2.55,0.94,2.55,0.94,INF,-1,1,7,0
1000,1,1,29.928,6.785,2.80,0.63,2.79,0.63,INF,-1,1,7,0
1020,1,1,26.757,9.626,2.50,0.90,2.50,0.90,INF,-1,1,7,0
1040,1,1,28.315,5.946,2.64,0.56,2.64,0.56,INF,-1,1,7,0
1060,1,1,28.939,9.131,2.70,0.85,2.70,0.85,INF,-1,1,7,0
1080,1,1,29.257,8.077,2.73,0.75,2.73,0.75,INF,-1,1,7,0
1100,1,1,30.707,8.121,2.87,0.76,2.87,0.76,INF,-1,1,7,0
1120,1,1,28.249,7.985,2.64,0.75,2.64,0.75,INF,-1,1,7,0
1140,1,1,28.079,9.193,2.62,0.86,2.62,0.86,INF,-1,1,7,0
1160,1,1,29.863,9.633,2.79,0.90,2.79,0.90,INF,-1,1,7,0
1180,1,1,29.539,10.229,2.76,0.95,2.76,0.96,INF,-1,1,7,0
1200,1,1,-22.245,5.987,-2.08,0.56,-2.08,0.56,INF,-1,1,7,0
1220,1,1,-26.339,5.718,-2.46,0.53,-2.46,0.53,INF,-1,1,7,0
1240,1,1,-27.338,7.807,-2.55,0.73,-2.55,0.73,INF,-1,0,7,0
1260,1,1,-28.672,4.509,-2.68,0.42,-2.68,0.42,INF,-1,0,7,0
1280,1,1,-25.797,6.501,-2.41,0.61,-2.41,0.61,INF,-1,0,7,0
1300,1,1,-25.540,3.535,-2.39,0.33,-2.39,0.33,INF,-1,0,7,0
1320,1,1,-26.306,5.042,-2.46,0.47,-2.46,0.47,INF,-1,0,7,0
1340,1,1,-28.669,6.577,-2.68,0.61,-2.68,0.61,INF,-1,0,7,0
1360,1,1,-24.382,5.052,-2.28,0.47,-2.28,0.47,INF,-1,0,7,0
1380,1,1,-28.187,7.549,-2.63,0.70,-2.63,0.71,INF,-1,0,7,0
1400,1,1,-26.710,5.432,-2.49,0.51,-2.49,0.51,INF,-1,0,7,0
1420,1,1,-27.354,5.562,-2.55,0.52,-2.55,0.52,INF,-1,0,7,0
1440,1,1,-26.307,5.006,-2.46,0.47,-2.46,0.47,INF,-1,0,7,0
1460,1,1,-23.962,2.831,-2.24,0.26,-2.24,0.26,INF,-1,0,7,0
