"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.12223
CalibrationParameters_A12,0.05195
CalibrationParameters_A13,0.00744
CalibrationParameters_A21,0.05944
CalibrationParameters_A22,-1.20764
CalibrationParameters_A23,0.01695
CalibrationParameters_A31,0.00016
CalibrationParameters_A32,0.00042
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,0.00001
CalibrationParameters_E21,-0.00012
CalibrationParameters_E22,0.19986
CalibrationParameters_X,25.52987
CalibrationParameters_Y,45.76137
CalibrationParameters_Rpc,89.38087
CalibrationParameters_MeanX,142.69368
CalibrationParameters_MeanY,156.32938
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,1.749,12.900,0.16,1.21,0.16,1.21,INF,-1,0,7,0
20,1,1,-0.101,16.007,-0.01,1.50,-0.01,1.50,INF,-1,0,7,0
40,1,1,-0.001,16.144,0.00,1.51,0.00,1.51,INF,-1,0,7,0
60,1,1,-0.899,15.245,-0.08,1.42,-0.08,1.42,INF,-1,0,7,0
80,1,1,-1.103,14.966,-0.10,1.40,-0.10,1.40,INF,-1,0,7,0
100,1,1,-0.754,14.584,-0.07,1.36,-0.07,1.36,INF,-1,0,7,0
120,1,1,-1.388,14.502,-0.13,1.36,-0.13,1.36,INF,-1,0,7,0
140,1,1,-0.502,14.543,-0.05,1.36,-0.05,1.36,INF,-1,0,7,0
160,1,1,0.001,14.432,0.00,1.35,0.00,1.35,INF,-1,0,7,0
180,1,1,0.682,15.222,0.06,1.42,0.06,1.42,INF,-1,0,7,0
200,1,1,-0.114,15.389,-0.01,1.44,-0.01,1.44,INF,-1,0,7,0
220,1,1,0.333,15.335,0.03,1.43,0.03,1.43,INF,-1,0,7,0
240,1,1,0.734,15.688,0.07,1.47,0.07,1.47,INF,-1,0,7,0
260,1,1,-0.139,15.600,-0.01,1.46,-0.01,1.46,INF,-1,0,7,0
280,1,1,0.798,14.990,0.07,1.40,0.07,1.40,INF,-1,1,7,0
300,1,1,0.206,15.494,0.02,1.45,0.02,1.45,INF,-1,1,7,0
320,1,1,0.449,14.989,0.04,1.40,0.04,1.40,INF,-1,1,7,0
340,1,1,25.805,18.467,2.41,1.72,2.41,1.73,INF,-1,1,7,0
360,1,1,30.825,21.042,2.88,1.96,2.88,1.97,INF,-1,1,7,0
380,1,1,30.657,20.297,2.86,1.89,2.86,1.90,INF,-1,0,7,0
400,1,1,29.909,21.477,2.79,2.00,2.79,2.01,INF,-1,0,7,0
420,1,1,29.631,20.475,2.77,1.91,2.77,1.91,INF,-1,0,7,0
440,1,1,28.893,19.684,2.70,1.84,2.70,1.84,INF,-1,0,7,0
460,1,1,28.770,19.849,2.69,1.85,2.69,1.85,INF,-1,0,7,0
480,1,1,29.586,20.823,2.76,1.94,2.76,1.95,INF,-1,0,7,0
500,1,1,28.651,20.263,2.68,1.89,2.67,1.89,INF,-1,0,7,0
520,1,1,29.758,20.036,2.78,1.87,2.78,1.87,INF,-1,0,7,0
540,1,1,28.001,19.241,2.62,1.80,2.61,1.80,INF,-1,0,7,0
560,1,1,-14.323,27.205,-1.34,2.54,-1.34,2.54,INF,-1,0,7,0
580,1,1,-5.733,27.099,-0.54,2.53,-0.54,2.53,INF,-1,0,7,0
600,1,1,-7.159,26.839,-0.67,2.51,-0.67,2.51,INF,-1,0,7,0
620,1,1,-7.221,27.644,-0.67,2.58,-0.67,2.58,INF,-1,0,7,0
640,1,1,-7.489,26.336,-0.70,2.46,-0.70,2.46,INF,-1,0,7,0
660,1,1,-6.989,26.249,-0.65,2.45,-0.65,2.45,INF,-1,0,7,0
680,1,1,-7.360,26.893,-0.69,2.51,-0.69,2.51,INF,-1,0,7,0
700,1,1,-7.335,27.123,-0.69,2.53,-0.68,2.53,INF,-1,0,7,0
720,1,1,-7.742,26.309,-0.72,2.46,-0.72,2.46,INF,-1,0,7,0
740,1,1,-7.003,25.579,-0.65,2.39,-0.65,2.39,INF,-1,0,7,0
760,1,1,-6.355,25.565,-0.59,2.39,-0.59,2.39,INF,-1,0,7,0
780,1,1,-7.870,25.746,-0.74,2.40,-0.73,2.41,INF,-1,1,7,0
800,1,1,-7.689,25.285,-0.72,2.36,-0.72,2.36,INF,-1,1,7,0
820,1,1,-15.975,19.099,-1.49,1.78,-1.49,1.78,INF,-1,1,7,0
840,1,1,-23.931,-20.848,-2.24,-1.95,-2.23,-1.95,INF,-1,1,7,0
860,1,1,-23.489,-18.723,-2.19,-1.75,-2.19,-1.75,INF,-1,0,7,0
880,1,1,-23.491,-18.881,-2.19,-1.76,-2.19,-1.76,INF,-1,0,7,0
900,1,1,-23.934,-19.144,-2.24,-1.79,-2.23,-1.79,INF,-1,0,7,0
920,1,1,-23.288,-19.415,-2.18,-1.81,-2.17,-1.81,INF,-1,0,7,0
940,1,1,-23.439,-18.405,-2.19,-1.72,-2.19,-1.72,INF,-1,0,7,0
960,1,1,-22.954,-20.336,-2.14,-1.90,-2.14,-1.90,INF,-1,0,7,0
980,1,1,-23.702,-20.108,-2.21,-1.88,-2.21,-1.88,INF,-1,0,7,0
