"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.09409
CalibrationParameters_A12,0.06280
CalibrationParameters_A13,0.13991
CalibrationParameters_A21,0.05305
CalibrationParameters_A22,-1.18655
CalibrationParameters_A23,0.01725
CalibrationParameters_A31,0.00260
CalibrationParameters_A32,0.00043
CalibrationParameters_E11,-0.18009
CalibrationParameters_E12,0.00001
CalibrationParameters_E21,0.00001
CalibrationParameters_E22,0.19985
CalibrationParameters_X,11.95110
CalibrationParameters_Y,45.48367
CalibrationParameters_Rpc,87.19623
CalibrationParameters_MeanX,182.22500
CalibrationParameters_MeanY,151.61689
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,-13.289,19.410,-1.24,1.81,-1.24,1.81,INF,-1,0,7,0
20,1,1,-13.804,21.045,-1.29,1.97,-1.29,1.97,INF,-1,0,7,0
40,1,1,-13.580,19.935,-1.27,1.86,-1.27,1.86,INF,-1,0,7,0
60,1,1,-14.377,20.666,-1.34,1.93,-1.34,1.93,INF,-1,0,7,0
80,1,1,-13.509,20.544,-1.26,1.92,-1.26,1.92,INF,-1,0,7,0
100,1,1,-12.688,19.275,-1.19,1.80,-1.19,1.80,INF,-1,0,7,0
120,1,1,-14.093,19.926,-1.32,1.86,-1.32,1.86,INF,-1,0,7,0
140,1,1,-13.376,18.993,-1.25,1.77,-1.25,1.77,INF,-1,0,7,0
160,1,1,-12.964,19.408,-1.21,1.81,-1.21,1.81,INF,-1,0,7,0
180,1,1,-14.086,17.531,-1.32,1.64,-1.32,1.64,INF,-1,0,7,0
200,1,1,-11.830,20.009,-1.11,1.87,-1.10,1.87,INF,-1,0,7,0
220,1,1,19.154,-7.955,1.79,-0.74,1.79,-0.74,INF,-1,0,7,0
240,1,1,17.566,-6.968,1.64,-0.65,1.64,-0.65,INF,-1,0,7,0
260,1,1,16.915,-6.451,1.58,-0.60,1.58,-0.60,INF,-1,0,7,0
280,1,1,17.083,-6.325,1.60,-0.59,1.60,-0.59,INF,-1,0,7,0
300,1,1,16.376,-6.253,1.53,-0.58,1.53,-0.58,INF,-1,0,7,0
320,1,1,16.571,-7.670,1.55,-0.72,1.55,-0.72,INF,-1,0,7,0
340,1,1,17.588,-6.225,1.64,-0.58,1.64,-0.58,INF,-1,0,7,0
360,1,1,17.643,-6.231,1.65,-0.58,1.65,-0.58,INF,-1,0,7,0
380,1,1,17.771,-7.613,1.66,-0.71,1.66,-0.71,INF,-1,0,7,0
400,1,1,17.307,-6.841,1.62,-0.64,1.62,-0.64,INF,-1,0,7,0
420,1,1,16.042,-7.308,1.50,-0.68,1.50,-0.68,INF,-1,0,7,0
440,1,1,15.602,-8.566,1.46,-0.80,1.46,-0.80,INF,-1,0,7,0
460,1,1,16.277,-6.835,1.52,-0.64,1.52,-0.64,INF,-1,0,7,0
480,1,1,16.775,-7.392,1.57,-0.69,1.57,-0.69,INF,-1,1,7,0
500,1,1,16.000,-8.047,1.50,-0.75,1.50,-0.75,INF,-1,1,7,0
520,1,1,17.305,-7.769,1.62,-0.73,1.62,-0.73,INF,-1,1,7,0
540,1,1,16.295,-7.744,1.52,-0.72,1.52,-0.72,INF,-1,1,7,0
560,1,1,15.959,-7.543,1.49,-0.70,1.49,-0.70,INF,-1,1,7,0
580,1,1,15.417,-7.306,1.44,-0.68,1.44,-0.68,INF,-1,1,7,0
600,1,1,-17.642,-8.758,-1.65,-0.82,-1.65,-0.82,INF,-1,1,7,0
620,1,1,-25.443,-9.420,-2.38,-0.88,-2.38,-0.88,INF,-1,1,7,0
640,1,1,-25.456,-9.238,-2.38,-0.86,-2.38,-0.86,INF,-1,0,7,0
660,1,1,-25.300,-8.791,-2.36,-0.82,-2.36,-0.82,INF,-1,0,7,0
680,1,1,-24.501,-9.349,-2.29,-0.87,-2.29,-0.87,INF,-1,0,7,0
700,1,1,-23.509,-8.866,-2.20,-0.83,-2.20,-0.83,INF,-1,0,7,0
720,1,1,-24.340,-9.276,-2.27,-0.87,-2.27,-0.87,INF,-1,0,7,0
740,1,1,-24.450,-8.572,-2.28,-0.80,-2.28,-0.80,INF,-1,0,7,0
760,1,1,-23.811,-9.089,-2.22,-0.85,-2.22,-0.85,INF,-1,0,7,0
780,1,1,-25.003,-9.204,-2.34,-0.86,-2.34,-0.86,INF,-1,0,7,0
800,1,1,-24.097,-9.482,-2.25,-0.89,-2.25,-0.89,INF,-1,0,7,0
820,1,1,-24.479,-8.652,-2.29,-0.81,-2.29,-0.81,INF,-1,0,7,0
840,1,1,-24.877,-8.879,-2.32,-0.83,-2.32,-0.83,INF,-1,0,7,0
860,1,1,-25.017,-8.427,-2.34,-0.79,-2.34,-0.79,INF,-1,0,7,0
880,1,1,-24.939,-8.206,-2.33,-0.77,-2.33,-0.77,INF,-1,1,7,0
900,1,1,-25.760,-9.237,-2.41,-0.86,-2.41,-0.86,INF,-1,1,7,0
920,1,1,-25.180,-8.910,-2.35,-0.83,-2.35,-0.83,INF,-1,1,7,0
940,1,1,-0.206,-8.559,-0.02,-0.80,-0.02,-0.80,INF,-1,1,7,0
960,1,1,15.594,-5.807,1.46,-0.54,1.46,-0.54,INF,-1,1,7,0
980,1,1,14.982,-6.134,1.40,-0.57,1.40,-0.57,INF,-1,0,7,0
1000,1,1,15.854,-6.244,1.48,-0.58,1.48,-0.58,INF,-1,0,7,0
1020,1,1,15.580,-5.782,1.46,-0.54,1.46,-0.54,INF,-1,0,7,0
1040,1,1,15.553,-6.195,1.45,-0.58,1.45,-0.58,INF,-1,0,7,0
1060,1,1,15.680,-5.889,1.47,-0.55,1.47,-0.55,INF,-1,0,7,0
1080,1,1,14.853,-5.450,1.39,-0.51,1.39,-0.51,INF,-1,0,7,0
1100,1,1,14.159,-4.633,1.32,-0.43,1.32,-0.43,INF,-1,0,7,0
1120,1,1,15.342,-6.042,1.43,-0.56,1.43,-0.56,INF,-1,0,7,0
1140,1,1,15.180,-5.947,1.42,-0.56,1.42,-0.56,INF,-1,0,7,0
1160,1,1,14.690,-6.304,1.37,-0.59,1.37,-0.59,INF,-1,0,7,0
1180,1,1,16.020,-6.182,1.50,-0.58,1.50,-0.58,INF,-1,0,7,0
1200,1,1,15.640,-5.496,1.46,-0.51,1.46,-0.51,INF,-1,0,7,0
1220,1,1,19.303,-4.319,1.80,-0.40,1.80,-0.40,INF,-1,0,7,0
1240,1,1,19.031,-4.000,1.78,-0.37,1.78,-0.37,INF,-1,1,7,0
1260,1,1,20.156,-3.330,1.88,-0.31,1.88,-0.31,INF,-1,1,7,0
1280,1,1,19.657,-3.548,1.84,-0.33,1.84,-0.33,INF,-1,1,7,0
1300,1,1,20.120,-3.406,1.88,-0.32,1.88,-0.32,INF,-1,1,7,0
1320,1,1,19.510,-3.850,1.82,-0.36,1.82,-0.36,INF,-1,1,7,0
1340,1,1,19.582,-3.536,1.83,-0.33,1.83,-0.33,INF,-1,1,7,0
1360,1,1,20.005,-3.148,1.87,-0.29,1.87,-0.29,INF,-1,1,7,0
1380,1,1,20.376,-3.507,1.90,-0.33,1.90,-0.33,INF,-1,1,7,0
1400,1,1,20.443,-4.000,1.91,-0.37,1.91,-0.37,INF,-1,1,7,0
1420,1,1,19.396,-3.821,1.81,-0.36,1.81,-0.36,INF,-1,1,7,0
1440,1,1,18.772,-4.530,1.75,-0.42,1.75,-0.42,INF,-1,1,7,0
1460,1,1,19.792,-4.283,1.85,-0.40,1.85,-0.40,INF,-1,1,7,0
1480,1,1,20.841,-4.180,1.95,-0.39,1.95,-0.39,INF,-1,1,7,0
1500,1,1,19.600,-3.850,1.83,-0.36,1.83,-0.36,INF,-1,1,7,0
1520,1,1,20.499,-4.056,1.92,-0.38,1.92,-0.38,INF,-1,1,7,0
1540,1,1,19.821,-4.275,1.85,-0.40,1.85,-0.40,INF,-1,1,7,0
1560,1,1,20.519,-4.579,1.92,-0.43,1.92,-0.43,INF,-1,1,7,0
1580,1,1,20.238,-4.981,1.89,-0.47,1.89,-0.47,INF,-1,1,7,0
1600,1,1,19.537,-5.310,1.83,-0.50,1.83,-0.50,INF,-1,1,7,0
1620,1,1,18.888,-5.115,1.76,-0.48,1.76,-0.48,INF,-1,1,7,0
1640,1,1,20.403,-4.111,1.91,-0.38,1.91,-0.38,INF,-1,1,7,0
1660,1,1,45.433,-2.831,4.24,-0.26,4.24,-0.26,INF,-1,1,7,0
1680,1,1,44.135,-4.503,4.12,-0.42,4.12,-0.42,INF,-1,1,7,0
1700,1,1,44.757,-3.147,4.18,-0.29,4.18,-0.29,INF,-1,0,7,0
1720,1,1,42.835,-3.069,4.00,-0.29,4.00,-0.29,INF,-1,0,7,0
1740,1,1,43.985,-2.446,4.10,-0.23,4.10,-0.23,INF,-1,0,7,0
1760,1,1,43.095,-3.858,4.02,-0.36,4.02,-0.36,INF,-1,0,7,0
1780,1,1,44.596,-2.767,4.16,-0.26,4.16,-0.26,INF,-1,0,7,0
1800,1,1,44.522,-2.790,4.15,-0.26,4.15,-0.26,INF,-1,0,7,0
1820,1,1,45.251,-3.159,4.22,-0.29,4.22,-0.30,INF,-1,0,7,0
1840,1,1,44.639,-4.373,4.16,-0.41,4.16,-0.41,INF,-1,0,7,0
1860,1,1,43.251,-3.513,4.04,-0.33,4.04,-0.33,INF,-1,0,7,0
1880,1,1,45.523,-4.316,4.25,-0.40,4.25,-0.40,INF,-1,0,7,0
1900,1,1,44.147,-3.896,4.12,-0.36,4.12,-0.36,INF,-1,0,7,0
1920,1,1,43.597,-4.443,4.07,-0.41,4.07,-0.42,INF,-1,0,7,0
1940,1,1,44.563,-4.671,4.16,-0.44,4.16,-0.44,INF,-1,1,7,0
1960,1,1,44.200,-3.529,4.12,-0.33,4.12,-0.33,INF,-1,1,7,0
1980,1,1,45.021,-5.168,4.20,-0.48,4.20,-0.48,INF,-1,1,7,0
2000,1,1,44.054,-4.918,4.11,-0.46,4.11,-0.46,INF,-1,1,7,0
2020,1,1,43.519,-4.579,4.06,-0.43,4.06,-0.43,INF,-1,1,7,0
2040,1,1,43.455,-3.864,4.05,-0.36,4.05,-0.36,INF,-1,1,7,0
2060,1,1,44.449,-4.481,4.15,-0.42,4.15,-0.42,INF,-1,1,7,0
2080,1,1,44.609,-4.510,4.16,-0.42,4.16,-0.42,INF,-1,1,7,0
2100,1,1,43.747,-4.501,4.08,-0.42,4.08,-0.42,INF,-1,1,7,0
2120,1,1,44.457,-4.532,4.15,-0.42,4.15,-0.42,INF,-1,1,7,0
2140,1,1,43.772,-5.869,4.08,-0.55,4.08,-0.55,INF,-1,1,7,0
2160,1,1,19.775,-7.698,1.85,-0.72,1.85,-0.72,INF,-1,1,7,0
2180,1,1,-37.241,-9.778,-3.48,-0.91,-3.48,-0.91,INF,-1,1,7,0
2200,1,1,-28.391,-7.444,-2.65,-0.69,-2.65,-0.70,INF,-1,0,7,0
2220,1,1,-29.579,-8.294,-2.76,-0.77,-2.76,-0.78,INF,-1,0,7,0
2240,1,1,-27.785,-7.535,-2.60,-0.70,-2.60,-0.70,INF,-1,0,7,0
2260,1,1,-26.606,-7.661,-2.49,-0.72,-2.49,-0.72,INF,-1,0,7,0
2280,1,1,-27.397,-7.199,-2.56,-0.67,-2.56,-0.67,INF,-1,0,7,0
