"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.10056
CalibrationParameters_A12,0.04563
CalibrationParameters_A13,-0.03841
CalibrationParameters_A21,0.06026
CalibrationParameters_A22,-1.15996
CalibrationParameters_A23,0.01916
CalibrationParameters_A31,-0.00066
CalibrationParameters_A32,0.00011
CalibrationParameters_E11,-0.17989
CalibrationParameters_E12,0.00002
CalibrationParameters_E21,0.00013
CalibrationParameters_E22,0.19998
CalibrationParameters_X,21.21605
CalibrationParameters_Y,40.14395
CalibrationParameters_Rpc,85.29737
CalibrationParameters_MeanX,150.21109
CalibrationParameters_MeanY,137.03774
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
20,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
40,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
60,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
80,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
100,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
120,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
140,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
160,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
180,0,1,0.000,0.000,0.00,0.00,0.00,0.00,0.00,-1,0,7,0
200,1,1,-5.217,-22.683,-0.49,-2.12,-0.49,-2.12,INF,-1,0,7,0
220,1,1,0.516,2.168,0.05,0.20,0.05,0.20,INF,-1,0,7,0
240,1,1,-5.166,16.507,-0.48,1.54,-0.48,1.54,INF,-1,0,7,0
260,1,1,-0.742,21.897,-0.07,2.05,-0.07,2.05,INF,-1,0,7,0
280,1,1,-1.167,25.976,-0.11,2.43,-0.11,2.43,INF,-1,0,7,0
300,1,1,-3.737,19.981,-0.35,1.87,-0.35,1.87,INF,-1,0,7,0
320,1,1,-22.840,-9.435,-2.13,-0.88,-2.13,-0.88,INF,-1,0,7,0
340,1,1,-17.530,-5.201,-1.64,-0.49,-1.64,-0.49,INF,-1,0,7,0
360,1,1,-18.468,-13.147,-1.73,-1.23,-1.73,-1.23,INF,-1,0,7,0
380,1,1,-22.870,-5.410,-2.14,-0.51,-2.14,-0.51,INF,-1,0,7,0
400,1,1,-18.827,-5.263,-1.76,-0.49,-1.76,-0.49,INF,-1,0,7,0
420,1,1,-19.274,-6.232,-1.80,-0.58,-1.80,-0.58,INF,-1,0,7,0
440,1,1,-16.964,-9.727,-1.59,-0.91,-1.58,-0.91,INF,-1,0,7,0
460,1,1,-21.223,-7.400,-1.98,-0.69,-1.98,-0.69,INF,-1,0,7,0
480,1,1,-21.642,-7.391,-2.02,-0.69,-2.02,-0.69,INF,-1,0,7,0
500,1,1,-8.900,-5.043,-0.83,-0.47,-0.83,-0.47,INF,-1,0,7,0
520,1,1,-5.640,-2.757,-0.53,-0.26,-0.53,-0.26,INF,-1,0,7,0
540,1,1,-6.025,-3.913,-0.56,-0.37,-0.56,-0.37,INF,-1,0,7,0
560,1,1,-7.065,-3.626,-0.66,-0.34,-0.66,-0.34,INF,-1,0,7,0
580,1,1,-7.482,-1.661,-0.70,-0.16,-0.70,-0.16,INF,-1,0,7,0
600,1,1,-5.979,-2.386,-0.56,-0.22,-0.56,-0.22,INF,-1,1,7,0
620,1,1,-7.754,-4.672,-0.72,-0.44,-0.72,-0.44,INF,-1,1,7,0
640,1,1,-7.729,-3.343,-0.72,-0.31,-0.72,-0.31,INF,-1,1,7,0
660,1,1,-13.961,-2.616,-1.30,-0.24,-1.30,-0.24,INF,-1,1,7,0
680,1,1,-43.539,-15.657,-4.06,-1.46,-4.06,-1.46,INF,-1,1,7,0
700,1,1,-43.922,-14.729,-4.10,-1.37,-4.10,-1.38,INF,-1,1,7,0
720,1,1,-42.970,-14.124,-4.01,-1.32,-4.01,-1.32,INF,-1,0,7,0
740,1,1,-42.259,-15.136,-3.94,-1.41,-3.94,-1.41,INF,-1,0,7,0
760,1,1,-42.414,-15.559,-3.96,-1.45,-3.96,-1.45,INF,-1,0,7,0
780,1,1,-43.829,-16.806,-4.09,-1.57,-4.09,-1.57,INF,-1,0,7,0
800,1,1,-41.522,-15.340,-3.88,-1.43,-3.87,-1.43,INF,-1,0,7,0
820,1,1,-44.015,-18.209,-4.11,-1.70,-4.11,-1.70,INF,-1,0,7,0
840,1,1,-44.258,-14.762,-4.13,-1.38,-4.13,-1.38,INF,-1,0,7,0
860,1,1,-39.462,-16.710,-3.68,-1.56,-3.68,-1.56,INF,-1,0,7,0
880,1,1,-44.185,-16.281,-4.12,-1.52,-4.12,-1.52,INF,-1,0,7,0
900,1,1,-40.780,-15.306,-3.81,-1.43,-3.80,-1.43,INF,-1,0,7,0
920,1,1,-44.344,-17.856,-4.14,-1.66,-4.14,-1.67,INF,-1,0,7,0
940,1,1,-42.534,-16.052,-3.97,-1.50,-3.97,-1.50,INF,-1,0,7,0
960,1,1,-43.951,-19.136,-4.10,-1.78,-4.10,-1.79,INF,-1,1,7,0
980,1,1,-43.443,-17.408,-4.05,-1.62,-4.05,-1.63,INF,-1,1,7,0
1000,1,1,-50.452,-18.401,-4.70,-1.71,-4.70,-1.72,INF,-1,1,7,0
1020,1,1,-49.417,-20.290,-4.61,-1.89,-4.61,-1.90,INF,-1,1,7,0
1040,1,1,-50.620,-18.063,-4.72,-1.68,-4.72,-1.69,INF,-1,1,7,0
1060,1,1,-49.995,-20.026,-4.66,-1.86,-4.66,-1.87,INF,-1,1,7,0
1080,1,1,-51.114,-19.499,-4.77,-1.82,-4.76,-1.82,INF,-1,1,7,0
1100,1,1,-49.725,-17.321,-4.64,-1.61,-4.64,-1.62,INF,-1,1,7,0
1120,1,1,-48.464,-19.588,-4.52,-1.82,-4.52,-1.83,INF,-1,1,7,0
1140,1,1,-41.281,-19.799,-3.85,-1.85,-3.85,-1.85,INF,-1,1,7,0
1160,1,1,-16.545,-14.646,-1.55,-1.37,-1.55,-1.37,INF,-1,1,7,0
1180,1,1,-17.046,-14.062,-1.59,-1.31,-1.59,-1.31,INF,-1,1,7,0
1200,1,1,-16.374,-12.187,-1.53,-1.14,-1.53,-1.14,INF,-1,0,7,0
1220,1,1,-18.310,-17.590,-1.71,-1.64,-1.71,-1.64,INF,-1,0,7,0
1240,1,1,-18.642,-17.595,-1.74,-1.64,-1.74,-1.64,INF,-1,0,7,0
1260,1,1,-15.916,-15.125,-1.49,-1.41,-1.49,-1.41,INF,-1,0,7,0
1280,1,1,-17.443,-13.180,-1.63,-1.23,-1.63,-1.23,INF,-1,0,7,0
1300,1,1,-17.008,-11.903,-1.59,-1.11,-1.59,-1.11,INF,-1,0,7,0
