"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.18166
CalibrationParameters_A12,0.07415
CalibrationParameters_A13,-0.02423
CalibrationParameters_A21,0.04463
CalibrationParameters_A22,-1.23281
CalibrationParameters_A23,0.03427
CalibrationParameters_A31,-0.00016
CalibrationParameters_A32,0.00033
CalibrationParameters_E11,-0.18005
CalibrationParameters_E12,-0.00008
CalibrationParameters_E21,-0.00002
CalibrationParameters_E22,0.19993
CalibrationParameters_X,35.67759
CalibrationParameters_Y,45.06473
CalibrationParameters_Rpc,88.75761
CalibrationParameters_MeanX,103.90116
CalibrationParameters_MeanY,153.99240
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,17.636,-77.474,1.65,-7.20,1.63,-7.20,INF,-1,0,7,0
20,1,1,19.124,-86.166,1.79,-8.00,1.77,-8.00,INF,-1,0,7,0
40,1,1,19.635,-86.165,1.83,-8.00,1.82,-8.00,INF,-1,0,7,0
60,1,1,19.133,-86.831,1.79,-8.06,1.77,-8.06,INF,-1,0,7,0
80,1,1,18.305,-88.151,1.71,-8.18,1.69,-8.18,INF,-1,0,7,0
100,1,1,18.137,-87.330,1.69,-8.10,1.68,-8.11,INF,-1,0,7,0
120,1,1,17.826,-87.523,1.67,-8.12,1.65,-8.13,INF,-1,0,7,0
140,1,1,17.254,-89.077,1.61,-8.26,1.60,-8.27,INF,-1,0,7,0
160,1,1,17.285,-88.512,1.62,-8.21,1.60,-8.22,INF,-1,0,7,0
180,1,1,16.572,-67.758,1.55,-6.31,1.54,-6.31,INF,-1,0,7,0
200,1,1,7.509,-2.815,0.70,-0.26,0.70,-0.26,INF,-1,0,7,0
220,1,1,4.295,0.051,0.40,0.00,0.40,0.00,INF,-1,0,7,0
240,1,1,3.674,-0.749,0.34,-0.07,0.34,-0.07,INF,-1,0,7,0
260,1,1,4.116,-1.051,0.38,-0.10,0.38,-0.10,INF,-1,0,7,0
280,1,1,4.518,-2.093,0.42,-0.20,0.42,-0.20,INF,-1,0,7,0
300,1,1,3.572,-2.059,0.33,-0.19,0.33,-0.19,INF,-1,0,7,0
320,1,1,3.704,-1.908,0.35,-0.18,0.35,-0.18,INF,-1,0,7,0
340,1,1,3.749,-1.107,0.35,-0.10,0.35,-0.10,INF,-1,0,7,0
360,1,1,3.121,-1.810,0.29,-0.17,0.29,-0.17,INF,-1,0,7,0
380,1,1,3.571,-1.611,0.33,-0.15,0.33,-0.15,INF,-1,0,7,0
400,1,1,2.739,-0.705,0.26,-0.07,0.26,-0.07,INF,-1,0,7,0
420,1,1,-4.587,12.706,-0.43,1.19,-0.43,1.19,INF,-1,0,7,0
440,1,1,-6.176,11.349,-0.58,1.06,-0.58,1.06,INF,-1,0,7,0
460,1,1,-5.763,11.480,-0.54,1.07,-0.54,1.07,INF,-1,0,7,0
480,1,1,-6.889,11.188,-0.64,1.05,-0.64,1.05,INF,-1,0,7,0
500,1,1,-5.984,11.498,-0.56,1.07,-0.56,1.07,INF,-1,0,7,0
520,1,1,-6.948,11.659,-0.65,1.09,-0.65,1.09,INF,-1,1,7,0
540,1,1,-6.356,11.498,-0.59,1.07,-0.59,1.07,INF,-1,1,7,0
560,1,1,-8.059,11.196,-0.75,1.05,-0.75,1.05,INF,-1,1,7,0
580,1,1,-7.472,11.654,-0.70,1.09,-0.70,1.09,INF,-1,1,7,0
600,1,1,-7.493,11.084,-0.70,1.04,-0.70,1.04,INF,-1,0,7,0
620,1,1,-8.003,11.319,-0.75,1.06,-0.75,1.06,INF,-1,0,7,0
640,1,1,-9.803,11.070,-0.92,1.03,-0.92,1.03,INF,-1,0,7,0
660,1,1,-5.028,10.783,-0.47,1.01,-0.47,1.01,INF,-1,0,7,0
680,1,1,-4.582,10.852,-0.43,1.01,-0.43,1.01,INF,-1,0,7,0
700,1,1,-3.812,10.331,-0.36,0.97,-0.36,0.97,INF,-1,0,7,0
720,1,1,-3.704,11.585,-0.35,1.08,-0.35,1.08,INF,-1,0,7,0
740,1,1,-4.449,10.813,-0.42,1.01,-0.42,1.01,INF,-1,0,7,0
760,1,1,-5.504,10.291,-0.51,0.96,-0.51,0.96,INF,-1,0,7,0
780,1,1,-4.376,11.393,-0.41,1.06,-0.41,1.06,INF,-1,0,7,0
800,1,1,-5.999,10.553,-0.56,0.99,-0.56,0.99,INF,-1,0,7,0
820,1,1,-4.240,10.990,-0.40,1.03,-0.40,1.03,INF,-1,0,7,0
840,1,1,-4.767,11.550,-0.45,1.08,-0.45,1.08,INF,-1,1,7,0
860,1,1,-4.763,11.248,-0.45,1.05,-0.45,1.05,INF,-1,1,7,0
880,1,1,-4.825,11.958,-0.45,1.12,-0.45,1.12,INF,-1,1,7,0
900,1,1,-4.393,11.934,-0.41,1.12,-0.41,1.12,INF,-1,1,7,0
920,1,1,-5.242,12.015,-0.49,1.12,-0.49,1.12,INF,-1,1,7,0
940,1,1,-4.577,11.979,-0.43,1.12,-0.43,1.12,INF,-1,1,7,0
960,1,1,-4.497,11.887,-0.42,1.11,-0.42,1.11,INF,-1,1,7,0
980,1,1,-4.632,11.477,-0.43,1.07,-0.43,1.07,INF,-1,1,7,0
1000,1,1,-6.608,12.572,-0.62,1.17,-0.62,1.17,INF,-1,1,7,0
1020,1,1,-5.044,11.660,-0.47,1.09,-0.47,1.09,INF,-1,1,7,0
1040,1,1,-4.031,12.647,-0.38,1.18,-0.38,1.18,INF,-1,1,7,0
1060,1,1,-4.488,11.455,-0.42,1.07,-0.42,1.07,INF,-1,1,7,0
1080,1,1,-5.418,12.175,-0.51,1.14,-0.51,1.14,INF,-1,1,7,0
1100,1,1,-3.238,12.066,-0.30,1.13,-0.30,1.13,INF,-1,1,7,0
1120,1,1,-4.290,12.655,-0.40,1.18,-0.40,1.18,INF,-1,1,7,0
1140,1,1,-3.272,12.318,-0.31,1.15,-0.31,1.15,INF,-1,1,7,0
1160,1,1,-4.783,11.904,-0.45,1.11,-0.45,1.11,INF,-1,1,7,0
1180,1,1,-19.973,-10.130,-1.87,-0.95,-1.87,-0.95,INF,-1,1,7,0
1200,1,1,-17.802,-15.797,-1.66,-1.48,-1.66,-1.48,INF,-1,1,7,0
1220,1,1,-18.237,-15.588,-1.70,-1.46,-1.70,-1.46,INF,-1,0,7,0
1240,1,1,-18.652,-15.865,-1.74,-1.48,-1.74,-1.48,INF,-1,0,7,0
1260,1,1,-18.024,-17.834,-1.68,-1.67,-1.68,-1.67,INF,-1,0,7,0
1280,1,1,-18.393,-17.499,-1.72,-1.63,-1.72,-1.64,INF,-1,0,7,0
1300,1,1,-16.273,-19.412,-1.52,-1.81,-1.52,-1.81,INF,-1,0,7,0
1320,1,1,-9.545,-25.307,-0.89,-2.36,-0.89,-2.36,INF,-1,0,7,0
1340,1,1,-10.429,-25.336,-0.97,-2.37,-0.97,-2.37,INF,-1,0,7,0
