"EyeTracker Toolbox version","3.250"
CalibrationParameters_A11,1.12333
CalibrationParameters_A12,0.06470
CalibrationParameters_A13,-0.04522
CalibrationParameters_A21,0.02824
CalibrationParameters_A22,-1.20312
CalibrationParameters_A23,0.08531
CalibrationParameters_A31,-0.00048
CalibrationParameters_A32,0.00004
CalibrationParameters_E11,-0.17996
CalibrationParameters_E12,0.00008
CalibrationParameters_E21,-0.00011
CalibrationParameters_E22,0.20002
CalibrationParameters_X,20.66687
CalibrationParameters_Y,45.74591
CalibrationParameters_Rpc,86.05000
CalibrationParameters_MeanX,151.57000
CalibrationParameters_MeanY,159.58913
CalibrationParameters_ViewDist,613.00000
TimeStamp,Tracked,Calibrated,ScreenPositionXmm,ScreenPositionYmm,FicksLongitude,FicksLatitude,HelmholtzAzimuth,HelmholtzElevation,PupilDiameter,Region,Fixation,DigitalIO,Dropped
0,1,1,69.698,28.325,6.49,2.63,6.48,2.65,INF,-1,0,7,0
20,1,1,71.103,30.678,6.62,2.85,6.61,2.87,INF,-1,0,7,0
40,1,1,70.491,30.048,6.56,2.79,6.55,2.81,INF,-1,0,7,0
60,1,1,71.845,28.147,6.68,2.61,6.68,2.63,INF,-1,0,7,0
80,1,1,70.974,30.258,6.60,2.81,6.60,2.83,INF,-1,0,7,0
100,1,1,70.369,28.679,6.55,2.66,6.54,2.68,INF,-1,0,7,0
120,1,1,71.053,29.335,6.61,2.72,6.60,2.74,INF,-1,0,7,0
140,1,1,71.659,30.454,6.67,2.82,6.66,2.84,INF,-1,0,7,0
160,1,1,68.774,29.618,6.40,2.75,6.39,2.77,INF,-1,0,7,0
180,1,1,24.146,19.319,2.26,1.80,2.25,1.81,INF,-1,0,7,0
200,1,1,1.679,16.095,0.16,1.50,0.16,1.50,INF,-1,0,7,0
220,1,1,1.200,16.208,0.11,1.51,0.11,1.51,INF,-1,0,7,0
240,1,1,1.635,15.375,0.15,1.44,0.15,1.44,INF,-1,0,7,0
260,1,1,1.958,16.070,0.18,1.50,0.18,1.50,INF,-1,0,7,0
280,1,1,1.452,14.552,0.14,1.36,0.14,1.36,INF,-1,0,7,0
300,1,1,2.037,13.792,0.19,1.29,0.19,1.29,INF,-1,0,7,0
320,1,1,2.111,15.519,0.20,1.45,0.20,1.45,INF,-1,0,7,0
340,1,1,1.633,15.575,0.15,1.46,0.15,1.46,INF,-1,0,7,0
360,1,1,1.312,13.851,0.12,1.29,0.12,1.29,INF,-1,0,7,0
380,1,1,3.022,13.408,0.28,1.25,0.28,1.25,INF,-1,0,7,0
400,1,1,1.624,13.741,0.15,1.28,0.15,1.28,INF,-1,0,7,0
420,1,1,0.765,11.277,0.07,1.05,0.07,1.05,INF,-1,0,7,0
440,1,1,10.603,-7.483,0.99,-0.70,0.99,-0.70,INF,-1,0,7,0
